,E0,Ep,dL,phi,th_LRL,Error,Dlow,Dhigh,enfinal
23,0.,1.4001771364095271e-12,-1.,0.7225663103256524,0.,mxst,0.,2.306927564839073e9,-0.00002752472028185116
27,0.,1.4001771364095271e-12,-1.,0.8482300164692442,0.,mxst,0.,2.6000573896101303e9,-0.000019968176726509494
28,0.,1.4001771364095271e-12,-1.,0.8796459430051422,0.,mxst,0.,1.6826842124016726e9,-0.00004320317039167214
41,0.,1.4001771364095271e-12,-1.,1.288052987971815,0.,mxst,0.,2.4379043472693224e9,-0.000026006460542934377
48,0.,1.4001771364095271e-12,-1.,1.5079644737231006,0.,ndsz,0.,1.511213628649904e9,-1.9206411039363047e-7
49,0.,1.4001771364095271e-12,-1.,1.5393804002589986,0.,mxst,0.,1.371231833743119e9,-0.00006625538403293163
68,0.,1.4001771364095271e-12,-1.,2.1362830044410597,0.,ndsz,0.,1.6662621117652466e9,-9.279189505662089e-7
170,0.,1.4001771364095271e-12,-1.,5.340707511102648,0.,ndsz,0.,9.451948254748906e8,3.479574977649502e-6
171,0.,1.4001771364095271e-12,-1.,5.372123437638546,0.,ndsz,0.,8.550740334773422e8,-3.0246166602410085e-6
177,0.,1.4001771364095271e-12,-1.,5.5606189968539335,0.,mxst,0.,1.4782674789422815e9,-0.000057836865091725
179,0.,1.4001771364095271e-12,-1.,5.62345084992573,0.,ndsz,0.,2.1595894325466013e9,-9.184672649098502e-7
188,0.,1.4001771364095271e-12,-1.,5.9061941887488105,0.,ndsz,0.,1.1477687119642704e9,1.1532225308030775e-6
195,0.,1.4001771364095271e-12,-1.,6.126105674500097,0.,ndsz,0.,1.3071401988165083e9,-2.2187157422415282e-6
297,0.,1.4001771364095271e-12,-1.,3.0473448739820994,3.141592653589793,mxst,0.,2.105837302916969e9,-0.000038694463073377094
314,0.,1.4001771364095271e-12,-1.,3.581415625092364,3.141592653589793,mxst,0.,1.510954502852214e9,-0.00006264277921228523
321,0.,1.4001771364095271e-12,-1.,3.8013271108436495,3.141592653589793,mxst,0.,2.466795106540463e9,-0.000022648589468016178
323,0.,1.4001771364095271e-12,-1.,3.8641589639154454,3.141592653589793,mxst,0.,2.470783291244148e9,-0.00003148798102738906
343,0.,1.4001771364095271e-12,-1.,4.492477494633404,3.141592653589793,ndsz,0.,8.268274667312505e8,-0.000030039478579306543
423,0.,1.4001771364095271e-12,1.,0.7225663103256524,0.,mxst,0.,2.306927564839073e9,-0.00002752472028185116
427,0.,1.4001771364095271e-12,1.,0.8482300164692442,0.,mxst,0.,2.6000573896101303e9,-0.000019968176726509494
428,0.,1.4001771364095271e-12,1.,0.8796459430051422,0.,mxst,0.,1.6826842124016726e9,-0.00004320317039167214
441,0.,1.4001771364095271e-12,1.,1.288052987971815,0.,mxst,0.,2.4379043472693224e9,-0.000026006460542934377
448,0.,1.4001771364095271e-12,1.,1.5079644737231006,0.,ndsz,0.,1.511213628649904e9,-1.9206411039363047e-7
449,0.,1.4001771364095271e-12,1.,1.5393804002589986,0.,mxst,0.,1.371231833743119e9,-0.00006625538403293163
468,0.,1.4001771364095271e-12,1.,2.1362830044410597,0.,ndsz,0.,1.6662621117652466e9,-9.279189505662089e-7
570,0.,1.4001771364095271e-12,1.,5.340707511102648,0.,ndsz,0.,9.451948254748906e8,3.479574977649502e-6
571,0.,1.4001771364095271e-12,1.,5.372123437638546,0.,ndsz,0.,8.550740334773422e8,-3.0246166602410085e-6
577,0.,1.4001771364095271e-12,1.,5.5606189968539335,0.,mxst,0.,1.4782674789422815e9,-0.000057836865091725
579,0.,1.4001771364095271e-12,1.,5.62345084992573,0.,ndsz,0.,2.1595894325466013e9,-9.184672649098502e-7
588,0.,1.4001771364095271e-12,1.,5.9061941887488105,0.,ndsz,0.,1.1477687119642704e9,1.1532225308030775e-6
595,0.,1.4001771364095271e-12,1.,6.126105674500097,0.,ndsz,0.,1.3071401988165083e9,-2.2187157422415282e-6
697,0.,1.4001771364095271e-12,1.,3.0473448739820994,3.141592653589793,mxst,0.,2.105837302916969e9,-0.000038694463073377094
714,0.,1.4001771364095271e-12,1.,3.581415625092364,3.141592653589793,mxst,0.,1.510954502852214e9,-0.00006264277921228523
721,0.,1.4001771364095271e-12,1.,3.8013271108436495,3.141592653589793,mxst,0.,2.466795106540463e9,-0.000022648589468016178
723,0.,1.4001771364095271e-12,1.,3.8641589639154454,3.141592653589793,mxst,0.,2.470783291244148e9,-0.00003148798102738906
743,0.,1.4001771364095271e-12,1.,4.492477494633404,3.141592653589793,ndsz,0.,8.268274667312505e8,-0.000030039478579306543
842,0.,0.,-1.,1.319468914507713,0.,mxst,0.,2.1209824852037218e9,-0.000039189017100177415
850,0.,0.,-1.,1.5707963267948966,0.,mxst,0.,2.4788740012924395e9,-0.00003921237336684813
980,0.,0.,-1.,5.654866776461628,0.,ndsz,0.,8.268274667312505e8,-0.00005409813121385335
995,0.,0.,-1.,6.126105674500097,0.,mxst,0.,1.7229812160852194e9,-0.00005090056198422954
1080,0.,0.,-1.,2.5132741228718345,3.141592653589793,ndsz,0.,8.268274667312505e8,-0.00005409813121385335
1095,0.,0.,-1.,2.9845130209103035,3.141592653589793,mxst,0.,1.7229812160852194e9,-0.00005090056198422954
1142,0.,0.,-1.,4.461061568097506,3.141592653589793,mxst,0.,2.1209824852037218e9,-0.000039189017100177415
1150,0.,0.,-1.,4.71238898038469,3.141592653589793,mxst,0.,2.4788740012924395e9,-0.00003921237336684813
1242,0.,0.,1.,1.319468914507713,0.,mxst,0.,2.1209824852037218e9,-0.000039189017100177415
1250,0.,0.,1.,1.5707963267948966,0.,mxst,0.,2.4788740012924395e9,-0.00003921237336684813
1380,0.,0.,1.,5.654866776461628,0.,ndsz,0.,8.268274667312505e8,-0.00005409813121385335
1395,0.,0.,1.,6.126105674500097,0.,mxst,0.,1.7229812160852194e9,-0.00005090056198422954
1480,0.,0.,1.,2.5132741228718345,3.141592653589793,ndsz,0.,8.268274667312505e8,-0.00005409813121385335
1495,0.,0.,1.,2.9845130209103035,3.141592653589793,mxst,0.,1.7229812160852194e9,-0.00005090056198422954
1542,0.,0.,1.,4.461061568097506,3.141592653589793,mxst,0.,2.1209824852037218e9,-0.000039189017100177415
1550,0.,0.,1.,4.71238898038469,3.141592653589793,mxst,0.,2.4788740012924395e9,-0.00003921237336684813
1604,0.,2.8003542728190542e-12,-1.,0.12566370614359174,0.,mxst,0.,1.4461200535490243e9,-0.000027016655982592397
1616,0.,2.8003542728190542e-12,-1.,0.5026548245743669,0.,ndsz,0.,1.0614503572134799e9,4.980012526800692e-7
1617,0.,2.8003542728190542e-12,-1.,0.5340707511102649,0.,mxst,0.,1.9192968059729726e9,-0.00003604219240821686
1618,0.,2.8003542728190542e-12,-1.,0.5654866776461628,0.,mxst,0.,1.7238910653104513e9,-0.000027561660986843983
1620,0.,2.8003542728190542e-12,-1.,0.6283185307179586,0.,ndsz,0.,8.629319402637267e8,-0.00003500613639317862
1636,0.,2.8003542728190542e-12,-1.,1.1309733552923256,0.,ndsz,0.,9.476977362642766e8,-3.322494585233926e-6
1656,0.,2.8003542728190542e-12,-1.,1.7592918860102844,0.,ndsz,0.,8.492632160544337e8,-7.86246059814033e-6
1660,0.,2.8003542728190542e-12,-1.,1.8849555921538759,0.,mxst,0.,1.8835288720053763e9,-0.000027022144619637256
1665,0.,2.8003542728190542e-12,-1.,2.0420352248333655,0.,ndsz,0.,7.523183498922064e8,-0.000011500495347149808
1666,0.,2.8003542728190542e-12,-1.,2.0734511513692637,0.,ndsz,0.,7.453703561988654e8,-5.655678722057966e-6
