# Filename	binding\00cd37fc-2dd4-4b29-bbbe-19d0a9bc0b14.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-09T15:29:02
# Dir	1
# field	1.2446018990306909e-11
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	1.2446018990306909e-11	NaN	NaN	NaN	33353.929980416346	6.801327896992661e6	0.
-0.00002720495530887996	1.2446018990306909e-11	NaN	NaN	NaN	37397.8558656151	8.085957260367575e6	0.
-0.000024165295497831922	1.2446018990306909e-11	NaN	NaN	NaN	42303.354823707654	9.746081993800852e6	0.
-0.00002112563568678388	1.2446018990306909e-11	NaN	NaN	NaN	48735.13495573378	1.2084970905675042e7	0.
-0.000030244615119928003	1.2446018990306909e-11	NaN	NaN	NaN	33526.28111720305	6.854486381356009e6	0.
-0.00002705297231832756	1.2446018990306909e-11	NaN	NaN	NaN	37615.466061399566	8.157263902629459e6	0.
-0.00002401331250727952	1.2446018990306909e-11	NaN	NaN	NaN	42583.41944713522	9.844139127934325e6	0.
-0.000020973652696231478	1.2446018990306909e-11	NaN	NaN	NaN	49110.057027680145	1.222684261063597e7	0.
-0.0000300926321293756	1.2446018990306909e-11	NaN	NaN	NaN	33700.44837125075	6.908350664477609e6	0.
-0.00002690098932777516	1.2446018990306909e-11	NaN	NaN	NaN	37835.66974238664	8.229646620691612e6	0.
-0.000023861329516727117	1.2446018990306909e-11	NaN	NaN	NaN	42867.304432179466	9.94389200733882e6	0.
-0.000020821669705679075	1.2446018990306909e-11	NaN	NaN	NaN	49490.9752029582	1.2371601067602452e7	0.
-0.000029940649138823198	1.2446018990306909e-11	NaN	NaN	NaN	33876.46101244609	6.962934923073728e6	0.
-0.000026749006337222757	1.2446018990306909e-11	NaN	NaN	NaN	38058.514391738296	8.303126558104369e6	0.
-0.000023709346526174715	1.2446018990306909e-11	NaN	NaN	NaN	43155.09031204155	1.004537880737747e7	-5.081165554797575e-7
-0.000020669686715126676	1.2446018990306909e-11	NaN	NaN	NaN	49878.03898027701	1.2519330153054649e7	0.
-0.000029788666148270795	1.2446018990306909e-11	NaN	NaN	NaN	34054.3489519358	7.018250852035381e6	-4.258904863412963e-7
-0.000026597023346670354	1.2446018990306909e-11	NaN	NaN	NaN	38284.04867943173	8.377724312790541e6	-3.9965746803752313e-7
-0.000023557363535622312	1.2446018990306909e-11	NaN	NaN	NaN	43446.85995074072	1.0148648521562213e7	0.
-0.000020517703724574274	1.2446018990306909e-11	NaN	NaN	NaN	50271.40301873386	1.267012137758167e7	0.
-0.000029636683157718393	1.2446018990306909e-11	NaN	NaN	NaN	34234.142760025374	7.074315284389579e6	-2.186082759751779e-7
-0.00002644504035611795	1.2446018990306909e-11	NaN	NaN	NaN	38512.32250020481	8.453470380585372e6	0.
-0.000023405380545069913	1.2446018990306909e-11	NaN	NaN	NaN	43742.69862986911	1.0253740326024327e7	-2.126324991786319e-7
-0.00002036572073402187	1.2446018990306909e-11	NaN	NaN	NaN	50671.22736863621	1.2824055655985216e7	0.
-0.000029484700167165993	1.2446018990306909e-11	NaN	NaN	NaN	34415.87368468862	7.131141342875773e6	-1.7841321050477287e-7
-0.00002629305736556555	1.2446018990306909e-11	NaN	NaN	NaN	38743.38701299063	8.530385180651568e6	0.
-0.00002325339755451751	1.2446018990306909e-11	NaN	NaN	NaN	44042.69413932597	1.0360711226726878e7	0.
-0.00002021373774346947	1.2446018990306909e-11	NaN	NaN	NaN	51077.677715141916	1.2981243277439246e7	0.
-0.00002933271717661359	1.2446018990306909e-11	NaN	NaN	NaN	34599.5736707124	7.188743796417934e6	-3.0485836479178373e-7
