# Filename	binding\06725fdc-6f12-45a1-a674-45371eae8370.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-09T15:31:21
# Dir	1
# field	3.0531640335596636e-11
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	3.0531640335596636e-11	NaN	NaN	NaN	34063.92431804689	7.0779522930936925e6	0.
-0.00002720495530887996	3.0531640335596636e-11	NaN	NaN	NaN	38414.09718475551	8.507984485737335e6	0.
-0.000024165295497831922	3.0531640335596636e-11	NaN	NaN	NaN	43806.19702035651	1.0416063364043955e7	0.
-0.00002112563568678388	3.0531640335596636e-11	NaN	NaN	NaN	51111.36025965175	1.3238761213272769e7	0.
-0.000030244615119928003	3.0531640335596636e-11	NaN	NaN	NaN	34247.778392131186	7.136391216114382e6	0.
-0.00002705297231832756	3.0531640335596636e-11	NaN	NaN	NaN	38650.464554967555	8.588496930540927e6	0.
-0.00002401331250727952	3.0531640335596636e-11	NaN	NaN	NaN	44118.34711107609	1.0531083589576524e7	0.
-0.000020973652696231478	3.0531640335596636e-11	NaN	NaN	NaN	51546.80582679606	1.3415689060508283e7	0.
-0.0000300926321293756	3.0531640335596636e-11	NaN	NaN	NaN	34433.702824892986	7.195671459720363e6	0.
-0.00002690098932777516	3.0531640335596636e-11	NaN	NaN	NaN	38889.90043121867	8.670347849326259e6	0.
-0.000023861329516727117	3.0531640335596636e-11	NaN	NaN	NaN	44435.26513913293	1.0648370243591638e7	0.
-0.000020821669705679075	3.0531640335596636e-11	NaN	NaN	NaN	51990.40786681453	1.359694299216233e7	0.
-0.000029940649138823198	3.0531640335596636e-11	NaN	NaN	NaN	34621.7340740971	7.255803907070549e6	0.
-0.000026749006337222757	3.0531640335596636e-11	NaN	NaN	NaN	39132.467773615695	8.753570403344993e6	0.
-0.000023709346526174715	3.0531640335596636e-11	NaN	NaN	NaN	44757.06793828657	1.0767991059480838e7	0.
-0.000020669686715126676	3.0531640335596636e-11	NaN	NaN	NaN	52442.417233352295	1.3782680556349792e7	0.
-0.000029788666148270795	3.0531640335596636e-11	NaN	NaN	NaN	34811.90948830592	7.316812568505889e6	0.
-0.000026597023346670354	3.0531640335596636e-11	NaN	NaN	NaN	39378.23135184784	8.838198669368047e6	0.
-0.000023557363535622312	3.0531640335596636e-11	NaN	NaN	NaN	45083.87640453877	1.0890014315066073e7	0.
-0.000020517703724574274	3.0531640335596636e-11	NaN	NaN	NaN	52903.09593809813	1.3973075061345296e7	0.
-0.000029636683157718393	3.0531640335596636e-11	NaN	NaN	NaN	35004.26733511793	7.378714050431754e6	0.
-0.00002644504035611795	3.0531640335596636e-11	NaN	NaN	NaN	39627.257813211545	8.924270233560145e6	0.
-0.000023405380545069913	3.0531640335596636e-11	NaN	NaN	NaN	45415.81568279908	1.1014514753275687e7	0.
-0.00002036572073402187	3.0531640335596636e-11	NaN	NaN	NaN	53372.717816374956	1.4168303573758448e7	0.
-0.000029484700167165993	3.0531640335596636e-11	NaN	NaN	NaN	35198.84683051877	7.441527758716956e6	0.
-0.00002629305736556555	3.0531640335596636e-11	NaN	NaN	NaN	39879.6157538312	9.011813427524332e6	0.
-0.00002325339755451751	3.0531640335596636e-11	NaN	NaN	NaN	45753.0153643581	1.1141562216955878e7	0.
-0.00002021373774346947	3.0531640335596636e-11	NaN	NaN	NaN	53851.56924331244	1.4368553538569024e7	0.
-0.00002933271717661359	3.0531640335596636e-11	NaN	NaN	NaN	35395.68816939617	7.505272897263844e6	0.
-0.000026141074375013146	3.0531640335596636e-11	NaN	NaN	NaN	40135.3757932585	9.100873173855267e6	0.
-0.000023101414563965108	3.0531640335596636e-11	NaN	NaN	NaN	46095.60969593265	1.1271240056890065e7	0.
-0.000020061754752917066	3.0531640335596636e-11	NaN	NaN	NaN	54339.949905319656	1.457402375354237e7	0.
-0.000029180734186061188	3.0531640335596636e-11	NaN	NaN	NaN	35594.83255727499	7.569971171881118e6	0.
-0.000025989091384460747	3.0531640335596636e-11	NaN	NaN	NaN	40394.61065264241	9.191485470072161e6	0.
-0.000022949431573412705	3.0531640335596636e-11	NaN	NaN	NaN	46443.737801106	1.140362804964679e7	0.
-0.000019909771762364663	3.0531640335596636e-11	NaN	NaN	NaN	54838.17363210318	1.4784923951085392e7	0.
-0.000029028751195508785	3.0531640335596636e-11	NaN	NaN	NaN	35796.32224333058	7.635638324591864e6	0.
-0.000025837108393908344	3.0531640335596636e-11	NaN	NaN	NaN	40657.39523667884	9.283690796864389e6	0.
-0.000022797448582860302	3.0531640335596636e-11	NaN	NaN	NaN	46797.54391506091	1.1538811226529835e7	0.
-0.000019757788771812264	3.0531640335596636e-11	NaN	NaN	NaN	55346.56929507001	1.5001472850233404e7	0.
-0.000028876768204956383	3.0531640335596636e-11	NaN	NaN	NaN	36000.20055474321	7.7023013951007305e6	0.
-0.000025685125403355942	3.0531640335596636e-11	NaN	NaN	NaN	40923.80671955964	9.377530671409367e6	0.
-0.0000226454655923079	3.0531640335596636e-11	NaN	NaN	NaN	47157.17763357673	1.1676878222506696e7	0.
-0.00001960580578125986	3.0531640335596636e-11	NaN	NaN	NaN	55865.48177862887	1.5223905958362084e7	0.
-0.000028724785214403984	3.0531640335596636e-11	NaN	NaN	NaN	36206.51193245803	7.769980361931728e6	0.
-0.00002553314241280354	3.0531640335596636e-11	NaN	NaN	NaN	41193.924635158124	9.473047854194125e6	0.
-0.0000224934826017555	3.0531640335596636e-11	NaN	NaN	NaN	47522.79417734789	1.1817922187497145e7	0.
-0.00001945382279070746	3.0531640335596636e-11	NaN	NaN	NaN	56395.27303166498	1.545246843426675e7	0.
-0.00002857280222385158	3.0531640335596636e-11	NaN	NaN	NaN	36415.30196842111	7.838697261115842e6	0.
-0.000025381159422251137	3.0531640335596636e-11	NaN	NaN	NaN	41467.830971704	9.570286483067056e6	0.
-0.000022341499611203098	3.0531640335596636e-11	NaN	NaN	NaN	47894.554672773425	1.1962039982993778e7	0.
-0.000019301839800155056	3.0531640335596636e-11	NaN	NaN	NaN	56936.32320733654	1.5687423237590266e7	0.
-0.00002842081923329918	3.0531640335596636e-11	NaN	NaN	NaN	36626.6174443644	7.908476615562224e6	0.
-0.000025229176431698734	3.0531640335596636e-11	NaN	NaN	NaN	41745.610271218444	9.669293209412921e6	0.
-0.000022189516620650695	3.0531640335596636e-11	NaN	NaN	NaN	48272.62645047016	1.2109331671951063e7	0.
-0.000019149856809602654	3.0531640335596636e-11	NaN	NaN	NaN	57489.03190032723	1.5929045138733042e7	0.
-0.000028268836242746776	3.0531640335596636e-11	NaN	NaN	NaN	36840.50637221673	7.979341693537207e6	0.
-0.000025077193441146335	3.0531640335596636e-11	NaN	NaN	NaN	42027.34973399921	9.77011434257159e6	0.
-0.000022037533630098293	3.0531640335596636e-11	NaN	NaN	NaN	48657.18336287524	1.2259902089042671e7	0.
-0.000018997873819050254	3.0531640335596636e-11	NaN	NaN	NaN	58053.819491825445	1.6177629312142694e7	0.
-0.000028116853252194373	3.0531640335596636e-11	NaN	NaN	NaN	37057.01803622438	8.051317664228194e6	0.
-0.000024925210450593932	3.0531640335596636e-11	NaN	NaN	NaN	42313.13932846765	9.872801337471409e6	0.
-0.00002188555063954589	3.0531640335596636e-11	NaN	NaN	NaN	49048.40612242871	1.2413863971440928e7	0.
-0.00001884589082849785	3.0531640335596636e-11	NaN	NaN	NaN	58631.12861379312	1.6433485801357232e7	0.
-0.00002796487026164197	3.0531640335596636e-11	NaN	NaN	NaN	37276.20303686698	8.124429943410524e6	0.
-0.00002477322746004153	3.0531640335596636e-11	NaN	NaN	NaN	42603.07190670999	9.977402580762552e6	0.
-0.000021733567648993488	3.0531640335596636e-11	NaN	NaN	NaN	49446.482661964474	1.257133084695647e7	0.
-0.00001869390783794545	3.0531640335596636e-11	NaN	NaN	NaN	59221.42574557867	1.6696947605796399e7	0.
-0.00002781288727108957	3.0531640335596636e-11	NaN	NaN	NaN	37498.11333666218	8.198705189412905e6	0.
-0.000024621244469489127	3.0531640335596636e-11	NaN	NaN	NaN	42897.24332607273	1.0083973749948448e7	0.
-0.00002158158465844109	3.0531640335596636e-11	NaN	NaN	NaN	49851.60851909386	1.2732424058172226e7	0.
-0.000018541924847393046	3.0531640335596636e-11	NaN	NaN	NaN	59825.20295763905	1.696836723833228e7	0.
-0.00002766090428053717	3.0531640335596636e-11	NaN	NaN	NaN	37722.802307956365	8.274168831338082e6	0.
-0.000024469261478936724	3.0531640335596636e-11	NaN	NaN	NaN	43195.75257719551	1.0192568633239139e7	0.
-0.000021429601667888686	3.0531640335596636e-11	NaN	NaN	NaN	50263.987246532975	1.2897270267879838e7	0.
-0.000018389941856840644	3.0531640335596636e-11	NaN	NaN	NaN	60442.979819114385	1.7248119944281995e7	0.
-0.000027508921289984766	3.0531640335596636e-11	NaN	NaN	NaN	37950.324782806085	8.350851094654716e6	0.
-0.000024317278488384322	3.0531640335596636e-11	NaN	NaN	NaN	43498.701918896826	1.0303245588600298e7	0.
-0.000021277618677336283	3.0531640335596636e-11	NaN	NaN	NaN	50683.830850516715	1.3066002906458706e7	0.
-0.00001823795886628824	3.0531640335596636e-11	NaN	NaN	NaN	61075.305488285725	1.753660703526665e7	0.
-0.000027356938299432364	3.0531640335596636e-11	NaN	NaN	NaN	38180.737105059336	8.428779840501333e6	0.
