# Filename	binding\0a9a60ce-b412-478d-b618-dc6998493f36.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:12:04
# Dir	-1
# field	5.5618147362934e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	5.5618147362934e-11	NaN	NaN	NaN	-31125.736425073486	5.980102297075853e6	0.
-0.00002720495530887996	5.5618147362934e-11	NaN	NaN	NaN	-34346.28313672305	6.902931527351907e6	0.
-0.000024165295497831922	5.5618147362934e-11	NaN	NaN	NaN	-38049.52156557228	8.006723514469124e6	0.
-0.00002112563568678388	5.5618147362934e-11	NaN	NaN	NaN	-42565.75455247242	9.407304379137756e6	0.
-0.000030244615119928003	5.5618147362934e-11	NaN	NaN	NaN	-31266.048461385293	6.019535032168348e6	0.
-0.00002705297231832756	5.5618147362934e-11	NaN	NaN	NaN	-34515.31021433813	6.9523548074527355e6	0.
-0.00002401331250727952	5.5618147362934e-11	NaN	NaN	NaN	-38254.17325177395	8.06895251909075e6	0.
-0.000020973652696231478	5.5618147362934e-11	NaN	NaN	NaN	-42817.2569831095	9.48689838696161e6	0.
-0.0000300926321293756	5.5618147362934e-11	NaN	NaN	NaN	-31407.56516190887	6.059379599519326e6	0.
-0.00002690098932777516	5.5618147362934e-11	NaN	NaN	NaN	-34685.9043155038	7.002332476984318e6	0.
-0.000023861329516727117	5.5618147362934e-11	NaN	NaN	NaN	-38460.870048876466	8.131928210224094e6	0.
-0.000020821669705679075	5.5618147362934e-11	NaN	NaN	NaN	-43071.469486944945	9.567510685177166e6	0.
-0.000029940649138823198	5.5618147362934e-11	NaN	NaN	NaN	-31550.301246283536	6.099642518404294e6	0.
-0.000026749006337222757	5.5618147362934e-11	NaN	NaN	NaN	-34858.08585633916	7.0528726415598e6	0.
-0.000023709346526174715	5.5618147362934e-11	NaN	NaN	NaN	-38669.64021030886	8.195661432675486e6	0.
-0.000020669686715126676	5.5618147362934e-11	NaN	NaN	NaN	-43328.43152165011	9.649158755984185e6	0.
-0.000029788666148270795	5.5618147362934e-11	NaN	NaN	NaN	-31694.27165992216	6.140328586165778e6	0.
-0.000026597023346670354	5.5618147362934e-11	NaN	NaN	NaN	-35031.875581348824	7.1039838684932655e6	0.
-0.000023557363535622312	5.5618147362934e-11	NaN	NaN	NaN	-38880.51246041029	8.260165556305941e6	0.
-0.000020517703724574274	5.5618147362934e-11	NaN	NaN	NaN	-43588.18321418514	9.731858485643955e6	0.
-0.000029636683157718393	5.5618147362934e-11	NaN	NaN	NaN	-31839.491578027682	6.18144458983245e6	0.
-0.00002644504035611795	5.5618147362934e-11	NaN	NaN	NaN	-35207.29456939172	7.155674289418748e6	0.
-0.000023405380545069913	5.5618147362934e-11	NaN	NaN	NaN	-39093.51600294946	8.325450327924864e6	0.
-0.00002036572073402187	5.5618147362934e-11	NaN	NaN	NaN	-43850.76537225989	9.81562725758806e6	0.
-0.000029484700167165993	5.5618147362934e-11	NaN	NaN	NaN	-31985.97640968612	6.2229969226401e6	0.
-0.00002629305736556555	5.5618147362934e-11	NaN	NaN	NaN	-35384.36423976155	7.20795249721034e6	0.
-0.00002325339755451751	5.5618147362934e-11	NaN	NaN	NaN	-39308.68052978828	8.391530132334614e6	0.
-0.00002021373774346947	5.5618147362934e-11	NaN	NaN	NaN	-44116.21949593337	9.90048252571082e6	0.
