# Filename	binding\0f59a104-80bb-485f-aad0-ed05a14592d8.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:06:51
# Dir	-1
# field	2.4308630840443183e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	2.4308630840443183e-11	NaN	NaN	NaN	-32075.63397965698	6.321759631929196e6	-2.3634323976991087e-7
-0.00002720495530887996	2.4308630840443183e-11	NaN	NaN	NaN	-35624.04606936015	7.383490711633628e6	0.
-0.000024165295497831922	2.4308630840443183e-11	NaN	NaN	NaN	-39789.095615398466	8.691326671267804e6	0.
-0.00002112563568678388	2.4308630840443183e-11	NaN	NaN	NaN	-45005.20798847862	1.0414724554069445e7	0.
-0.000030244615119928003	2.4308630840443183e-11	NaN	NaN	NaN	-32228.896869262553	6.366564428692547e6	0.
-0.00002705297231832756	2.4308630840443183e-11	NaN	NaN	NaN	-35812.10947501135	7.441147862817737e6	0.
-0.00002401331250727952	2.4308630840443183e-11	NaN	NaN	NaN	-40022.10025523999	8.766345597867474e6	0.
-0.000020973652696231478	2.4308630840443183e-11	NaN	NaN	NaN	-45300.432973267525	1.0514920028341983e7	0.
-0.0000300926321293756	2.4308630840443183e-11	NaN	NaN	NaN	-32383.594839876918	6.411888930481352e6	0.
-0.00002690098932777516	2.4308630840443183e-11	NaN	NaN	NaN	-36002.10806179834	7.499536729433222e6	0.
-0.000023861329516727117	2.4308630840443183e-11	NaN	NaN	NaN	-40257.74587079582	8.842408665552486e6	0.
-0.000020821669705679075	2.4308630840443183e-11	NaN	NaN	NaN	-45599.36918031472	1.0616653644608015e7	0.
-0.000029940649138823198	2.4308630840443183e-11	NaN	NaN	NaN	-32539.74762157225	6.45773528310659e6	-2.2740742984856686e-7
-0.000026749006337222757	2.4308630840443183e-11	NaN	NaN	NaN	-36194.07089866894	7.558667893614956e6	0.
-0.000023709346526174715	2.4308630840443183e-11	NaN	NaN	NaN	-40496.0758211638	8.919533001062814e6	0.
-0.000020669686715126676	2.4308630840443183e-11	NaN	NaN	NaN	-45902.083431853986	1.0719955718872586e7	0.
-0.000029788666148270795	2.4308630840443183e-11	NaN	NaN	NaN	-32697.37529783308	6.50412004252839e6	0.
-0.000026597023346670354	2.4308630840443183e-11	NaN	NaN	NaN	-36388.027619666325	7.618556168846175e6	0.
-0.000023557363535622312	2.4308630840443183e-11	NaN	NaN	NaN	-40737.134378205505	8.997742427214332e6	0.
-0.000020517703724574274	2.4308630840443183e-11	NaN	NaN	NaN	-46208.64407145885	1.0824859458274309e7	0.
-0.000029636683157718393	2.4308630840443183e-11	NaN	NaN	NaN	-32856.4983132675	6.551047735910864e6	0.
-0.00002644504035611795	2.4308630840443183e-11	NaN	NaN	NaN	-36584.008437198914	7.679214171645968e6	0.
-0.000023405380545069913	2.4308630840443183e-11	NaN	NaN	NaN	-40980.966749479565	9.07705432803384e6	0.
-0.00002036572073402187	2.4308630840443183e-11	NaN	NaN	NaN	-46519.12100458817	1.0931397070489604e7	0.
-0.000029484700167165993	2.4308630840443183e-11	NaN	NaN	NaN	-33017.13748151295	6.598527542547993e6	0.
-0.00002629305736556555	2.4308630840443183e-11	NaN	NaN	NaN	-36782.04415566983	7.74065565682212e6	0.
-0.00002325339755451751	2.4308630840443183e-11	NaN	NaN	NaN	-41227.61910182915	9.157492115520144e6	0.
-0.00002021373774346947	2.4308630840443183e-11	NaN	NaN	NaN	-46833.5857403179	1.103960307298921e7	0.
-0.00002933271717661359	2.4308630840443183e-11	NaN	NaN	NaN	-33179.31399334542	6.646569782235337e6	0.
-0.000026141074375013146	2.4308630840443183e-11	NaN	NaN	NaN	-36982.16618547559	7.802893200603577e6	0.
-0.000023101414563965108	2.4308630840443183e-11	NaN	NaN	NaN	-41477.13858563987	9.23907521404906e6	0.
-0.000020061754752917066	2.4308630840443183e-11	NaN	NaN	NaN	-47152.11143429314	1.1149512418316301e7	0.
-0.000029180734186061188	2.4308630840443183e-11	NaN	NaN	NaN	-33343.049424994475	6.695179550530297e6	0.
-0.000025989091384460747	2.4308630840443183e-11	NaN	NaN	NaN	-37184.40655738594	7.865942981607327e6	0.
-0.000022949431573412705	2.4308630840443183e-11	NaN	NaN	NaN	-41729.573359791786	9.321826595387863e6	0.
-0.000019909771762364663	2.4308630840443183e-11	NaN	NaN	NaN	-47474.772932936765	1.1261159257886693e7	0.
-0.000029028751195508785	2.4308630840443183e-11	NaN	NaN	NaN	-33508.36574667265	6.744371033241849e6	0.
-0.000025837108393908344	2.4308630840443183e-11	NaN	NaN	NaN	-37388.79793731507	7.929815537825331e6	0.
-0.000022797448582860302	2.4308630840443183e-11	NaN	NaN	NaN	-41984.972617324645	9.405769132493973e6	0.
-0.000019757788771812264	2.4308630840443183e-11	NaN	NaN	NaN	-47801.646818951864	1.137458250176413e7	0.
-0.000028876768204956383	2.4308630840443183e-11	NaN	NaN	NaN	-33675.285331322935	6.794149369624471e6	0.
-0.000025685125403355942	2.4308630840443183e-11	NaN	NaN	NaN	-37595.37364149778	7.994529430602928e6	0.
-0.0000226454655923079	2.4308630840443183e-11	NaN	NaN	NaN	-42243.38661183905	9.490925738236729e6	0.
-0.00001960580578125986	2.4308630840443183e-11	NaN	NaN	NaN	-48132.8114581546	1.1489815985935304e7	0.
-0.000028724785214403984	2.4308630840443183e-11	NaN	NaN	NaN	-33843.83096359326	6.8445271262901975e6	0.
-0.00002553314241280354	2.4308630840443183e-11	NaN	NaN	NaN	-37804.16765208059	8.0600980517158555e6	0.
-0.0000224934826017555	2.4308630840443183e-11	NaN	NaN	NaN	-42504.866684656045	9.577319274065865e6	0.
-0.00001945382279070746	2.4308630840443183e-11	NaN	NaN	NaN	-48468.347047677395	1.1606900473612394e7	0.
-0.00002857280222385158	2.4308630840443183e-11	NaN	NaN	NaN	-34014.02584904215	6.895513266513967e6	0.
-0.000025381159422251137	2.4308630840443183e-11	NaN	NaN	NaN	-38015.214633142394	8.126536521112424e6	0.
-0.000022341499611203098	2.4308630840443183e-11	NaN	NaN	NaN	-42769.46529275825	9.664973749405459e6	0.
-0.000019301839800155056	2.4308630840443183e-11	NaN	NaN	NaN	-48808.335665580635	1.172587555622775e7	0.
-0.00002842081923329918	2.4308630840443183e-11	NaN	NaN	NaN	-34185.89362358391	6.947117953937326e6	0.
-0.000025229176431698734	2.4308630840443183e-11	NaN	NaN	NaN	-38228.549947156425	8.193861139547681e6	0.
-0.000022189516620650695	2.4308630840443183e-11	NaN	NaN	NaN	-43037.23603753636	9.753915527652891e6	0.
-0.000019149856809602654	2.4308630840443183e-11	NaN	NaN	NaN	-49152.86132191383	1.1846779837812759e7	0.
-0.000028268836242746776	2.4308630840443183e-11	NaN	NaN	NaN	-34359.45836317944	6.999351166932261e6	0.
-0.000025077193441146335	2.4308630840443183e-11	NaN	NaN	NaN	-38444.209671906996	8.262088340892849e6	0.
-0.000022037533630098293	2.4308630840443183e-11	NaN	NaN	NaN	-43308.23369436501	9.844168644208299e6	0.
-0.000018997873819050254	2.4308630840443183e-11	NaN	NaN	NaN	-49502.01001126771	1.1969657342311453e7	0.
-0.000028116853252194373	2.4308630840443183e-11	NaN	NaN	NaN	-34534.74459378035	7.052223838605382e6	0.
-0.000024925210450593932	2.4308630840443183e-11	NaN	NaN	NaN	-38662.23061787511	8.3312320297017405e6	0.
-0.00002188555063954589	2.4308630840443183e-11	NaN	NaN	NaN	-43582.5142430348	9.93575861633879e6	0.
-0.00001884589082849785	2.4308630840443183e-11	NaN	NaN	NaN	-49855.869766857555	1.2094548294139832e7	0.
-0.00002796487026164197	2.4308630840443183e-11	NaN	NaN	NaN	-34711.77730153308	7.105745178267961e6	0.
-0.00002477322746004153	2.4308630840443183e-11	NaN	NaN	NaN	-38882.65034610756	8.401312113461217e6	0.
-0.000021733567648993488	2.4308630840443183e-11	NaN	NaN	NaN	-43860.134899065015	1.0028712612334456e7	0.
-0.00001869390783794545	2.4308630840443183e-11	NaN	NaN	NaN	-50214.53071618292	1.222149765169886e7	0.
-0.00002781288727108957	2.4308630840443183e-11	NaN	NaN	NaN	-34890.58194325194	7.159928774285646e6	0.
-0.000024621244469489127	2.4308630840443183e-11	NaN	NaN	NaN	-39105.50718658252	8.472343151898392e6	0.
-0.00002158158465844109	2.4308630840443183e-11	NaN	NaN	NaN	-44141.154145924585	1.0123058202275587e7	0.
-0.000018541924847393046	2.4308630840443183e-11	NaN	NaN	NaN	-50578.085138304894	1.235054674821822e7	0.
-0.00002766090428053717	2.4308630840443183e-11	NaN	NaN	NaN	-35071.18445716662	7.214782461638146e6	0.
-0.000024469261478936724	2.4308630840443183e-11	NaN	NaN	NaN	-39330.84025708932	8.544344623302259e6	0.
-0.000021429601667888686	2.4308630840443183e-11	NaN	NaN	NaN	-44425.63176818864	1.0218823460335815e7	0.
-0.000018389941856840644	2.4308630840443183e-11	NaN	NaN	NaN	-50946.62752278722	1.2481745683587337e7	0.
-0.000027508921289984766	2.4308630840443183e-11	NaN	NaN	NaN	-35253.611273955474	7.27031970979919e6	0.
-0.000024317278488384322	2.4308630840443183e-11	NaN	NaN	NaN	-39558.68948263538	8.617333282837434e6	0.
-0.000021277618677336283	2.4308630840443183e-11	NaN	NaN	NaN	-44713.62888565903	1.0316034866574185e7	0.
-0.00001823795886628824	2.4308630840443183e-11	NaN	NaN	NaN	-51320.2546303439	1.261514035130052e7	0.
-0.000027356938299432364	2.4308630840443183e-11	NaN	NaN	NaN	-35437.8893280699	7.3265521180329705e6	0.
-0.000018085975875735842	2.4308630840443183e-11	NaN	NaN	NaN	-51699.06555524111	1.2750776280190917e7	0.
-0.0000150463160646878	2.4308630840443183e-11	NaN	NaN	NaN	-60540.14823796548	1.6021256810391594e7	0.
-0.00001200665625363976	2.4308630840443183e-11	NaN	NaN	NaN	-72612.34486781036	2.0765047045689456e7	0.
-8.96699644259172e-6	2.4308630840443183e-11	NaN	NaN	NaN	-89705.32616134103	2.7887739177373298e7	0.
-0.00001793399288518344	2.4308630840443183e-11	NaN	NaN	NaN	-52083.16178949884	1.2888707050168293e7	0.
-0.000014894333074135398	2.4308630840443183e-11	NaN	NaN	NaN	-61055.60989493129	1.621771244628824e7	0.
-0.000011854673263087357	2.4308630840443183e-11	NaN	NaN	NaN	-73328.85074818238	2.10551073761597e7	0.
-8.815013452039317e-6	2.4308630840443183e-11	NaN	NaN	NaN	-90738.07572028843	2.8329615755976126e7	0.
-0.000017782009894631037	2.4308630840443183e-11	NaN	NaN	NaN	-52472.64728893746	1.302898067912271e7	0.
-0.000014742350083582997	2.4308630840443183e-11	NaN	NaN	NaN	-61579.17740769766	1.6417862696975132e7	0.
-0.000011702690272534956	2.4308630840443183e-11	NaN	NaN	NaN	-74057.95780309985	2.1351145183296815e7	0.
-8.663030461486915e-6	2.4308630840443183e-11	NaN	NaN	NaN	-91790.79203764799	2.8781140622838743e7	0.
-0.000017630026904078634	2.4308630840443183e-11	NaN	NaN	NaN	-52867.62854111927	1.3171647861263772e7	0.
-0.000014590367093030594	2.4308630840443183e-11	NaN	NaN	NaN	-62111.02549867722	1.6621794926077036e7	0.
-0.000011550707281982554	2.4308630840443183e-11	NaN	NaN	NaN	-74799.9561086697	2.1653304327103153e7	0.
-8.511047470934514e-6	2.4308630840443183e-11	NaN	NaN	NaN	-92863.93866295063	2.9242534781745024e7	0.
-0.00001747804391352623	2.4308630840443183e-11	NaN	NaN	NaN	-53268.21463523023	1.331676503557823e7	0.
-0.000014438384102478191	2.4308630840443183e-11	NaN	NaN	NaN	-62651.33336781357	1.6829600734614417e7	0.
-0.000011398724291430151	2.4308630840443183e-11	NaN	NaN	NaN	-75555.14307983735	2.196173688003053e7	0.
-8.359064480382111e-6	2.4308630840443183e-11	NaN	NaN	NaN	-93957.98882302892	2.971402834985185e7	0.
-0.00001732606092297383	2.4308630840443183e-11	NaN	NaN	NaN	-53674.517333950505	1.3464386466567455e7	0.
-0.00001428640111192579	2.4308630840443183e-11	NaN	NaN	NaN	-63200.28481322396	1.7041372382025894e7	0.
-0.00001124674130087775	2.4308630840443183e-11	NaN	NaN	NaN	-76323.82362864555	2.2276597504478622e7	0.
-8.207081489829708e-6	2.4308630840443183e-11	NaN	NaN	NaN	-95073.42542774421	3.0195848094964556e7	0.
-0.00001717407793242143	2.4308630840443183e-11	NaN	NaN	NaN	-54086.65114736208	1.3614567967350937e7	0.
-0.000014134418121373388	2.4308630840443183e-11	NaN	NaN	NaN	-63758.06835455486	1.725720355828109e7	0.
-0.000011094758310325348	2.4308630840443183e-11	NaN	NaN	NaN	-77106.31032205699	2.2598044998146825e7	0.
-8.055098499277307e-6	2.4308630840443183e-11	NaN	NaN	NaN	-96210.74105566062	3.068822835229011e7	0.
-0.000017022094941869027	2.4308630840443183e-11	NaN	NaN	NaN	-54504.73340894148	1.3767367955894172e7	0.
-0.000013982435130820985	2.4308630840443183e-11	NaN	NaN	NaN	-64324.87735904134	1.747719377919656e7	0.
-0.000010942775319772945	2.4308630840443183e-11	NaN	NaN	NaN	-77902.9235389029	2.2926241007008206e7	0.
-7.903115508724905e-6	2.4308630840443183e-11	NaN	NaN	NaN	-97370.43791796212	3.119140627931457e7	0.
