# Filename	binding\14600a18-01d4-4103-880b-f28a6e156e29.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T17:59:40
# Dir	-1
# field	1.2251549943583364e-11
# zi	-6.
W	field	zb	tb	argtbzt	tt	argtt
-0.000030396598110480406	1.2251549943583364e-11	NaN	NaN	NaN	-32473.386713141255	-32473.386713141255	3.141592653589793
-0.00002720495530887996	1.2251549943583364e-11	NaN	NaN	NaN	-36168.87668489763	-36168.87668489763	3.141592653589793
-0.000024165295497831922	1.2251549943583364e-11	NaN	NaN	NaN	-40548.09265548118	-40548.09265548118	3.141592653589793
-0.00002112563568678388	1.2251549943583364e-11	NaN	NaN	NaN	-46103.19377796539	-46103.19377796539	3.141592653589793
-0.000030244615119928003	1.2251549943583364e-11	NaN	NaN	NaN	-32632.376495681616	-32632.376495681616	3.141592653589793
-0.00002705297231832756	1.2251549943583364e-11	NaN	NaN	NaN	-36365.61014709808	-36365.61014709808	3.141592653589793
-0.00002401331250727952	1.2251549943583364e-11	NaN	NaN	NaN	-40794.50003792866	-40794.50003792866	3.141592653589793
-0.000020973652696231478	1.2251549943583364e-11	NaN	NaN	NaN	-46420.1447733839	-46420.1447733839	3.141592653589793
-0.0000300926321293756	1.2251549943583364e-11	NaN	NaN	NaN	-32792.91042257662	-32792.91042257662	3.141592653589793
-0.00002690098932777516	1.2251549943583364e-11	NaN	NaN	NaN	-36564.46082013028	-36564.46082013028	3.141592653589793
-0.000023861329516727117	1.2251549943583364e-11	NaN	NaN	NaN	-41043.85959519567	-41043.85959519567	3.141592653589793
-0.000020821669705679075	1.2251549943583364e-11	NaN	NaN	NaN	-46741.369502432244	-46741.369502432244	3.141592653589793
-0.000029940649138823198	1.2251549943583364e-11	NaN	NaN	NaN	-32955.01079855124	-32955.01079855124	3.141592653589793
-0.000026749006337222757	1.2251549943583364e-11	NaN	NaN	NaN	-36765.46249771236	-36765.46249771236	3.141592653589793
-0.000023709346526174715	1.2251549943583364e-11	NaN	NaN	NaN	-41296.22358709729	-41296.22358709729	3.141592653589793
-0.000020669686715126676	1.2251549943583364e-11	NaN	NaN	NaN	-47066.95263225736	-47066.95263225736	3.141592653589793
-0.000029788666148270795	1.2251549943583364e-11	NaN	NaN	NaN	-33118.70035403697	-33118.70035403697	3.141592653589793
-0.000026597023346670354	1.2251549943583364e-11	NaN	NaN	NaN	-36968.64968410442	-36968.64968410442	3.141592653589793
-0.000023557363535622312	1.2251549943583364e-11	NaN	NaN	NaN	-41551.645486927744	-41551.645486927744	3.141592653589793
-0.000020517703724574274	1.2251549943583364e-11	NaN	NaN	NaN	-47396.98101605729	-47396.98101605729	3.141592653589793
-0.000029636683157718393	1.2251549943583364e-11	NaN	NaN	NaN	-33284.00225522901	-33284.00225522901	3.141592653589793
-0.00002644504035611795	1.2251549943583364e-11	NaN	NaN	NaN	-37174.05761253682	-37174.05761253682	3.141592653589793
-0.000023405380545069913	1.2251549943583364e-11	NaN	NaN	NaN	-41810.18001604457	-41810.18001604457	3.141592653589793
-0.00002036572073402187	1.2251549943583364e-11	NaN	NaN	NaN	-47731.5437618217	-47731.5437618217	3.141592653589793
-0.000029484700167165993	1.2251549943583364e-11	NaN	NaN	NaN	-33450.9401144257	-33450.9401144257	3.141592653589793
-0.00002629305736556555	1.2251549943583364e-11	NaN	NaN	NaN	-37381.722264202865	-37381.722264202865	3.141592653589793
-0.00002325339755451751	1.2251549943583364e-11	NaN	NaN	NaN	-42071.88317961231	-42071.88317961231	3.141592653589793
-0.00002021373774346947	1.2251549943583364e-11	NaN	NaN	NaN	-48070.73230358342	-48070.73230358342	3.141592653589793
-0.00002933271717661359	1.2251549943583364e-11	NaN	NaN	NaN	-33619.53800065827	-33619.53800065827	3.141592653589793
-0.000026141074375013146	1.2251549943583364e-11	NaN	NaN	NaN	-37591.680387837405	-37591.680387837405	3.141592653589793
-0.000023101414563965108	1.2251549943583364e-11	NaN	NaN	NaN	-42336.81230354664	-42336.81230354664	3.141592653589793
-0.000020061754752917066	1.2251549943583364e-11	NaN	NaN	NaN	-48414.640475291126	-48414.640475291126	3.141592653589793
-0.000029180734186061188	1.2251549943583364e-11	NaN	NaN	NaN	-33789.82045062152	-33789.82045062152	3.141592653589793
-0.000025989091384460747	1.2251549943583364e-11	NaN	NaN	NaN	-37803.96951990006	-37803.96951990006	3.141592653589793
-0.000022949431573412705	1.2251549943583364e-11	NaN	NaN	NaN	-42605.0260727084	-42605.0260727084	3.141592653589793
-0.000019909771762364663	1.2251549943583364e-11	NaN	NaN	NaN	-48763.36458740434	-48763.36458740434	3.141592653589793
-0.000029028751195508785	1.2251549943583364e-11	NaN	NaN	NaN	-33961.812479915614	-33961.812479915614	3.141592653589793
-0.000025837108393908344	1.2251549943583364e-11	NaN	NaN	NaN	-38018.62800538585	-38018.62800538585	3.141592653589793
-0.000022797448582860302	1.2251549943583364e-11	NaN	NaN	NaN	-42876.58457039374	-42876.58457039374	3.141592653589793
-0.000019757788771812264	1.2251549943583364e-11	NaN	NaN	NaN	-49117.00350632869	-49117.00350632869	3.141592653589793
-0.000028876768204956383	1.2251549943583364e-11	NaN	NaN	NaN	-34135.539594606285	-34135.539594606285	3.141592653589793
-0.000025685125403355942	1.2251549943583364e-11	NaN	NaN	NaN	-38235.695019284896	-38235.695019284896	3.141592653589793
-0.0000226454655923079	1.2251549943583364e-11	NaN	NaN	NaN	-43151.549319169586	-43151.549319169586	3.141592653589793
-0.00001960580578125986	1.2251549943583364e-11	NaN	NaN	NaN	-49475.658736805286	-49475.658736805286	3.141592653589793
-0.000028724785214403984	1.2251549943583364e-11	NaN	NaN	NaN	-34311.02780311901	-34311.02780311901	3.141592653589793
-0.00002553314241280354	1.2251549943583364e-11	NaN	NaN	NaN	-38455.210588715	-38455.210588715	3.141592653589793
-0.0000224934826017555	1.2251549943583364e-11	NaN	NaN	NaN	-43429.98332310769	-43429.98332310769	3.141592653589793
-0.00001945382279070746	1.2251549943583364e-11	NaN	NaN	NaN	-49839.43450737984	-49839.43450737984	3.141592653589793
-0.00002857280222385158	1.2251549943583364e-11	NaN	NaN	NaN	-34488.30362847261	-34488.30362847261	3.141592653589793
-0.000025381159422251137	1.2251549943583364e-11	NaN	NaN	NaN	-38677.2156157503	-38677.2156157503	3.141592653589793
-0.000022341499611203098	1.2251549943583364e-11	NaN	NaN	NaN	-43711.951111473136	-43711.951111473136	3.141592653589793
-0.000019301839800155056	1.2251549943583364e-11	NaN	NaN	NaN	-50208.43785907793	-50208.43785907793	3.141592653589793
-0.00002842081923329918	1.2251549943583364e-11	NaN	NaN	NaN	-34667.39412086729	-34667.39412086729	3.141592653589793
-0.000025229176431698734	1.2251549943583364e-11	NaN	NaN	NaN	-38901.751900972005	-38901.751900972005	3.141592653589793
-0.000022189516620650695	1.2251549943583364e-11	NaN	NaN	NaN	-43997.518783918764	-43997.518783918764	3.141592653589793
-0.000019149856809602654	1.2251549943583364e-11	NaN	NaN	NaN	-50582.778737421104	-50582.778737421104	3.141592653589793
-0.000028268836242746776	1.2251549943583364e-11	NaN	NaN	NaN	-34848.32687063794	-34848.32687063794	3.141592653589793
-0.000025077193441146335	1.2251549943583364e-11	NaN	NaN	NaN	-39128.86216776671	-39128.86216776671	3.141592653589793
-0.000022037533630098293	1.2251549943583364e-11	NaN	NaN	NaN	-44286.754057251965	-44286.754057251965	3.141592653589793
