# Filename	binding\17b92b55-72d5-4d9d-90bf-a89ce0922e3c.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T18:02:06
# Dir	-1
# field	2.6447790354402183e-11
# zi	-6.
W	field	zb	tb	argtbzt	tt	argtt
-0.000030396598110480406	2.6447790354402183e-11	NaN	NaN	NaN	-32007.05288465506	-32007.05288465506	3.141592653589793
-0.00002720495530887996	2.6447790354402183e-11	NaN	NaN	NaN	-35530.71352744422	-35530.71352744422	3.141592653589793
-0.000024165295497831922	2.6447790354402183e-11	NaN	NaN	NaN	-39660.16138672906	-39660.16138672906	3.141592653589793
-0.00002112563568678388	2.6447790354402183e-11	NaN	NaN	NaN	-44820.84397243832	-44820.84397243832	3.141592653589793
-0.000030244615119928003	2.6447790354402183e-11	NaN	NaN	NaN	-32159.346954251305	-32159.346954251305	3.141592653589793
-0.00002705297231832756	2.6447790354402183e-11	NaN	NaN	NaN	-35717.325938908965	-35717.325938908965	3.141592653589793
-0.00002401331250727952	2.6447790354402183e-11	NaN	NaN	NaN	-39890.953938205996	-39890.953938205996	3.141592653589793
-0.000020973652696231478	2.6447790354402183e-11	NaN	NaN	NaN	-45112.55131298092	-45112.55131298092	3.141592653589793
-0.0000300926321293756	2.6447790354402183e-11	NaN	NaN	NaN	-32313.058093497955	-32313.058093497955	3.141592653589793
-0.00002690098932777516	2.6447790354402183e-11	NaN	NaN	NaN	-35905.84395450232	-35905.84395450232	3.141592653589793
-0.000023861329516727117	2.6447790354402183e-11	NaN	NaN	NaN	-40124.33794860817	-40124.33794860817	3.141592653589793
-0.000020821669705679075	2.6447790354402183e-11	NaN	NaN	NaN	-45407.8829235828	-45407.8829235828	3.141592653589793
-0.000029940649138823198	2.6447790354402183e-11	NaN	NaN	NaN	-32468.20561962885	-32468.20561962885	3.141592653589793
-0.000026749006337222757	2.6447790354402183e-11	NaN	NaN	NaN	-36096.295902853926	-36096.295902853926	3.141592653589793
-0.000023709346526174715	2.6447790354402183e-11	NaN	NaN	NaN	-40360.35542338484	-40360.35542338484	3.141592653589793
-0.000020669686715126676	2.6447790354402183e-11	NaN	NaN	NaN	-45706.903022450664	-45706.903022450664	3.141592653589793
-0.000029788666148270795	2.6447790354402183e-11	NaN	NaN	NaN	-32624.80919210095	-32624.80919210095	3.141592653589793
-0.000026597023346670354	2.6447790354402183e-11	NaN	NaN	NaN	-36288.71065587797	-36288.71065587797	3.141592653589793
-0.000023557363535622312	2.6447790354402183e-11	NaN	NaN	NaN	-40599.04923746717	-40599.04923746717	3.141592653589793
-0.000020517703724574274	2.6447790354402183e-11	NaN	NaN	NaN	-46009.67725878374	-46009.67725878374	3.141592653589793
-0.000029636683157718393	2.6447790354402183e-11	NaN	NaN	NaN	-32782.88881995813	-32782.88881995813	3.141592653589793
-0.00002644504035611795	2.6447790354402183e-11	NaN	NaN	NaN	-36483.11764130985	-36483.11764130985	3.141592653589793
-0.000023405380545069913	2.6447790354402183e-11	NaN	NaN	NaN	-40840.4631566337	-40840.4631566337	3.141592653589793
-0.00002036572073402187	2.6447790354402183e-11	NaN	NaN	NaN	-46316.27274981035	-46316.27274981035	3.141592653589793
-0.000029484700167165993	2.6447790354402183e-11	NaN	NaN	NaN	-32942.4648693766	-32942.4648693766	3.141592653589793
-0.00002629305736556555	2.6447790354402183e-11	NaN	NaN	NaN	-36679.54685557391	-36679.54685557391	3.141592653589793
-0.00002325339755451751	2.6447790354402183e-11	NaN	NaN	NaN	-41084.64185946697	-41084.64185946697	3.141592653589793
-0.00002021373774346947	2.6447790354402183e-11	NaN	NaN	NaN	-46626.758118862126	-46626.758118862126	3.141592653589793
-0.00002933271717661359	2.6447790354402183e-11	NaN	NaN	NaN	-33103.55807140123	-33103.55807140123	3.141592653589793
-0.000026141074375013146	2.6447790354402183e-11	NaN	NaN	NaN	-36878.02887699251	-36878.02887699251	3.141592653589793
-0.000023101414563965108	2.6447790354402183e-11	NaN	NaN	NaN	-41331.63095991472	-41331.63095991472	3.141592653589793
-0.000020061754752917066	2.6447790354402183e-11	NaN	NaN	NaN	-46941.203534514265	-46941.203534514265	3.141592653589793
-0.000029180734186061188	2.6447790354402183e-11	NaN	NaN	NaN	-33266.18952987449	-33266.18952987449	3.141592653589793
-0.000025989091384460747	2.6447790354402183e-11	NaN	NaN	NaN	-37078.59487934602	-37078.59487934602	3.141592653589793
-0.000022949431573412705	2.6447790354402183e-11	NaN	NaN	NaN	-41581.4770304776	-41581.4770304776	3.141592653589793
-0.000019909771762364663	2.6447790354402183e-11	NaN	NaN	NaN	-47259.68075082034	-47259.68075082034	3.141592653589793
-0.000029028751195508785	2.6447790354402183e-11	NaN	NaN	NaN	-33430.3807295664	-33430.3807295664	3.141592653589793
-0.000025837108393908344	2.6447790354402183e-11	NaN	NaN	NaN	-37281.27664579352	-37281.27664579352	3.141592653589793
-0.000022797448582860302	2.6447790354402183e-11	NaN	NaN	NaN	-41834.22762603822	-41834.22762603822	3.141592653589793
-0.000019757788771812264	2.6447790354402183e-11	NaN	NaN	NaN	-47582.26314867289	-47582.26314867289	3.141592653589793
-0.000028876768204956383	2.6447790354402183e-11	NaN	NaN	NaN	-33596.15354450834	-33596.15354450834	3.141592653589793
-0.000025685125403355942	2.6447790354402183e-11	NaN	NaN	NaN	-37486.10658316516	-37486.10658316516	3.141592653589793
-0.0000226454655923079	2.6447790354402183e-11	NaN	NaN	NaN	-42089.93130835233	-42089.93130835233	3.141592653589793
-0.00001960580578125986	2.6447790354402183e-11	NaN	NaN	NaN	-47909.02577831781	-47909.02577831781	3.141592653589793
-0.000028724785214403984	2.6447790354402183e-11	NaN	NaN	NaN	-33763.53024653823	-33763.53024653823	3.141592653589793
-0.00002553314241280354	2.6447790354402183e-11	NaN	NaN	NaN	-37693.1177366374	-37693.1177366374	3.141592653589793
-0.0000224934826017555	2.6447790354402183e-11	NaN	NaN	NaN	-42348.637671220335	-42348.637671220335	3.141592653589793
-0.00001945382279070746	2.6447790354402183e-11	NaN	NaN	NaN	-48240.04540305519	-48240.04540305519	3.141592653589793
-0.00002857280222385158	2.6447790354402183e-11	NaN	NaN	NaN	-33932.53351406393	-33932.53351406393	3.141592653589793
-0.000025381159422251137	2.6447790354402183e-11	NaN	NaN	NaN	-37902.34380480101	-37902.34380480101	3.141592653589793
-0.000022341499611203098	2.6447790354402183e-11	NaN	NaN	NaN	-42610.39736635996	-42610.39736635996	3.141592653589793
-0.000019301839800155056	2.6447790354402183e-11	NaN	NaN	NaN	-48575.400544156575	-48575.400544156575	3.141592653589793
-0.00002842081923329918	2.6447790354402183e-11	NaN	NaN	NaN	-34103.18644104753	-34103.18644104753	3.141592653589793
-0.000025229176431698734	2.6447790354402183e-11	NaN	NaN	NaN	-38113.819155134755	-38113.819155134755	3.141592653589793
-0.000022189516620650695	2.6447790354402183e-11	NaN	NaN	NaN	-42875.26212999915	-42875.26212999915	3.141592653589793
-0.000019149856809602654	2.6447790354402183e-11	NaN	NaN	NaN	-48915.17152703122	-48915.17152703122	3.141592653589793
-0.000028268836242746776	2.6447790354402183e-11	NaN	NaN	NaN	-34275.512546220794	-34275.512546220794	3.141592653589793
-0.000025077193441146335	2.6447790354402183e-11	NaN	NaN	NaN	-38327.57883989594	-38327.57883989594	3.141592653589793
-0.000022037533630098293	2.6447790354402183e-11	NaN	NaN	NaN	-43143.28481021096	-43143.28481021096	3.141592653589793
-0.000018997873819050254	2.6447790354402183e-11	NaN	NaN	NaN	-49259.440528673265	-49259.440528673265	3.141592653589793
-0.000028116853252194373	2.6447790354402183e-11	NaN	NaN	NaN	-34449.53578253561	-34449.53578253561	3.141592653589793
-0.000024925210450593932	2.6447790354402183e-11	NaN	NaN	NaN	-38543.658612439394	-38543.658612439394	3.141592653589793
-0.00002188555063954589	2.6447790354402183e-11	NaN	NaN	NaN	-43414.51939501171	-43414.51939501171	3.141592653589793
-0.00001884589082849785	2.6447790354402183e-11	NaN	NaN	NaN	-49608.29162642176	-49608.29162642176	3.141592653589793
-0.00002796487026164197	2.6447790354402183e-11	NaN	NaN	NaN	-34625.28054685765	-34625.28054685765	3.141592653589793
-0.00002477322746004153	2.6447790354402183e-11	NaN	NaN	NaN	-38762.094943979144	-38762.094943979144	3.141592653589793
-0.000021733567648993488	2.6447790354402183e-11	NaN	NaN	NaN	-43689.02104124433	-43689.02104124433	3.141592653589793
-0.00001869390783794545	2.6447790354402183e-11	NaN	NaN	NaN	-49961.81084806808	-49961.81084806808	3.141592653589793
-0.00002781288727108957	2.6447790354402183e-11	NaN	NaN	NaN	-34802.7716899088	-34802.7716899088	3.141592653589793
-0.000024621244469489127	2.6447790354402183e-11	NaN	NaN	NaN	-38982.925040803675	-38982.925040803675	3.141592653589793
-0.00002158158465844109	2.6447790354402183e-11	NaN	NaN	NaN	-43966.84610426936	-43966.84610426936	3.141592653589793
-0.000018541924847393046	2.6447790354402183e-11	NaN	NaN	NaN	-50320.08622334319	-50320.08622334319	3.141592653589793
-0.00002766090428053717	2.6447790354402183e-11	NaN	NaN	NaN	-34982.03452646697	-34982.03452646697	3.141592653589793
-0.000024469261478936724	2.6447790354402183e-11	NaN	NaN	NaN	-39206.18686195961	-39206.18686195961	3.141592653589793
-0.000021429601667888686	2.6447790354402183e-11	NaN	NaN	NaN	-44248.052168487055	-44248.052168487055	3.141592653589793
-0.000018389941856840644	2.6447790354402183e-11	NaN	NaN	NaN	-50683.20783681784	-50683.20783681784	3.141592653589793
-0.000027508921289984766	2.6447790354402183e-11	NaN	NaN	NaN	-35163.094845829444	-35163.094845829444	3.141592653589793
-0.000024317278488384322	2.6447790354402183e-11	NaN	NaN	NaN	-39431.9191374167	-39431.9191374167	3.141592653589793
-0.000021277618677336283	2.6447790354402183e-11	NaN	NaN	NaN	-44532.6980787138	-44532.6980787138	3.141592653589793
-0.00001823795886628824	2.6447790354402183e-11	NaN	NaN	NaN	-51051.26788225158	-51051.26788225158	3.141592653589793
-0.000027356938299432364	2.6447790354402183e-11	NaN	NaN	NaN	-35345.9789225483	-35345.9789225483	3.141592653589793
-0.000018085975875735842	2.6447790354402183e-11	NaN	NaN	NaN	-51424.36071842245	-51424.36071842245	3.141592653589793
-0.0000150463160646878	2.6447790354402183e-11	NaN	NaN	NaN	-60110.244993703	-60110.244993703	3.141592653589793
-0.00001200665625363976	2.6447790354402183e-11	NaN	NaN	NaN	-71899.78835142517	-71899.78835142517	3.141592653589793
-8.96699644259172e-6	2.6447790354402183e-11	NaN	NaN	NaN	-88446.88216351591	-88446.88216351591	3.141592653589793
-0.00001793399288518344	2.6447790354402183e-11	NaN	NaN	NaN	-51802.58292647381	-51802.58292647381	3.141592653589793
-0.000014894333074135398	2.6447790354402183e-11	NaN	NaN	NaN	-60615.33729761461	-60615.33729761461	3.141592653589793
-0.000011854673263087357	2.6447790354402183e-11	NaN	NaN	NaN	-72596.8630145751	-72596.8630145751	3.141592653589793
-8.815013452039317e-6	2.6447790354402183e-11	NaN	NaN	NaN	-89441.1618330624	-89441.1618330624	3.141592653589793
-0.000017782009894631037	2.6447790354402183e-11	NaN	NaN	NaN	-52186.033368810764	-52186.033368810764	3.141592653589793
-0.000014742350083582997	2.6447790354402183e-11	NaN	NaN	NaN	-61128.219972224004	-61128.219972224004	3.141592653589793
-0.000011702690272534956	2.6447790354402183e-11	NaN	NaN	NaN	-73305.88794376576	-73305.88794376576	3.141592653589793
-8.663030461486915e-6	2.6447790354402183e-11	NaN	NaN	NaN	-90454.02796217485	-90454.02796217485	3.141592653589793
-0.000017630026904078634	2.6447790354402183e-11	NaN	NaN	NaN	-52574.81324958173	-52574.81324958173	3.141592653589793
-0.000014590367093030594	2.6447790354402183e-11	NaN	NaN	NaN	-61649.056477175625	-61649.056477175625	3.141592653589793
-0.000011550707281982554	2.6447790354402183e-11	NaN	NaN	NaN	-74027.12849814795	-74027.12849814795	3.141592653589793
-8.511047470934514e-6	2.6447790354402183e-11	NaN	NaN	NaN	-91485.89156266961	-91485.89156266961	3.141592653589793
-0.00001747804391352623	2.6447790354402183e-11	NaN	NaN	NaN	-52969.02617677901	-52969.02617677901	3.141592653589793
-0.000014438384102478191	2.6447790354402183e-11	NaN	NaN	NaN	-62178.014302963624	-62178.014302963624	3.141592653589793
-0.000011398724291430151	2.6447790354402183e-11	NaN	NaN	NaN	-74760.85638639507	-74760.85638639507	3.141592653589793
-8.359064480382111e-6	2.6447790354402183e-11	NaN	NaN	NaN	-92537.17146897303	-92537.17146897303	3.141592653589793
-0.00001732606092297383	2.6447790354402183e-11	NaN	NaN	NaN	-53368.778225991635	-53368.778225991635	3.141592653589793
-0.00001428640111192579	2.6447790354402183e-11	NaN	NaN	NaN	-62715.265072931805	-62715.265072931805	3.141592653589793
-0.00001124674130087775	2.6447790354402183e-11	NaN	NaN	NaN	-75507.34978731925	-75507.34978731925	3.141592653589793
-8.207081489829708e-6	2.6447790354402183e-11	NaN	NaN	NaN	-93608.29430419937	-93608.29430419937	3.141592653589793
-0.00001717407793242143	2.6447790354402183e-11	NaN	NaN	NaN	-53774.17800584532	-53774.17800584532	3.141592653589793
-0.000014134418121373388	2.6447790354402183e-11	NaN	NaN	NaN	-63260.98464722871	-63260.98464722871	3.141592653589793
-0.000011094758310325348	2.6447790354402183e-11	NaN	NaN	NaN	-76266.89346903433	-76266.89346903433	3.141592653589793
-8.055098499277307e-6	2.6447790354402183e-11	NaN	NaN	NaN	-94699.69442829791	-94699.69442829791	3.141592653589793
-0.000017022094941869027	2.6447790354402183e-11	NaN	NaN	NaN	-54185.336725161076	-54185.336725161076	3.141592653589793
-0.000013982435130820985	2.6447790354402183e-11	NaN	NaN	NaN	-63815.35322868348	-63815.35322868348	3.141592653589793
-0.000010942775319772945	2.6447790354402183e-11	NaN	NaN	NaN	-77039.77890625427	-77039.77890625427	3.141592653589793
-7.903115508724905e-6	2.6447790354402183e-11	NaN	NaN	NaN	-95811.81386695194	-95811.81386695194	3.141592653589793
