# Filename	binding\1a470b64-e85e-4dc5-a6bc-01156fe04995.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T18:03:02
# Dir	-1
# field	3.189292366266145e-11
# zi	-6.
W	field	zb	tb	argtbzt	tt	argtt
-0.000030396598110480406	3.189292366266145e-11	NaN	NaN	NaN	-31835.05755384472	-31835.05755384472	3.141592653589793
-0.00002720495530887996	3.189292366266145e-11	NaN	NaN	NaN	-35297.40717272949	-35297.40717272949	3.141592653589793
-0.000024165295497831922	3.189292366266145e-11	NaN	NaN	NaN	-39339.19965326724	-39339.19965326724	3.141592653589793
-0.00002112563568678388	3.189292366266145e-11	NaN	NaN	NaN	-44364.49167795446	-44364.49167795446	3.141592653589793
-0.000030244615119928003	3.189292366266145e-11	NaN	NaN	NaN	-31984.945534417042	-31984.945534417042	3.141592653589793
-0.00002705297231832756	3.189292366266145e-11	NaN	NaN	NaN	-35480.435265631895	-35480.435265631895	3.141592653589793
-0.00002401331250727952	3.189292366266145e-11	NaN	NaN	NaN	-39564.56481847891	-39564.56481847891	3.141592653589793
-0.000020973652696231478	3.189292366266145e-11	NaN	NaN	NaN	-44647.64738496354	-44647.64738496354	3.141592653589793
-0.0000300926321293756	3.189292366266145e-11	NaN	NaN	NaN	-32136.20639865768	-32136.20639865768	3.141592653589793
-0.00002690098932777516	3.189292366266145e-11	NaN	NaN	NaN	-35665.296980974905	-35665.296980974905	3.141592653589793
-0.000023861329516727117	3.189292366266145e-11	NaN	NaN	NaN	-39792.4021455294	-39792.4021455294	3.141592653589793
-0.000020821669705679075	3.189292366266145e-11	NaN	NaN	NaN	-44934.22070696668	-44934.22070696668	3.141592653589793
-0.000029940649138823198	3.189292366266145e-11	NaN	NaN	NaN	-32288.85846603116	-32288.85846603116	3.141592653589793
