# Filename	binding\1df55177-67c1-4840-92f1-305d841a9894.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:02:51
# Dir	-1
# field	3.889380934470909e-13
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	3.889380934470909e-13	NaN	NaN	NaN	-32884.581372827386	6.622535848270083e6	0.
-0.00002720495530887996	3.889380934470909e-13	NaN	NaN	NaN	-36738.712711265376	7.819965654334271e6	0.
-0.000024165295497831922	3.889380934470909e-13	NaN	NaN	NaN	-41354.133328533	9.338444094447002e6	0.
-0.00002112563568678388	3.889380934470909e-13	NaN	NaN	NaN	-47294.67285623201	1.142039835369288e7	0.
-0.000030244615119928003	3.889380934470909e-13	NaN	NaN	NaN	-33049.690529726264	6.672464937477192e6	0.
-0.00002705297231832756	3.889380934470909e-13	NaN	NaN	NaN	-36944.89155969513	7.885869957661698e6	0.
-0.00002401331250727952	3.889380934470909e-13	NaN	NaN	NaN	-41615.517091562855	9.427092473467091e6	0.
-0.000020973652696231478	3.889380934470909e-13	NaN	NaN	NaN	-47636.78561441722	1.1544484786518129e7	0.
-0.0000300926321293756	3.889380934470909e-13	NaN	NaN	NaN	-33216.46532107959	6.723022672419658e6	0.
-0.00002690098932777516	3.889380934470909e-13	NaN	NaN	NaN	-37153.39638459618	7.952704014454868e6	0.
-0.000023861329516727117	3.889380934470909e-13	NaN	NaN	NaN	-41880.22382015114	9.517150187559916e6	0.
-0.000020821669705679075	3.889380934470909e-13	NaN	NaN	NaN	-47983.87941819599	1.1670831527796047e7	0.
-0.000029940649138823198	3.889380934470909e-13	NaN	NaN	NaN	-33384.931068278944	6.774224191655733e6	0.
-0.000026749006337222757	3.889380934470909e-13	NaN	NaN	NaN	-37364.26674799767	8.02048631043266e6	0.
-0.000023709346526174715	3.889380934470909e-13	NaN	NaN	NaN	-42148.317242782854	9.608648804492012e6	0.
-0.000020669686715126676	3.889380934470909e-13	NaN	NaN	NaN	-48336.06374923243	1.1799497617582072e7	0.
-0.000029788666148270795	3.889380934470909e-13	NaN	NaN	NaN	-33555.11360832969	6.826076159129751e6	0.
-0.000026597023346670354	3.889380934470909e-13	NaN	NaN	NaN	-37577.54311375519	8.089236711049153e6	0.
-0.000023557363535622312	3.889380934470909e-13	NaN	NaN	NaN	-42419.86272687504	9.7016240092322e6	0.
-0.000020517703724574274	3.889380934470909e-13	NaN	NaN	NaN	-48693.451318372034	1.193054414362752e7	0.
-0.000029636683157718393	3.889380934470909e-13	NaN	NaN	NaN	-33727.03930709633	6.8785939798080055e6	0.
-0.00002644504035611795	3.889380934470909e-13	NaN	NaN	NaN	-37793.26687337084	8.158974774522586e6	0.
-0.000023405380545069913	3.889380934470909e-13	NaN	NaN	NaN	-42694.927331754225	9.796105743512308e6	0.
-0.00002036572073402187	3.889380934470909e-13	NaN	NaN	NaN	-49056.158185473476	1.2064031877755187e7	0.
-0.000029484700167165993	3.889380934470909e-13	NaN	NaN	NaN	-33900.735072848554	6.931786977451034e6	0.
-0.00002629305736556555	3.889380934470909e-13	NaN	NaN	NaN	-38011.48037272367	8.22972116607652e6	0.
-0.00002325339755451751	3.889380934470909e-13	NaN	NaN	NaN	-42973.57986373753	9.892131356453106e6	0.
-0.00002021373774346947	3.889380934470909e-13	NaN	NaN	NaN	-49424.30388461517	1.2200025565134542e7	0.
-0.00002933271717661359	3.889380934470909e-13	NaN	NaN	NaN	-34076.22837031241	6.985671685881394e6	0.
-0.000026141074375013146	3.889380934470909e-13	NaN	NaN	NaN	-38232.2269397061	8.301494873440204e6	0.
-0.000023101414563965108	3.889380934470909e-13	NaN	NaN	NaN	-43255.89093333065	9.989733666042488e6	0.
-0.000020061754752917066	3.889380934470909e-13	NaN	NaN	NaN	-49798.01155493376	1.233859015895807e7	0.
-0.000029180734186061188	3.889380934470909e-13	NaN	NaN	NaN	-34253.54723507871	7.040255300458958e6	0.
-0.000025989091384460747	3.889380934470909e-13	NaN	NaN	NaN	-38455.550912862105	8.374315998711704e6	0.
-0.000022949431573412705	3.889380934470909e-13	NaN	NaN	NaN	-43541.93301472565	1.0088950541392691e7	0.
-0.000019909771762364663	3.889380934470909e-13	NaN	NaN	NaN	-50177.40807745579	1.2479796399539577e7	0.
-0.000029028751195508785	3.889380934470909e-13	NaN	NaN	NaN	-34432.720288555865	7.095553556936267e6	0.
-0.000025837108393908344	3.889380934470909e-13	NaN	NaN	NaN	-38681.497670996665	8.448208359900039e6	0.
-0.000022797448582860302	3.889380934470909e-13	NaN	NaN	NaN	-43831.78050764196	1.0189819555045431e7	0.
-0.000019757788771812264	3.889380934470909e-13	NaN	NaN	NaN	-50562.62421814065	1.2623713362086652e7	0.
-0.000028876768204956383	3.889380934470909e-13	NaN	NaN	NaN	-34613.776753314734	7.151580393863073e6	0.
-0.000025685125403355942	3.889380934470909e-13	NaN	NaN	NaN	-38910.113663839395	8.523192469010908e6	0.
-0.0000226454655923079	3.889380934470909e-13	NaN	NaN	NaN	-44125.50980165891	1.029238078524421e7	0.
-0.00001960580578125986	3.889380934470909e-13	NaN	NaN	NaN	-50953.79477759182	1.2770414921534825e7	0.
-0.000028724785214403984	3.889380934470909e-13	NaN	NaN	NaN	-34796.74646894743	7.208346658949514e6	0.
-0.00002553314241280354	3.889380934470909e-13	NaN	NaN	NaN	-39141.44644382742	8.599293032284653e6	0.
-0.0000224934826017555	3.889380934470909e-13	NaN	NaN	NaN	-44423.199343118016	1.0396671218697341e7	0.
-0.00001945382279070746	3.889380934470909e-13	NaN	NaN	NaN	-51351.05874770672	1.2919977297754424e7	0.
-0.00002857280222385158	3.889380934470909e-13	NaN	NaN	NaN	-34981.65990844008	7.265868037323345e6	0.
-0.000025381159422251137	3.889380934470909e-13	NaN	NaN	NaN	-39375.544698972924	8.676531531344365e6	0.
-0.000022341499611203098	3.889380934470909e-13	NaN	NaN	NaN	-44724.92970479544	1.0502734123382138e7	0.
-0.000019301839800155056	3.889380934470909e-13	NaN	NaN	NaN	-51754.55947566571	1.3072477679472243e7	0.
-0.00002842081923329918	3.889380934470909e-13	NaN	NaN	NaN	-35168.54819506392	7.324158974283963e6	0.
-0.000025229176431698734	3.889380934470909e-13	NaN	NaN	NaN	-39612.45828696761	8.754932360428318e6	0.
-0.000022189516620650695	3.889380934470909e-13	NaN	NaN	NaN	-45030.78365834899	1.06106109703154e7	0.
-0.000019149856809602654	3.889380934470909e-13	NaN	NaN	NaN	-52164.44483570032	1.3228000456324384e7	0.
-0.000028268836242746776	3.889380934470909e-13	NaN	NaN	NaN	-35357.44311978469	7.3832320005979845e6	0.
-0.000025077193441146335	3.889380934470909e-13	NaN	NaN	NaN	-39852.2382704937	8.834520106033457e6	-1.5827815611995622e-7
-0.000022037533630098293	3.889380934470909e-13	NaN	NaN	NaN	-45340.84624980973	1.0720345626996756e7	0.
-0.000018997873819050254	3.889380934470909e-13	NaN	NaN	NaN	-52580.86740901941	1.3386626392526152e7	0.
-0.000028116853252194373	3.889380934470909e-13	NaN	NaN	NaN	-35548.377159286225	7.443102753131094e6	0.
-0.000024925210450593932	3.889380934470909e-13	NaN	NaN	NaN	-40094.936953815486	8.915321264484642e6	0.
-0.00002188555063954589	3.889380934470909e-13	NaN	NaN	NaN	-45655.204878166	1.083198415932568e7	0.
-0.00001884589082849785	3.889380934470909e-13	NaN	NaN	NaN	-53003.98467240313	1.3548446367547743e7	0.
-0.00002796487026164197	3.889380934470909e-13	NaN	NaN	NaN	-35741.38349452967	7.503787815266989e6	0.
-0.00002477322746004153	3.889380934470909e-13	NaN	NaN	NaN	-40340.607920734226	8.997359556651935e6	0.
-0.000021733567648993488	3.889380934470909e-13	NaN	NaN	NaN	-45973.949377240344	1.0945571013517648e7	0.
-0.00001869390783794545	3.889380934470909e-13	NaN	NaN	NaN	-53433.959195900075	1.371354928191938e7	0.
-0.00002781288727108957	3.889380934470909e-13	NaN	NaN	NaN	-35936.49602993569	7.565301206491116e6	0.
-0.000024621244469489127	3.889380934470909e-13	NaN	NaN	NaN	-40589.306073923675	9.080664071976528e6	0.
-0.00002158158465844109	3.889380934470909e-13	NaN	NaN	NaN	-46297.172100994336	1.1061155752078103e7	0.
-0.000018541924847393046	3.889380934470909e-13	NaN	NaN	NaN	-53870.95885018086	1.3882027422308529e7	0.
-0.00002766090428053717	3.889380934470909e-13	NaN	NaN	NaN	-36133.74941321558	7.6276597222212395e6	0.
-0.000024469261478936724	3.889380934470909e-13	NaN	NaN	NaN	-40841.08767573355	9.165261143950148e6	0.
-0.000021429601667888686	3.889380934470909e-13	NaN	NaN	NaN	-46624.96801246152	1.1178787741520569e7	0.
-0.000018389941856840644	3.889380934470909e-13	NaN	NaN	NaN	-54315.15702412738	1.405398161948703e7	0.
-0.000027508921289984766	3.889380934470909e-13	NaN	NaN	NaN	-36333.17905582522	7.690877736748795e6	-2.0892678574178774e-7
-0.000024317278488384322	3.889380934470909e-13	NaN	NaN	NaN	-41096.01039051307	9.251177792809043e6	0.
-0.000021277618677336283	3.889380934470909e-13	NaN	NaN	NaN	-46957.434776448106	1.1298517778082808e7	0.
-0.00001823795886628824	3.889380934470909e-13	NaN	NaN	NaN	-54766.732853141235	1.4229510988938738e7	0.
-0.000027356938299432364	3.889380934470909e-13	NaN	NaN	NaN	-36534.82115413344	7.7549740065031545e6	0.
-8.96699644259172e-6	3.889380934470909e-13	NaN	NaN	NaN	-110985.78298774593	4.099464817127758e7	0.
-0.000018085975875735842	3.889380934470909e-13	NaN	NaN	NaN	-55225.871458942354	1.4408719227082685e7	0.
-0.0000150463160646878	3.889380934470909e-13	NaN	NaN	NaN	-66347.66181070021	1.8969874091848098e7	-1.923924786686803e-7
-0.00001200665625363976	3.889380934470909e-13	NaN	NaN	NaN	-83063.63357214043	2.6563456646800756e7	0.
-8.815013452039317e-6	3.889380934470909e-13	NaN	NaN	NaN	-112880.6147960701	4.204636058382008e7	-1.0563118943415038e-7
-0.00001793399288518344	3.889380934470909e-13	NaN	NaN	NaN	-55692.76420142822	1.4591716774192674e7	0.
-0.000014894333074135398	3.889380934470909e-13	NaN	NaN	NaN	-67022.32909621653	1.9259703824368943e7	0.
-0.000011854673263087357	3.889380934470909e-13	NaN	NaN	NaN	-84122.74253602077	2.707242944766559e7	0.
-8.663030461486915e-6	3.889380934470909e-13	NaN	NaN	NaN	-114840.93443140437	4.3143590630685724e7	-1.195926369328881e-7
-0.000017782009894631037	3.889380934470909e-13	NaN	NaN	NaN	-56167.608943343024	1.4778616459317079e7	0.
-0.000014742350083582997	3.889380934470909e-13	NaN	NaN	NaN	-67710.83359839089	1.9556977310697332e7	0.
-0.000011702690272534956	3.889380934470909e-13	NaN	NaN	NaN	-85209.13177724316	2.7597807082621727e7	0.
-8.511047470934514e-6	3.889380934470909e-13	NaN	NaN	NaN	-116870.17826574491	4.4289127250078425e7	-1.6534590147981228e-7
-0.000017630026904078634	3.889380934470909e-13	NaN	NaN	NaN	-56650.61032851024	1.4969535287438208e7	0.
-0.000014590367093030594	3.889380934470909e-13	NaN	NaN	NaN	-68413.60464054908	1.9861961805746235e7	0.
-0.000011550707281982554	3.889380934470909e-13	NaN	NaN	NaN	-86323.86597181579	2.8140356778864264e7	0.
-8.359064480382111e-6	3.889380934470909e-13	NaN	NaN	NaN	-118972.02601601333	4.5485987903291136e7	0.
-0.00001747804391352623	3.889380934470909e-13	NaN	NaN	NaN	-57141.98007448225	1.5164595114354523e7	0.
-0.000014438384102478191	3.889380934470909e-13	NaN	NaN	NaN	-69131.08945880443	2.0174941207824014e7	-1.4530760014562518e-7
-0.000011398724291430151	3.889380934470909e-13	NaN	NaN	NaN	-87468.06575999147	2.8700867153868135e7	0.
-8.207081489829708e-6	3.889380934470909e-13	NaN	NaN	NaN	-121150.42254442527	4.673742239239134e7	0.
-0.00001732606092297383	3.889380934470909e-13	NaN	NaN	NaN	-57641.937280438986	1.5363922009517923e7	0.
-0.00001428640111192579	3.889380934470909e-13	NaN	NaN	NaN	-69863.75414432175	2.0496212532579847e7	-2.2718935456955083e-7
-0.00001124674130087775	3.889380934470909e-13	NaN	NaN	NaN	-88642.91146088492	2.9280174567310832e7	-1.267072375449804e-7
-8.055098499277307e-6	3.889380934470909e-13	NaN	NaN	NaN	-123409.60203043206	4.804698221605207e7	0.
-0.00001717407793242143	3.889380934470909e-13	NaN	NaN	NaN	-58150.70875128951	1.5567649699475627e7	0.
-0.000014134418121373388	3.889380934470909e-13	NaN	NaN	NaN	-70612.08464558214	2.0826087695788145e7	0.
-0.000011094758310325348	3.889380934470909e-13	NaN	NaN	NaN	-89849.64708592465	2.9879175512459617e7	0.
-7.903115508724905e-6	3.889380934470909e-13	NaN	NaN	NaN	-125754.11481875219	4.941843921356604e7	-1.8250799980512518e-7
-0.000017022094941869027	3.889380934470909e-13	NaN	NaN	NaN	-58668.52933897826	1.5775914032495074e7	0.
-0.000013982435130820985	3.889380934470909e-13	NaN	NaN	NaN	-71376.5878351262	2.1164886555012133e7	0.
-0.000010942775319772945	3.889380934470909e-13	NaN	NaN	NaN	-91089.58467957065	3.049881567685869e7	0.
-7.751132518172502e-6	3.889380934470909e-13	NaN	NaN	NaN	-128188.85729324009	5.085600180168966e7	0.
-0.000016870111951316625	3.889380934470909e-13	NaN	NaN	NaN	-59195.64230206751	1.5988856128875492e7	0.
-0.000013830452140268584	3.889380934470909e-13	NaN	NaN	NaN	-72157.79264567354	2.1512952155428585e7	0.
-0.000010790792329220544	3.889380934470909e-13	NaN	NaN	NaN	-92364.10901865861	3.114009784377622e7	0.
-7.599149527620101e-6	3.889380934470909e-13	NaN	NaN	NaN	-130719.10517911185	5.236415943249653e7	0.
-0.000016718128960764222	3.889380934470909e-13	NaN	NaN	NaN	-59732.29968476756	1.6206626514583465e7	0.
-0.000013678469149716182	3.889380934470909e-13	NaN	NaN	NaN	-72956.25128091493	2.1870645509514425e7	0.
-0.000010638809338668142	3.889380934470909e-13	NaN	NaN	NaN	-93674.68270537	3.1804098508732546e7	0.
-7.447166537067699e-6	3.889380934470909e-13	NaN	NaN	NaN	-133350.55073799437	5.394783402103494e7	0.
-0.00001656614597021182	3.889380934470909e-13	NaN	NaN	NaN	-60278.762716599646	1.6429376337767448e7	0.
-0.00001352648615916378	3.889380934470909e-13	NaN	NaN	NaN	-73772.54050678552	2.223834036685388e7	0.
-0.000010486826348115739	3.889380934470909e-13	NaN	NaN	NaN	-95022.85169266492	3.2491947273442347e7	0.
-7.295183546515297e-6	3.889380934470909e-13	NaN	NaN	NaN	-136089.3443929952	5.561238682516923e7	0.
-0.000016414162979659417	3.889380934470909e-13	NaN	NaN	NaN	-60835.30223407201	1.6657271182977818e7	0.
-0.000013374503168611378	3.889380934470909e-13	NaN	NaN	NaN	-74607.26302945828	2.261643220003658e7	0.
-0.000010334843357563338	3.889380934470909e-13	NaN	NaN	NaN	-96410.25128544435	3.3204864930707864e7	0.
