# Filename	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Timebinding\2018-02-06T16-31-11.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T16:31:11
# Dir	-1
# field	1.9446904672354544e-12
# zi	-6.
W	field	zb	t	argt
1.5198299055240202e-7	1.9446904672354544e-12	-757232.1013306765	5.456929729742568e8	0.
2.1277618677336284e-6	1.9446904672354544e-12	-1.4490150789461494e6	9.953191530778959e8	0.
4.103540744914854e-6	1.9446904672354544e-12	-2.33074994489e6	1.4005755718406842e9	0.
6.0793196220960804e-6	1.9446904672354544e-12	-3.2827547310637594e6	1.733273123491119e9	0.
3.0396598110480404e-7	1.9446904672354544e-12	-799490.7930012761	5.779447099382546e8	0.
2.27974485828603e-6	1.9446904672354544e-12	-1.5123142433888111e6	1.0293115287942255e9	0.
4.255523735467257e-6	1.9446904672354544e-12	-2.4023290700630085e6	1.428473252055139e9	0.
6.231302612648483e-6	1.9446904672354544e-12	-3.3574237849277174e6	1.7565124072314425e9	0.
4.5594897165720606e-7	1.9446904672354544e-12	-843840.0438036066	6.110836853916311e8	0.
2.4317278488384323e-6	1.9446904672354544e-12	-1.5766021938454788e6	1.0628747296471786e9	0.
4.4075067260196586e-6	1.9446904672354544e-12	-2.4742591151614003e6	1.4559436733464382e9	0.
6.383285603200885e-6	1.9446904672354544e-12	-3.432238083760582e6	1.7794660375608535e9	0.
6.079319622096081e-7	1.9446904672354544e-12	-890234.796766063	6.449659440056452e8	0.
2.5837108393908345e-6	1.9446904672354544e-12	-1.6418024256738625e6	1.0959835533671412e9	0.
4.55948971657206e-6	1.9446904672354544e-12	-2.546514912011836e6	1.482998767035314e9	0.
6.5352685937532865e-6	1.9446904672354544e-12	-3.507189103734737e6	1.8021426895340726e9	0.
7.599149527620101e-7	1.9446904672354544e-12	-938614.6302722371	6.794438425565327e8	0.
2.7356938299432363e-6	1.9446904672354544e-12	-1.7078437626017537e6	1.128620257216041e9	0.
4.711472707124463e-6	1.9446904672354544e-12	-2.619073427041899e6	1.509650518006408e9	0.
6.687251584305689e-6	1.9446904672354544e-12	-3.582268946214735e6	1.8245508069204211e9	0.
9.118979433144121e-7	1.9446904672354544e-12	-988906.1111097424	7.143708816224474e8	0.
2.8876768204956385e-6	1.9446904672354544e-12	-1.7746602888207182e6	1.1607733889991646e9	0.
4.863455697676865e-6	1.9446904672354544e-12	-2.691913565994228e6	1.5359109035425894e9	0.
6.839234574858091e-6	1.9446904672354544e-12	-3.6574702842401434e6	1.8466984431188881e9	0.
1.0638809338668142e-6	1.9446904672354544e-12	-1.0410254410628492e6	7.496059313847641e8	0.
