# Filename	binding\206f1e4e-b03a-42ab-9233-504433ab877f.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:08:59
# Dir	-1
# field	3.714358792419718e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	3.714358792419718e-11	NaN	NaN	NaN	-31672.599483537546	6.175304579408034e6	0.
-0.00002720495530887996	3.714358792419718e-11	NaN	NaN	NaN	-35078.021887915645	7.175605198739377e6	0.
-0.000024165295497831922	3.714358792419718e-11	NaN	NaN	NaN	-39039.095492323955	8.39180759049607e6	0.
-0.00002112563568678388	3.714358792419718e-11	NaN	NaN	NaN	-43941.04822807494	9.967388447890501e6	0.
-0.000030244615119928003	3.714358792419718e-11	NaN	NaN	NaN	-31820.245443499247	6.21774963517803e6	0.
-0.00002705297231832756	3.714358792419718e-11	NaN	NaN	NaN	-35257.73447079011	7.229595172731995e6	0.
-0.00002401331250727952	3.714358792419718e-11	NaN	NaN	NaN	-39259.48647468388	8.461032979028776e6	0.
-0.000020973652696231478	3.714358792419718e-11	NaN	NaN	NaN	-44216.46284561467	1.005804662311874e7	0.
-0.0000300926321293756	3.714358792419718e-11	NaN	NaN	NaN	-31969.223811472562	6.260663647746331e6	0.
-0.00002690098932777516	3.714358792419718e-11	NaN	NaN	NaN	-35439.215455835714	7.284235837631344e6	0.
-0.000023861329516727117	3.714358792419718e-11	NaN	NaN	NaN	-39482.2430031188	8.53116165373693e6	0.
-0.000020821669705679075	3.714358792419718e-11	NaN	NaN	NaN	-44495.11374881451	1.0149987730704876e7	0.
-0.000029940649138823198	3.714358792419718e-11	NaN	NaN	NaN	-32119.5520118072	6.304056396822897e6	0.
-0.000026749006337222757	3.714358792419718e-11	NaN	NaN	NaN	-35622.48983949426	7.339534915383893e6	0.
-0.000023709346526174715	3.714358792419718e-11	NaN	NaN	NaN	-39707.40113036907	8.60220937973671e6	0.
-0.000020669686715126676	3.714358792419718e-11	NaN	NaN	NaN	-44777.05405500764	1.0243238491153177e7	0.
-0.000029788666148270795	3.714358792419718e-11	NaN	NaN	NaN	-32271.24776127414	6.347933018827754e6	0.
-0.000026597023346670354	3.714358792419718e-11	NaN	NaN	NaN	-35807.583066805695	7.39550446648831e6	0.
-0.000023557363535622312	3.714358792419718e-11	NaN	NaN	NaN	-39934.997596584486	8.67419165735827e6	0.
-0.000020517703724574274	3.714358792419718e-11	NaN	NaN	NaN	-45062.33794818226	1.0337822262949731e7	0.
-0.000029636683157718393	3.714358792419718e-11	NaN	NaN	NaN	-32424.32907493295	6.392301345247726e6	0.
-0.00002644504035611795	3.714358792419718e-11	NaN	NaN	NaN	-35994.52104089389	7.452156267129418e6	0.
-0.000023405380545069913	3.714358792419718e-11	NaN	NaN	NaN	-40165.0698444375	8.747124872495307e6	0.
-0.00002036572073402187	3.714358792419718e-11	NaN	NaN	NaN	-45351.0207028012	1.0433763865947751e7	0.
-0.000029484700167165993	3.714358792419718e-11	NaN	NaN	NaN	-32578.814272132062	6.437169653085216e6	0.
-0.00002629305736556555	3.714358792419718e-11	NaN	NaN	NaN	-36183.33013267478	7.509501011711194e6	0.
-0.00002325339755451751	3.714358792419718e-11	NaN	NaN	NaN	-40397.65603459175	8.821026086255655e6	0.
-0.00002021373774346947	3.714358792419718e-11	NaN	NaN	NaN	-45643.15870814751	1.0531088273566414e7	0.
-0.00002933271717661359	3.714358792419718e-11	NaN	NaN	NaN	-32734.7219826459	6.482544895940924e6	0.
-0.000026141074375013146	3.714358792419718e-11	NaN	NaN	NaN	-36374.037190792915	7.567549311394256e6	0.
-0.000023101414563965108	3.714358792419718e-11	NaN	NaN	NaN	-40632.79506153351	8.895912443393063e6	0.
-0.000020061754752917066	3.714358792419718e-11	NaN	NaN	NaN	-45938.809493204615	1.0629821171217825e7	0.
-0.000029180734186061188	3.714358792419718e-11	NaN	NaN	NaN	-32892.07115295266	6.528433013796774e6	0.
-0.000025989091384460747	3.714358792419718e-11	NaN	NaN	NaN	-36566.66955179164	7.626313175079371e6	0.
-0.000022949431573412705	3.714358792419718e-11	NaN	NaN	NaN	-40870.52656977437	8.971799576230934e6	0.
-0.000019909771762364663	3.714358792419718e-11	NaN	NaN	NaN	-46238.031752079136	1.072998827375959e7	0.
-0.000029028751195508785	3.714358792419718e-11	NaN	NaN	NaN	-33050.88105265589	6.574845087853083e6	0.
-0.000025837108393908344	3.714358792419718e-11	NaN	NaN	NaN	-36761.255050522355	7.685803959666464e6	0.
-0.000022797448582860302	3.714358792419718e-11	NaN	NaN	NaN	-41110.89097043361	9.04870674186661e6	0.
-0.000019757788771812264	3.714358792419718e-11	NaN	NaN	NaN	-46540.88536997421	1.0831616901125088e7	0.
-0.000028876768204956383	3.714358792419718e-11	NaN	NaN	NaN	-33211.17128105263	6.621787016847355e6	0.
-0.000025685125403355942	3.714358792419718e-11	NaN	NaN	NaN	-36957.82203079914	7.746034388757691e6	0.
-0.0000226454655923079	3.714358792419718e-11	NaN	NaN	NaN	-41353.929458207574	9.126650733160093e6	0.
-0.00001960580578125986	3.714358792419718e-11	NaN	NaN	NaN	-46847.43144972124	1.0934735437154636e7	0.
-0.000028724785214403984	3.714358792419718e-11	NaN	NaN	NaN	-33372.9617738535	6.669267349396393e6	0.
-0.00002553314241280354	3.714358792419718e-11	NaN	NaN	NaN	-37156.399356304064	7.807015742924979e6	0.
-0.0000224934826017555	3.714358792419718e-11	NaN	NaN	NaN	-41599.68402873554	9.205651000268655e6	0.
-0.00001945382279070746	3.714358792419718e-11	NaN	NaN	NaN	-47157.732338876915	1.1039369879563225e7	0.
-0.00002857280222385158	3.714358792419718e-11	NaN	NaN	NaN	-33536.27281005687	6.717295851327164e6	0.
-0.000025381159422251137	3.714358792419718e-11	NaN	NaN	NaN	-37357.01642175001	7.868761348257591e6	0.
-0.000022341499611203098	3.714358792419718e-11	NaN	NaN	NaN	-41848.19749636958	9.285725641340991e6	0.
-0.000019301839800155056	3.714358792419718e-11	NaN	NaN	NaN	-47471.85165739377	1.1145550246110829e7	0.
-0.00002842081923329918	3.714358792419718e-11	NaN	NaN	NaN	-33701.12501898127	6.765877710500609e6	0.
-0.000025229176431698734	3.714358792419718e-11	NaN	NaN	NaN	-37559.703164306266	7.931283371660437e6	0.
-0.000022189516620650695	3.714358792419718e-11	NaN	NaN	NaN	-42099.513512357684	9.366893882670488e6	0.
-0.000019149856809602654	3.714358792419718e-11	NaN	NaN	NaN	-47789.85432586958	1.1253305744710784e7	0.
-0.000028268836242746776	3.714358792419718e-11	NaN	NaN	NaN	-33867.5393874611	6.81502474505545e6	0.
-0.000025077193441146335	3.714358792419718e-11	NaN	NaN	NaN	-37764.49007529405	7.994595205089417e6	0.
-0.000022037533630098293	3.714358792419718e-11	NaN	NaN	NaN	-42353.67658344823	9.449176394761853e6	0.
-0.000018997873819050254	3.714358792419718e-11	NaN	NaN	NaN	-48111.80659438302	1.1362665562823778e7	0.
-0.000028116853252194373	3.714358792419718e-11	NaN	NaN	NaN	-34035.537267207634	6.864744637286926e6	0.
-0.000024925210450593932	3.714358792419718e-11	NaN	NaN	NaN	-37971.40821215776	8.058709683470354e6	0.
-0.00002188555063954589	3.714358792419718e-11	NaN	NaN	NaN	-42610.73209092453	9.532590084532779e6	0.
-0.00001884589082849785	3.714358792419718e-11	NaN	NaN	NaN	-48437.77607192117	1.1473661272549702e7	0.
-0.00002796487026164197	3.714358792419718e-11	NaN	NaN	NaN	-34205.140382341306	6.915046063292859e6	0.
-0.00002477322746004153	3.714358792419718e-11	NaN	NaN	NaN	-38180.48921071891	8.123641114634248e6	0.
-0.000021733567648993488	3.714358792419718e-11	NaN	NaN	NaN	-42870.726310078884	9.61715825676428e6	0.
-0.00001869390783794545	3.714358792419718e-11	NaN	NaN	NaN	-48767.831756403866	1.158632206644186e7	0.
-0.00002781288727108957	3.714358792419718e-11	NaN	NaN	NaN	-34376.370837098395	6.96593787483547e6	0.
-0.000024621244469489127	3.714358792419718e-11	NaN	NaN	NaN	-38391.765297719096	8.1894016643753825e6	0.
-0.00002158158465844109	3.714358792419718e-11	NaN	NaN	NaN	-43133.706430133556	9.702901328973055e6	0.
-0.000018541924847393046	3.714358792419718e-11	NaN	NaN	NaN	-49102.04406531055	1.1700681656353483e7	0.
-0.00002766090428053717	3.714358792419718e-11	NaN	NaN	NaN	-34549.25112371685	7.017430395809882e6	0.
-0.000024469261478936724	3.714358792419718e-11	NaN	NaN	NaN	-38605.26930365942	8.256007387543169e6	0.
