# Filename	binding\20a1e9fc-4293-4340-9763-4945b8c2b1a0.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:06:14
# Dir	-1
# field	2.0613718952695817e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	2.0613718952695817e-11	NaN	NaN	NaN	-32195.473856126384	6.365739572685581e6	0.
-0.00002720495530887996	2.0613718952695817e-11	NaN	NaN	NaN	-35787.560709874895	7.4464933043049015e6	0.
-0.000024165295497831922	2.0613718952695817e-11	NaN	NaN	NaN	-40015.736362948744	8.783167740943862e6	0.
-0.00002112563568678388	2.0613718952695817e-11	NaN	NaN	NaN	-45330.76892990409	1.0554077342779048e7	0.
-0.000030244615119928003	2.0613718952695817e-11	NaN	NaN	NaN	-32350.442714254797	6.4112684619759135e6	-5.890739375916244e-7
-0.00002705297231832756	2.0613718952695817e-11	NaN	NaN	NaN	-35978.19008527643	7.505298428590532e6	0.
-0.00002401331250727952	2.0613718952695817e-11	NaN	NaN	NaN	-40252.67437116515	8.860026366384134e6	0.
-0.000020973652696231478	2.0613718952695817e-11	NaN	NaN	NaN	-45632.29566192326	1.0657377605914848e7	0.
-0.0000300926321293756	2.0613718952695817e-11	NaN	NaN	NaN	-32506.87867691125	6.4573317755804965e6	-3.3645665678454286e-7
-0.00002690098932777516	2.0613718952695817e-11	NaN	NaN	NaN	-36170.80756663026	7.564854457002934e6	0.
-0.000023861329516727117	2.0613718952695817e-11	NaN	NaN	NaN	-40492.34268786058	8.93797509387239e6	0.
-0.000020821669705679075	2.0613718952695817e-11	NaN	NaN	NaN	-45937.69224501953	1.0762303225671416e7	0.
-0.000029940649138823198	2.0613718952695817e-11	NaN	NaN	NaN	-32664.802216876036	6.50393825225128e6	0.
-0.000026749006337222757	2.0613718952695817e-11	NaN	NaN	NaN	-36365.44356683536	7.625182286129035e6	0.
-0.000023709346526174715	2.0613718952695817e-11	NaN	NaN	NaN	-40734.78715807111	9.01703469422738e6	0.
-0.000020669686715126676	2.0613718952695817e-11	NaN	NaN	NaN	-46247.03035965947	1.086888498674381e7	0.
-0.000029788666148270795	2.0613718952695817e-11	NaN	NaN	NaN	-32824.234180756226	6.551094654251405e6	0.
-0.000026597023346670354	2.0613718952695817e-11	NaN	NaN	NaN	-36562.12910417267	7.686295351614227e6	0.
-0.000023557363535622312	2.0613718952695817e-11	NaN	NaN	NaN	-40980.05462081365	9.09723478344354e6	0.
-0.000020517703724574274	2.0613718952695817e-11	NaN	NaN	NaN	-46560.38338089302	1.0977161843853226e7	0.
-0.000029636683157718393	2.0613718952695817e-11	NaN	NaN	NaN	-32985.19579734205	6.598810865232701e6	0.
-0.00002644504035611795	2.0613718952695817e-11	NaN	NaN	NaN	-36760.89581695922	7.748207486215657e6	0.
-0.000023405380545069913	2.0613718952695817e-11	NaN	NaN	NaN	-41228.192935039835	9.178574547721151e6	0.
-0.00002036572073402187	2.0613718952695817e-11	NaN	NaN	NaN	-46877.8264258593	1.1087168403435225e7	0.
-0.000029484700167165993	2.0613718952695817e-11	NaN	NaN	NaN	-33147.70868618293	6.647096348340445e6	0.
-0.00002629305736556555	2.0613718952695817e-11	NaN	NaN	NaN	-36961.77597861386	7.810932082784846e6	0.
-0.00002325339755451751	2.0613718952695817e-11	NaN	NaN	NaN	-41479.251006368926	9.26109960990871e6	0.
-0.00002021373774346947	2.0613718952695817e-11	NaN	NaN	NaN	-47199.43640278508	1.1198940999748347e7	0.
-0.00002933271717661359	2.0613718952695817e-11	NaN	NaN	NaN	-33311.79486638833	6.69596048602815e6	0.
-0.000026141074375013146	2.0613718952695817e-11	NaN	NaN	NaN	-37164.802513148825	7.87448242967696e6	0.
-0.000023101414563965108	2.0613718952695817e-11	NaN	NaN	NaN	-41733.278814620644	9.344823881745325e6	0.
-0.000020061754752917066	2.0613718952695817e-11	NaN	NaN	NaN	-47525.29206152461	1.131251905107788e7	0.
-0.000029180734186061188	2.0613718952695817e-11	NaN	NaN	NaN	-33477.476765660926	6.745412512271956e6	0.
-0.000025989091384460747	2.0613718952695817e-11	NaN	NaN	NaN	-37370.009011099435	7.938879504701822e6	0.
-0.000022949431573412705	2.0613718952695817e-11	NaN	NaN	NaN	-41990.32744217939	9.429772709750049e6	0.
-0.000019909771762364663	2.0613718952695817e-11	NaN	NaN	NaN	-47855.474045691524	1.142794100141315e7	0.
-0.000029028751195508785	2.0613718952695817e-11	NaN	NaN	NaN	-33644.77722956896	6.79546137690986e6	0.
-0.000025837108393908344	2.0613718952695817e-11	NaN	NaN	NaN	-37577.429745905676	8.004126053731996e6	0.
-0.000022797448582860302	2.0613718952695817e-11	NaN	NaN	NaN	-42250.449103213185	9.515969491569092e6	0.
-0.000019757788771812264	2.0613718952695817e-11	NaN	NaN	NaN	-48190.06494643638	1.1545245712037796e7	-5.072241033441673e-7
-0.000028876768204956383	2.0613718952695817e-11	NaN	NaN	NaN	-33813.719531064766	6.846118100764428e6	0.
-0.000025685125403355942	2.0613718952695817e-11	NaN	NaN	NaN	-37787.09969076163	8.070249106427263e6	0.
-0.0000226454655923079	2.0613718952695817e-11	NaN	NaN	NaN	-42513.697173778106	9.603439226357035e6	0.
-0.00001960580578125986	2.0613718952695817e-11	NaN	NaN	NaN	-48529.14935792251	1.1664478970720012e7	0.
-0.000028724785214403984	2.0613718952695817e-11	NaN	NaN	NaN	-33984.327380256684	6.897392604453935e6	0.
-0.00002553314241280354	2.0613718952695817e-11	NaN	NaN	NaN	-37999.054535945455	8.137260187648972e6	0.
-0.0000224934826017555	2.0613718952695817e-11	NaN	NaN	NaN	-42780.12622283629	9.692207957766999e6	0.
-0.00001945382279070746	2.0613718952695817e-11	NaN	NaN	NaN	-48872.813934558966	1.178567838380786e7	0.
-0.00002857280222385158	2.0613718952695817e-11	NaN	NaN	NaN	-34156.624934442494	6.949295132556988e6	0.
-0.000025381159422251137	2.0613718952695817e-11	NaN	NaN	NaN	-38213.33070664707	8.205176169642776e6	0.
