# Filename	binding\22cfdfb7-325a-4d50-b280-17a9dc605d62.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:11:13
# Dir	-1
# field	5.056195214812182e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	5.056195214812182e-11	NaN	NaN	NaN	-31271.73569892154	6.031824625448662e6	0.
-0.00002720495530887996	5.056195214812182e-11	NaN	NaN	NaN	-34540.64656734304	6.974707464861589e6	0.
-0.000024165295497831922	5.056195214812182e-11	NaN	NaN	NaN	-38310.712283012595	8.107264450056337e6	0.
-0.00002112563568678388	5.056195214812182e-11	NaN	NaN	NaN	-42925.74132154029	9.55198098254759e6	0.
-0.000030244615119928003	5.056195214812182e-11	NaN	NaN	NaN	-31413.974097496797	6.072040916983135e6	0.
-0.00002705297231832756	5.056195214812182e-11	NaN	NaN	NaN	-34712.45704133326	7.025307060495158e6	0.
-0.00002401331250727952	5.056195214812182e-11	NaN	NaN	NaN	-38519.42179124398	8.171272539113711e6	0.
-0.000020973652696231478	5.056195214812182e-11	NaN	NaN	NaN	-43183.32630862603	9.63434163175082e6	0.
-0.0000300926321293756	5.056195214812182e-11	NaN	NaN	NaN	-31557.450027295694	6.112684258129305e6	0.
-0.00002690098932777516	5.056195214812182e-11	NaN	NaN	NaN	-34885.885707089765	7.076483490714304e6	0.
-0.000023861329516727117	5.056195214812182e-11	NaN	NaN	NaN	-38730.25658358465	8.236064810394525e6	0.
-0.000020821669705679075	5.056195214812182e-11	NaN	NaN	NaN	-43443.75041022493	9.717784553187296e6	0.
-0.000029940649138823198	5.056195214812182e-11	NaN	NaN	NaN	-31702.178886194062	6.153760030306486e6	0.
-0.000026749006337222757	5.056195214812182e-11	NaN	NaN	NaN	-35060.954108927726	7.12824783487787e6	0.
-0.000023709346526174715	5.056195214812182e-11	NaN	NaN	NaN	-38943.246792488164	8.301655328628781e6	0.
-0.000020669686715126676	5.056195214812182e-11	NaN	NaN	NaN	-43707.05628106077	9.802329517735137e6	0.
-0.000029788666148270795	5.056195214812182e-11	NaN	NaN	NaN	-31848.17631403231	6.19527639130898e6	0.
-0.000026597023346670354	5.056195214812182e-11	NaN	NaN	NaN	-35237.68414802896	7.180607649714706e6	0.
-0.000023557363535622312	5.056195214812182e-11	NaN	NaN	NaN	-39158.42307103098	8.36805651504864e6	0.
-0.000020517703724574274	5.056195214812182e-11	NaN	NaN	NaN	-43973.287332672364	9.88799232160068e6	0.
-0.000029636683157718393	5.056195214812182e-11	NaN	NaN	NaN	-31995.45819706332	6.237236420263358e6	0.
-0.00002644504035611795	5.056195214812182e-11	NaN	NaN	NaN	-35416.09808920404	7.233572569610857e6	0.
-0.000023405380545069913	5.056195214812182e-11	NaN	NaN	NaN	-39375.816602853825	8.435280463161767e6	0.
-0.00002036572073402187	5.056195214812182e-11	NaN	NaN	NaN	-44242.48774737882	9.974793631489845e6	0.
-0.000029484700167165993	5.056195214812182e-11	NaN	NaN	NaN	-32144.040672490904	6.279649294535187e6	0.
-0.00002629305736556555	5.056195214812182e-11	NaN	NaN	NaN	-35596.21856778907	7.287151595208169e6	0.
-0.00002325339755451751	5.056195214812182e-11	NaN	NaN	NaN	-39595.459112288496	8.503341125488173e6	0.
-0.00002021373774346947	5.056195214812182e-11	NaN	NaN	NaN	-44514.702492451564	1.0062752017100045e7	0.
-0.00002933271717661359	5.056195214812182e-11	NaN	NaN	NaN	-32293.940133099157	6.3225190788818365e6	0.
-0.000026141074375013146	5.056195214812182e-11	NaN	NaN	NaN	-35778.06859668003	7.341353624060515e6	0.
-0.000023101414563965108	5.056195214812182e-11	NaN	NaN	NaN	-39817.38287467161	8.57225140283092e6	0.
-0.000020061754752917066	5.056195214812182e-11	NaN	NaN	NaN	-44789.97733449318	1.01518858410545e7	0.
-0.000029180734186061188	5.056195214812182e-11	NaN	NaN	NaN	-32445.17323197568	6.3658532870898815e6	0.
-0.000025989091384460747	5.056195214812182e-11	NaN	NaN	NaN	-35961.671573507236	7.396189166704961e6	0.
-0.000022949431573412705	5.056195214812182e-11	NaN	NaN	NaN	-40041.620726848596	8.642025612914002e6	0.
-0.000019909771762364663	5.056195214812182e-11	NaN	NaN	NaN	-45068.35885402122	1.0242215531103343e7	0.
-0.000029028751195508785	5.056195214812182e-11	NaN	NaN	NaN	-32597.75688733031	6.409662149605081e6	0.
-0.000025837108393908344	5.056195214812182e-11	NaN	NaN	NaN	-36147.05128795162	7.45166632013318e6	0.
-0.000022797448582860302	5.056195214812182e-11	NaN	NaN	NaN	-40268.2060778691	8.712676698954076e6	0.
-0.000019757788771812264	5.056195214812182e-11	NaN	NaN	NaN	-45349.89446025474	1.0333761130347919e7	0.
-0.000028876768204956383	5.056195214812182e-11	NaN	NaN	NaN	-32751.708287410238	6.453944437726068e6	0.
-0.000025685125403355942	5.056195214812182e-11	NaN	NaN	NaN	-36334.23192920679	7.507796215955176e6	0.
-0.0000226454655923079	5.056195214812182e-11	NaN	NaN	NaN	-40497.17291987689	8.784219694390703e6	0.
-0.00001960580578125986	5.056195214812182e-11	NaN	NaN	NaN	-45634.63240610168	1.0426543205340175e7	0.
-0.000028724785214403984	5.056195214812182e-11	NaN	NaN	NaN	-32907.044895516156	6.498716366251655e6	0.
-0.00002553314241280354	5.056195214812182e-11	NaN	NaN	NaN	-36523.23809358778	7.56458813599746e6	0.
-0.0000224934826017555	5.056195214812182e-11	NaN	NaN	NaN	-40728.55583919519	8.856668113064265e6	0.
-0.00001945382279070746	5.056195214812182e-11	NaN	NaN	NaN	-45922.621803344075	1.0520581610314585e7	0.
-0.00002857280222385158	5.056195214812182e-11	NaN	NaN	NaN	-33063.78445511751	6.543977101796573e6	0.
-0.000025381159422251137	5.056195214812182e-11	NaN	NaN	NaN	-36714.094792290314	7.62205250739048e6	0.
-0.000022341499611203098	5.056195214812182e-11	NaN	NaN	NaN	-40962.390027610425	8.930037100744024e6	0.
-0.000019301839800155056	5.056195214812182e-11	NaN	NaN	NaN	-46213.912638018235	1.0615897450983051e7	0.
-0.00002842081923329918	5.056195214812182e-11	NaN	NaN	NaN	-33221.94499507308	6.589738283299627e6	0.
-0.000025229176431698734	5.056195214812182e-11	NaN	NaN	NaN	-36906.82745930243	7.680199839444806e6	0.
-0.000022189516620650695	5.056195214812182e-11	NaN	NaN	NaN	-41198.71129385527	9.004341806317525e6	0.
-0.000019149856809602654	5.056195214812182e-11	NaN	NaN	NaN	-46508.55578598577	1.0712513039894123e7	0.
-0.000028268836242746776	5.056195214812182e-11	NaN	NaN	NaN	-33381.54483495561	6.636006985338574e6	0.
-0.000025077193441146335	5.056195214812182e-11	NaN	NaN	NaN	-37101.46195947129	7.739040666539101e6	0.
-0.000022037533630098293	5.056195214812182e-11	NaN	NaN	NaN	-41437.55607529323	9.079596950996006e6	0.
-0.000018997873819050254	5.056195214812182e-11	NaN	NaN	NaN	-46806.603028691505	1.0810450674814416e7	0.
-0.000028116853252194373	5.056195214812182e-11	NaN	NaN	NaN	-33542.602590484385	6.682787867573005e6	0.
-0.000024925210450593932	5.056195214812182e-11	NaN	NaN	NaN	-37298.024596727686	7.798585483574979e6	0.
-0.00002188555063954589	5.056195214812182e-11	NaN	NaN	NaN	-41678.96144980624	9.155818039580684e6	0.
-0.00001884589082849785	5.056195214812182e-11	NaN	NaN	NaN	-47108.1070691033	1.0909731584207987e7	0.
-0.00002796487026164197	5.056195214812182e-11	NaN	NaN	NaN	-33705.137179067635	6.730091978519985e6	0.
-0.00002477322746004153	5.056195214812182e-11	NaN	NaN	NaN	-37496.542122470935	7.858846140246792e6	0.
-0.000021733567648993488	5.056195214812182e-11	NaN	NaN	NaN	-41922.965147886534	9.233021348491993e6	0.
-0.00001869390783794545	5.056195214812182e-11	NaN	NaN	NaN	-47413.1215478289	1.1010378678995103e7	0.
-0.00002781288727108957	5.056195214812182e-11	NaN	NaN	NaN	-33869.16782545605	6.777924820725899e6	0.
-0.000024621244469489127	5.056195214812182e-11	NaN	NaN	NaN	-37697.04174411629	7.919832647336628e6	0.
-0.00002158158465844109	5.056195214812182e-11	NaN	NaN	NaN	-42169.60556493412	9.311222915688066e6	0.
-0.000018541924847393046	5.056195214812182e-11	NaN	NaN	NaN	-47721.70105940321	1.1112415732935034e7	0.
-0.00002766090428053717	5.056195214812182e-11	NaN	NaN	NaN	-34034.71406751099	6.826294476061961e6	0.
-0.000024469261478936724	5.056195214812182e-11	NaN	NaN	NaN	-37899.551133808316	7.981557340544235e6	0.
-0.000021429601667888686	5.056195214812182e-11	NaN	NaN	NaN	-42418.921773760994	9.390438971626535e6	0.
-0.000018389941856840644	5.056195214812182e-11	NaN	NaN	NaN	-48033.90116873947	1.1215865330690797e7	0.
-0.000027508921289984766	5.056195214812182e-11	NaN	NaN	NaN	-34201.79576208838	6.875208960835281e6	0.
