# Filename	binding\22e66f7a-af39-4b7e-8963-096393983cda.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:09:50
# Dir	-1
# field	4.219978313900936e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	4.219978313900936e-11	NaN	NaN	NaN	-31519.192425228277	6.120140659013058e6	0.
-0.00002720495530887996	4.219978313900936e-11	NaN	NaN	NaN	-34871.717487543494	7.09804844858835e6	0.
-0.000024165295497831922	4.219978313900936e-11	NaN	NaN	NaN	-38758.35349516362	8.281404118517113e6	0.
-0.00002112563568678388	4.219978313900936e-11	NaN	NaN	NaN	-43547.67557606854	9.805141307388166e6	0.
-0.000030244615119928003	4.219978313900936e-11	NaN	NaN	NaN	-31664.74820920409	6.16171862578779e6	0.
-0.00002705297231832756	4.219978313900936e-11	NaN	NaN	NaN	-35048.359979136316	7.150712564067063e6	0.
-0.00002401331250727952	4.219978313900936e-11	NaN	NaN	NaN	-38974.177301822456	8.348572847540238e6	0.
-0.000020973652696231478	4.219978313900936e-11	NaN	NaN	NaN	-43816.0617499854	9.892494064252324e6	0.
-0.0000300926321293756	4.219978313900936e-11	NaN	NaN	NaN	-31811.599269659513	6.203750153778773e6	0.
-0.00002690098932777516	4.219978313900936e-11	NaN	NaN	NaN	-35226.71164133604	7.203996748577118e6	0.
-0.000023861329516727117	4.219978313900936e-11	NaN	NaN	NaN	-39192.27103632836	8.416596930231214e6	0.
-0.000020821669705679075	4.219978313900936e-11	NaN	NaN	NaN	-44087.52425458606	9.981050316181364e6	0.
-0.000029940649138823198	4.219978313900936e-11	NaN	NaN	NaN	-31959.762225802948	6.246241386708298e6	0.
-0.000026749006337222757	4.219978313900936e-11	NaN	NaN	NaN	-35406.796084578134	7.257912756067675e6	0.
-0.000023709346526174715	4.219978313900936e-11	NaN	NaN	NaN	-39412.6683438817	8.485490507973205e6	0.
-0.000020669686715126676	4.219978313900936e-11	NaN	NaN	NaN	-44362.11188195092	1.0070830255914724e7	0.
-0.000029788666148270795	4.219978313900936e-11	NaN	NaN	NaN	-32109.253968852314	6.289199677559843e6	0.
-0.000026597023346670354	4.219978313900936e-11	NaN	NaN	NaN	-35588.63733025909	7.312468873637366e6	0.
-0.000023557363535622312	4.219978313900936e-11	NaN	NaN	NaN	-39635.403487467585	8.5552701983191e6	0.
-0.000020517703724574274	4.219978313900936e-11	NaN	NaN	NaN	-44639.874358550194	1.016185636772948e7	0.
-0.000029636683157718393	4.219978313900936e-11	NaN	NaN	NaN	-32260.091667315366	6.332630862232548e6	0.
-0.00002644504035611795	4.219978313900936e-11	NaN	NaN	NaN	-35772.259819075254	7.367676275594811e6	0.
-0.000023405380545069913	4.219978313900936e-11	NaN	NaN	NaN	-39860.511360739096	8.625948198723143e6	0.
-0.00002036572073402187	4.219978313900936e-11	NaN	NaN	NaN	-44920.86236468159	1.025414976353873e7	0.
-0.000029484700167165993	4.219978313900936e-11	NaN	NaN	NaN	-32412.2927723853	6.376545399831e6	0.
-0.00002629305736556555	4.219978313900936e-11	NaN	NaN	NaN	-35957.688419545586	7.4235447216618555e6	0.
-0.00002325339755451751	4.219978313900936e-11	NaN	NaN	NaN	-40088.02750118008	8.697541915046811e6	0.
-0.00002021373774346947	4.219978313900936e-11	NaN	NaN	NaN	-45205.12755428491	1.0347733740733504e7	0.
-0.00002933271717661359	4.219978313900936e-11	NaN	NaN	NaN	-32565.87502345365	6.420941525657467e6	0.
-0.000026141074375013146	4.219978313900936e-11	NaN	NaN	NaN	-36144.94843672343	7.480085461639215e6	0.
-0.000023101414563965108	4.219978313900936e-11	NaN	NaN	NaN	-40317.988103551084	8.770065364677524e6	0.
-0.000020061754752917066	4.219978313900936e-11	NaN	NaN	NaN	-45492.72257513612	1.0442631828497784e7	0.
-0.000029180734186061188	4.219978313900936e-11	NaN	NaN	NaN	-32720.856453744265	6.465836081534774e6	0.
-0.000025989091384460747	4.219978313900936e-11	NaN	NaN	NaN	-36334.065621100606	7.53730858743491e6	0.
-0.000022949431573412705	4.219978313900936e-11	NaN	NaN	NaN	-40550.43003362548	8.84353488350228e6	0.
-0.000019909771762364663	4.219978313900936e-11	NaN	NaN	NaN	-45783.70108942438	1.0538865196441025e7	0.
-0.000029028751195508785	4.219978313900936e-11	NaN	NaN	NaN	-32877.25539606936	6.511232453344145e6	0.
-0.000025837108393908344	4.219978313900936e-11	NaN	NaN	NaN	-36525.066177708904	7.595224903000534e6	0.
-0.000022797448582860302	4.219978313900936e-11	NaN	NaN	NaN	-40785.39084221964	8.91796659008518e6	0.
-0.000019757788771812264	4.219978313900936e-11	NaN	NaN	NaN	-46078.11779471533	1.063645982876118e7	0.
-0.000028876768204956383	4.219978313900936e-11	NaN	NaN	NaN	-33035.09048871276	6.55713888844024e6	0.
-0.000025685125403355942	4.219978313900936e-11	NaN	NaN	NaN	-36717.97677542262	7.653845702415257e6	0.
-0.0000226454655923079	4.219978313900936e-11	NaN	NaN	NaN	-41022.908779523284	8.993376707209066e6	0.
-0.00001960580578125986	4.219978313900936e-11	NaN	NaN	NaN	-46376.028445301985	1.0735439928112635e7	0.
-0.000028724785214403984	4.219978313900936e-11	NaN	NaN	NaN	-33194.38068144116	6.603562678320853e6	0.
-0.00002553314241280354	4.219978313900936e-11	NaN	NaN	NaN	-36912.82455646675	7.71318197542451e6	0.
-0.0000224934826017555	4.219978313900936e-11	NaN	NaN	NaN	-41263.02280973506	9.069781936855577e6	0.
-0.00001945382279070746	4.219978313900936e-11	NaN	NaN	NaN	-46677.489873946244	1.0835830176640807e7	0.
