# Filename	binding\23c881ce-d617-4250-a330-5b5696108d19.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:10:23
# Dir	-1
# field	4.5505756933309636e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	4.5505756933309636e-11	NaN	NaN	NaN	-31420.446768711903	6.084800558615179e6	0.
-0.00002720495530887996	4.5505756933309636e-11	NaN	NaN	NaN	-34739.35550755575	7.0485722424533e6	0.
-0.000024165295497831922	4.5505756933309636e-11	NaN	NaN	NaN	-38578.96608138377	8.211340476397821e6	0.
-0.00002112563568678388	4.5505756933309636e-11	NaN	NaN	NaN	-43297.67361802788	9.702884918830484e6	0.
-0.000030244615119928003	4.5505756933309636e-11	NaN	NaN	NaN	-31564.670809872703	6.125829749884032e6	0.
-0.00002705297231832756	4.5505756933309636e-11	NaN	NaN	NaN	-34914.05227595036	7.100400603159331e6	0.
-0.00002401331250727952	4.5505756933309636e-11	NaN	NaN	NaN	-38791.914375060835	8.277224988917108e6	0.
-0.000020973652696231478	4.5505756933309636e-11	NaN	NaN	NaN	-43561.67278068618	9.788198333005195e6	0.
-0.0000300926321293756	4.5505756933309636e-11	NaN	NaN	NaN	-31710.166771477358	6.167302019906439e6	0.
-0.00002690098932777516	4.5505756933309636e-11	NaN	NaN	NaN	-35090.42125094513	7.152833150594056e6	0.
-0.000023861329516727117	4.5505756933309636e-11	NaN	NaN	NaN	-39007.073504855594	8.343936463642441e6	0.
-0.000020821669705679075	4.5505756933309636e-11	NaN	NaN	NaN	-43828.650675215744	9.874664578675037e6	0.
-0.000029940649138823198	4.5505756933309636e-11	NaN	NaN	NaN	-31856.950774210276	6.209223313204983e6	0.
-0.000026749006337222757	4.5505756933309636e-11	NaN	NaN	NaN	-35268.485194302106	7.205878516460144e6	0.
-0.000023709346526174715	4.5505756933309636e-11	NaN	NaN	NaN	-39224.47566196796	8.41148758328079e6	0.
-0.000020669686715126676	4.5505756933309636e-11	NaN	NaN	NaN	-44098.65352815487	9.962303722488275e6	0.
-0.000029788666148270795	4.5505756933309636e-11	NaN	NaN	NaN	-32005.039198365757	6.251599435156783e6	0.
-0.000026597023346670354	4.5505756933309636e-11	NaN	NaN	NaN	-35448.26725622812	7.259546210175016e6	0.
-0.000023557363535622312	4.5505756933309636e-11	NaN	NaN	NaN	-39444.15361451385	8.479893290980393e6	0.
-0.000020517703724574274	4.5505756933309636e-11	NaN	NaN	NaN	-44371.728424719106	1.0051136421390416e7	0.
-0.000029636683157718393	4.5505756933309636e-11	NaN	NaN	NaN	-32154.44868878042	6.294438009059668e6	0.
-0.00002644504035611795	4.5505756933309636e-11	NaN	NaN	NaN	-35629.790983046325	7.313846025526661e6	0.
-0.000023405380545069913	4.5505756933309636e-11	NaN	NaN	NaN	-39666.140719145755	8.549167057828628e6	0.
-0.00002036572073402187	4.5505756933309636e-11	NaN	NaN	NaN	-44647.92332584476	1.0141182345603893e7	0.
-0.000029484700167165993	4.5505756933309636e-11	NaN	NaN	NaN	-32305.19615986981	6.337743663541789e6	-7.02299916425303e-7
-0.00002629305736556555	4.5505756933309636e-11	NaN	NaN	NaN	-35813.08032503079	7.368788043339735e6	0.
-0.00002325339755451751	4.5505756933309636e-11	NaN	NaN	NaN	-39890.4709329114	8.61932388788648e6	0.
-0.00002021373774346947	4.5505756933309636e-11	NaN	NaN	NaN	-44927.28708553261	1.0232463611101093e7	0.
-0.00002933271717661359	4.5505756933309636e-11	NaN	NaN	NaN	-32457.298800771692	6.38152843116646e6	0.
-0.000026141074375013146	4.5505756933309636e-11	NaN	NaN	NaN	-35998.15964440749	7.424381584569545e6	0.
-0.000023101414563965108	4.5505756933309636e-11	NaN	NaN	NaN	-40117.17882535324	8.690377516855521e6	0.
-0.000020061754752917066	4.5505756933309636e-11	NaN	NaN	NaN	-45209.869468492114	1.0325001501590542e7	0.
-0.000029180734186061188	4.5505756933309636e-11	NaN	NaN	NaN	-32610.774080598327	6.425792862415028e6	0.
-0.000025989091384460747	4.5505756933309636e-11	NaN	NaN	NaN	-36185.05372352561	7.480638016474341e6	0.
-0.000022949431573412705	4.5505756933309636e-11	NaN	NaN	NaN	-40346.29959085396	8.762343072043817e6	0.
-0.000019909771762364663	4.5505756933309636e-11	NaN	NaN	NaN	-45495.72116808773	1.041881682762017e7	0.
-0.000029028751195508785	4.5505756933309636e-11	NaN	NaN	NaN	-32765.63975380013	6.47054869532482e6	0.
-0.000025837108393908344	4.5505756933309636e-11	NaN	NaN	NaN	-36373.78777320145	7.537565966885462e6	0.
-0.000022797448582860302	4.5505756933309636e-11	NaN	NaN	NaN	-40577.869061230616	8.83523570365404e6	0.
-0.000019757788771812264	4.5505756933309636e-11	NaN	NaN	NaN	-45784.89382458773	1.0513932794692475e7	0.
-0.000028876768204956383	4.5505756933309636e-11	NaN	NaN	NaN	-32921.91386564254	6.5158001885567205e6	0.
-0.000025685125403355942	4.5505756933309636e-11	NaN	NaN	NaN	-36564.38744124018	7.59517767399535e6	0.
-0.0000226454655923079	4.5505756933309636e-11	NaN	NaN	NaN	-40811.92371858208	8.909070727680568e6	0.
-0.00001960580578125986	4.5505756933309636e-11	NaN	NaN	NaN	-46077.440043715134	1.0610371726074742e7	0.
-0.000028724785214403984	4.5505756933309636e-11	NaN	NaN	NaN	-33079.6147578002	6.561556386763752e6	0.
-0.00002553314241280354	4.5505756933309636e-11	NaN	NaN	NaN	-36756.878821136954	7.653482975430281e6	0.
-0.0000224934826017555	4.5505756933309636e-11	NaN	NaN	NaN	-41048.50070839316	8.983864427394643e6	0.
-0.00001945382279070746	4.5505756933309636e-11	NaN	NaN	NaN	-46373.41341550105	1.0708156854107771e7	0.
-0.00002857280222385158	4.5505756933309636e-11	NaN	NaN	NaN	-33238.76107406899	6.607824604710147e6	0.
-0.000025381159422251137	4.5505756933309636e-11	NaN	NaN	NaN	-36951.28846096299	7.712493987984678e6	0.
-0.000022341499611203098	4.5505756933309636e-11	NaN	NaN	NaN	-41287.6378528992	9.059632233095089e6	0.
-0.000019301839800155056	4.5505756933309636e-11	NaN	NaN	NaN	-46672.86853343932	1.0807312625323823e7	0.
-0.00002842081923329918	4.5505756933309636e-11	NaN	NaN	NaN	-33399.37176619997	6.654615136119498e6	0.
-0.000025229176431698734	4.5505756933309636e-11	NaN	NaN	NaN	-37147.643372438426	7.7722198758043805e6	0.
-0.000022189516620650695	4.5505756933309636e-11	NaN	NaN	NaN	-41529.37366471491	9.136390577288961e6	0.
-0.000019149856809602654	4.5505756933309636e-11	NaN	NaN	NaN	-46975.861013941096	1.0907861467690486e7	0.
-0.000028268836242746776	4.5505756933309636e-11	NaN	NaN	NaN	-33561.46609985706	6.701927567082828e6	0.
-0.000025077193441146335	4.5505756933309636e-11	NaN	NaN	NaN	-37345.9710401974	7.832673718362755e6	0.
-0.000022037533630098293	4.5505756933309636e-11	NaN	NaN	NaN	-41773.747360731	9.214156759504907e6	0.
-0.000018997873819050254	4.5505756933309636e-11	NaN	NaN	NaN	-47282.44751608818	1.1009829863279691e7	0.
-0.000028116853252194373	4.5505756933309636e-11	NaN	NaN	NaN	-33725.063660702064	6.749775455420207e6	-6.884172645204068e-7
-0.000024925210450593932	4.5505756933309636e-11	NaN	NaN	NaN	-37546.29943124739	7.893866756999208e6	0.
-0.00002188555063954589	4.5505756933309636e-11	NaN	NaN	NaN	-42020.798876281806	9.292947251598096e6	0.
-0.00001884589082849785	4.5505756933309636e-11	NaN	NaN	NaN	-47592.68576168158	1.1113240522155792e7	0.
-0.00002796487026164197	4.5505756933309636e-11	NaN	NaN	NaN	-33890.18436060828	6.798169254869548e6	0.
