# Filename	binding\2921daaa-8bb3-407d-97e9-ed40228ea650.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-09T15:29:35
# Dir	1
# field	1.672433801822491e-11
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	1.672433801822491e-11	NaN	NaN	NaN	33516.49320524071	6.8640022858198695e6	-6.743557510320605e-7
-0.00002720495530887996	1.672433801822491e-11	NaN	NaN	NaN	37628.43819789605	8.180425990900818e6	0.
-0.000024165295497831922	1.672433801822491e-11	NaN	NaN	NaN	42639.97726101926	9.893485410814106e6	-5.252708431700739e-7
-0.00002112563568678388	1.672433801822491e-11	NaN	NaN	NaN	49256.59042951018	1.2331896816011986e7	0.
-0.000030244615119928003	1.672433801822491e-11	NaN	NaN	NaN	33691.418708014506	6.918327501122789e6	0.
-0.00002705297231832756	1.672433801822491e-11	NaN	NaN	NaN	37850.18073855895	8.2537267158840485e6	0.
-0.00002401331250727952	1.672433801822491e-11	NaN	NaN	NaN	42926.95255116043	9.995113224401671e6	0.
-0.000020973652696231478	1.672433801822491e-11	NaN	NaN	NaN	49644.080967532675	1.2480810620457979e7	0.
-0.0000300926321293756	1.672433801822491e-11	NaN	NaN	NaN	33868.21559336091	6.973385101739508e6	-3.7963759830834503e-7
-0.00002690098932777516	1.672433801822491e-11	NaN	NaN	NaN	38074.61752884339	8.3281565951267565e6	0.
-0.000023861329516727117	1.672433801822491e-11	NaN	NaN	NaN	43217.942211977585	1.0098548324429229e7	0.
-0.000020821669705679075	1.672433801822491e-11	NaN	NaN	NaN	50037.98500870495	1.263287708409337e7	0.
-0.000029940649138823198	1.672433801822491e-11	NaN	NaN	NaN	34046.914639013085	7.029193450154298e6	0.
-0.000026749006337222757	1.672433801822491e-11	NaN	NaN	NaN	38301.79918620687	8.403741005482426e6	0.
-0.000023709346526174715	1.672433801822491e-11	NaN	NaN	NaN	43513.03375922743	1.0203836369716343e7	-2.656456590834185e-7
-0.000020669686715126676	1.672433801822491e-11	NaN	NaN	NaN	50438.469955626366	1.2788194567649081e7	0.
-0.000029788666148270795	1.672433801822491e-11	NaN	NaN	NaN	34227.54731415715	7.085763454934385e6	-5.639347743693976e-7
-0.000026597023346670354	1.672433801822491e-11	NaN	NaN	NaN	38531.7776342988	8.480502399186116e6	-5.871453927831217e-7
-0.000023557363535622312	1.672433801822491e-11	NaN	NaN	NaN	43812.31734870671	1.0311030714232478e7	0.
-0.000020517703724574274	1.672433801822491e-11	NaN	NaN	NaN	50845.70932305274	1.2946863832316136e7	0.
-0.000029636683157718393	1.672433801822491e-11	NaN	NaN	NaN	34410.14579931089	7.143113974298202e6	0.
-0.00002644504035611795	1.672433801822491e-11	NaN	NaN	NaN	38764.60614631753	8.558471965203943e6	0.
-0.000023405380545069913	1.672433801822491e-11	NaN	NaN	NaN	44115.88587938213	1.0420174839577451e7	-2.637349356554731e-7
-0.00002036572073402187	1.672433801822491e-11	NaN	NaN	NaN	51259.88302963526	1.3108992174292335e7	0.
-0.000029484700167165993	1.672433801822491e-11	NaN	NaN	NaN	34594.74300690693	7.20125629014992e6	0.
-0.00002629305736556555	1.672433801822491e-11	NaN	NaN	NaN	39000.339390142144	8.637675629346026e6	0.
-0.00002325339755451751	1.672433801822491e-11	NaN	NaN	NaN	44423.83510151472	1.053132744798203e7	0.
-0.00002021373774346947	1.672433801822491e-11	NaN	NaN	NaN	51681.17770707044	1.3274689381379688e7	0.
-0.00002933271717661359	1.672433801822491e-11	NaN	NaN	NaN	34781.37260260492	7.260208527417322e6	0.
-0.000026141074375013146	1.672433801822491e-11	NaN	NaN	NaN	39239.03347532514	8.71813617247821e6	-2.531872686612919e-7
-0.000023101414563965108	1.672433801822491e-11	NaN	NaN	NaN	44736.26373007529	1.0644536155802004e7	0.
-0.000020061754752917066	1.672433801822491e-11	NaN	NaN	NaN	52109.78702792076	1.3444073807704236e7	0.
-0.000029180734186061188	1.672433801822491e-11	NaN	NaN	NaN	34970.06902736658	7.319985954365022e6	0.
-0.000025989091384460747	1.672433801822491e-11	NaN	NaN	NaN	39480.74600203935	8.799891436441805e6	0.
-0.000022949431573412705	1.672433801822491e-11	NaN	NaN	NaN	45053.273563757015	1.0759860528276145e7	0.
-0.000019909771762364663	1.672433801822491e-11	NaN	NaN	NaN	52545.91205347053	1.3617263738515263e7	0.
-0.000029028751195508785	1.672433801822491e-11	NaN	NaN	NaN	35160.86752032558	7.380609566047035e6	0.
-0.000025837108393908344	1.672433801822491e-11	NaN	NaN	NaN	39725.536112076035	8.882966423194787e6	0.
-0.000022797448582860302	1.672433801822491e-11	NaN	NaN	NaN	45374.969609921034	1.0877354685062038e7	0.
-0.000019757788771812264	1.672433801822491e-11	NaN	NaN	NaN	52989.76160310365	1.379438761895244e7	0.
-0.000028876768204956383	1.672433801822491e-11	NaN	NaN	NaN	35353.804142485395	7.44208612262808e6	0.
-0.000025685125403355942	1.672433801822491e-11	NaN	NaN	NaN	39973.464541995105	8.967393779700309e6	0.
-0.0000226454655923079	1.672433801822491e-11	NaN	NaN	NaN	45701.4602158308	1.0997080596842451e7	0.
-0.00001960580578125986	1.672433801822491e-11	NaN	NaN	NaN	53441.5526468151	1.3975579223080723e7	0.
-0.000028724785214403984	1.672433801822491e-11	NaN	NaN	NaN	35548.91580128251	7.504440183834105e6	0.
