# Filename	binding\2a611c0e-c7e0-4610-bd27-5eb7f43c2789.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T17:59:12
# Dir	-1
# field	9.528983289453728e-12
# zi	-6.
W	field	zb	tb	argtbzt	tt	argtt
-0.000030396598110480406	9.528983289453728e-12	NaN	NaN	NaN	-32565.95088176816	-32565.95088176816	3.141592653589793
-0.00002720495530887996	9.528983289453728e-12	NaN	NaN	NaN	-36296.554301721866	-36296.554301721866	3.141592653589793
-0.000024165295497831922	9.528983289453728e-12	NaN	NaN	NaN	-40727.57715049574	-40727.57715049574	3.141592653589793
-0.00002112563568678388	9.528983289453728e-12	NaN	NaN	NaN	-46366.15042366073	-46366.15042366073	3.141592653589793
-0.000030244615119928003	9.528983289453728e-12	NaN	NaN	NaN	-32726.300292409393	-32726.300292409393	3.141592653589793
-0.00002705297231832756	9.528983289453728e-12	NaN	NaN	NaN	-36495.3699334124	-36495.3699334124	3.141592653589793
-0.00002401331250727952	9.528983289453728e-12	NaN	NaN	NaN	-40977.25163497523	-40977.25163497523	3.141592653589793
-0.000020973652696231478	9.528983289453728e-12	NaN	NaN	NaN	-46688.50848661508	-46688.50848661508	3.141592653589793
-0.0000300926321293756	9.528983289453728e-12	NaN	NaN	NaN	-32888.22039613422	-32888.22039613422	3.141592653589793
-0.00002690098932777516	9.528983289453728e-12	NaN	NaN	NaN	-36696.347853720195	-36696.347853720195	3.141592653589793
-0.000023861329516727117	9.528983289453728e-12	NaN	NaN	NaN	-41229.95709058045	-41229.95709058045	3.141592653589793
-0.000020821669705679075	9.528983289453728e-12	NaN	NaN	NaN	-47015.2871710905	-47015.2871710905	3.141592653589793
-0.000029940649138823198	9.528983289453728e-12	NaN	NaN	NaN	-33051.73414362903	-33051.73414362903	3.141592653589793
-0.000026749006337222757	9.528983289453728e-12	NaN	NaN	NaN	-36899.52307061604	-36899.52307061604	3.141592653589793
-0.000023709346526174715	9.528983289453728e-12	NaN	NaN	NaN	-41485.74813679403	-41485.74813679403	3.141592653589793
-0.000020669686715126676	9.528983289453728e-12	NaN	NaN	NaN	-47346.57608329233	-47346.57608329233	3.141592653589793
-0.000029788666148270795	9.528983289453728e-12	NaN	NaN	NaN	-33216.864930083175	-33216.864930083175	3.141592653589793
-0.000026597023346670354	9.528983289453728e-12	NaN	NaN	NaN	-37104.93134166818	-37104.93134166818	3.141592653589793
-0.000023557363535622312	9.528983289453728e-12	NaN	NaN	NaN	-41744.68069076143	-41744.68069076143	3.141592653589793
