# Filename	binding\2c5f3170-12b5-495c-8b64-04230188b027.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:07:10
# Dir	-1
# field	2.6253321307678638e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	2.6253321307678638e-11	NaN	NaN	NaN	-32013.263626215976	6.298949422604533e6	-2.3625613514638784e-7
-0.00002720495530887996	2.6253321307678638e-11	NaN	NaN	NaN	-35539.15856774149	7.350920064251823e6	0.
-0.000024165295497831922	2.6253321307678638e-11	NaN	NaN	NaN	-39671.81505994061	8.644046086151892e6	0.
-0.00002112563568678388	2.6253321307678638e-11	NaN	NaN	NaN	-44837.482786049695	1.0343391861535752e7	0.
-0.000030244615119928003	2.6253321307678638e-11	NaN	NaN	NaN	-32165.64521031112	6.343380304478781e6	-4.4187093863319576e-7
-0.00002705297231832756	2.6253321307678638e-11	NaN	NaN	NaN	-35725.90186496671	7.407991837959121e6	0.
-0.00002401331250727952	2.6253321307678638e-11	NaN	NaN	NaN	-39902.806794021926	8.718129073576532e6	0.
-0.000020973652696231478	2.6253321307678638e-11	NaN	NaN	NaN	-45129.50609438534	1.044202349009074e7	0.
-0.0000300926321293756	2.6253321307678638e-11	NaN	NaN	NaN	-32319.445485848304	6.388322861906381e6	0.
-0.00002690098932777516	2.6253321307678638e-11	NaN	NaN	NaN	-35914.55342391898	7.465781409953582e6	0.
-0.000023861329516727117	2.6253321307678638e-11	NaN	NaN	NaN	-40136.3944243941	8.793232536579238e6	0.
-0.000020821669705679075	2.6253321307678638e-11	NaN	NaN	NaN	-45425.16143661365	1.0542149811716547e7	0.
-0.000029940649138823198	2.6253321307678638e-11	NaN	NaN	NaN	-32474.68380708979	6.433784466452837e6	0.
-0.000026749006337222757	2.6253321307678638e-11	NaN	NaN	NaN	-36105.14163943174	7.5243010312749045e6	0.
-0.000023709346526174715	2.6253321307678638e-11	NaN	NaN	NaN	-40372.620077100764	8.86937537220168e6	0.
-0.000020669686715126676	2.6253321307678638e-11	NaN	NaN	NaN	-45724.51326174106	1.0643801011802113e7	0.
-0.000029788666148270795	2.6253321307678638e-11	NaN	NaN	NaN	-32631.379871519777	6.479769680233746e6	0.
-0.000026597023346670354	2.6253321307678638e-11	NaN	NaN	NaN	-36297.695451562155	7.583563009890013e6	0.
-0.000023557363535622312	2.6253321307678638e-11	NaN	NaN	NaN	-40611.52675149576	8.946576738176761e6	0.
-0.000020517703724574274	2.6253321307678638e-11	NaN	NaN	NaN	-46027.62745770185	1.0747007663863076e7	0.
-0.000029636683157718393	2.6253321307678638e-11	NaN	NaN	NaN	-32789.55372723904	6.526291991865906e6	0.
-0.00002644504035611795	2.6253321307678638e-11	NaN	NaN	NaN	-36492.24435819252	7.643579927933456e6	0.
-0.000023405380545069913	2.6253321307678638e-11	NaN	NaN	NaN	-40853.158341746705	9.024855805256605e6	0.
-0.00002036572073402187	2.6253321307678638e-11	NaN	NaN	NaN	-46334.57138869954	1.0851801471896209e7	0.
-0.000029484700167165993	2.6253321307678638e-11	NaN	NaN	NaN	-32949.22578054259	6.573358234621948e6	0.
-0.00002629305736556555	2.6253321307678638e-11	NaN	NaN	NaN	-36688.81842796555	7.70436523941259e6	0.
-0.00002325339755451751	2.6253321307678638e-11	NaN	NaN	NaN	-41097.559658933715	9.104233942101171e6	0.
-0.00002021373774346947	2.6253321307678638e-11	NaN	NaN	NaN	-46645.41393359848	1.095821423559433e7	0.
-0.00002933271717661359	2.6253321307678638e-11	NaN	NaN	NaN	-33110.416803688684	6.6209792307379935e6	0.
