# Filename	binding\31dfe975-c123-4a73-af61-e0c3a25ed350.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:10:04
# Dir	-1
# field	4.3561066466074183e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	4.3561066466074183e-11	NaN	NaN	NaN	-31478.385377181166	6.1055205465956e6	0.
-0.00002720495530887996	4.3561066466074183e-11	NaN	NaN	NaN	-34816.977612310875	7.077560588734816e6	0.
-0.000024165295497831922	4.3561066466074183e-11	NaN	NaN	NaN	-38684.096972861924	8.252355976381144e6	0.
-0.00002112563568678388	4.3561066466074183e-11	NaN	NaN	NaN	-43444.06214675559	9.762680213292915e6	0.
-0.000030244615119928003	4.3561066466074183e-11	NaN	NaN	NaN	-31623.389522449175	6.146870685759354e6	0.
-0.00002705297231832756	4.3561066466074183e-11	NaN	NaN	NaN	-34992.8131673171	7.129876837807073e6	0.
-0.00002401331250727952	4.3561066466074183e-11	NaN	NaN	NaN	-38898.726460548525	8.318990167989662e6	0.
-0.000020973652696231478	4.3561066466074183e-11	NaN	NaN	NaN	-43710.62267096186	9.849182438489767e6	0.
-0.0000300926321293756	4.3561066466074183e-11	NaN	NaN	NaN	-31769.67924111609	6.188670032496363e6	0.
-0.00002690098932777516	4.3561066466074183e-11	NaN	NaN	NaN	-35170.34250908489	7.182807436299152e6	0.
-0.000023861329516727117	4.3561066466074183e-11	NaN	NaN	NaN	-39115.601229017695	8.386467684134282e6	0.
-0.000020821669705679075	4.3561066466074183e-11	NaN	NaN	NaN	-43980.218701599435	9.936866645723201e6	0.
-0.000029940649138823198	4.3561066466074183e-11	NaN	NaN	NaN	-31917.270944537308	6.230924525982576e6	0.
-0.000026749006337222757	4.3561066466074183e-11	NaN	NaN	NaN	-35349.58889331836	7.236361834594727e6	0.
-0.000023709346526174715	4.3561066466074183e-11	NaN	NaN	NaN	-39334.75431384793	8.454803086260937e6	0.
-0.000020669686715126676	4.3561066466074183e-11	NaN	NaN	NaN	-44252.89795078809	1.0025753525971211e7	0.
-0.000029788666148270795	4.3561066466074183e-11	NaN	NaN	NaN	-32066.18131088546	6.273641480030801e6	0.
-0.000026597023346670354	4.3561066466074183e-11	NaN	NaN	NaN	-35530.5759772217	7.290548816146408e6	0.
-0.000023557363535622312	4.3561066466074183e-11	NaN	NaN	NaN	-39556.219351157095	8.524010454283714e6	0.
-0.000020517703724574274	4.3561066466074183e-11	NaN	NaN	NaN	-44528.70903291213	1.0115864032051792e7	0.
-0.000029636683157718393	4.3561066466074183e-11	NaN	NaN	NaN	-32216.427290284068	6.31682646587407e6	0.
-0.00002644504035611795	4.3561066466074183e-11	NaN	NaN	NaN	-35713.32782755576	7.345379066753767e6	0.
-0.000023405380545069913	4.3561066466074183e-11	NaN	NaN	NaN	-39780.030589948896	8.594104209248079e6	0.
-0.00002036572073402187	4.3561066466074183e-11	NaN	NaN	NaN	-44807.70148303185	1.020721999442192e7	0.
-0.000029484700167165993	4.3561066466074183e-11	NaN	NaN	NaN	-32368.026110052295	6.360487415108583e6	0.
-0.00002629305736556555	4.3561066466074183e-11	NaN	NaN	NaN	-35897.868928869684	7.400862447671827e6	0.
-0.00002325339755451751	4.3561066466074183e-11	NaN	NaN	NaN	-40006.222904720395	8.665099330658978e6	0.
-0.00002021373774346947	4.3561066466074183e-11	NaN	NaN	NaN	-45089.92577563803	1.0299842335256603e7	0.
-0.00002933271717661359	4.3561066466074183e-11	NaN	NaN	NaN	-32520.995280062103	6.4046317000885075e6	0.
-0.000026141074375013146	4.3561066466074183e-11	NaN	NaN	NaN	-36084.22419191196	7.457009478551963e6	0.
-0.000023101414563965108	4.3561066466074183e-11	NaN	NaN	NaN	-40234.83180833514	8.73701067501532e6	0.
-0.000020061754752917066	4.3561066466074183e-11	NaN	NaN	NaN	-45375.43334375218	1.0393754754399426e7	0.
-0.000029180734186061188	4.3561066466074183e-11	NaN	NaN	NaN	-32675.352598211033	6.449264424662819e6	0.
-0.000025989091384460747	4.3561066466074183e-11	NaN	NaN	NaN	-36272.418962224314	7.513830631210122e6	0.
-0.000022949431573412705	4.3561066466074183e-11	NaN	NaN	NaN	-40465.89346516689	8.809853880209057e6	0.
-0.000019909771762364663	4.3561066466074183e-11	NaN	NaN	NaN	-45664.27659837389	1.0488978454652617e7	0.
-0.000029028751195508785	4.3561066466074183e-11	NaN	NaN	NaN	-32831.11615601372	6.494394919092731e6	0.
-0.000025837108393908344	4.3561066466074183e-11	NaN	NaN	NaN	-36462.47902892256	7.571336123885912e6	0.
-0.000022797448582860302	4.3561066466074183e-11	NaN	NaN	NaN	-40699.44470451823	8.883644705136897e6	0.
-0.000019757788771812264	4.3561066466074183e-11	NaN	NaN	NaN	-45956.5089482783	1.0585538375365159e7	0.
-0.000028876768204956383	4.3561066466074183e-11	NaN	NaN	NaN	-32988.30434431331	6.540029911847186e6	0.
-0.000025685125403355942	4.3561066466074183e-11	NaN	NaN	NaN	-36654.43063366845	7.629537733773353e6	0.
-0.0000226454655923079	4.3561066466074183e-11	NaN	NaN	NaN	-40935.52303431897	8.958398579900887e6	0.
-0.00001960580578125986	4.3561066466074183e-11	NaN	NaN	NaN	-46252.184820163624	1.0683457181488918e7	0.
-0.000028724785214403984	4.3561066466074183e-11	NaN	NaN	NaN	-33146.93585911709	6.586176508108389e6	0.
-0.00002553314241280354	4.3561066466074183e-11	NaN	NaN	NaN	-36848.30047983598	7.688445352151943e6	0.
-0.0000224934826017555	4.3561066466074183e-11	NaN	NaN	NaN	-41174.16665510899	9.03413246680712e6	0.
-0.00001945382279070746	4.3561066466074183e-11	NaN	NaN	NaN	-46551.359679151	1.0782759053517703e7	0.
-0.00002857280222385158	4.3561066466074183e-11	NaN	NaN	NaN	-33307.029707558264	6.632842592896135e6	0.
-0.000025381159422251137	4.3561066466074183e-11	NaN	NaN	NaN	-37044.11574187726	7.748071354812573e6	0.
-0.000022341499611203098	4.3561066466074183e-11	NaN	NaN	NaN	-41415.41447430982	9.1108626655848e6	0.
-0.000019301839800155056	4.3561066466074183e-11	NaN	NaN	NaN	-46854.09004963646	1.0883469043551743e7	0.
-0.00002842081923329918	4.3561066466074183e-11	NaN	NaN	NaN	-33468.60521398688	6.680036606452488e6	0.
