# Filename	binding\32973dca-00b1-4516-be90-711cd7a2aa27.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-09T15:28:38
# Dir	1
# field	9.334514242730183e-12
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	9.334514242730183e-12	NaN	NaN	NaN	33237.67468209805	6.7567435008734e6	0.
-0.00002720495530887996	9.334514242730183e-12	NaN	NaN	NaN	37233.69036385685	8.019146931515437e6	-7.993944754446868e-7
-0.000024165295497831922	9.334514242730183e-12	NaN	NaN	NaN	42065.168259072634	9.642688141284555e6	0.
-0.00002112563568678388	9.334514242730183e-12	NaN	NaN	NaN	48369.632218068655	1.1913926485029614e7	-6.383959888035367e-7
-0.000030244615119928003	9.334514242730183e-12	NaN	NaN	NaN	33408.2058593803	6.809083435639481e6	0.
-0.00002705297231832756	9.334514242730183e-12	NaN	NaN	NaN	37448.40122835082	8.089069994757767e6	-1.5595174364515102e-7
-0.00002401331250727952	9.334514242730183e-12	NaN	NaN	NaN	42340.435104108976	9.738295486238603e6	-1.9622962759361628e-7
-0.000020973652696231478	9.334514242730183e-12	NaN	NaN	NaN	48735.96904469992	1.2051063416508604e7	0.
-0.0000300926321293756	9.334514242730183e-12	NaN	NaN	NaN	33580.514646884934	6.86211174033208e6	0.
-0.00002690098932777516	9.334514242730183e-12	NaN	NaN	NaN	37665.63617402651	8.160031703364619e6	0.
-0.000023861329516727117	9.334514242730183e-12	NaN	NaN	NaN	42619.39081782343	9.835522788153464e6	0.
-0.000020821669705679075	9.334514242730183e-12	NaN	NaN	NaN	49108.02603216231	1.219090889616066e7	-6.277084203805933e-7
-0.000029940649138823198	9.334514242730183e-12	NaN	NaN	NaN	33754.629282099086	6.915835154109525e6	0.
-0.000026749006337222757	9.334514242730183e-12	NaN	NaN	NaN	37885.440572765845	8.232047879205432e6	0.
-0.000023709346526174715	9.334514242730183e-12	NaN	NaN	NaN	42902.1113360486	9.934406135954177e6	0.
-0.000020669686715126676	9.334514242730183e-12	NaN	NaN	NaN	49485.94130058927	1.2333545268533818e7	0.
-0.000029788666148270795	9.334514242730183e-12	NaN	NaN	NaN	33930.57861009945	6.970272553816956e6	-1.162945008394875e-7
-0.000026597023346670354	9.334514242730183e-12	NaN	NaN	NaN	38107.86090491334	8.305144210024953e6	-7.38866768896097e-7
-0.000023557363535622312	9.334514242730183e-12	NaN	NaN	NaN	43188.67472859368	1.0034986836206412e7	0.
-0.000020517703724574274	9.334514242730183e-12	NaN	NaN	NaN	49869.85755271081	1.2479049402914187e7	-2.3831613701406077e-7
-0.000029636683157718393	9.334514242730183e-12	NaN	NaN	NaN	34108.39210014966	7.025440031539436e6	0.
-0.00002644504035611795	9.334514242730183e-12	NaN	NaN	NaN	38332.944793772585	8.37934617477553e6	0.
-0.000023405380545069913	9.334514242730183e-12	NaN	NaN	NaN	43479.161275967046	1.0137305989332875e7	-5.141009594466471e-7
-0.00002036572073402187	9.334514242730183e-12	NaN	NaN	NaN	50259.92226955806	1.2627507980664192e7	-3.138566937256184e-7
-0.000029484700167165993	9.334514242730183e-12	NaN	NaN	NaN	34288.099862855655	7.081341581433594e6	0.
-0.00002629305736556555	9.334514242730183e-12	NaN	NaN	NaN	38560.74104141669	8.454672928034345e6	-2.281249474563865e-7
-0.00002325339755451751	9.334514242730183e-12	NaN	NaN	NaN	43773.65354948185	1.024141043570185e7	0.
-0.00002021373774346947	9.334514242730183e-12	NaN	NaN	NaN	50656.28791648843	1.2779008043940032e7	0.
-0.00002933271717661359	9.334514242730183e-12	NaN	NaN	NaN	34469.732667890865	7.137998162376416e6	0.
