# Filename	binding\37ada6db-945a-4305-ba06-eb978056763b.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:08:40
# Dir	-1
# field	3.519889745696173e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	3.519889745696173e-11	NaN	NaN	NaN	-31732.388628299952	6.196890517475402e6	0.
-0.000024165295497831922	3.519889745696173e-11	NaN	NaN	NaN	-39149.20283140757	8.435360908173889e6	0.
-0.00002112563568678388	3.519889745696173e-11	NaN	NaN	NaN	-44096.05029324156	1.0031777160796203e7	0.
-0.000030244615119928003	3.519889745696173e-11	NaN	NaN	NaN	-31880.856280945933	6.239677234101619e6	0.
-0.00002720495530887996	3.519889745696173e-11	NaN	NaN	NaN	-35158.65206667327	7.206062790642153e6	0.
-0.00002401331250727952	3.519889745696173e-11	NaN	NaN	NaN	-39371.40768171546	8.505410131527694e6	0.
-0.000020973652696231478	3.519889745696173e-11	NaN	NaN	NaN	-44374.27721499196	1.0123768095044231e7	0.
-0.0000300926321293756	3.519889745696173e-11	NaN	NaN	NaN	-32030.671097920327	6.282942699996827e6	0.
-0.00002705297231832756	3.519889745696173e-11	NaN	NaN	NaN	-35339.577064265744	7.260580275677284e6	0.
-0.000023861329516727117	3.519889745696173e-11	NaN	NaN	NaN	-39596.01665617501	8.576380554823315e6	0.
-0.000020821669705679075	3.519889745696173e-11	NaN	NaN	NaN	-44655.80567113614	1.0217077502184417e7	0.
-0.000029940649138823198	3.519889745696173e-11	NaN	NaN	NaN	-32181.850827805658	6.326689788120617e6	0.
-0.00002690098932777516	3.519889745696173e-11	NaN	NaN	NaN	-35522.29416235528	7.315759083690125e6	0.
-0.000023709346526174715	3.519889745696173e-11	NaN	NaN	NaN	-39823.06679787572	8.648289660269126e6	0.
-0.000020669686715126676	3.519889745696173e-11	NaN	NaN	NaN	-44940.690585918666	1.031173123087535e7	0.
-0.000029788666148270795	3.519889745696173e-11	NaN	NaN	NaN	-32334.4135199587	6.370929692411317e6	0.
-0.000026749006337222757	3.519889745696173e-11	NaN	NaN	NaN	-35706.828920851694	7.371608133450519e6	0.
-0.000023557363535622312	3.519889745696173e-11	NaN	NaN	NaN	-40052.59586664535	8.721155290434675e6	0.
-0.000020517703724574274	3.519889745696173e-11	NaN	NaN	NaN	-45228.98800715623	1.0407753975712372e7	0.
-0.000029636683157718393	3.519889745696173e-11	NaN	NaN	NaN	-32488.37753062136	6.415669005528251e6	0.
-0.000026597023346670354	3.519889745696173e-11	NaN	NaN	NaN	-35893.20736386367	7.428140931323441e6	0.
-0.000023405380545069913	3.519889745696173e-11	NaN	NaN	NaN	-40284.642355130214	8.79499227146067e6	0.
-0.00002036572073402187	3.519889745696173e-11	NaN	NaN	NaN	-45520.755132015554	1.0505171459858589e7	0.
-0.000029484700167165993	3.519889745696173e-11	NaN	NaN	NaN	-32643.761529173655	6.460915138031552e6	0.
-0.00002644504035611795	3.519889745696173e-11	NaN	NaN	NaN	-36081.45598967107	7.485367419017738e6	0.
-0.00002325339755451751	3.519889745696173e-11	NaN	NaN	NaN	-40519.245505265826	8.869819141759174e6	0.
-0.00002021373774346947	3.519889745696173e-11	NaN	NaN	NaN	-45816.05033338789	1.060401024327465e7	0.
-0.00002933271717661359	3.519889745696173e-11	NaN	NaN	NaN	-32800.58450453189	6.506676611456608e6	0.
-0.00002629305736556555	3.519889745696173e-11	NaN	NaN	NaN	-36271.60178093708	7.543298817137042e6	0.
-0.000023101414563965108	3.519889745696173e-11	NaN	NaN	NaN	-40756.445325145556	8.94565151903318e6	0.
-0.000020061754752917066	3.519889745696173e-11	NaN	NaN	NaN	-46114.93318687089	1.0704295825860595e7	0.
-0.000029180734186061188	3.519889745696173e-11	NaN	NaN	NaN	-32958.8657716953	6.552958720256903e6	0.
-0.000026141074375013146	3.519889745696173e-11	NaN	NaN	NaN	-36463.672215165556	7.601947562911636e6	0.
-0.000022949431573412705	3.519889745696173e-11	NaN	NaN	NaN	-40996.28260629822	9.022509875784079e6	0.
-0.000019909771762364663	3.519889745696173e-11	NaN	NaN	NaN	-46417.464498369176	1.0806058188080251e7	0.
-0.000029028751195508785	3.519889745696173e-11	NaN	NaN	NaN	-33118.62497844596	6.599772113120169e6	0.
-0.000025989091384460747	3.519889745696173e-11	NaN	NaN	NaN	-36657.6952754097	7.66132536587773e6	0.
-0.000022797448582860302	3.519889745696173e-11	NaN	NaN	NaN	-41238.798941382585	9.100410165892413e6	0.
-0.000019757788771812264	3.519889745696173e-11	NaN	NaN	NaN	-46723.70633232273	1.0909322393918093e7	0.
-0.000028876768204956383	3.519889745696173e-11	NaN	NaN	NaN	-33279.882112204155	6.647124347355777e6	0.
-0.000025837108393908344	3.519889745696173e-11	NaN	NaN	NaN	-36853.69946123888	7.7214432604310475e6	0.
-0.0000226454655923079	3.519889745696173e-11	NaN	NaN	NaN	-41484.03674231007	9.179371957103962e6	0.
-0.00001960580578125986	3.519889745696173e-11	NaN	NaN	NaN	-47033.72204057589	1.10141198166776e7	0.
-0.000028724785214403984	3.519889745696173e-11	NaN	NaN	NaN	-33442.65750704483	6.695023515016867e6	0.
-0.000025685125403355942	3.519889745696173e-11	NaN	NaN	NaN	-37051.71379996985	7.78231491567901e6	0.
-0.0000224934826017555	3.519889745696173e-11	NaN	NaN	NaN	-41732.03925880421	9.2594152054476e6	0.
-0.00001945382279070746	3.519889745696173e-11	NaN	NaN	NaN	-47347.57629189438	1.1120479046085142e7	0.
-0.00002857280222385158	3.519889745696173e-11	NaN	NaN	NaN	-33606.971850878355	6.743478455976142e6	0.
-0.00002553314241280354	3.519889745696173e-11	NaN	NaN	NaN	-37251.76785816858	7.843951949757926e6	0.
-0.000022341499611203098	3.519889745696173e-11	NaN	NaN	NaN	-41982.8505974072	9.34055741280362e6	0.
-0.000019301839800155056	3.519889745696173e-11	NaN	NaN	NaN	-47665.335102142686	1.1228427634311536e7	0.
-0.00002842081923329918	3.519889745696173e-11	NaN	NaN	NaN	-33772.84619279968	6.792497602815062e6	0.
-0.000025381159422251137	3.519889745696173e-11	NaN	NaN	NaN	-37453.89175343036	7.906368423984571e6	0.
-0.000022189516620650695	3.519889745696173e-11	NaN	NaN	NaN	-42236.515740944364	9.422820218739232e6	0.
-0.000019149856809602654	3.519889745696173e-11	NaN	NaN	NaN	-47987.06586513052	1.1337999791599855e7	0.
-0.000028268836242746776	3.519889745696173e-11	NaN	NaN	NaN	-33940.301950610636	6.84208947661622e6	0.
-0.000025229176431698734	3.519889745696173e-11	NaN	NaN	NaN	-37658.11616644401	7.969575595866635e6	0.
-0.000022037533630098293	3.519889745696173e-11	NaN	NaN	NaN	-42493.080568455356	9.506224086791417e6	0.
-0.000028116853252194373	3.519889745696173e-11	NaN	NaN	NaN	-34109.360918519575	6.892264314558489e6	0.
-0.000025077193441146335	3.519889745696173e-11	NaN	NaN	NaN	-37864.47235334864	8.033588729769846e6	0.
-0.00002188555063954589	3.519889745696173e-11	NaN	NaN	NaN	-42752.59187560374	9.590786819567055e6	0.
-0.000018997873819050254	3.519889745696173e-11	NaN	NaN	NaN	-48312.83738413708	1.1449224041768149e7	0.
-0.00002796487026164197	3.519889745696173e-11	NaN	NaN	NaN	-34280.04527502213	6.943029705197503e6	0.
-0.000024925210450593932	3.519889745696173e-11	NaN	NaN	NaN	-38072.992158388624	8.098420601826425e6	0.
-0.000021733567648993488	3.519889745696173e-11	NaN	NaN	NaN	-43015.09739557514	9.676532833029028e6	0.
-0.00001884589082849785	3.519889745696173e-11	NaN	NaN	NaN	-48642.719904123864	1.1562134384444881e7	0.
-0.00002781288727108957	3.519889745696173e-11	NaN	NaN	NaN	-34452.37759096943	6.994396468014454e6	0.
-0.00002477322746004153	3.519889745696173e-11	NaN	NaN	NaN	-38283.70802687572	8.164085401731668e6	0.
-0.00002158158465844109	3.519889745696173e-11	NaN	NaN	NaN	-43280.64582047363	9.763482280141316e6	0.
-0.00001869390783794545	3.519889745696173e-11	NaN	NaN	NaN	-48976.78514464258	1.1676762113170218e7	0.
-0.00002766090428053717	3.519889745696173e-11	NaN	NaN	NaN	-34626.38083782635	7.04637288470257e6	0.
-0.000024621244469489127	3.519889745696173e-11	NaN	NaN	NaN	-38496.653018464815	8.230597161117708e6	0.
-0.000021429601667888686	3.519889745696173e-11	NaN	NaN	NaN	-43549.28682322847	9.851657776852196e6	0.
-0.000018541924847393046	3.519889745696173e-11	NaN	NaN	NaN	-49315.106333448064	1.1793142093348576e7	0.
-0.000027508921289984766	3.519889745696173e-11	NaN	NaN	NaN	-34802.078396126504	7.098969735179786e6	0.
-0.000024469261478936724	3.519889745696173e-11	NaN	NaN	NaN	-38711.86082075167	8.2979707275201585e6	0.
-0.000021277618677336283	3.519889745696173e-11	NaN	NaN	NaN	-43821.07108002077	9.941081683858704e6	0.
-0.000018389941856840644	3.519889745696173e-11	NaN	NaN	NaN	-49657.75824082221	1.191130630562174e7	0.
-0.000027356938299432364	3.519889745696173e-11	NaN	NaN	NaN	-34979.49406412759	7.152195966904831e6	0.
-0.000024317278488384322	3.519889745696173e-11	NaN	NaN	NaN	-38929.365763200185	8.3662200498082265e6	0.
-0.00001823795886628824	3.519889745696173e-11	NaN	NaN	NaN	-50004.817214617244	1.2031291787172556e7	0.
-0.0000150463160646878	3.519889745696173e-11	NaN	NaN	NaN	-58465.09397821173	1.5042369197323622e7	0.
-0.00001200665625363976	3.519889745696173e-11	NaN	NaN	NaN	-69234.63030910015	1.9074453086252388e7	0.
-0.000018085975875735842	3.519889745696173e-11	NaN	NaN	NaN	-50356.36121602315	1.2153133815771965e7	0.
-8.96699644259172e-6	3.519889745696173e-11	NaN	NaN	NaN	-83893.0456787003	2.4811585739102416e7	0.
-0.000014894333074135398	3.519889745696173e-11	NaN	NaN	NaN	-58932.108933398595	1.5213003840974761e7	0.
-0.000011854673263087357	3.519889745696173e-11	NaN	NaN	NaN	-69862.8103178826	1.931522453751661e7	0.
-0.00001793399288518344	3.519889745696173e-11	NaN	NaN	NaN	-50712.469856065836	1.2276867109879134e7	0.
-8.815013452039317e-6	3.519889745696173e-11	NaN	NaN	NaN	-84757.39634818761	2.5156211913380332e7	0.
-0.000014742350083582997	3.519889745696173e-11	NaN	NaN	NaN	-59405.813894295905	1.5386513361586384e7	0.
-0.000011702690272534956	3.519889745696173e-11	NaN	NaN	NaN	-70500.78098442686	1.9560296412524853e7	0.
-0.000017782009894631037	3.519889745696173e-11	NaN	NaN	NaN	-51073.224432840434	1.2402531375894146e7	0.
-8.663030461486915e-6	3.519889745696173e-11	NaN	NaN	NaN	-85636.05082267283	2.5507097707509402e7	0.
-0.000014590367093030594	3.519889745696173e-11	NaN	NaN	NaN	-59886.33546845823	1.5562955590913948e7	0.
-0.000011550707281982554	3.519889745696173e-11	NaN	NaN	NaN	-71148.73222452187	1.9809755946158964e7	0.
-0.000017630026904078634	3.519889745696173e-11	NaN	NaN	NaN	-51438.70796948245	1.2530163450774102e7	0.
-8.511047470934514e-6	3.519889745696173e-11	NaN	NaN	NaN	-86529.27395426633	2.5864349740657654e7	0.
-0.000014438384102478191	3.519889745696173e-11	NaN	NaN	NaN	-60373.80294660247	1.5742392267331252e7	0.
-0.000011398724291430151	3.519889745696173e-11	NaN	NaN	NaN	-71806.85760244065	2.006368872159972e7	0.
-0.00001747804391352623	3.519889745696173e-11	NaN	NaN	NaN	-51809.005252881085	1.2659803179149093e7	0.
-8.359064480382111e-6	3.519889745696173e-11	NaN	NaN	NaN	-87437.33404742142	2.6228077259028584e7	0.
