# Filename	binding\37f69692-c1a1-4012-95a7-a6fc6d65b629.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T17:59:58
# Dir	-1
# field	1.4001771364095272e-11
# zi	-6.
W	field	zb	tb	argtbzt	tt	argtt
-0.000030396598110480406	1.4001771364095272e-11	NaN	NaN	NaN	-32414.430106524305	-32414.430106524305	3.141592653589793
-0.00002720495530887996	1.4001771364095272e-11	NaN	NaN	NaN	-36087.732540050885	-36087.732540050885	3.141592653589793
-0.000024165295497831922	1.4001771364095272e-11	NaN	NaN	NaN	-40434.34899912357	-40434.34899912357	3.141592653589793
-0.00002112563568678388	1.4001771364095272e-11	NaN	NaN	NaN	-45937.22416273229	-45937.22416273229	3.141592653589793
-0.000030244615119928003	1.4001771364095272e-11	NaN	NaN	NaN	-32572.559250653034	-32572.559250653034	3.141592653589793
-0.00002705297231832756	1.4001771364095272e-11	NaN	NaN	NaN	-36283.15277355618	-36283.15277355618	3.141592653589793
-0.00002401331250727952	1.4001771364095272e-11	NaN	NaN	NaN	-40678.705584423195	-40678.705584423195	3.141592653589793
-0.000020973652696231478	1.4001771364095272e-11	NaN	NaN	NaN	-46250.80375765369	-46250.80375765369	3.141592653589793
-0.0000300926321293756	1.4001771364095272e-11	NaN	NaN	NaN	-32732.215864461756	-32732.215864461756	3.141592653589793
-0.00002690098932777516	1.4001771364095272e-11	NaN	NaN	NaN	-36480.66205975535	-36480.66205975535	3.141592653589793
-0.000023861329516727117	1.4001771364095272e-11	NaN	NaN	NaN	-40925.965474635086	-40925.965474635086	3.141592653589793
-0.000020821669705679075	1.4001771364095272e-11	NaN	NaN	NaN	-46568.56689918045	-46568.56689918045	3.141592653589793
-0.000029940649138823198	1.4001771364095272e-11	NaN	NaN	NaN	-32893.42185078589	-32893.42185078589	3.141592653589793
-0.000026749006337222757	1.4001771364095272e-11	NaN	NaN	NaN	-36680.293442713184	-36680.293442713184	3.141592653589793
-0.000023709346526174715	1.4001771364095272e-11	NaN	NaN	NaN	-41176.17948741376	-41176.17948741376	3.141592653589793
-0.000020669686715126676	1.4001771364095272e-11	NaN	NaN	NaN	-46890.59527858624	-46890.59527858624	3.141592653589793
-0.000029788666148270795	1.4001771364095272e-11	NaN	NaN	NaN	-33056.19952660346	-33056.19952660346	3.141592653589793
-0.000026597023346670354	1.4001771364095272e-11	NaN	NaN	NaN	-36882.08065325913	-36882.08065325913	3.141592653589793
-0.000023557363535622312	1.4001771364095272e-11	NaN	NaN	NaN	-41429.399603336096	-41429.399603336096	3.141592653589793
-0.000020517703724574274	1.4001771364095272e-11	NaN	NaN	NaN	-47216.97265706656	-47216.97265706656	3.141592653589793
-0.000029636683157718393	1.4001771364095272e-11	NaN	NaN	NaN	-33220.5716327072	-33220.5716327072	3.141592653589793
-0.00002644504035611795	1.4001771364095272e-11	NaN	NaN	NaN	-37086.05812654206	-37086.05812654206	3.141592653589793
-0.000023405380545069913	1.4001771364095272e-11	NaN	NaN	NaN	-41685.678998440875	-41685.678998440875	3.141592653589793
-0.00002036572073402187	1.4001771364095272e-11	NaN	NaN	NaN	-47547.78492927549	-47547.78492927549	3.141592653589793
-0.000029484700167165993	1.4001771364095272e-11	NaN	NaN	NaN	-33386.561343641704	-33386.561343641704	3.141592653589793
-0.00002629305736556555	1.4001771364095272e-11	NaN	NaN	NaN	-37292.26102011424	-37292.26102011424	3.141592653589793
-0.00002325339755451751	1.4001771364095272e-11	NaN	NaN	NaN	-41945.072077833924	-41945.072077833924	3.141592653589793
-0.00002021373774346947	1.4001771364095272e-11	NaN	NaN	NaN	-47883.120189115834	-47883.120189115834	3.141592653589793
-0.00002933271717661359	1.4001771364095272e-11	NaN	NaN	NaN	-33554.192277918635	-33554.192277918635	3.141592653589793
-0.000026141074375013146	1.4001771364095272e-11	NaN	NaN	NaN	-37500.72523256211	-37500.72523256211	3.141592653589793
-0.000023101414563965108	1.4001771364095272e-11	NaN	NaN	NaN	-42207.63451039671	-42207.63451039671	3.141592653589793
-0.000020061754752917066	1.4001771364095272e-11	NaN	NaN	NaN	-48223.06879787131	-48223.06879787131	3.141592653589793
-0.000029180734186061188	1.4001771364095272e-11	NaN	NaN	NaN	-33723.488508515016	-33723.488508515016	3.141592653589793
