# Filename	binding\3bc87e80-f89c-454a-80c6-3ea86bda2057.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T18:02:02
# Dir	-1
# field	2.605885226095509e-11
# zi	-6.
W	field	zb	tb	argtbzt	tt	argtt
-0.000030396598110480406	2.605885226095509e-11	NaN	NaN	NaN	-32019.479127949286	-32019.479127949286	3.141592653589793
-0.00002720495530887996	2.605885226095509e-11	NaN	NaN	NaN	-35547.61151367671	-35547.61151367671	3.141592653589793
-0.000024165295497831922	2.605885226095509e-11	NaN	NaN	NaN	-39683.482170117764	-39683.482170117764	3.141592653589793
-0.00002112563568678388	2.605885226095509e-11	NaN	NaN	NaN	-44854.145713554404	-44854.145713554404	3.141592653589793
-0.000030244615119928003	2.605885226095509e-11	NaN	NaN	NaN	-32171.948337880527	-32171.948337880527	3.141592653589793
-0.00002705297231832756	2.605885226095509e-11	NaN	NaN	NaN	-35734.48589972615	-35734.48589972615	3.141592653589793
-0.00002401331250727952	2.605885226095509e-11	NaN	NaN	NaN	-39914.67346662618	-39914.67346662618	3.141592653589793
-0.000020973652696231478	2.605885226095509e-11	NaN	NaN	NaN	-45146.48574469769	-45146.48574469769	3.141592653589793
-0.0000300926321293756	2.605885226095509e-11	NaN	NaN	NaN	-32325.837864141507	-32325.837864141507	3.141592653589793
-0.00002690098932777516	2.605885226095509e-11	NaN	NaN	NaN	-35923.27121128417	-35923.27121128417	3.141592653589793
-0.000023861329516727117	2.605885226095509e-11	NaN	NaN	NaN	-40148.465109469165	-40148.465109469165	3.141592653589793
-0.000020821669705679075	2.605885226095509e-11	NaN	NaN	NaN	-45442.465601326425	-45442.465601326425	3.141592653589793
-0.000029940649138823198	2.605885226095509e-11	NaN	NaN	NaN	-32481.16709812204	-32481.16709812204	3.141592653589793
-0.000026749006337222757	2.605885226095509e-11	NaN	NaN	NaN	-36113.9959096048	-36113.9959096048	3.141592653589793
-0.000023709346526174715	2.605885226095509e-11	NaN	NaN	NaN	-40384.89934577007	-40384.89934577007	3.141592653589793
-0.000020669686715126676	2.605885226095509e-11	NaN	NaN	NaN	-45742.14996440994	-45742.14996440994	3.141592653589793
-0.000029788666148270795	2.605885226095509e-11	NaN	NaN	NaN	-32637.95577543686	-32637.95577543686	3.141592653589793
-0.000026597023346670354	2.605885226095509e-11	NaN	NaN	NaN	-36306.68900311349	-36306.68900311349	3.141592653589793
-0.000023557363535622312	2.605885226095509e-11	NaN	NaN	NaN	-40624.019299811815	-40624.019299811815	3.141592653589793
-0.000020517703724574274	2.605885226095509e-11	NaN	NaN	NaN	-46045.60496183474	-46045.60496183474	3.141592653589793
-0.000029636683157718393	2.605885226095509e-11	NaN	NaN	NaN	-32796.22398335018	-32796.22398335018	3.141592653589793
-0.00002644504035611795	2.605885226095509e-11	NaN	NaN	NaN	-36501.380060073985	-36501.380060073985	3.141592653589793
-0.000023405380545069913	2.605885226095509e-11	NaN	NaN	NaN	-40865.86899467874	-40865.86899467874	3.141592653589793
-0.00002036572073402187	2.605885226095509e-11	NaN	NaN	NaN	-46352.89820605375	-46352.89820605375	3.141592653589793
-0.000029484700167165993	2.605885226095509e-11	NaN	NaN	NaN	-32955.99216838678	-32955.99216838678	3.141592653589793
-0.00002629305736556555	2.605885226095509e-11	NaN	NaN	NaN	-36698.09922159093	-36698.09922159093	3.141592653589793
-0.00002325339755451751	2.605885226095509e-11	NaN	NaN	NaN	-41110.49337449945	-41110.49337449945	3.141592653589793
-0.00002021373774346947	2.605885226095509e-11	NaN	NaN	NaN	-46664.09883279822	-46664.09883279822	3.141592653589793
-0.00002933271717661359	2.605885226095509e-11	NaN	NaN	NaN	-33117.28114413311	-33117.28114413311	3.141592653589793
-0.000026141074375013146	2.605885226095509e-11	NaN	NaN	NaN	-36896.877214958564	-36896.877214958564	3.141592653589793
-0.000023101414563965108	2.605885226095509e-11	NaN	NaN	NaN	-41357.93832730721	-41357.93832730721	3.141592653589793
-0.000020061754752917066	2.605885226095509e-11	NaN	NaN	NaN	-46979.27754088251	-46979.27754088251	3.141592653589793
-0.000029180734186061188	2.605885226095509e-11	NaN	NaN	NaN	-33280.11209923591	-33280.11209923591	3.141592653589793
-0.000025989091384460747	2.605885226095509e-11	NaN	NaN	NaN	-37097.745367365824	-37097.745367365824	3.141592653589793
-0.000022949431573412705	2.605885226095509e-11	NaN	NaN	NaN	-41608.25070853725	-41608.25070853725	3.141592653589793
-0.000019909771762364663	2.605885226095509e-11	NaN	NaN	NaN	-47298.50663313102	-47298.50663313102	3.141592653589793
-0.000029028751195508785	2.605885226095509e-11	NaN	NaN	NaN	-33444.50660560284	-33444.50660560284	3.141592653589793
-0.000025837108393908344	2.605885226095509e-11	NaN	NaN	NaN	-37300.73561996739	-37300.73561996739	3.141592653589793
-0.000022797448582860302	2.605885226095509e-11	NaN	NaN	NaN	-41861.47836517885	-41861.47836517885	3.141592653589793
-0.000019757788771812264	2.605885226095509e-11	NaN	NaN	NaN	-47621.860058460145	-47621.860058460145	3.141592653589793
-0.000028876768204956383	2.605885226095509e-11	NaN	NaN	NaN	-33610.4866268097	-33610.4866268097	3.141592653589793
-0.000025685125403355942	2.605885226095509e-11	NaN	NaN	NaN	-37505.88054233285	-37505.88054233285	3.141592653589793
-0.0000226454655923079	2.605885226095509e-11	NaN	NaN	NaN	-42117.6701606019	-42117.6701606019	3.141592653589793
-0.00001960580578125986	2.605885226095509e-11	NaN	NaN	NaN	-47949.41345514393	-47949.41345514393	3.141592653589793
-0.000028724785214403984	2.605885226095509e-11	NaN	NaN	NaN	-33778.074526722456	-33778.074526722456	3.141592653589793
-0.00002553314241280354	2.605885226095509e-11	NaN	NaN	NaN	-37713.21334728316	-37713.21334728316	3.141592653589793
-0.0000224934826017555	2.605885226095509e-11	NaN	NaN	NaN	-42376.8760000775	-42376.8760000775	3.141592653589793
-0.00001945382279070746	2.605885226095509e-11	NaN	NaN	NaN	-48281.24419529798	-48281.24419529798	3.141592653589793
-0.00002857280222385158	2.605885226095509e-11	NaN	NaN	NaN	-33947.293078338545	-33947.293078338545	3.141592653589793
-0.000025381159422251137	2.605885226095509e-11	NaN	NaN	NaN	-37922.76790612783	-37922.76790612783	3.141592653589793
-0.000022341499611203098	2.605885226095509e-11	NaN	NaN	NaN	-42639.14685701403	-42639.14685701403	3.141592653589793
-0.000019301839800155056	2.605885226095509e-11	NaN	NaN	NaN	-48617.431430612975	-48617.431430612975	3.141592653589793
-0.00002842081923329918	2.605885226095509e-11	NaN	NaN	NaN	-34118.16547285361	-34118.16547285361	3.141592653589793
-0.000025229176431698734	2.605885226095509e-11	NaN	NaN	NaN	-38134.57876431257	-38134.57876431257	3.141592653589793
-0.000022189516620650695	2.605885226095509e-11	NaN	NaN	NaN	-42904.534799927234	-42904.534799927234	3.141592653589793
-0.000019149856809602654	2.605885226095509e-11	NaN	NaN	NaN	-48958.056139370805	-48958.056139370805	3.141592653589793
-0.000028268836242746776	2.605885226095509e-11	NaN	NaN	NaN	-34290.71532896106	-34290.71532896106	3.141592653589793
-0.000025077193441146335	2.605885226095509e-11	NaN	NaN	NaN	-38348.681157491446	-38348.681157491446	3.141592653589793
-0.000022037533630098293	2.605885226095509e-11	NaN	NaN	NaN	-43173.093020169006	-43173.093020169006	3.141592653589793
-0.000018997873819050254	2.605885226095509e-11	NaN	NaN	NaN	-49303.201174778296	-49303.201174778296	3.141592653589793
-0.000028116853252194373	2.605885226095509e-11	NaN	NaN	NaN	-34464.96670239027	-34464.96670239027	3.141592653589793
-0.000024925210450593932	2.605885226095509e-11	NaN	NaN	NaN	-38565.111028034255	-38565.111028034255	3.141592653589793
-0.00002188555063954589	2.605885226095509e-11	NaN	NaN	NaN	-43444.87586043408	-43444.87586043408	3.141592653589793
-0.00001884589082849785	2.605885226095509e-11	NaN	NaN	NaN	-49652.95131465084	-49652.95131465084	3.141592653589793
-0.00002796487026164197	2.605885226095509e-11	NaN	NaN	NaN	-34640.94409569105	-34640.94409569105	3.141592653589793
-0.00002477322746004153	2.605885226095509e-11	NaN	NaN	NaN	-38783.90504198355	-38783.90504198355	3.141592653589793
-0.000021733567648993488	2.605885226095509e-11	NaN	NaN	NaN	-43719.93884406916	-43719.93884406916	3.141592653589793
-0.00001869390783794545	2.605885226095509e-11	NaN	NaN	NaN	-50007.39331248251	-50007.39331248251	3.141592653589793
-0.00002781288727108957	2.605885226095509e-11	NaN	NaN	NaN	-34818.67246826999	-34818.67246826999	3.141592653589793
-0.000024621244469489127	2.605885226095509e-11	NaN	NaN	NaN	-39005.100606473185	-39005.100606473185	3.141592653589793
-0.00002158158465844109	2.605885226095509e-11	NaN	NaN	NaN	-43998.338705207454	-43998.338705207454	3.141592653589793
-0.000018541924847393046	2.605885226095509e-11	NaN	NaN	NaN	-50366.61594993634	-50366.61594993634	3.141592653589793
-0.00002766090428053717	2.605885226095509e-11	NaN	NaN	NaN	-34998.17724668766	-34998.17724668766	3.141592653589793
-0.000024469261478936724	2.605885226095509e-11	NaN	NaN	NaN	-39228.735887622555	-39228.735887622555	3.141592653589793
-0.000021429601667888686	2.605885226095509e-11	NaN	NaN	NaN	-44280.13341975146	-44280.13341975146	3.141592653589793
-0.000018389941856840644	2.605885226095509e-11	NaN	NaN	NaN	-50730.71009079123	-50730.71009079123	3.141592653589793
-0.000027508921289984766	2.605885226095509e-11	NaN	NaN	NaN	-35179.484335223075	-35179.484335223075	3.141592653589793
-0.000024317278488384322	2.605885226095509e-11	NaN	NaN	NaN	-39454.84982892139	-39454.84982892139	3.141592653589793
-0.000021277618677336283	2.605885226095509e-11	NaN	NaN	NaN	-44565.38223723009	-44565.38223723009	3.141592653589793
-0.00001823795886628824	2.605885226095509e-11	NaN	NaN	NaN	-51099.768736380516	-51099.768736380516	3.141592653589793
-0.000027356938299432364	2.605885226095509e-11	NaN	NaN	NaN	-35362.620126713366	-35362.620126713366	3.141592653589793
-0.000018085975875735842	2.605885226095509e-11	NaN	NaN	NaN	-51473.887082558314	-51473.887082558314	3.141592653589793
-0.0000150463160646878	2.605885226095509e-11	NaN	NaN	NaN	-60187.5408845392	-60187.5408845392	3.141592653589793
