# Filename	binding\3cc9ef02-26ff-4a52-88cc-9b98881a0109.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:11:39
# Dir	-1
# field	5.309004975552791e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	5.309004975552791e-11	NaN	NaN	NaN	-31198.402843451913	6.005810215868744e6	0.
-0.00002720495530887996	5.309004975552791e-11	NaN	NaN	NaN	-34442.932708782486	6.938564379294385e6	0.
-0.000024165295497831922	5.309004975552791e-11	NaN	NaN	NaN	-38179.25561520497	8.056565050806727e6	0.
-0.00002112563568678388	5.309004975552791e-11	NaN	NaN	NaN	-42744.299149318686	9.47889145886412e6	0.
-0.000030244615119928003	5.309004975552791e-11	NaN	NaN	NaN	-31339.670825706286	6.045631495197893e6	0.
-0.00002705297231832756	5.309004975552791e-11	NaN	NaN	NaN	-34613.33898499456	6.988568679368198e6	0.
-0.00002401331250727952	5.309004975552791e-11	NaN	NaN	NaN	-38385.91435635516	8.119671516171202e6	0.
-0.000020973652696231478	5.309004975552791e-11	NaN	NaN	NaN	-42998.80310361247	9.559846316390624e6	0.
-0.0000300926321293756	5.309004975552791e-11	NaN	NaN	NaN	-31482.159721370783	6.085870888389538e6	0.
-0.00002690098932777516	5.309004975552791e-11	NaN	NaN	NaN	-34785.33752635813	7.039141499892613e6	0.
-0.000023861329516727117	5.309004975552791e-11	NaN	NaN	NaN	-38594.65765277304	8.183544070052312e6	0.
-0.000020821669705679075	5.309004975552791e-11	NaN	NaN	NaN	-43256.080401353065	9.641851545648945e6	0.
-0.000029940649138823198	5.309004975552791e-11	NaN	NaN	NaN	-31625.88458385674	6.126536955901316e6	0.
-0.000026749006337222757	5.309004975552791e-11	NaN	NaN	NaN	-34958.94930247163	7.090285598296997e6	0.
-0.000023709346526174715	5.309004975552791e-11	NaN	NaN	NaN	-38805.51467622987	8.248193006768693e6	0.
-0.000020669686715126676	5.309004975552791e-11	NaN	NaN	NaN	-43516.17205515723	9.724923945520451e6	0.
-0.000029788666148270795	5.309004975552791e-11	NaN	NaN	NaN	-31770.86070027167	6.167634127911886e6	0.
-0.000026597023346670354	5.309004975552791e-11	NaN	NaN	NaN	-35134.19562519621	7.142013835888988e6	0.
-0.000023557363535622312	5.309004975552791e-11	NaN	NaN	NaN	-39018.51509350091	8.313632525889398e6	0.
-0.000020517703724574274	5.309004975552791e-11	NaN	NaN	NaN	-43779.11978905992	9.809081077624097e6	0.
-0.000029636683157718393	5.309004975552791e-11	NaN	NaN	NaN	-31917.1035956458	6.209167397344086e6	0.
-0.00002644504035611795	5.309004975552791e-11	NaN	NaN	NaN	-35311.09815500748	7.1943342846006835e6	0.
-0.000023405380545069913	5.309004975552791e-11	NaN	NaN	NaN	-39233.68907556645	8.379873918513506e6	0.
-0.00002036572073402187	5.309004975552791e-11	NaN	NaN	NaN	-44044.96605116318	9.894340983152412e6	0.
-0.000029484700167165993	5.309004975552791e-11	NaN	NaN	NaN	-32064.62903724149	6.251145228361139e6	0.
-0.00002629305736556555	5.309004975552791e-11	NaN	NaN	NaN	-35489.6789074701	7.247255240811576e6	0.
-0.00002325339755451751	5.309004975552791e-11	NaN	NaN	NaN	-39451.067306976394	8.446930234765416e6	0.
-0.00002021373774346947	5.309004975552791e-11	NaN	NaN	NaN	-44313.754026455594	9.980721364427676e6	0.
-0.00002933271717661359	5.309004975552791e-11	NaN	NaN	NaN	-32213.453038947162	6.293573090416461e6	0.
-0.000026141074375013146	5.309004975552791e-11	NaN	NaN	NaN	-35669.96025983735	7.300785976111994e6	0.
-0.000023101414563965108	5.309004975552791e-11	NaN	NaN	NaN	-39670.680995379276	8.514813982751206e6	0.
-0.000020061754752917066	5.309004975552791e-11	NaN	NaN	NaN	-44585.52764980057	1.0068240455233103e7	0.
-0.000029180734186061188	5.309004975552791e-11	NaN	NaN	NaN	-32363.591865758317	6.336455995629427e6	0.
-0.000025989091384460747	5.309004975552791e-11	NaN	NaN	NaN	-35851.96495777737	7.354935706032445e6	0.
-0.000022949431573412705	5.309004975552791e-11	NaN	NaN	NaN	-39892.56188121789	8.583538419765195e6	0.
-0.000019909771762364663	5.309004975552791e-11	NaN	NaN	NaN	-44860.33161909079	1.0156917315720791e7	0.
-0.000029028751195508785	5.309004975552791e-11	NaN	NaN	NaN	-32515.062038347	6.379802735888131e6	0.
-0.000025837108393908344	5.309004975552791e-11	NaN	NaN	NaN	-36035.716122228405	7.409713030899142e6	0.
-0.000022797448582860302	5.309004975552791e-11	NaN	NaN	NaN	-40116.742247592636	8.653116781116426e6	0.
-0.000019757788771812264	5.309004975552791e-11	NaN	NaN	NaN	-45138.21140856615	1.0246769907930123e7	0.
-0.000028876768204956383	5.309004975552791e-11	NaN	NaN	NaN	-32667.880337720224	6.423617702290835e6	0.
-0.000025685125403355942	5.309004975552791e-11	NaN	NaN	NaN	-36221.23725638543	7.4651286861133e6	0.
-0.0000226454655923079	5.309004975552791e-11	NaN	NaN	NaN	-40343.25493029429	8.723562641331896e6	0.
-0.00001960580578125986	5.309004975552791e-11	NaN	NaN	NaN	-45419.21328229245	1.0337818783319e7	0.
-0.000028724785214403984	5.309004975552791e-11	NaN	NaN	NaN	-32822.063809971594	6.4679094583688285e6	0.
-0.00002553314241280354	5.309004975552791e-11	NaN	NaN	NaN	-36408.55225281944	7.521191158057843e6	0.
-0.0000224934826017555	5.309004975552791e-11	NaN	NaN	NaN	-40572.13332800734	8.794889915040346e6	0.
-0.00001945382279070746	5.309004975552791e-11	NaN	NaN	NaN	-45703.38430779654	1.0430082941962587e7	0.
-0.00002857280222385158	5.309004975552791e-11	NaN	NaN	NaN	-32977.62977112497	6.512683829281719e6	0.
-0.000025381159422251137	5.309004975552791e-11	NaN	NaN	NaN	-36597.685400732684	7.577910846710472e6	0.
