# Filename	binding\3fabc8d2-f036-4e63-9a7f-85cdc82c695a.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T18:07:22
# Dir	-1
# field	5.717389973672236e-11
# zi	-6.
W	field	zb	tb	argtbzt	tt	argtt
-0.000030396598110480406	5.717389973672236e-11	NaN	NaN	NaN	-31081.345031234003	-31081.345031234003	3.141592653589793
-0.00002720495530887996	5.717389973672236e-11	NaN	NaN	NaN	-34287.3262278973	-34287.3262278973	3.141592653589793
-0.000024165295497831922	5.717389973672236e-11	NaN	NaN	NaN	-37970.523510158164	-37970.523510158164	3.141592653589793
-0.00002112563568678388	5.717389973672236e-11	NaN	NaN	NaN	-42457.28460310881	-42457.28460310881	3.141592653589793
-0.000030244615119928003	5.717389973672236e-11	NaN	NaN	NaN	-31221.075839537974	-31221.075839537974	3.141592653589793
-0.00002705297231832756	5.717389973672236e-11	NaN	NaN	NaN	-34455.51669301766	-34455.51669301766	3.141592653589793
-0.00002401331250727952	5.717389973672236e-11	NaN	NaN	NaN	-38173.9611846009	-38173.9611846009	3.141592653589793
-0.000020973652696231478	5.717389973672236e-11	NaN	NaN	NaN	-42706.9780830934	-42706.9780830934	3.141592653589793
-0.0000300926321293756	5.717389973672236e-11	NaN	NaN	NaN	-31362.001490828414	-31362.001490828414	3.141592653589793
-0.00002690098932777516	5.717389973672236e-11	NaN	NaN	NaN	-34625.258977961836	-34625.258977961836	3.141592653589793
-0.000023861329516727117	5.717389973672236e-11	NaN	NaN	NaN	-38379.42031052499	-38379.42031052499	3.141592653589793
-0.000020821669705679075	5.717389973672236e-11	NaN	NaN	NaN	-42959.34388655645	-42959.34388655645	3.141592653589793
-0.000029940649138823198	5.717389973672236e-11	NaN	NaN	NaN	-31504.136504477174	-31504.136504477174	3.141592653589793
-0.000026749006337222757	5.717389973672236e-11	NaN	NaN	NaN	-34796.57316836687	-34796.57316836687	3.141592653589793
-0.000023709346526174715	5.717389973672236e-11	NaN	NaN	NaN	-38586.92859623701	-38586.92859623701	3.141592653589793
-0.000020669686715126676	5.717389973672236e-11	NaN	NaN	NaN	-43214.42055504338	-43214.42055504338	3.141592653589793
-0.000029788666148270795	5.717389973672236e-11	NaN	NaN	NaN	-31647.49562091819	-31647.49562091819	3.141592653589793
-0.000026597023346670354	5.717389973672236e-11	NaN	NaN	NaN	-34969.47967005811	-34969.47967005811	3.141592653589793
-0.000023557363535622312	5.717389973672236e-11	NaN	NaN	NaN	-38796.514206837695	-38796.514206837695	3.141592653589793
-0.000020517703724574274	5.717389973672236e-11	NaN	NaN	NaN	-43472.24727496562	-43472.24727496562	3.141592653589793
-0.000029636683157718393	5.717389973672236e-11	NaN	NaN	NaN	-31792.09380554048	-31792.09380554048	3.141592653589793
-0.00002644504035611795	5.717389973672236e-11	NaN	NaN	NaN	-35143.99921479527	-35143.99921479527	3.141592653589793
-0.000023405380545069913	5.717389973672236e-11	NaN	NaN	NaN	-39008.20577234915	-39008.20577234915	3.141592653589793
-0.00002036572073402187	5.717389973672236e-11	NaN	NaN	NaN	-43732.86388838812	-43732.86388838812	3.141592653589793
-0.000029484700167165993	5.717389973672236e-11	NaN	NaN	NaN	-31937.946252654245	-31937.946252654245	3.141592653589793
-0.00002629305736556555	5.717389973672236e-11	NaN	NaN	NaN	-35320.15286612267	-35320.15286612267	3.141592653589793
-0.00002325339755451751	5.717389973672236e-11	NaN	NaN	NaN	-39222.032395974624	-39222.032395974624	3.141592653589793
-0.00002021373774346947	5.717389973672236e-11	NaN	NaN	NaN	-43996.31090393756	-43996.31090393756	3.141592653589793
-0.00002933271717661359	5.717389973672236e-11	NaN	NaN	NaN	-32085.06838953236	-32085.06838953236	3.141592653589793
-0.000026141074375013146	5.717389973672236e-11	NaN	NaN	NaN	-35497.962025327004	-35497.962025327004	3.141592653589793
-0.000023101414563965108	5.717389973672236e-11	NaN	NaN	NaN	-39438.02366249097	-39438.02366249097	3.141592653589793
-0.000020061754752917066	5.717389973672236e-11	NaN	NaN	NaN	-44262.62950782927	-44262.62950782927	3.141592653589793
-0.000029180734186061188	5.717389973672236e-11	NaN	NaN	NaN	-32233.475880528258	-32233.475880528258	3.141592653589793
-0.000025989091384460747	5.717389973672236e-11	NaN	NaN	NaN	-35677.44843750278	-35677.44843750278	3.141592653589793
-0.000022949431573412705	5.717389973672236e-11	NaN	NaN	NaN	-39656.20964677539	-39656.20964677539	3.141592653589793
-0.000019909771762364663	5.717389973672236e-11	NaN	NaN	NaN	-44531.86157500896	-44531.86157500896	3.141592653589793
-0.000029028751195508785	5.717389973672236e-11	NaN	NaN	NaN	-32383.184631271695	-32383.184631271695	3.141592653589793
-0.000025837108393908344	5.717389973672236e-11	NaN	NaN	NaN	-35858.63419772756	-35858.63419772756	3.141592653589793
-0.000022797448582860302	5.717389973672236e-11	NaN	NaN	NaN	-39876.62092246638	-39876.62092246638	3.141592653589793
-0.000019757788771812264	5.717389973672236e-11	NaN	NaN	NaN	-44804.04968040563	-44804.04968040563	3.141592653589793
-0.000028876768204956383	5.717389973672236e-11	NaN	NaN	NaN	-32534.210792943646	-32534.210792943646	3.141592653589793
-0.000025685125403355942	5.717389973672236e-11	NaN	NaN	NaN	-36041.54175734887	-36041.54175734887	3.141592653589793
-0.0000226454655923079	5.717389973672236e-11	NaN	NaN	NaN	-40099.288570760174	-40099.288570760174	3.141592653589793
-0.00001960580578125986	5.717389973672236e-11	NaN	NaN	NaN	-45079.23711029214	-45079.23711029214	3.141592653589793
