# Filename	binding\421296c5-ab23-4d25-9dae-03d22de10dd4.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:07:22
# Dir	-1
# field	2.742013558801991e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	2.742013558801991e-11	NaN	NaN	NaN	-31976.070342123585	6.28537351368748e6	0.
-0.00002720495530887996	2.742013558801991e-11	NaN	NaN	NaN	-35488.6064300942	7.33156802563318e6	0.
-0.000024165295497831922	2.742013558801991e-11	NaN	NaN	NaN	-39602.09357194346	8.6160166907098e6	0.
-0.00002112563568678388	2.742013558801991e-11	NaN	NaN	NaN	-44738.00935779938	1.0301233972840201e7	0.
-0.000030244615119928003	2.742013558801991e-11	NaN	NaN	NaN	-32127.9285015266	6.329583231081152e6	0.
-0.00002705297231832756	2.742013558801991e-11	NaN	NaN	NaN	-35674.56744148319	7.388294095343738e6	0.
-0.00002401331250727952	2.742013558801991e-11	NaN	NaN	NaN	-39831.89586820104	8.68954928544809e6	0.
-0.000020973652696231478	2.742013558801991e-11	NaN	NaN	NaN	-45028.14808636337	1.0398949380497834e7	0.
-0.0000300926321293756	2.742013558801991e-11	NaN	NaN	NaN	-32281.195667772055	6.374298118494437e6	-2.744500465233776e-7
-0.00002690098932777516	2.742013558801991e-11	NaN	NaN	NaN	-35862.42086105532	7.445730208697176e6	0.
-0.000023861329516727117	2.742013558801991e-11	NaN	NaN	NaN	-40064.26762497102	8.764089124204809e6	0.
-0.000020821669705679075	2.742013558801991e-11	NaN	NaN	NaN	-45321.87267740312	1.049813362767545e7	0.
-0.000029940649138823198	2.742013558801991e-11	NaN	NaN	NaN	-32435.890974431506	6.419530011863334e6	0.
-0.000026749006337222757	2.742013558801991e-11	NaN	NaN	NaN	-36052.194689642034	7.5038875662373165e6	0.
-0.000023709346526174715	2.742013558801991e-11	NaN	NaN	NaN	-40299.250251922735	8.839652019022506e6	0.
-0.000020669686715126676	2.742013558801991e-11	NaN	NaN	NaN	-45619.24621231178	1.0598817254006842e7	0.
-0.000029788666148270795	2.742013558801991e-11	NaN	NaN	NaN	-32592.033892359654	6.46528048971286e6	0.
-0.000026597023346670354	2.742013558801991e-11	NaN	NaN	NaN	-36243.917461790064	7.562779573363536e6	0.
-0.000023557363535622312	2.742013558801991e-11	NaN	NaN	NaN	-40536.88600937306	8.916261334504498e6	0.
-0.000020517703724574274	2.742013558801991e-11	NaN	NaN	NaN	-45920.333164596785	1.0701030782024397e7	0.
-0.000029636683157718393	2.742013558801991e-11	NaN	NaN	NaN	-32749.644236904653	6.511564251136639e6	0.
-0.00002644504035611795	2.742013558801991e-11	NaN	NaN	NaN	-36437.61825797939	7.6224180490675755e6	0.
-0.000023405380545069913	2.742013558801991e-11	NaN	NaN	NaN	-40777.2180289787	8.993932159454755e6	0.
-0.00002036572073402187	2.742013558801991e-11	NaN	NaN	NaN	-46225.199435432776	1.0804803707831612e7	0.
-0.000029484700167165993	2.742013558801991e-11	NaN	NaN	NaN	-32908.74217529641	6.55838309384436e6	0.
-0.00002629305736556555	2.742013558801991e-11	NaN	NaN	NaN	-36633.32671716134	7.682816489056671e6	0.
-0.00002325339755451751	2.742013558801991e-11	NaN	NaN	NaN	-41020.29033499309	9.072687402158104e6	0.
-0.00002021373774346947	2.742013558801991e-11	NaN	NaN	NaN	-46533.91239019147	1.0910167435026405e7	0.
-0.00002933271717661359	2.742013558801991e-11	NaN	NaN	NaN	-33069.34823422018	6.6057511715731425e6	0.
-0.000026141074375013146	2.742013558801991e-11	NaN	NaN	NaN	-36831.073049624756	7.743987191677801e6	0.
-0.000023101414563965108	2.742013558801991e-11	NaN	NaN	NaN	-41266.14786610087	9.152546230392212e6	0.
-0.000020061754752917066	2.742013558801991e-11	NaN	NaN	NaN	-46846.54089597327	1.1017155266848056e7	0.
-0.000029180734186061188	2.742013558801991e-11	NaN	NaN	NaN	-33231.48330757612	6.653674833862604e6	0.
-0.000025989091384460747	2.742013558801991e-11	NaN	NaN	NaN	-37030.88805020099	7.805944445787228e6	0.
-0.000022949431573412705	2.742013558801991e-11	NaN	NaN	NaN	-41514.83649784909	9.233529181111133e6	0.
-0.000019909771762364663	2.742013558801991e-11	NaN	NaN	NaN	-47163.15536016731	1.1125798699230285e7	0.
-0.000029028751195508785	2.742013558801991e-11	NaN	NaN	NaN	-33395.16866443477	6.702164080478441e6	0.
-0.000025837108393908344	2.742013558801991e-11	NaN	NaN	NaN	-37232.803111815876	7.868701154382995e6	0.
-0.000022797448582860302	2.742013558801991e-11	NaN	NaN	NaN	-41766.40306569088	9.315657670488479e6	0.
-0.000019757788771812264	2.742013558801991e-11	NaN	NaN	NaN	-47483.827770067335	1.1236132946009839e7	0.
-0.000028876768204956383	2.742013558801991e-11	NaN	NaN	NaN	-33560.42595719004	6.751225719592772e6	0.
-0.000025685125403355942	2.742013558801991e-11	NaN	NaN	NaN	-37436.85023940016	7.932271099814499e6	0.
-0.0000226454655923079	2.742013558801991e-11	NaN	NaN	NaN	-42020.895388659206	9.3989534797255e6	0.
-0.00001960580578125986	2.742013558801991e-11	NaN	NaN	NaN	-47808.631733569426	1.1348191617909905e7	0.
-0.000028724785214403984	2.742013558801991e-11	NaN	NaN	NaN	-33727.277229918145	6.800871084760393e6	0.
-0.00002553314241280354	2.742013558801991e-11	NaN	NaN	NaN	-37643.062064167716	7.9966691825304665e6	0.
-0.0000224934826017555	2.742013558801991e-11	NaN	NaN	NaN	-42278.36229368888	9.483437889571832e6	0.
-0.00001945382279070746	2.742013558801991e-11	NaN	NaN	NaN	-48137.64252098042	1.1462010448548203e7	0.
-0.00002857280222385158	2.742013558801991e-11	NaN	NaN	NaN	-33895.74492694577	6.851109451524378e6	0.
-0.000025381159422251137	2.742013558801991e-11	NaN	NaN	NaN	-37851.47185827219	8.061910754393101e6	0.
-0.000022341499611203098	2.742013558801991e-11	NaN	NaN	NaN	-42538.853640605244	9.569133998506095e6	0.
-0.000019301839800155056	2.742013558801991e-11	NaN	NaN	NaN	-48470.93710796422	1.1577626995309811e7	0.
-0.00002842081923329918	2.742013558801991e-11	NaN	NaN	NaN	-34065.85190163489	6.901949298901006e6	0.
-0.000025229176431698734	2.742013558801991e-11	NaN	NaN	NaN	-38062.11354985303	8.1280078767747125e6	0.
-0.000022189516620650695	2.742013558801991e-11	NaN	NaN	NaN	-42802.42034779815	9.656065529632466e6	0.
-0.000019149856809602654	2.742013558801991e-11	NaN	NaN	NaN	-48808.594219654406	1.1695075191878073e7	0.
-0.000028268836242746776	2.742013558801991e-11	NaN	NaN	NaN	-34237.62142539029	6.953401328583598e6	0.
-0.000025077193441146335	2.742013558801991e-11	NaN	NaN	NaN	-38275.02173848302	8.194978471333109e6	0.
-0.000022037533630098293	2.742013558801991e-11	NaN	NaN	NaN	-43069.11441860072	9.744256271838985e6	0.
-0.000018997873819050254	2.742013558801991e-11	NaN	NaN	NaN	-49150.69437596286	1.1814397122609656e7	0.
-0.000028116853252194373	2.742013558801991e-11	NaN	NaN	NaN	-34411.077196894876	7.005475341153415e6	0.
-0.000024925210450593932	2.742013558801991e-11	NaN	NaN	NaN	-38490.23171102679	8.262836789058375e6	0.
-0.00002188555063954589	2.742013558801991e-11	NaN	NaN	NaN	-43338.988968392776	9.833729358089922e6	0.
-0.00001884589082849785	2.742013558801991e-11	NaN	NaN	NaN	-49497.31993811148	1.193562808950761e7	0.
