# Filename	binding\4448fc5d-9552-4816-a55e-12c09d2b7014.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:04:25
# Dir	-1
# field	9.723452336177273e-12
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	9.723452336177273e-12	NaN	NaN	NaN	-32559.304298190887	6.500485371262278e6	-1.294425506707951e-7
-0.00002720495530887996	9.723452336177273e-12	NaN	NaN	NaN	-36287.37498792841	7.64124503684759e6	-3.339457308862084e-7
-0.000024165295497831922	9.723452336177273e-12	NaN	NaN	NaN	-40714.65211153888	9.070346513802638e6	0.
-0.00002112563568678388	9.723452336177273e-12	NaN	NaN	NaN	-46347.17049109883	1.0996855270356309e7	0.
-0.000030244615119928003	9.723452336177273e-12	NaN	NaN	NaN	-32719.555737312636	6.54828831916398e6	-1.7609849904878976e-7
-0.00002705297231832756	9.723452336177273e-12	NaN	NaN	NaN	-36486.04027305253	7.703680497800851e6	-1.388015720721963e-7
-0.00002401331250727952	9.723452336177273e-12	NaN	NaN	NaN	-40964.09004877548	9.15316405637486e6	0.
-0.000020973652696231478	9.723452336177273e-12	NaN	NaN	NaN	-46669.1355634451	1.111045348005794e7	0.
-0.0000300926321293756	9.723452336177273e-12	NaN	NaN	NaN	-32881.375948022695	6.596673883476133e6	-2.289371266966895e-7
-0.00002690098932777516	9.723452336177273e-12	NaN	NaN	NaN	-36686.864574090076	7.766960347516147e6	-5.207390670539368e-7
-0.000023861329516727117	9.723452336177273e-12	NaN	NaN	NaN	-41216.55321309499	9.23721512558786e6	-3.1524932577628575e-7
-0.000020821669705679075	9.723452336177273e-12	NaN	NaN	NaN	-46995.510487850304	1.1225977151241496e7	0.
-0.000029940649138823198	9.723452336177273e-12	NaN	NaN	NaN	-33044.78783400423	6.645652560799015e6	0.
-0.000026749006337222757	9.723452336177273e-12	NaN	NaN	NaN	-36889.88281027181	7.831098536460746e6	-1.4374034204786918e-7
-0.000023709346526174715	9.723452336177273e-12	NaN	NaN	NaN	-41472.096050538246	9.322547085699718e6	0.
-0.000020669686715126676	9.723452336177273e-12	NaN	NaN	NaN	-47326.38450453729	1.134347444122043e7	0.
-0.000029788666148270795	9.723452336177273e-12	NaN	NaN	NaN	-33209.814742068105	6.695234680512476e6	0.
-0.000026597023346670354	9.723452336177273e-12	NaN	NaN	NaN	-37095.130647547885	7.896113177350059e6	-2.50484223304387e-7
-0.000023557363535622312	9.723452336177273e-12	NaN	NaN	NaN	-41730.77429856133	9.409177293001408e6	-3.1261764891147087e-7
-0.000020517703724574274	9.723452336177273e-12	NaN	NaN	NaN	-47661.84922214378	1.1462992694827462e7	0.
-0.000029636683157718393	9.723452336177273e-12	NaN	NaN	NaN	-33376.48047279718	6.745427253028356e6	0.
-0.00002644504035611795	9.723452336177273e-12	NaN	NaN	NaN	-37302.644518366156	7.962021155577347e6	0.
-0.000023405380545069913	9.723452336177273e-12	NaN	NaN	NaN	-41992.64502383271	9.497136377659483e6	0.
-0.00002036572073402187	9.723452336177273e-12	NaN	NaN	NaN	-48001.99869484312	1.1584574434693564e7	0.
-0.000029484700167165993	9.723452336177273e-12	NaN	NaN	NaN	-33544.80929149839	6.796244154063111e6	0.
-0.00002629305736556555	9.723452336177273e-12	NaN	NaN	NaN	-37512.461642071634	8.028837883001423e6	0.
-0.00002325339755451751	9.723452336177273e-12	NaN	NaN	NaN	-42257.76666134464	9.586449546415582e6	0.
-0.00002021373774346947	9.723452336177273e-12	NaN	NaN	NaN	-48346.92950241376	1.1708271450076181e7	0.
-0.00002933271717661359	9.723452336177273e-12	NaN	NaN	NaN	-33714.825939467286	6.847694918561318e6	-5.307573775615826e-7
-0.000026141074375013146	9.723452336177273e-12	NaN	NaN	NaN	-37724.62004594989	8.0965809425185835e6	0.
-0.000023101414563965108	9.723452336177273e-12	NaN	NaN	NaN	-42526.19905487964	9.677147071249798e6	0.
-0.000020061754752917066	9.723452336177273e-12	NaN	NaN	NaN	-48696.740833385265	1.1834136945120526e7	0.
