# Filename	binding\4ab56746-ad6f-431d-b272-6a2a581950fc.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-09T15:30:14
# Dir	1
# field	2.1780533233037092e-11
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	2.1780533233037092e-11	NaN	NaN	NaN	33712.81020043716	6.940212383987119e6	0.
-0.00002720495530887996	2.1780533233037092e-11	NaN	NaN	NaN	37908.52982692065	8.296188018675693e6	0.
-0.000024165295497831922	2.1780533233037092e-11	NaN	NaN	NaN	43052.24071954533	1.0076089286677638e7	0.
-0.00002112563568678388	2.1780533233037092e-11	NaN	NaN	NaN	49903.40466689759	1.2643012810109703e7	0.
-0.000030244615119928003	2.1780533233037092e-11	NaN	NaN	NaN	33890.89109015639	6.9959785066618705e6	0.
-0.00002705297231832756	2.1780533233037092e-11	NaN	NaN	NaN	38135.388151481675	8.371984074354695e6	0.
-0.00002401331250727952	2.1780533233037092e-11	NaN	NaN	NaN	43347.892469777405	1.0182262260636508e7	0.
-0.000020973652696231478	2.1780533233037092e-11	NaN	NaN	NaN	50307.02673043215	1.2801147863736393e7	0.
-0.0000300926321293756	2.1780533233037092e-11	NaN	NaN	NaN	34070.91238074278	7.05251512956323e6	0.
-0.00002690098932777516	2.1780533233037092e-11	NaN	NaN	NaN	38365.068495749474	8.448978482044535e6	0.
-0.000023861329516727117	2.1780533233037092e-11	NaN	NaN	NaN	43647.8099493196	1.029039391773262e7	0.
-0.000020821669705679075	2.1780533233037092e-11	NaN	NaN	NaN	50717.62173625935	1.2962804623064052e7	0.
-0.000029940649138823198	2.1780533233037092e-11	NaN	NaN	NaN	34252.90677590043	7.109837374065529e6	0.
-0.000026749006337222757	2.1780533233037092e-11	NaN	NaN	NaN	38597.625567713105	8.527200011635289e6	0.
-0.000023709346526174715	2.1780533233037092e-11	NaN	NaN	NaN	43952.09006897671	1.0400538021587033e7	0.
-0.000020669686715126676	2.1780533233037092e-11	NaN	NaN	NaN	51135.38236546438	1.312809478501384e7	0.
-0.000029788666148270795	2.1780533233037092e-11	NaN	NaN	NaN	34436.90773659734	7.167960563717485e6	0.
-0.000026597023346670354	2.1780533233037092e-11	NaN	NaN	NaN	38833.115542652915	8.606678358199853e6	0.
-0.000023557363535622312	2.1780533233037092e-11	NaN	NaN	NaN	44260.83281427459	1.0512746651188213e7	0.
-0.000020517703724574274	2.1780533233037092e-11	NaN	NaN	NaN	51560.50883835036	1.3297142451968625e7	0.
-0.000029636683157718393	2.1780533233037092e-11	NaN	NaN	NaN	34622.94950362201	7.226900837149206e6	0.
-0.00002644504035611795	2.1780533233037092e-11	NaN	NaN	NaN	39071.59611408141	8.687439042898199e6	0.
-0.000023405380545069913	2.1780533233037092e-11	NaN	NaN	NaN	44574.1413727716	1.0627078537960099e7	0.
-0.00002036572073402187	2.1780533233037092e-11	NaN	NaN	NaN	51993.20930387781	1.3470074366803585e7	0.
-0.000029484700167165993	2.1780533233037092e-11	NaN	NaN	NaN	34811.06712096852	7.286675588918962e6	0.
-0.00002629305736556555	2.1780533233037092e-11	NaN	NaN	NaN	39313.12654687755	8.769516987671126e6	0.
-0.00002325339755451751	2.1780533233037092e-11	NaN	NaN	NaN	44892.12226794871	1.0743592959971536e7	0.
-0.00002021373774346947	2.1780533233037092e-11	NaN	NaN	NaN	52433.70025444827	1.3647023827564808e7	0.
-0.00002933271717661359	2.1780533233037092e-11	NaN	NaN	NaN	35001.29646008634	7.347301612724678e6	0.
-0.000026141074375013146	2.1780533233037092e-11	NaN	NaN	NaN	39557.76773272556	8.852938628683925e6	0.
-0.000023101414563965108	2.1780533233037092e-11	NaN	NaN	NaN	45214.885500090844	1.0862351240511328e7	0.
-0.000020061754752917066	2.1780533233037092e-11	NaN	NaN	NaN	52882.20696803964	1.382813043511521e7	0.
-0.000029180734186061188	2.1780533233037092e-11	NaN	NaN	NaN	35193.67424503344	7.408796120424931e6	0.
-0.000025989091384460747	2.1780533233037092e-11	NaN	NaN	NaN	39805.582247981234	8.937739258743078e6	0.
-0.000022949431573412705	2.1780533233037092e-11	NaN	NaN	NaN	45542.54469460047	1.098341542514957e7	0.
-0.000019909771762364663	2.1780533233037092e-11	NaN	NaN	NaN	53338.96397989144	1.4013541327711638e7	0.
-0.000029028751195508785	2.1780533233037092e-11	NaN	NaN	NaN	35388.2380785728	7.471177799903773e6	0.
-0.000025837108393908344	2.1780533233037092e-11	NaN	NaN	NaN	40056.63441409147	9.023951694890568e6	0.
-0.000022797448582860302	2.1780533233037092e-11	NaN	NaN	NaN	45875.21725821803	1.1106853286368988e7	0.
-0.000019757788771812264	2.1780533233037092e-11	NaN	NaN	NaN	53804.215586147	1.420340814692144e7	0.
-0.000028876768204956383	2.1780533233037092e-11	NaN	NaN	NaN	35585.026469254466	7.534463219651351e6	0.
-0.000025685125403355942	2.1780533233037092e-11	NaN	NaN	NaN	40310.990360703596	9.111609040852059e6	0.
-0.0000226454655923079	2.1780533233037092e-11	NaN	NaN	NaN	46213.024543658525	1.1232732745912317e7	0.
-0.00001960580578125986	2.1780533233037092e-11	NaN	NaN	NaN	54278.21638209415	1.4397893002181126e7	0.
-0.000028724785214403984	2.1780533233037092e-11	NaN	NaN	NaN	35784.07885952853	7.598673801363993e6	0.
-0.00002553314241280354	2.1780533233037092e-11	NaN	NaN	NaN	40568.718091608534	9.200747964323863e6	0.
-0.0000224934826017555	2.1780533233037092e-11	NaN	NaN	NaN	46556.09202321422	1.1361125921428677e7	0.
-0.00001945382279070746	2.1780533233037092e-11	NaN	NaN	NaN	54761.23183790287	1.4597163831841173e7	0.
-0.00002857280222385158	2.1780533233037092e-11	NaN	NaN	NaN	35985.435654934576	7.663828036865149e6	0.
-0.000022341499611203098	2.1780533233037092e-11	NaN	NaN	NaN	46904.54947191379	1.1492105100221701e7	0.
-0.000019301839800155056	2.1780533233037092e-11	NaN	NaN	NaN	55253.538915050245	1.4801397854841597e7	0.
-0.00002842081923329918	2.1780533233037092e-11	NaN	NaN	NaN	36189.13825441871	7.7299455500630215e6	0.
-0.000025381159422251137	2.1780533233037092e-11	NaN	NaN	NaN	40829.887553670465	9.2914046406522e6	0.
-0.000022189516620650695	2.1780533233037092e-11	NaN	NaN	NaN	47258.53116087619	1.1625748294991948e7	0.
-0.000019149856809602654	2.1780533233037092e-11	NaN	NaN	NaN	55755.42672694336	1.501078187845195e7	0.
-0.000028268836242746776	2.1780533233037092e-11	NaN	NaN	NaN	36395.2290818292	7.797047883335321e6	0.
-0.000025229176431698734	2.1780533233037092e-11	NaN	NaN	NaN	41094.57070890645	9.383617138792144e6	0.
-0.000022037533630098293	2.1780533233037092e-11	NaN	NaN	NaN	47618.17606154579	1.1762135821698902e7	0.
-0.000018997873819050254	2.1780533233037092e-11	NaN	NaN	NaN	56267.19724761228	1.5225510001565943e7	0.
-0.000028116853252194373	2.1780533233037092e-11	NaN	NaN	NaN	36603.751618645816	7.865155790641136e6	0.
-0.000025077193441146335	2.1780533233037092e-11	NaN	NaN	NaN	41362.841609888885	9.477421096734518e6	0.
-0.00002188555063954589	2.1780533233037092e-11	NaN	NaN	NaN	47983.62806155205	1.190135281701298e7	0.
-0.00001884589082849785	2.1780533233037092e-11	NaN	NaN	NaN	56789.16607274994	1.5445789484419728e7	0.
-0.00002796487026164197	2.1780533233037092e-11	NaN	NaN	NaN	36814.75043800123	7.934290998905225e6	0.
-0.000024925210450593932	2.1780533233037092e-11	NaN	NaN	NaN	41634.77647865612	9.572861708885944e6	0.
-0.000021733567648993488	2.1780533233037092e-11	NaN	NaN	NaN	48355.03619299499	1.2043481027731536e7	0.
-0.00002781288727108957	2.1780533233037092e-11	NaN	NaN	NaN	37028.271240055314	8.004476317430197e6	0.
-0.00002477322746004153	2.1780533233037092e-11	NaN	NaN	NaN	41910.453789326064	9.669977896753225e6	0.
-0.00001869390783794545	2.1780533233037092e-11	NaN	NaN	NaN	57321.66323782664	1.5671836754012924e7	0.
-0.00002766090428053717	2.1780533233037092e-11	NaN	NaN	NaN	37244.36088878677	8.075734007410745e6	0.
-0.000024621244469489127	2.1780533233037092e-11	NaN	NaN	NaN	42189.95435462506	9.768813198125262e6	0.
-0.00002158158465844109	2.1780533233037092e-11	NaN	NaN	NaN	48732.55487402629	1.2188615634371825e7	0.
-0.000018541924847393046	2.1780533233037092e-11	NaN	NaN	NaN	57865.03409851815	1.590388057106815e7	0.
-0.000027508921289984766	2.1780533233037092e-11	NaN	NaN	NaN	37463.06745027072	8.148089680768497e6	0.
-0.000024469261478936724	2.1780533233037092e-11	NaN	NaN	NaN	42473.36141655321	9.869412682411961e6	0.
-0.000021429601667888686	2.1780533233037092e-11	NaN	NaN	NaN	49116.344164662696	1.2336849368049549e7	0.
-0.000027356938299432364	2.1780533233037092e-11	NaN	NaN	NaN	37684.440232513305	8.221565944985205e6	0.
-0.000024317278488384322	2.1780533233037092e-11	NaN	NaN	NaN	42760.76074142567	9.97182164630139e6	0.
-0.000021277618677336283	2.1780533233037092e-11	NaN	NaN	NaN	49506.57003785236	1.2488279844896095e7	0.
-0.000018389941856840644	2.1780533233037092e-11	NaN	NaN	NaN	58419.64027925776	1.6142161723565228e7	0.
-0.00001823795886628824	2.1780533233037092e-11	NaN	NaN	NaN	58985.860696369506	1.638693338346959e7	0.
-0.000018085975875735842	2.1780533233037092e-11	NaN	NaN	NaN	59564.09266296992	1.663846633756949e7	0.
