# Filename	binding\4c7565f1-abb4-4e0a-90db-f99cc0673050.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-09T15:32:23
# Dir	1
# field	3.8504871251262e-11
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	3.8504871251262e-11	NaN	NaN	NaN	34397.19432895111	7.210421951159203e6	0.
-0.00002720495530887996	3.8504871251262e-11	NaN	NaN	NaN	38899.71889757571	8.714936276775636e6	0.
-0.000024165295497831922	3.8504871251262e-11	NaN	NaN	NaN	44543.093719255936	1.075607145097287e7	0.
-0.00002112563568678388	3.8504871251262e-11	NaN	NaN	NaN	52326.39308679888	1.3858086552015292e7	0.
-0.000030244615119928003	3.8504871251262e-11	NaN	NaN	NaN	34586.686598308464	7.271516426984836e6	0.
-0.00002705297231832756	3.8504871251262e-11	NaN	NaN	NaN	39145.56607048126	8.80025434826519e6	0.
-0.00002401331250727952	3.8504871251262e-11	NaN	NaN	NaN	44872.19750261296	1.0880453905971663e7	0.
-0.000020973652696231478	3.8504871251262e-11	NaN	NaN	NaN	52796.24773585135	1.405621362990799e7	0.
-0.0000300926321293756	3.8504871251262e-11	NaN	NaN	NaN	34778.380787929666	7.333520690288602e6	0.
-0.00002690098932777516	3.8504871251262e-11	NaN	NaN	NaN	39394.739282840084	8.887061013962543e6	0.
-0.000023861329516727117	3.8504871251262e-11	NaN	NaN	NaN	45206.61906056604	1.1007453908698615e7	0.
-0.000020821669705679075	3.8504871251262e-11	NaN	NaN	NaN	53275.66144718834	1.4259671512294672e7	0.
-0.000029940649138823198	3.8504871251262e-11	NaN	NaN	NaN	34972.31732288113	7.396453829984339e6	0.
-0.000026749006337222757	3.8504871251262e-11	NaN	NaN	NaN	39647.310613817455	8.975395892141413e6	0.
-0.000023709346526174715	3.8504871251262e-11	NaN	NaN	NaN	45546.498751269406	1.1137154799434539e7	0.
-0.000020669686715126676	3.8504871251262e-11	NaN	NaN	NaN	53764.961954075894	1.4468682673973e7	0.
-0.000029788666148270795	3.8504871251262e-11	NaN	NaN	NaN	35168.537667303615	7.4603372075787075e6	0.
-0.000026597023346670354	3.8504871251262e-11	NaN	NaN	NaN	39903.35435552553	9.065297397214469e6	0.
-0.000023557363535622312	3.8504871251262e-11	NaN	NaN	NaN	45891.98226614849	1.1269642807009688e7	0.
-0.000020517703724574274	3.8504871251262e-11	NaN	NaN	NaN	54264.493559451046	1.4683484534304662e7	0.
-0.000029636683157718393	3.8504871251262e-11	NaN	NaN	NaN	35367.084359319975	7.525192096803758e6	0.
-0.00002644504035611795	3.8504871251262e-11	NaN	NaN	NaN	40162.94710267172	9.156808187026389e6	0.
-0.000023405380545069913	3.8504871251262e-11	NaN	NaN	NaN	46243.220900591376	1.1405010214453114e7	0.
-0.00002036572073402187	3.8504871251262e-11	NaN	NaN	NaN	54774.618274338645	1.4904328217958733e7	0.
-0.000029484700167165993	3.8504871251262e-11	NaN	NaN	NaN	35568.00104740783	7.591039158419939e6	0.
-0.00002629305736556555	3.8504871251262e-11	NaN	NaN	NaN	40426.1678467754	9.249971041509856e6	0.
-0.00002325339755451751	3.8504871251262e-11	NaN	NaN	NaN	46600.371842082684	1.1543351396780536e7	0.
-0.00002021373774346947	3.8504871251262e-11	NaN	NaN	NaN	55295.71705679518	1.5131480290506667e7	0.
-0.00002933271717661359	3.8504871251262e-11	NaN	NaN	NaN	35771.33252831111	7.657900674002564e6	0.
-0.000026141074375013146	3.8504871251262e-11	NaN	NaN	NaN	40693.09807523717	9.344831173134165e6	0.
-0.000023101414563965108	3.8504871251262e-11	NaN	NaN	NaN	46963.59847715582	1.1684766729465686e7	0.
-0.000020061754752917066	3.8504871251262e-11	NaN	NaN	NaN	55828.19116234538	1.5365224912397731e7	0.
-0.000029180734186061188	3.8504871251262e-11	NaN	NaN	NaN	35977.1247865693	7.725802130531006e6	0.
-0.000025989091384460747	3.8504871251262e-11	NaN	NaN	NaN	40963.8218755638	9.441432199260022e6	0.
-0.000022949431573412705	3.8504871251262e-11	NaN	NaN	NaN	47333.070718667914	1.1829361023083221e7	0.
-0.000019909771762364663	3.8504871251262e-11	NaN	NaN	NaN	56372.46361831315	1.560586263895739e7	0.
-0.000029028751195508785	3.8504871251262e-11	NaN	NaN	NaN	36185.42503574724	7.794764053020914e6	0.
-0.000025837108393908344	3.8504871251262e-11	NaN	NaN	NaN	41238.42604507605	9.539825573276782e6	0.
-0.000022797448582860302	3.8504871251262e-11	NaN	NaN	NaN	47708.96535504561	1.1977241539033836e7	0.
-0.000019757788771812264	3.8504871251262e-11	NaN	NaN	NaN	56928.980836105424	1.5853714144173263e7	0.
-0.000028876768204956383	3.8504871251262e-11	NaN	NaN	NaN	36396.28176145552	7.8648134664911525e6	0.
-0.000025685125403355942	3.8504871251262e-11	NaN	NaN	NaN	41517.00020644871	9.640059316280961e6	0.
-0.0000226454655923079	3.8504871251262e-11	NaN	NaN	NaN	48091.46642330949	1.21285243511699e7	0.
-0.00001960580578125986	3.8504871251262e-11	NaN	NaN	NaN	57498.214377423166	1.610912285902612e7	0.
-0.000028724785214403984	3.8504871251262e-11	NaN	NaN	NaN	36609.74476625352	7.935975096280504e6	0.
-0.00002553314241280354	3.8504871251262e-11	NaN	NaN	NaN	41799.6369294623	9.742186090562586e6	0.
-0.0000224934826017555	3.8504871251262e-11	NaN	NaN	NaN	48480.76560786071	1.2283330010561742e7	0.
-0.00001945382279070746	3.8504871251262e-11	NaN	NaN	NaN	58080.662892597225	1.6372453044595238e7	0.
-0.00002857280222385158	3.8504871251262e-11	NaN	NaN	NaN	36825.86521653646	8.008274458448609e6	0.
-0.000025381159422251137	3.8504871251262e-11	NaN	NaN	NaN	42086.431859371	9.846257550179038e6	0.
-0.000022341499611203098	3.8504871251262e-11	NaN	NaN	NaN	48877.06266721255	1.24417819378177e7	0.
-0.000019301839800155056	3.8504871251262e-11	NaN	NaN	NaN	58676.85425183549	1.6644094840327544e7	0.
-0.00002842081923329918	3.8504871251262e-11	NaN	NaN	NaN	37044.69569151183	8.081739366018609e6	0.
-0.000025229176431698734	3.8504871251262e-11	NaN	NaN	NaN	42377.483852326404	9.952332017142542e6	0.
-0.000022189516620650695	3.8504871251262e-11	NaN	NaN	NaN	49280.565891069506	1.2604014577204825e7	0.
-0.000019149856809602654	3.8504871251262e-11	NaN	NaN	NaN	59287.347893186634	1.6924467294388805e7	0.
-0.000028268836242746776	3.8504871251262e-11	NaN	NaN	NaN	37266.29023437773	8.156396728749999e6	0.
-0.000025077193441146335	3.8504871251262e-11	NaN	NaN	NaN	42672.89511832765	1.0060465354660954e7	0.
-0.000022037533630098293	3.8504871251262e-11	NaN	NaN	NaN	49691.492590401795	1.2770164869344635e7	0.
-0.000018997873819050254	3.8504871251262e-11	NaN	NaN	NaN	59912.73741456409	1.721401672661677e7	0.
-0.000028116853252194373	3.8504871251262e-11	NaN	NaN	NaN	37490.70440582387	8.23227581198244e6	0.
-0.000024925210450593932	3.8504871251262e-11	NaN	NaN	NaN	42972.771372209805	1.0170719378909143e7	0.
-0.00002188555063954589	3.8504871251262e-11	NaN	NaN	NaN	50110.069623441465	1.2940380888177479e7	0.
-0.00001884589082849785	3.8504871251262e-11	NaN	NaN	NaN	60553.65344133081	1.7513224281062223e7	0.
-0.00002796487026164197	3.8504871251262e-11	NaN	NaN	NaN	37717.99533998189	8.309406696817068e6	0.
-0.00002477322746004153	3.8504871251262e-11	NaN	NaN	NaN	43277.22199321941	1.0283156005809555e7	0.
-0.000021733567648993488	3.8504871251262e-11	NaN	NaN	NaN	50536.53396083322	1.3114813094374336e7	0.
-0.00001869390783794545	3.8504871251262e-11	NaN	NaN	NaN	61210.76680584566	1.7822607289156858e7	0.
-0.00002781288727108957	3.8504871251262e-11	NaN	NaN	NaN	37948.2218029615	8.387818529537897e6	0.
-0.000024621244469489127	3.8504871251262e-11	NaN	NaN	NaN	43586.36019377434	1.0397839199465936e7	0.
-0.000018541924847393046	3.8504871251262e-11	NaN	NaN	NaN	61884.7920811748	1.814272238042426e7	0.
-0.00002766090428053717	3.8504871251262e-11	NaN	NaN	NaN	38181.444254117574	8.467544960377118e6	0.
-0.000024469261478936724	3.8504871251262e-11	NaN	NaN	NaN	43900.30319805197	1.0514838974455738e7	0.
-0.00002158158465844109	3.8504871251262e-11	NaN	NaN	NaN	50971.133293523715	1.3293625557125084e7	0.
-0.000018389941856840644	3.8504871251262e-11	NaN	NaN	NaN	62576.49151806315	1.847416915275938e7	0.
-0.000027508921289984766	3.8504871251262e-11	NaN	NaN	NaN	38417.72491020138	8.548616650069153e6	0.
-0.000024317278488384322	3.8504871251262e-11	NaN	NaN	NaN	44219.17243110397	1.0634224718338402e7	0.
-0.000021429601667888686	3.8504871251262e-11	NaN	NaN	NaN	51414.12668736184	1.3476986874516238e7	0.
-0.00001823795886628824	3.8504871251262e-11	NaN	NaN	NaN	63286.679442483466	1.8817596553176988e7	0.
-0.000027356938299432364	3.8504871251262e-11	NaN	NaN	NaN	38657.12781256255	8.631069168363454e6	0.
-0.000021277618677336283	3.8504871251262e-11	NaN	NaN	NaN	51865.7852888269	1.3665077711367972e7	0.
-0.000018085975875735842	3.8504871251262e-11	NaN	NaN	NaN	64016.227180929855	1.917370664516964e7	0.
-0.0000150463160646878	3.8504871251262e-11	NaN	NaN	NaN	84913.07795611744	3.0970028282992642e7	0.
-0.00001200665625363976	3.8504871251262e-11	311821.74783265224	1.779813586785125e8	0.	NaN	NaN	NaN
-0.00001793399288518344	3.8504871251262e-11	NaN	NaN	NaN	64766.06859247498	1.954326273926977e7	0.
-8.96699644259172e-6	3.8504871251262e-11	232879.53319147445	6.739900271642396e7	0.	NaN	NaN	NaN
-0.000014894333074135398	3.8504871251262e-11	NaN	NaN	NaN	86468.82049545024	3.1989067901492573e7	0.
-0.000011854673263087357	3.8504871251262e-11	307874.6371005933	1.6247308686805114e8	0.	NaN	NaN	NaN
-0.000017782009894631037	3.8504871251262e-11	NaN	NaN	NaN	65537.20630093708	1.9927090417482115e7	0.
-8.815013452039317e-6	3.8504871251262e-11	228932.42245941554	6.496232866495863e7	0.	NaN	NaN	NaN
-0.000014742350083582997	3.8504871251262e-11	NaN	NaN	NaN	88107.38313962966	3.3086980480497073e7	0.
-0.000011702690272534956	3.8504871251262e-11	303927.5263685344	1.5057790293546498e8	0.	NaN	NaN	NaN
-0.000017630026904078634	3.8504871251262e-11	NaN	NaN	NaN	66330.71873790986	2.032609424222548e7	0.
-8.663030461486915e-6	3.8504871251262e-11	224985.31172735663	6.2618105497112416e7	0.	NaN	NaN	NaN
-0.000014590367093030594	3.8504871251262e-11	NaN	NaN	NaN	89837.7740748101	3.42748914227669e7	0.
-0.000011550707281982554	3.8504871251262e-11	299980.41563647555	1.4088744038404244e8	0.	NaN	NaN	NaN
-0.00001747804391352623	3.8504871251262e-11	NaN	NaN	NaN	67147.76812866057	2.0741258533570103e7	0.
-8.511047470934514e-6	3.8504871251262e-11	221038.20099529778	6.0359562018228315e7	0.	NaN	NaN	NaN
-0.000014438384102478191	3.8504871251262e-11	NaN	NaN	NaN	91670.64196693688	3.556637686118152e7	0.
-0.000011398724291430151	3.8504871251262e-11	296033.30490441667	1.3268651781443283e8	0.	NaN	NaN	NaN
-0.00001732606092297383	3.8504871251262e-11	NaN	NaN	NaN	67989.60957899895	2.117366211830133e7	0.
-8.359064480382111e-6	3.8504871251262e-11	217091.09026323888	5.818070332969166e7	0.	NaN	NaN	NaN
-0.00001428640111192579	3.8504871251262e-11	NaN	NaN	NaN	93618.72009618796	3.697823437453223e7	0.
-0.00001124674130087775	3.8504871251262e-11	292086.1941723578	1.2556141887892029e8	0.	NaN	NaN	NaN
-0.00001717407793242143	3.8504871251262e-11	NaN	NaN	NaN	68857.60145344297	2.1624489150464207e7	0.
-8.207081489829708e-6	3.8504871251262e-11	213143.97953117997	5.6076197834415644e7	0.	NaN	NaN	NaN
-0.000014134418121373388	3.8504871251262e-11	NaN	NaN	NaN	95697.43729221741	3.8531582306395195e7	0.
-0.000011094758310325348	3.8504871251262e-11	288139.08344029885	1.1925099271541837e8	0.	NaN	NaN	NaN
-0.000017022094941869027	3.8504871251262e-11	NaN	NaN	NaN	69753.21727504331	2.2095041829668276e7	0.
-8.055098499277307e-6	3.8504871251262e-11	209196.86879912112	5.404128425456932e7	0.	NaN	NaN	NaN
-0.000013982435130820985	3.8504871251262e-11	NaN	NaN	NaN	97925.77908986683	4.025346800832978e7	0.
-0.000010942775319772945	3.8504871251262e-11	284191.97270824	1.1357969676357032e8	0.	NaN	NaN	NaN
-0.000016870111951316625	3.8504871251262e-11	NaN	NaN	NaN	70678.05942729076	2.258675804281939e7	0.
-7.903115508724905e-6	3.8504871251262e-11	205249.7580670622	5.2071694556353614e7	0.	NaN	NaN	NaN
-0.000013830452140268584	3.8504871251262e-11	NaN	NaN	NaN	100327.53675548441	4.2179295207161434e7	0.
-0.000010790792329220544	3.8504871251262e-11	280244.8619761811	1.0842378536836836e8	0.	NaN	NaN	NaN
-0.000016718128960764222	3.8504871251262e-11	NaN	NaN	NaN	71633.87500156225	2.3101232350245114e7	0.
-7.751132518172502e-6	3.8504871251262e-11	201302.6473350033	5.01635896282685e7	0.	NaN	NaN	NaN
