# Filename	binding\4d8843c8-8251-4ff1-9bd3-4673291a71b1.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:12:21
# Dir	-1
# field	5.736836878344591e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	5.736836878344591e-11	NaN	NaN	NaN	-31075.813427704572	5.962481568678423e6	0.
-0.000024165295497831922	5.736836878344591e-11	NaN	NaN	NaN	-37960.69305457914	7.972707989541646e6	0.
-0.000030244615119928003	5.736836878344591e-11	NaN	NaN	NaN	-31215.471955043115	6.0016498628243115e6	0.
-0.00002720495530887996	5.736836878344591e-11	NaN	NaN	NaN	-34279.98414407605	6.878555658334912e6	0.
-0.00002401331250727952	5.736836878344591e-11	NaN	NaN	NaN	-38163.98008675678	8.034342620439398e6	0.
-0.00002112563568678388	5.736836878344591e-11	NaN	NaN	NaN	-42443.79982401996	9.358597104008222e6	0.
-0.0000300926321293756	5.736836878344591e-11	NaN	NaN	NaN	-31356.32410709935	6.041225411028661e6	0.
-0.00002705297231832756	5.736836878344591e-11	NaN	NaN	NaN	-34448.07067204221	6.927583426979502e6	0.
-0.000023861329516727117	5.736836878344591e-11	NaN	NaN	NaN	-38369.28564506948	8.096711197341801e6	0.
-0.000020973652696231478	5.736836878344591e-11	NaN	NaN	NaN	-42693.269182403295	9.437273297946025e6	0.
-0.000029940649138823198	5.736836878344591e-11	NaN	NaN	NaN	-31498.384378480157	6.081212791229732e6	0.
-0.00002690098932777516	5.736836878344591e-11	NaN	NaN	NaN	-34617.70713665535	6.977157950563642e6	0.
-0.000023709346526174715	5.736836878344591e-11	NaN	NaN	NaN	-38576.63737072135	8.159824902233469e6	0.
-0.000020821669705679075	5.736836878344591e-11	NaN	NaN	NaN	-42945.40620718408	9.516947382957917e6	0.
-0.000029788666148270795	5.736836878344591e-11	NaN	NaN	NaN	-31641.667484274534	6.121619592831244e6	0.
-0.000026749006337222757	5.736836878344591e-11	NaN	NaN	NaN	-34788.91358276994	7.027287216420457e6	0.
-0.000023557363535622312	5.736836878344591e-11	NaN	NaN	NaN	-38786.06335998275	8.223695577304162e6	0.
-0.000020669686715126676	5.736836878344591e-11	NaN	NaN	NaN	-43200.24932749199	9.597635917365596e6	0.
-0.000029636683157718393	5.736836878344591e-11	NaN	NaN	NaN	-31786.188363930694	6.162450306814213e6	0.
-0.000026597023346670354	5.736836878344591e-11	NaN	NaN	NaN	-34961.71037442195	7.077979089349827e6	0.
-0.000023405380545069913	5.736836878344591e-11	NaN	NaN	NaN	-38997.59217226982	8.288333580010924e6	0.
-0.000020517703724574274	5.736836878344591e-11	NaN	NaN	NaN	-43457.83761434651	9.679354361520262e6	0.
-0.000029484700167165993	5.736836878344591e-11	NaN	NaN	NaN	-31931.96218520712	6.203711816228646e6	0.
-0.00002644504035611795	5.736836878344591e-11	NaN	NaN	NaN	-35136.1182005473	7.129241375090232e6	0.
-0.00002325339755451751	5.736836878344591e-11	NaN	NaN	NaN	-39211.252838355205	8.353752281678822e6	0.
-0.00002036572073402187	5.736836878344591e-11	NaN	NaN	NaN	-43718.210791362995	9.7621192813992e6	0.
