# Filename	binding\4fee82a1-65fa-4968-8a93-4e35642889a8.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:06:04
# Dir	-1
# field	1.964137371907809e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	1.964137371907809e-11	NaN	NaN	NaN	-32227.306482629523	6.377455907071484e6	0.
-0.00002720495530887996	1.964137371907809e-11	NaN	NaN	NaN	-35831.08601995576	7.4633231045119455e6	0.
-0.000024165295497831922	1.964137371907809e-11	NaN	NaN	NaN	-40076.2287012476	8.807785705732401e6	0.
-0.00002112563568678388	1.964137371907809e-11	NaN	NaN	NaN	-45417.9893625262	1.0591613150761992e7	0.
-0.000030244615119928003	1.964137371907809e-11	NaN	NaN	NaN	-32382.731296670812	6.423180523813764e6	0.
-0.00002705297231832756	1.964137371907809e-11	NaN	NaN	NaN	-36022.403588501176	7.522434730041405e6	0.
-0.00002401331250727952	1.964137371907809e-11	NaN	NaN	NaN	-40314.22634570405	8.885143707697444e6	0.
-0.000020973652696231478	1.964137371907809e-11	NaN	NaN	NaN	-45721.22416464318	1.0695761281808147e7	0.
-0.0000300926321293756	1.964137371907809e-11	NaN	NaN	NaN	-32539.631840850467	6.469441869639583e6	0.
-0.00002690098932777516	1.964137371907809e-11	NaN	NaN	NaN	-36215.72359257277	7.582304535208512e6	-7.424311511288441e-7
-0.000023861329516727117	1.964137371907809e-11	NaN	NaN	NaN	-40554.97864700072	8.963602547976993e6	-6.249744898726687e-7
-0.000020821669705679075	1.964137371907809e-11	NaN	NaN	NaN	-46028.37244810423	1.0801556052939069e7	0.
-0.000029940649138823198	1.964137371907809e-11	NaN	NaN	NaN	-32698.028789893935	6.516249187451379e6	-1.7768002338293808e-7
-0.000026749006337222757	1.964137371907809e-11	NaN	NaN	NaN	-36411.07681317195	7.64295757463224e6	0.
-0.000023709346526174715	1.964137371907809e-11	NaN	NaN	NaN	-40798.532137456656	9.04318766998224e6	0.
-0.000020669686715126676	1.964137371907809e-11	NaN	NaN	NaN	-46339.50725381129	1.0909035311068872e7	0.
-0.000029788666148270795	1.964137371907809e-11	NaN	NaN	NaN	-32857.943197966226	6.563613587086568e6	0.
-0.000026597023346670354	1.964137371907809e-11	NaN	NaN	NaN	-36608.49464787006	7.704400996686696e6	0.
-0.000023557363535622312	1.964137371907809e-11	NaN	NaN	NaN	-41044.93436621384	9.123917367132049e6	-7.34894239450709e-7
-0.000020517703724574274	1.964137371907809e-11	NaN	NaN	NaN	-46654.703366828966	1.1018233056043357e7	0.
-0.000029636683157718393	1.964137371907809e-11	NaN	NaN	NaN	-33019.39650721013	6.611543651042287e6	0.
-0.00002644504035611795	1.964137371907809e-11	NaN	NaN	NaN	-36808.009125852695	7.766650817651437e6	0.
-0.000023405380545069913	1.964137371907809e-11	NaN	NaN	NaN	-41294.23392605807	9.205817046401704e6	0.
-0.00002036572073402187	1.964137371907809e-11	NaN	NaN	NaN	-46974.037365936514	1.1129188010539483e7	0.
-0.000029484700167165993	1.964137371907809e-11	NaN	NaN	NaN	-33182.410556506184	6.660043584791694e6	0.
-0.00002629305736556555	1.964137371907809e-11	NaN	NaN	NaN	-37009.65292339173	7.829721348293195e6	0.
-0.00002325339755451751	1.964137371907809e-11	NaN	NaN	NaN	-41546.480481055354	9.288907647646446e6	0.
-0.00002021373774346947	1.964137371907809e-11	NaN	NaN	NaN	-47297.58767476403	1.1241937267649492e7	0.
-0.00002933271717661359	1.964137371907809e-11	NaN	NaN	NaN	-33347.00759046907	6.70912876019416e6	0.
-0.000026141074375013146	1.964137371907809e-11	NaN	NaN	NaN	-37213.45937975842	7.893626972950471e6	0.
-0.000023101414563965108	1.964137371907809e-11	NaN	NaN	NaN	-41801.72479502756	9.373213889847325e6	0.
-0.000020061754752917066	1.964137371907809e-11	NaN	NaN	NaN	-47625.434614568185	1.1356518962131321e7	0.
-0.000029180734186061188	1.964137371907809e-11	NaN	NaN	NaN	-33513.2102686795	6.7588063513051495e6	0.
-0.000025989091384460747	1.964137371907809e-11	NaN	NaN	NaN	-37419.46251359161	7.958382317200799e6	0.
-0.000022949431573412705	1.964137371907809e-11	NaN	NaN	NaN	-42060.01876089815	9.458758969224995e6	0.
-0.000019909771762364663	1.964137371907809e-11	NaN	NaN	NaN	-47957.66045870272	1.147297489827706e7	0.
-0.000029028751195508785	1.964137371907809e-11	NaN	NaN	NaN	-33681.04167516493	6.809086376827879e6	0.
-0.000025837108393908344	1.964137371907809e-11	NaN	NaN	NaN	-37627.697039735816	8.024003953938206e6	0.
-0.000022797448582860302	1.964137371907809e-11	NaN	NaN	NaN	-42321.415430936286	9.545567685732022e6	0.
-0.000019757788771812264	1.964137371907809e-11	NaN	NaN	NaN	-48294.34948884091	1.1591345736170575e7	0.
-0.000028876768204956383	1.964137371907809e-11	NaN	NaN	NaN	-33850.525328132935	6.859978759663976e6	0.
