# Filename	binding\5ba7476d-7fc8-4ca5-9989-9d47b589ec3e.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:10:27
# Dir	-1
# field	4.5894695026756726e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	4.5894695026756726e-11	NaN	NaN	NaN	-31408.90904460589	6.080679369346089e6	0.
-0.00002720495530887996	4.5894695026756726e-11	NaN	NaN	NaN	-34723.91181567522	7.04281384691041e6	0.
-0.000024165295497831922	4.5894695026756726e-11	NaN	NaN	NaN	-38558.07234898376	8.20320432751001e6	0.
-0.00002112563568678388	4.5894695026756726e-11	NaN	NaN	NaN	-43268.62264808356	9.691045805841483e6	0.
-0.000030244615119928003	4.5894695026756726e-11	NaN	NaN	NaN	-31552.97817423529	6.121645851020592e6	0.
-0.00002705297231832756	4.5894695026756726e-11	NaN	NaN	NaN	-34898.38277245221	7.094545492293016e6	0.
-0.00002401331250727952	4.5894695026756726e-11	NaN	NaN	NaN	-38770.68786970861	8.268940823440314e6	0.
-0.000020973652696231478	4.5894695026756726e-11	NaN	NaN	NaN	-43532.11599526758	9.77612483805262e6	0.
-0.0000300926321293756	4.5894695026756726e-11	NaN	NaN	NaN	-31698.31652270337	6.163052395749777e6	0.
-0.00002690098932777516	4.5894695026756726e-11	NaN	NaN	NaN	-35074.5216747565	7.146879342721891e6	0.
-0.000023861329516727117	4.5894695026756726e-11	NaN	NaN	NaN	-38985.50744323082	8.335501242226573e6	0.
-0.000020821669705679075	4.5894695026756726e-11	NaN	NaN	NaN	-43798.57693161607	9.862351048191885e6	0.
-0.000029940649138823198	4.5894695026756726e-11	NaN	NaN	NaN	-31844.940153426644	6.2049071422747765e6	0.
-0.000026749006337222757	4.5894695026756726e-11	NaN	NaN	NaN	-35252.35118732727	7.199824026135091e6	0.
-0.000023709346526174715	4.5894695026756726e-11	NaN	NaN	NaN	-39202.56309550794	8.402897243627505e6	0.
-0.000020669686715126676	4.5894695026756726e-11	NaN	NaN	NaN	-44068.05139434187	9.949744797891488e6	0.
-0.000029788666148270795	4.5894695026756726e-11	NaN	NaN	NaN	-31992.865388018905	6.247217395598213e6	0.
-0.000026597023346670354	4.5894695026756726e-11	NaN	NaN	NaN	-35431.8943608005	7.253389086773742e6	0.
-0.000023557363535622312	4.5894695026756726e-11	NaN	NaN	NaN	-39421.887424826615	8.471145061085997e6	0.
-0.000020517703724574274	4.5894695026756726e-11	NaN	NaN	NaN	-44340.58617092841	1.0038325947306238e7	0.
-0.000029636683157718393	4.5894695026756726e-11	NaN	NaN	NaN	-32142.108811184302	6.289986332288377e6	0.
-0.00002644504035611795	4.5894695026756726e-11	NaN	NaN	NaN	-35613.17463930586	7.307584076819986e6	0.
-0.000023405380545069913	4.5894695026756726e-11	NaN	NaN	NaN	-39643.51361328337	8.540257044739101e6	0.
-0.00002036572073402187	4.5894695026756726e-11	NaN	NaN	NaN	-44616.22891591296	1.0128114691475362e7	0.
-0.000029484700167165993	4.5894695026756726e-11	NaN	NaN	NaN	-32292.687275713997	6.333224351960894e6	0.
-0.00002629305736556555	4.5894695026756726e-11	NaN	NaN	NaN	-35796.215868224455	7.3624187209498705e6	0.
-0.00002325339755451751	4.5894695026756726e-11	NaN	NaN	NaN	-39867.475438499554	8.610248268849047e6	0.
-0.00002021373774346947	4.5894695026756726e-11	NaN	NaN	NaN	-44895.02816796159	1.021913143552097e7	0.
-0.00002933271717661359	4.5894695026756726e-11	NaN	NaN	NaN	-32444.617907587417	6.376936668644544e6	0.
-0.000026141074375013146	4.5894695026756726e-11	NaN	NaN	NaN	-35981.04230211067	7.4179030630916385e6	0.
-0.000023101414563965108	4.5894695026756726e-11	NaN	NaN	NaN	-40093.807285572235	8.68113242652793e6	0.
-0.000020061754752917066	4.5894695026756726e-11	NaN	NaN	NaN	-45177.033367236894	1.0311399210512618e7	0.
-0.000029180734186061188	4.5894695026756726e-11	NaN	NaN	NaN	-32597.91811118163	6.4211270557172755e6	0.
-0.000025989091384460747	4.5894695026756726e-11	NaN	NaN	NaN	-36167.6786127813	7.474047390727411e6	0.
-0.000022949431573412705	4.5894695026756726e-11	NaN	NaN	NaN	-40322.54415926631	8.752925005902693e6	0.
-0.000019909771762364663	4.5894695026756726e-11	NaN	NaN	NaN	-45462.294873058585	1.040493699952017e7	0.
-0.000029028751195508785	4.5894695026756726e-11	NaN	NaN	NaN	-32752.60557459083	6.465806655550404e6	-5.445199839020956e-7
-0.000025837108393908344	4.5894695026756726e-11	NaN	NaN	NaN	-36356.14989757549	7.530861693496396e6	0.
-0.000022797448582860302	4.5894695026756726e-11	NaN	NaN	NaN	-40553.72169645046	8.825640102108054e6	0.
-0.000019757788771812264	4.5894695026756726e-11	NaN	NaN	NaN	-45750.86398185846	1.0499769323210582e7	0.
-0.000028876768204956383	4.5894695026756726e-11	NaN	NaN	NaN	-32908.69827505752	6.510983816895486e6	0.
-0.000025685125403355942	4.5894695026756726e-11	NaN	NaN	NaN	-36546.48168778891	7.588356805174998e6	0.
-0.0000226454655923079	4.5894695026756726e-11	NaN	NaN	NaN	-40787.37617878141	8.899294108693162e6	0.
-0.00001960580578125986	4.5894695026756726e-11	NaN	NaN	NaN	-46042.792945428	1.0595917413349584e7	0.
-0.000028724785214403984	4.5894695026756726e-11	NaN	NaN	NaN	-33066.21448451985	6.556663120285563e6	0.
-0.00002553314241280354	4.5894695026756726e-11	NaN	NaN	NaN	-36738.699957285484	7.64654312314665e6	0.
-0.0000224934826017555	4.5894695026756726e-11	NaN	NaN	NaN	-41023.54454563939	8.973902026005844e6	0.
-0.00001945382279070746	4.5894695026756726e-11	NaN	NaN	NaN	-46338.13498945949	1.0693404579868477e7	0.
-0.00002857280222385158	4.5894695026756726e-11	NaN	NaN	NaN	-33225.172775274776	6.602852332939632e6	0.
-0.000025381159422251137	4.5894695026756726e-11	NaN	NaN	NaN	-36932.83113129036	7.705431628429049e6	0.
-0.000022341499611203098	4.5894695026756726e-11	NaN	NaN	NaN	-41262.26440731914	9.049480169685429e6	0.
-0.000019301839800155056	4.5894695026756726e-11	NaN	NaN	NaN	-46636.94433237881	1.079225459988919e7	0.
-0.00002842081923329918	4.5894695026756726e-11	NaN	NaN	NaN	-33385.59202576243	6.6495599161631e6	0.
-0.000025229176431698734	4.5894695026756726e-11	NaN	NaN	NaN	-37128.90209536756	7.76503372205224e6	0.
-0.000022189516620650695	4.5894695026756726e-11	NaN	NaN	NaN	-41503.57405847914	9.12604491032037e6	0.
-0.000019149856809602654	4.5894695026756726e-11	NaN	NaN	NaN	-46939.27620446854	1.0892490502589354e7	0.
-0.000028268836242746776	4.5894695026756726e-11	NaN	NaN	NaN	-33547.49142647219	6.696791901580695e6	0.
-0.000025077193441146335	4.5894695026756726e-11	NaN	NaN	NaN	-37326.94020458582	7.8253607188532045e6	0.
-0.000022037533630098293	4.5894695026756726e-11	NaN	NaN	NaN	-41747.51249185308	9.203612167090548e6	0.
-0.000018997873819050254	4.5894695026756726e-11	NaN	NaN	NaN	-47245.18686727973	1.0994137792427627e7	0.
-0.000028116853252194373	4.5894695026756726e-11	NaN	NaN	NaN	-33710.89048597447	6.744559207536229e6	0.
-0.000024925210450593932	4.5894695026756726e-11	NaN	NaN	NaN	-37526.97329287648	7.886424003704362e6	0.
-0.00002188555063954589	4.5894695026756726e-11	NaN	NaN	NaN	-41994.11941222677	9.282199195802841e6	0.
-0.00001884589082849785	4.5894695026756726e-11	NaN	NaN	NaN	-47554.733633329044	1.1097219744583184e7	0.
-0.00002796487026164197	4.5894695026756726e-11	NaN	NaN	NaN	-33875.809037079685	6.79286539159247e6	0.
-0.00002477322746004153	4.5894695026756726e-11	NaN	NaN	NaN	-37729.02968258677	7.94823541248201e6	0.
-0.000021733567648993488	4.5894695026756726e-11	NaN	NaN	NaN	-42243.435250683455	9.361823389581501e6	0.
-0.00001869390783794545	4.5894695026756726e-11	NaN	NaN	NaN	-47867.974886078766	1.1201762230237065e7	0.
-0.00002781288727108957	4.5894695026756726e-11	NaN	NaN	NaN	-34042.267243128576	6.841721851331397e6	0.
-0.000024621244469489127	4.5894695026756726e-11	NaN	NaN	NaN	-37933.138194232444	8.0108064812544435e6	0.
-0.00002158158465844109	4.5894695026756726e-11	NaN	NaN	NaN	-42495.50117912084	9.44250208207962e6	0.
-0.000018541924847393046	4.5894695026756726e-11	NaN	NaN	NaN	-48184.97010019523	1.1307791333009457e7	0.
-0.00002766090428053717	4.5894695026756726e-11	NaN	NaN	NaN	-34210.285604415454	6.891137144143698e6	0.
-0.000024469261478936724	4.5894695026756726e-11	NaN	NaN	NaN	-38139.32815645338	8.074150505545977e6	0.
-0.000021429601667888686	4.5894695026756726e-11	NaN	NaN	NaN	-42750.35912504292	9.524253958740996e6	0.
-0.000018389941856840644	4.5894695026756726e-11	NaN	NaN	NaN	-48505.7798620813	1.1415333244328462e7	0.
-0.000027508921289984766	4.5894695026756726e-11	NaN	NaN	NaN	-34379.88496474744	6.9411185967509085e6	0.
-0.000024317278488384322	4.5894695026756726e-11	NaN	NaN	NaN	-38347.62941617552	8.138278620618946e6	0.
-0.000021277618677336283	4.5894695026756726e-11	NaN	NaN	NaN	-43008.05178662905	9.607094933907619e6	0.
-0.00001823795886628824	4.5894695026756726e-11	NaN	NaN	NaN	-48830.46589067764	1.1524415674787808e7	0.
-0.000027356938299432364	4.5894695026756726e-11	NaN	NaN	NaN	-34551.08651814355	6.991675188660012e6	0.
-8.96699644259172e-6	4.5894695026756726e-11	NaN	NaN	NaN	-79319.01001987267	2.2527354566961627e7	0.
-0.000018085975875735842	4.5894695026756726e-11	NaN	NaN	NaN	-49159.09105852626	1.1635063023503462e7	0.
-0.0000150463160646878	4.5894695026756726e-11	NaN	NaN	NaN	-56666.788056112055	1.422384501998456e7	0.
-0.00001200665625363976	4.5894695026756726e-11	NaN	NaN	NaN	-66422.6570866168	1.7729878754128825e7	0.
-8.815013452039317e-6	4.5894695026756726e-11	NaN	NaN	NaN	-80066.38584435916	2.280912076474438e7	0.
