# Filename	binding\624f3e67-6989-4c68-930a-c1d1c48a947c.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-09T15:29:28
# Dir	1
# field	1.575199278460718e-11
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	1.575199278460718e-11	NaN	NaN	NaN	33479.266160745836	6.849615588988935e6	0.
-0.00002720495530887996	1.575199278460718e-11	NaN	NaN	NaN	37575.52794239391	8.15868127132625e6	0.
-0.000024165295497831922	1.575199278460718e-11	NaN	NaN	NaN	42562.517145401325	9.85943276047129e6	0.
-0.00002112563568678388	1.575199278460718e-11	NaN	NaN	NaN	49136.07832800966	1.2274522364619792e7	0.
-0.000030244615119928003	1.575199278460718e-11	NaN	NaN	NaN	33653.59907645144	6.903670962983774e6	0.
-0.00002705297231832756	1.575199278460718e-11	NaN	NaN	NaN	37796.31600029274	8.231525310890884e6	0.
-0.00002401331250727952	1.575199278460718e-11	NaN	NaN	NaN	42847.88855311633	9.96022837444516e6	0.
-0.000020973652696231478	1.575199278460718e-11	NaN	NaN	NaN	49520.63018046179	1.2421780156800995e7	0.
-0.0000300926321293756	1.575199278460718e-11	NaN	NaN	NaN	33829.790570434	6.958454107511915e6	0.
-0.00002690098932777516	1.575199278460718e-11	NaN	NaN	NaN	38019.77484015008	8.305476877338642e6	0.
-0.000023861329516727117	1.575199278460718e-11	NaN	NaN	NaN	43137.2288172771	1.0062802967776805e7	0.
-0.000020821669705679075	1.575199278460718e-11	NaN	NaN	NaN	49911.496502926035	1.2572126149954114e7	0.
-0.000029940649138823198	1.575199278460718e-11	NaN	NaN	NaN	34007.87106834664	7.013979381406734e6	0.
-0.000026749006337222757	1.575199278460718e-11	NaN	NaN	NaN	38245.954342196594	8.380571698392822e6	0.
-0.000023709346526174715	1.575199278460718e-11	NaN	NaN	NaN	43430.62379435236	1.0167207726905594e7	0.
-0.000020669686715126676	1.575199278460718e-11	NaN	NaN	NaN	50308.840375384076	1.2725654976621168e7	0.
-0.000029788666148270795	1.575199278460718e-11	NaN	NaN	NaN	34187.871675468785	7.070259253785239e6	-2.0561746694963704e-7
-0.000026597023346670354	1.575199278460718e-11	NaN	NaN	NaN	38474.9056644531	8.456833112734327e6	0.
-0.000023557363535622312	1.575199278460718e-11	NaN	NaN	NaN	43728.161906274276	1.0273481934129905e7	0.
-0.000020517703724574274	1.575199278460718e-11	NaN	NaN	NaN	50712.83075555616	1.2882464894586975e7	0.
-0.000029636683157718393	1.575199278460718e-11	NaN	NaN	NaN	34369.824196114525	7.127311473601509e6	-3.2230314935184315e-7
-0.00002644504035611795	1.575199278460718e-11	NaN	NaN	NaN	38706.68128478318	8.534285281310268e6	0.
-0.000023405380545069913	1.575199278460718e-11	NaN	NaN	NaN	44029.93423955344	1.03816792905306e7	-3.0177967282884696e-7
-0.00002036572073402187	1.575199278460718e-11	NaN	NaN	NaN	51123.64275530076	1.3042660132618317e7	0.
-0.000029484700167165993	1.575199278460718e-11	NaN	NaN	NaN	34553.76115372132	7.185150481704733e6	-6.641537946563406e-7
-0.00002629305736556555	1.575199278460718e-11	NaN	NaN	NaN	38941.335044651205	8.612960665131027e6	0.
-0.00002325339755451751	1.575199278460718e-11	NaN	NaN	NaN	44336.03464913513	1.0491855073572237e7	0.
-0.00002021373774346947	1.575199278460718e-11	NaN	NaN	NaN	51541.45793324092	1.3206347585372005e7	0.
-0.00002933271717661359	1.575199278460718e-11	NaN	NaN	NaN	34739.715811645954	7.2437911531073535e6	0.
-0.000026141074375013146	1.575199278460718e-11	NaN	NaN	NaN	39178.922194666746	8.692874798365382e6	0.
-0.000023101414563965108	1.575199278460718e-11	NaN	NaN	NaN	44646.55986727383	1.0604051037371356e7	0.
-0.000020061754752917066	1.575199278460718e-11	NaN	NaN	NaN	51966.46460477009	1.3373640086792294e7	0.
-0.000029180734186061188	1.575199278460718e-11	NaN	NaN	NaN	34927.722194699	7.303249219748133e6	0.
-0.000025989091384460747	1.575199278460718e-11	NaN	NaN	NaN	39419.49944200485	8.77406652076116e6	0.
-0.000022949431573412705	1.575199278460718e-11	NaN	NaN	NaN	44961.60961771412	1.0718328841773229e7	0.
-0.000019909771762364663	1.575199278460718e-11	NaN	NaN	NaN	52398.85817068577	1.354465456387e7	0.
-0.000029028751195508785	1.575199278460718e-11	NaN	NaN	NaN	35117.815111447715	7.3635442915456295e6	0.
-0.000025837108393908344	1.575199278460718e-11	NaN	NaN	NaN	39663.12499979258	8.8565611344963e6	0.
-0.000022797448582860302	1.575199278460718e-11	NaN	NaN	NaN	45281.286735490285	1.0834743139588807e7	0.
-0.000019757788771812264	1.575199278460718e-11	NaN	NaN	NaN	52838.84146580667	1.3719509822677204e7	0.
-0.000028876768204956383	1.575199278460718e-11	NaN	NaN	NaN	35310.03017732115	7.424681903457246e6	-2.6752076636398946e-7
-0.000025685125403355942	1.575199278460718e-11	NaN	NaN	NaN	39909.85863856072	8.940395119865173e6	0.
-0.0000226454655923079	1.575199278460718e-11	NaN	NaN	NaN	45605.69729267741	1.095335026053343e7	0.
-0.00001960580578125986	1.575199278460718e-11	NaN	NaN	NaN	53286.62512904546	1.3898336732694987e7	0.
-0.000028724785214403984	1.575199278460718e-11	NaN	NaN	NaN	35504.40383855118	7.486692430489488e6	-2.444967529515841e-7
-0.00002553314241280354	1.575199278460718e-11	NaN	NaN	NaN	40159.76173986315	9.025586162762536e6	0.
-0.0000224934826017555	1.575199278460718e-11	NaN	NaN	NaN	45934.95073044967	1.1074212536185093e7	0.
-0.00002857280222385158	1.575199278460718e-11	NaN	NaN	NaN	35700.97339698574	7.549589312360994e6	-6.110059718197833e-7
-0.000025381159422251137	1.575199278460718e-11	NaN	NaN	NaN	40412.89735217438	9.11218292547919e6	0.
-0.000022341499611203098	1.575199278460718e-11	NaN	NaN	NaN	46269.15999782545	1.119739071737459e7	0.
-0.00001945382279070746	1.575199278460718e-11	NaN	NaN	NaN	53742.427996535116	1.4081267989840953e7	0.
-0.00002842081923329918	1.575199278460718e-11	NaN	NaN	NaN	35899.777035811996	7.613389870940193e6	0.
-0.000025229176431698734	1.575199278460718e-11	NaN	NaN	NaN	40669.33024917933	9.200200888682567e6	-5.712413622650876e-7
-0.000022189516620650695	1.575199278460718e-11	NaN	NaN	NaN	46608.44169750844	1.1322950286468418e7	0.
-0.000028268836242746776	1.575199278460718e-11	NaN	NaN	NaN	36100.85384622968	7.678112546274587e6	0.
-0.000025077193441146335	1.575199278460718e-11	NaN	NaN	NaN	40929.126990579934	9.28968938728844e6	0.
-0.000022037533630098293	1.575199278460718e-11	NaN	NaN	NaN	46952.91623926074	1.1450959328361828e7	0.
-0.000019301839800155056	1.575199278460718e-11	NaN	NaN	NaN	54206.47751955152	1.4268440910318239e7	0.
-0.000028116853252194373	1.575199278460718e-11	NaN	NaN	NaN	36304.24385511554	7.7437769683077475e6	0.
-0.000024925210450593932	1.575199278460718e-11	NaN	NaN	NaN	41192.35598554786	9.38067785643612e6	0.
-0.00002188555063954589	1.575199278460718e-11	NaN	NaN	NaN	47302.70800127684	1.1581482841598507e7	-3.91030053208743e-7
-0.00002477322746004153	1.575199278460718e-11	NaN	NaN	NaN	41459.08755896028	9.47320220210682e6	0.
-0.000019149856809602654	1.575199278460718e-11	NaN	NaN	NaN	54679.01020912856	1.4460002502997335e7	0.
-0.00002796487026164197	1.575199278460718e-11	NaN	NaN	NaN	36509.98805372424	7.810401627579363e6	-6.956743157468901e-7
