# Filename	binding\627bb397-d18a-4584-bf4c-f13e13107359.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:05:29
# Dir	-1
# field	1.614093087805427e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	1.614093087805427e-11	NaN	NaN	NaN	-32342.94559326027	6.420132928480991e6	0.
-0.00002720495530887996	1.614093087805427e-11	NaN	NaN	NaN	-35989.52873987729	7.524793982970498e6	0.
-0.000024165295497831922	1.614093087805427e-11	NaN	NaN	NaN	-40297.026137666464	8.898024744387183e6	0.
-0.00002112563568678388	1.614093087805427e-11	NaN	NaN	NaN	-45737.531824766695	1.0729863364179187e7	0.
-0.000030244615119928003	1.614093087805427e-11	NaN	NaN	NaN	-32500.03676010161	6.466571327857004e6	0.
-0.00002705297231832756	1.614093087805427e-11	NaN	NaN	NaN	-36183.370033908854	7.585037316879845e6	-3.427050431944866e-7
-0.00002401331250727952	1.614093087805427e-11	NaN	NaN	NaN	-40538.92688739526	8.977226599361135e6	0.
-0.000020973652696231478	1.614093087805427e-11	NaN	NaN	NaN	-46047.096861306774	1.0837176672324255e7	0.
-0.0000300926321293756	1.614093087805427e-11	NaN	NaN	NaN	-32658.635420359995	6.513562361748157e6	0.
-0.00002690098932777516	1.614093087805427e-11	NaN	NaN	NaN	-36379.26680340075	7.646074099864342e6	0.
-0.000023861329516727117	1.614093087805427e-11	NaN	NaN	NaN	-40783.673018113084	9.057578979798777e6	-2.2390474940187431e-7
-0.000020821669705679075	1.614093087805427e-11	NaN	NaN	NaN	-46360.73944854839	1.0946219043030798e7	0.
-0.000029940649138823198	1.614093087805427e-11	NaN	NaN	NaN	-32818.76299930904	6.561114893860797e6	-2.805350320477904e-7
-0.000026749006337222757	1.614093087805427e-11	NaN	NaN	NaN	-36577.251207422785	7.707914914110075e6	0.
-0.000023709346526174715	1.614093087805427e-11	NaN	NaN	NaN	-41031.31365940075	9.139107494510736e6	0.
-0.000020669686715126676	1.614093087805427e-11	NaN	NaN	NaN	-46678.537835787625	1.1057045134454478e7	0.
-0.000029788666148270795	1.614093087805427e-11	NaN	NaN	NaN	-32980.44132275599	6.609239433226656e6	-1.672915872335478e-7
-0.000026597023346670354	1.614093087805427e-11	NaN	NaN	NaN	-36777.356064072184	7.770576252334794e6	0.
-0.000023557363535622312	1.614093087805427e-11	NaN	NaN	NaN	-41281.89904546453	9.22183229165641e6	0.
-0.000020517703724574274	1.614093087805427e-11	NaN	NaN	NaN	-47000.57221048379	1.1169686693959942e7	0.
-0.000029636683157718393	1.614093087805427e-11	NaN	NaN	NaN	-33143.69262626434	6.6579469585456e6	0.
-0.00002644504035611795	1.614093087805427e-11	NaN	NaN	NaN	-36979.61486702483	7.834072459069984e6	0.
-0.000023405380545069913	1.614093087805427e-11	NaN	NaN	NaN	-41535.4805453579	9.305777531964594e6	0.
-0.00002036572073402187	1.614093087805427e-11	NaN	NaN	NaN	-47326.924756029985	1.1284186323833441e7	0.
-0.000029484700167165993	1.614093087805427e-11	NaN	NaN	NaN	-33308.53956462601	6.707240575429705e6	-2.5539020163801073e-7
-0.00002629305736556555	1.614093087805427e-11	NaN	NaN	NaN	-37184.06180257402	7.898420645431967e6	0.
-0.00002325339755451751	1.614093087805427e-11	NaN	NaN	NaN	-41792.110694167175	9.39096885457923e6	0.
-0.00002021373774346947	1.614093087805427e-11	NaN	NaN	NaN	-47657.67971149327	1.1400585204037935e7	0.
