# Filename	binding\645f0e7a-48cb-4dd8-97c6-768e9871d07e.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T18:03:20
# Dir	-1
# field	3.3643145083173365e-11
# zi	-6.
W	field	zb	tb	argtbzt	tt	argtt
-0.000030396598110480406	3.3643145083173365e-11	NaN	NaN	NaN	-31780.54091446274	-31780.54091446274	3.141592653589793
-0.00002720495530887996	3.3643145083173365e-11	NaN	NaN	NaN	-35223.68178838586	-35223.68178838586	3.141592653589793
-0.000024165295497831922	3.3643145083173365e-11	NaN	NaN	NaN	-39238.16618082721	-39238.16618082721	3.141592653589793
-0.00002112563568678388	3.3643145083173365e-11	NaN	NaN	NaN	-44221.589199247945	-44221.589199247945	3.141592653589793
-0.000030244615119928003	3.3643145083173365e-11	NaN	NaN	NaN	-31929.673235334343	-31929.673235334343	3.141592653589793
-0.00002705297231832756	3.3643145083173365e-11	NaN	NaN	NaN	-35405.58979811358	-35405.58979811358	3.141592653589793
-0.00002401331250727952	3.3643145083173365e-11	NaN	NaN	NaN	-39461.84599327393	-39461.84599327393	3.141592653589793
-0.000020973652696231478	3.3643145083173365e-11	NaN	NaN	NaN	-44502.11185929133	-44502.11185929133	3.141592653589793
-0.0000300926321293756	3.3643145083173365e-11	NaN	NaN	NaN	-32080.16472281632	-32080.16472281632	3.141592653589793
-0.00002690098932777516	3.3643145083173365e-11	NaN	NaN	NaN	-35589.30925072972	-35589.30925072972	3.141592653589793
-0.000023861329516727117	3.3643145083173365e-11	NaN	NaN	NaN	-39687.96155366389	-39687.96155366389	3.141592653589793
-0.000020821669705679075	3.3643145083173365e-11	NaN	NaN	NaN	-44785.98984780428	-44785.98984780428	3.141592653589793
-0.000029940649138823198	3.3643145083173365e-11	NaN	NaN	NaN	-32232.03339099184	-32232.03339099184	3.141592653589793
-0.000026749006337222757	3.3643145083173365e-11	NaN	NaN	NaN	-35774.86616980351	-35774.86616980351	3.141592653589793
-0.000023709346526174715	3.3643145083173365e-11	NaN	NaN	NaN	-39916.55072500109	-39916.55072500109	3.141592653589793
-0.000020669686715126676	3.3643145083173365e-11	NaN	NaN	NaN	-45073.279597116256	-45073.279597116256	3.141592653589793
-0.000029788666148270795	3.3643145083173365e-11	NaN	NaN	NaN	-32385.297561612362	-32385.297561612362	3.141592653589793
-0.000026597023346670354	3.3643145083173365e-11	NaN	NaN	NaN	-35962.28705606742	-35962.28705606742	3.141592653589793
-0.000023557363535622312	3.3643145083173365e-11	NaN	NaN	NaN	-40147.652111605945	-40147.652111605945	3.141592653589793
-0.000020517703724574274	3.3643145083173365e-11	NaN	NaN	NaN	-45364.03871136201	-45364.03871136201	3.141592653589793
-0.000029636683157718393	3.3643145083173365e-11	NaN	NaN	NaN	-32539.975870413942	-32539.975870413942	3.141592653589793
-0.00002644504035611795	3.3643145083173365e-11	NaN	NaN	NaN	-36151.59889779977	-36151.59889779977	3.141592653589793
-0.000023405380545069913	3.3643145083173365e-11	NaN	NaN	NaN	-40381.30507601864	-40381.30507601864	3.141592653589793
-0.00002036572073402187	3.3643145083173365e-11	NaN	NaN	NaN	-45658.325993952145	-45658.325993952145	3.141592653589793
-0.000029484700167165993	3.3643145083173365e-11	NaN	NaN	NaN	-32696.0872735799	-32696.0872735799	3.141592653589793
-0.00002629305736556555	3.3643145083173365e-11	NaN	NaN	NaN	-36342.82918146014	-36342.82918146014	3.141592653589793
-0.00002325339755451751	3.3643145083173365e-11	NaN	NaN	NaN	-40617.549756322645	-40617.549756322645	3.141592653589793
-0.00002021373774346947	3.3643145083173365e-11	NaN	NaN	NaN	-45956.20147570173	-45956.20147570173	3.141592653589793
-0.00002933271717661359	3.3643145083173365e-11	NaN	NaN	NaN	-32853.651054356946	-32853.651054356946	3.141592653589793
-0.000026141074375013146	3.3643145083173365e-11	NaN	NaN	NaN	-36536.00590258512	-36536.00590258512	3.141592653589793
-0.000023101414563965108	3.3643145083173365e-11	NaN	NaN	NaN	-40856.427083896946	-40856.427083896946	3.141592653589793
-0.000020061754752917066	3.3643145083173365e-11	NaN	NaN	NaN	-46257.72644363195	-46257.72644363195	3.141592653589793
-0.000029180734186061188	3.3643145083173365e-11	NaN	NaN	NaN	-33012.68682982616	-33012.68682982616	3.141592653589793
-0.000025989091384460747	3.3643145083173365e-11	NaN	NaN	NaN	-36731.15757695135	-36731.15757695135	3.141592653589793
-0.000022949431573412705	3.3643145083173365e-11	NaN	NaN	NaN	-41097.9788016095	-41097.9788016095	3.141592653589793
-0.000019909771762364663	3.3643145083173365e-11	NaN	NaN	NaN	-46562.96347045685	-46562.96347045685	3.141592653589793
-0.000029028751195508785	3.3643145083173365e-11	NaN	NaN	NaN	-33173.21455783545	-33173.21455783545	3.141592653589793
-0.000025837108393908344	3.3643145083173365e-11	NaN	NaN	NaN	-36928.31325201161	-36928.31325201161	3.141592653589793
-0.000022797448582860302	3.3643145083173365e-11	NaN	NaN	NaN	-41342.2474824615	-41342.2474824615	3.141592653589793
-0.000019757788771812264	3.3643145083173365e-11	NaN	NaN	NaN	-46871.97644476888	-46871.97644476888	3.141592653589793
-0.000028876768204956383	3.3643145083173365e-11	NaN	NaN	NaN	-33335.254544094234	-33335.254544094234	3.141592653589793
-0.000025685125403355942	3.3643145083173365e-11	NaN	NaN	NaN	-37127.50251861236	-37127.50251861236	3.141592653589793
-0.0000226454655923079	3.3643145083173365e-11	NaN	NaN	NaN	-41589.27654869347	-41589.27654869347	3.141592653589793
-0.00001960580578125986	3.3643145083173365e-11	NaN	NaN	NaN	-47184.83060193542	-47184.83060193542	3.141592653589793
-0.000028724785214403984	3.3643145083173365e-11	NaN	NaN	NaN	-33498.827449438206	-33498.827449438206	3.141592653589793
-0.00002553314241280354	3.3643145083173365e-11	NaN	NaN	NaN	-37328.75552299907	-37328.75552299907	3.141592653589793
-0.0000224934826017555	3.3643145083173365e-11	NaN	NaN	NaN	-41839.1102913649	-41839.1102913649	3.141592653589793
