# Filename	binding\6769b97b-9179-4b6c-b1c7-aaa2eea60f97.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-09T15:32:03
# Dir	1
# field	3.597677364385591e-11
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	3.597677364385591e-11	NaN	NaN	NaN	34290.081947853585	7.167660997135779e6	0.
-0.00002720495530887996	3.597677364385591e-11	NaN	NaN	NaN	38743.01126276422	8.647773972241571e6	0.
-0.000024165295497831922	3.597677364385591e-11	NaN	NaN	NaN	44303.883566348166	1.0644847117510827e7	0.
-0.00002112563568678388	3.597677364385591e-11	NaN	NaN	NaN	51927.998758554844	1.3652741010327542e7	0.
-0.000030244615119928003	3.597677364385591e-11	NaN	NaN	NaN	34477.74496998292	7.227889480506126e6	0.
-0.00002705297231832756	3.597677364385591e-11	NaN	NaN	NaN	38985.761393800414	8.731510537292896e6	0.
-0.00002401331250727952	3.597677364385591e-11	NaN	NaN	NaN	44627.39103926575	1.0766109088319385e7	0.
-0.000020973652696231478	3.597677364385591e-11	NaN	NaN	NaN	52386.29282153426	1.3843645735466208e7	0.
-0.0000300926321293756	3.597677364385591e-11	NaN	NaN	NaN	34667.56672248701	7.289003652662005e6	0.
-0.00002690098932777516	3.597677364385591e-11	NaN	NaN	NaN	39231.75211993004	8.816685137838196e6	0.
-0.000023861329516727117	3.597677364385591e-11	NaN	NaN	NaN	44956.03095530533	1.0889868692174667e7	0.
-0.000020821669705679075	3.597677364385591e-11	NaN	NaN	NaN	52853.66018887122	1.403952552794297e7	0.
-0.000029940649138823198	3.597677364385591e-11	NaN	NaN	NaN	34859.586309701066	7.351023015484358e6	0.
-0.000026749006337222757	3.597677364385591e-11	NaN	NaN	NaN	39481.05243924563	8.903335965177651e6	0.
-0.000023709346526174715	3.597677364385591e-11	NaN	NaN	NaN	45289.93554689658	1.1016203457297519e7	0.
-0.000020669686715126676	3.597677364385591e-11	NaN	NaN	NaN	53330.401016180906	1.424058130704368e7	0.
-0.000029788666148270795	3.597677364385591e-11	NaN	NaN	NaN	35053.84382488255	7.41396771548091e6	0.
-0.000026597023346670354	3.597677364385591e-11	NaN	NaN	NaN	39733.733423675374	8.991500290961709e6	0.
-0.000023557363535622312	3.597677364385591e-11	NaN	NaN	NaN	45629.24192855266	1.114519442113382e7	0.
-0.000020517703724574274	3.597677364385591e-11	NaN	NaN	NaN	53816.83001126613	1.4447027423213335e7	0.
-0.000029636683157718393	3.597677364385591e-11	NaN	NaN	NaN	35250.38038282361	7.477858374600339e6	0.
-0.00002644504035611795	3.597677364385591e-11	NaN	NaN	NaN	39989.86830100517	9.081215654975379e6	0.
-0.000023405380545069913	3.597677364385591e-11	NaN	NaN	NaN	45974.09233684446	1.1276926502593542e7	0.
-0.00002036572073402187	3.597677364385591e-11	NaN	NaN	NaN	54313.277388941024	1.465908697841068e7	0.
-0.000029484700167165993	3.597677364385591e-11	NaN	NaN	NaN	35449.23815380462	7.54271418579625e6	0.
-0.00002629305736556555	3.597677364385591e-11	NaN	NaN	NaN	40249.53254097379	9.17252509851068e6	0.
-0.00002325339755451751	3.597677364385591e-11	NaN	NaN	NaN	46324.63438531642	1.1411487500699641e7	0.
-0.00002021373774346947	3.597677364385591e-11	NaN	NaN	NaN	54820.08990615984	1.4876998552811733e7	0.
-0.00002933271717661359	3.597677364385591e-11	NaN	NaN	NaN	35650.46039895495	7.608556405668044e6	0.
-0.000026141074375013146	3.597677364385591e-11	NaN	NaN	NaN	40512.803945686486	9.265469858131148e6	0.
-0.000023101414563965108	3.597677364385591e-11	NaN	NaN	NaN	46681.02133548074	1.154896936443089e7	0.
-0.000020061754752917066	3.597677364385591e-11	NaN	NaN	NaN	55337.6319857774	1.5101012161523912e7	0.
-0.000029180734186061188	3.597677364385591e-11	NaN	NaN	NaN	35854.0915070916	7.675409192818181e6	0.
