# Filename	binding\67958304-bcc9-45b9-b3c0-898a5093bc9f.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:12:25
# Dir	-1
# field	5.7757306876893e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	5.7757306876893e-11	NaN	NaN	NaN	-31064.761713368123	5.958585041174268e6	0.
-0.00002720495530887996	5.7757306876893e-11	NaN	NaN	NaN	-34265.31822637969	6.87317020941383e6	0.
-0.000024165295497831922	5.7757306876893e-11	NaN	NaN	NaN	-37941.061478736796	7.965202660917021e6	0.
-0.00002112563568678388	5.7757306876893e-11	NaN	NaN	NaN	-42416.8791733725	9.347865768957019e6	0.
-0.000030244615119928003	5.7757306876893e-11	NaN	NaN	NaN	-31204.27592550681	5.997694821967134e6	0.
-0.00002705297231832756	5.7757306876893e-11	NaN	NaN	NaN	-34433.19730298448	6.922111311882347e6	0.
-0.00002401331250727952	5.7757306876893e-11	NaN	NaN	NaN	-38144.04795896813	8.026706423440807e6	0.
-0.000020973652696231478	5.7757306876893e-11	NaN	NaN	NaN	-42665.901605083	9.42634066580511e6	0.
-0.0000300926321293756	5.7757306876893e-11	NaN	NaN	NaN	-31344.981332027146	6.03721092681477e6	0.
-0.00002690098932777516	5.7757306876893e-11	NaN	NaN	NaN	-34602.6225612892	6.971597358076572e6	0.
-0.000023861329516727117	5.7757306876893e-11	NaN	NaN	NaN	-38349.04713576516	8.088941954142776e6	0.
-0.000020821669705679075	5.7757306876893e-11	NaN	NaN	NaN	-42917.582429507325	9.505809299135368e6	0.
-0.000029940649138823198	5.7757306876893e-11	NaN	NaN	NaN	-31486.892378183624	6.077138298192955e6	0.
-0.000026749006337222757	5.7757306876893e-11	NaN	NaN	NaN	-34773.61396493021	7.021635934814812e6	0.
-0.000023709346526174715	5.7757306876893e-11	NaN	NaN	NaN	-38556.08651680791	8.151919006946917e6	0.
-0.000020669686715126676	5.7757306876893e-11	NaN	NaN	NaN	-43171.959852316766	9.586287528636284e6	0.
-0.000029788666148270795	5.7757306876893e-11	NaN	NaN	NaN	-31630.023728557557	6.117482845354379e6	0.
-0.000026597023346670354	5.7757306876893e-11	NaN	NaN	NaN	-34946.1917947233	7.072235312759439e6	0.
-0.000023557363535622312	5.7757306876893e-11	NaN	NaN	NaN	-38765.19406141084	8.215650288581513e6	0.
-0.000020517703724574274	5.7757306876893e-11	NaN	NaN	NaN	-43429.07271516986	9.667790940432057e6	0.
-0.000029636683157718393	5.7757306876893e-11	NaN	NaN	NaN	-31774.390270904507	6.158251110583936e6	0.
-0.00002644504035611795	5.7757306876893e-11	NaN	NaN	NaN	-35120.376654327934	7.1234036352313645e6	0.
-0.000023405380545069913	5.7757306876893e-11	NaN	NaN	NaN	-38976.39818850769	8.280146662019688e6	0.
-0.00002036572073402187	5.7757306876893e-11	NaN	NaN	NaN	-43688.96050625759	9.75033585090379e6	0.
-0.000029484700167165993	5.7757306876893e-11	NaN	NaN	NaN	-31920.007120073802	6.199448132154788e6	0.
-0.00002629305736556555	5.7757306876893e-11	NaN	NaN	NaN	-35296.189476014355	7.175149163081867e6	0.
-0.00002325339755451751	5.7757306876893e-11	NaN	NaN	NaN	-39189.72778476504	8.345419883483825e6	0.
-0.00002021373774346947	5.7757306876893e-11	NaN	NaN	NaN	-43951.66337096366	9.833938649118226e6	0.
-0.00002933271717661359	5.7757306876893e-11	NaN	NaN	NaN	-32066.889622002494	6.241081980532774e6	0.
-0.000026141074375013146	5.7757306876893e-11	NaN	NaN	NaN	-35473.65152653492	7.2274805522430455e6	0.
-0.000023101414563965108	5.7757306876893e-11	NaN	NaN	NaN	-39405.212212824736	8.41148215399971e6	0.
-0.000020061754752917066	5.7757306876893e-11	NaN	NaN	NaN	-44217.22212263684	9.918615888300592e6	0.
-0.000029180734186061188	5.7757306876893e-11	NaN	NaN	NaN	-32215.05335778372	6.283152720114431e6	0.
-0.000025989091384460747	5.7757306876893e-11	NaN	NaN	NaN	-35652.78441310112	7.28040605932213e6	0.
-0.000022949431573412705	5.7757306876893e-11	NaN	NaN	NaN	-39622.88131967599	8.478344913058707e6	0.
-0.000019909771762364663	5.7757306876893e-11	NaN	NaN	NaN	-44485.678253471866	1.000438493877161e7	0.
-0.000029028751195508785	5.7757306876893e-11	NaN	NaN	NaN	-32364.514147812355	6.3256726103131855e6	0.
-0.000025837108393908344	5.7757306876893e-11	NaN	NaN	NaN	-35833.61008946796	7.333934420529007e6	0.
-0.000022797448582860302	5.7757306876893e-11	NaN	NaN	NaN	-39842.765445157915	8.546020774355685e6	0.
-0.000019757788771812264	5.7757306876893e-11	NaN	NaN	NaN	-44757.07394549514	1.0091262931874122e7	0.
-0.000028876768204956383	5.7757306876893e-11	NaN	NaN	NaN	-32515.28805600764	6.368645976569628e6	0.
-0.000025685125403355942	5.7757306876893e-11	NaN	NaN	NaN	-36016.150862127026	7.388075032752711e6	0.
-0.0000226454655923079	5.7757306876893e-11	NaN	NaN	NaN	-40064.895430592675	8.614522832841897e6	0.
-0.00001960580578125986	5.7757306876893e-11	NaN	NaN	NaN	-45031.45208165131	1.0179266927901454e7	0.
-0.000028724785214403984	5.7757306876893e-11	NaN	NaN	NaN	-32667.3913941156	6.4120789905459145e6	0.
-0.00002553314241280354	5.7757306876893e-11	NaN	NaN	NaN	-36200.42939660959	7.442836498598295e6	0.
-0.0000224934826017555	5.7757306876893e-11	NaN	NaN	NaN	-40289.302627549456	8.683862807729106e6	0.
-0.00001945382279070746	5.7757306876893e-11	NaN	NaN	NaN	-45308.856256986015	1.0268415405866979e7	0.
-0.00002857280222385158	5.7757306876893e-11	NaN	NaN	NaN	-32820.84072609195	6.4559785816145865e6	0.
-0.000025381159422251137	5.7757306876893e-11	NaN	NaN	NaN	-36386.46872390159	7.498227840065935e6	0.
-0.000022341499611203098	5.7757306876893e-11	NaN	NaN	NaN	-40516.01890674024	8.754054645043701e6	0.
-0.000019301839800155056	5.7757306876893e-11	NaN	NaN	NaN	-45589.33078991975	1.0358726878408004e7	0.
-0.00002842081923329918	5.7757306876893e-11	NaN	NaN	NaN	-32975.652872566825	6.500350510939873e6	0.
-0.000025229176431698734	5.7757306876893e-11	NaN	NaN	NaN	-36574.292246971614	7.554258805790493e6	0.
-0.000022189516620650695	5.7757306876893e-11	NaN	NaN	NaN	-40745.07666704617	8.825110418389529e6	0.
-0.000019149856809602654	5.7757306876893e-11	NaN	NaN	NaN	-45872.92073360769	1.0450218105501108e7	0.
-0.000028268836242746776	5.7757306876893e-11	NaN	NaN	NaN	-33131.84491539328	6.5452015701294225e6	0.
-0.000025077193441146335	5.7757306876893e-11	NaN	NaN	NaN	-36763.92374741326	7.61093897841551e6	0.
