# Filename	binding\6b319857-3b0d-4c9b-aeca-e9c2247ef2e6.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:11:52
# Dir	-1
# field	5.445133308259273e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	5.445133308259273e-11	NaN	NaN	NaN	-31159.19267758067	5.991929655666571e6	0.
-0.00002720495530887996	5.445133308259273e-11	NaN	NaN	NaN	-34390.75975321318	6.9193145692753615e6	0.
-0.000024165295497831922	5.445133308259273e-11	NaN	NaN	NaN	-38109.187428318364	8.029622089087998e6	0.
-0.00002112563568678388	5.445133308259273e-11	NaN	NaN	NaN	-42647.805137682604	9.440161023312578e6	0.
-0.000030244615119928003	5.445133308259273e-11	NaN	NaN	NaN	-31299.94414326804	6.03154056264644e6	0.
-0.00002705297231832756	5.445133308259273e-11	NaN	NaN	NaN	-34560.420322270904	6.969004949881345e6	0.
-0.00002401331250727952	5.445133308259273e-11	NaN	NaN	NaN	-38314.76010934624	8.092253260720049e6	0.
-0.000020973652696231478	5.445133308259273e-11	NaN	NaN	NaN	-42900.683212846714	9.520378138826653e6	0.
-0.0000300926321293756	5.445133308259273e-11	NaN	NaN	NaN	-31441.907727726648	6.071566840148835e6	0.
-0.00002690098932777516	5.445133308259273e-11	NaN	NaN	NaN	-34731.659481354465	7.019254679087363e6	0.
-0.000023861329516727117	5.445133308259273e-11	NaN	NaN	NaN	-38522.395950401624	8.155639633363336e6	0.
-0.000020821669705679075	5.445133308259273e-11	NaN	NaN	NaN	-43156.30026067705	9.601627361779429e6	0.
-0.000029940649138823198	5.445133308259273e-11	NaN	NaN	NaN	-31585.098303343144	6.112015281001113e6	0.
-0.000026749006337222757	5.445133308259273e-11	NaN	NaN	NaN	-34904.4978994611	7.070072318256216e6	0.
-0.000023709346526174715	5.445133308259273e-11	NaN	NaN	NaN	-38732.123623657535	8.2197927363133235e6	0.
-0.000020669686715126676	5.445133308259273e-11	NaN	NaN	NaN	-43414.69644606646	9.683927579489913e6	0.
-0.000029788666148270795	5.445133308259273e-11	NaN	NaN	NaN	-31729.530971892553	6.152889422904851e6	0.
-0.000026597023346670354	5.445133308259273e-11	NaN	NaN	NaN	-35078.956580290855	7.121467221389804e6	0.
-0.000023557363535622312	5.445133308259273e-11	NaN	NaN	NaN	-38943.97228313484	8.284725629835467e6	0.
-0.000020517703724574274	5.445133308259273e-11	NaN	NaN	NaN	-43675.91262225295	9.767293823964335e6	0.
-0.000029636683157718393	5.445133308259273e-11	NaN	NaN	NaN	-31875.221068650386	6.194197234802177e6	0.
-0.00002644504035611795	5.445133308259273e-11	NaN	NaN	NaN	-35255.05686838876	7.173446468357391e6	0.
-0.000023405380545069913	5.445133308259273e-11	NaN	NaN	NaN	-39157.9715735294	8.350448480652359e6	0.
-0.00002036572073402187	5.445133308259273e-11	NaN	NaN	NaN	-43939.99034281431	9.851744535397857e6	0.
-0.000029484700167165993	5.445133308259273e-11	NaN	NaN	NaN	-32022.184166583735	6.235944469883143e6	0.
-0.00002629305736556555	5.445133308259273e-11	NaN	NaN	NaN	-35432.82045540421	7.226019398893804e6	0.
-0.00002325339755451751	5.445133308259273e-11	NaN	NaN	NaN	-39374.151639192045	8.416975777141014e6	0.
-0.00002021373774346947	5.445133308259273e-11	NaN	NaN	NaN	-44206.971873814924	9.937297258568143e6	0.
-0.00002933271717661359	5.445133308259273e-11	NaN	NaN	NaN	-32170.436080624415	6.278136771641747e6	0.
-0.000026141074375013146	5.445133308259273e-11	NaN	NaN	NaN	-35612.26938646819	7.279194941412488e6	0.
-0.000023101414563965108	5.445133308259273e-11	NaN	NaN	NaN	-39592.54313326126	8.484318237580886e6	0.
-0.000020061754752917066	5.445133308259273e-11	NaN	NaN	NaN	-44476.900206103324	1.0023969172370188e7	0.
-0.000029180734186061188	5.445133308259273e-11	NaN	NaN	NaN	-32319.99287202519	6.320780998328734e6	0.
-0.000025989091384460747	5.445133308259273e-11	NaN	NaN	NaN	-35793.426066691114	7.332982168933098e6	0.
-0.000022949431573412705	5.445133308259273e-11	NaN	NaN	NaN	-39813.17722695163	8.552489770575294e6	0.
-0.000019909771762364663	5.445133308259273e-11	NaN	NaN	NaN	-44749.81906775763	1.0111778866957963e7	0.
-0.000029028751195508785	5.445133308259273e-11	NaN	NaN	NaN	-32470.870852800388	6.3638838611247055e6	0.
