# Filename	binding\6d71458b-fa9b-4027-aca8-6b699af3b7f6.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T18:00:06
# Dir	-1
# field	1.4779647550989455e-11
# zi	-6.
W	field	zb	tb	argtbzt	tt	argtt
-0.000030396598110480406	1.4779647550989455e-11	NaN	NaN	NaN	-32388.363211112453	-32388.363211112453	3.141592653589793
-0.00002720495530887996	1.4779647550989455e-11	NaN	NaN	NaN	-36051.8992952449	-36051.8992952449	3.141592653589793
-0.000024165295497831922	1.4779647550989455e-11	NaN	NaN	NaN	-40384.19955082229	-40384.19955082229	3.141592653589793
-0.00002112563568678388	1.4779647550989455e-11	NaN	NaN	NaN	-45864.21174128885	-45864.21174128885	3.141592653589793
-0.000030244615119928003	1.4779647550989455e-11	NaN	NaN	NaN	-32546.11315411202	-32546.11315411202	3.141592653589793
-0.00002705297231832756	1.4779647550989455e-11	NaN	NaN	NaN	-36246.74208193027	-36246.74208193027	3.141592653589793
-0.00002401331250727952	1.4779647550989455e-11	NaN	NaN	NaN	-40627.656742540436	-40627.656742540436	3.141592653589793
-0.000020973652696231478	1.4779647550989455e-11	NaN	NaN	NaN	-46176.31823916545	-46176.31823916545	3.141592653589793
-0.0000300926321293756	1.4779647550989455e-11	NaN	NaN	NaN	-32705.38325191365	-32705.38325191365	3.141592653589793
-0.00002690098932777516	1.4779647550989455e-11	NaN	NaN	NaN	-36443.661606308386	-36443.661606308386	3.141592653589793
-0.000023861329516727117	1.4779647550989455e-11	NaN	NaN	NaN	-40873.99595033969	-40873.99595033969	3.141592653589793
-0.000020821669705679075	1.4779647550989455e-11	NaN	NaN	NaN	-46492.569213706396	-46492.569213706396	3.141592653589793
-0.000029940649138823198	1.4779647550989455e-11	NaN	NaN	NaN	-32866.19523198554	-32866.19523198554	3.141592653589793
-0.000026749006337222757	1.4779647550989455e-11	NaN	NaN	NaN	-36642.690586727316	-36642.690586727316	3.141592653589793
-0.000023709346526174715	1.4779647550989455e-11	NaN	NaN	NaN	-41123.2673687667	-41123.2673687667	3.141592653589793
-0.000020669686715126676	1.4779647550989455e-11	NaN	NaN	NaN	-46813.0450804725	-46813.0450804725	3.141592653589793
-0.000029788666148270795	1.4779647550989455e-11	NaN	NaN	NaN	-33028.57123092463	-33028.57123092463	3.141592653589793
-0.000026597023346670354	1.4779647550989455e-11	NaN	NaN	NaN	-36843.86241804898	-36843.86241804898	3.141592653589793
-0.000023557363535622312	1.4779647550989455e-11	NaN	NaN	NaN	-41375.522333659974	-41375.522333659974	3.141592653589793
-0.000020517703724574274	1.4779647550989455e-11	NaN	NaN	NaN	-47137.82827578789	-47137.82827578789	3.141592653589793
-0.000029636683157718393	1.4779647550989455e-11	NaN	NaN	NaN	-33192.53380396124	-33192.53380396124	3.141592653589793
-0.00002644504035611795	1.4779647550989455e-11	NaN	NaN	NaN	-37047.21118883135	-37047.21118883135	3.141592653589793
-0.000023405380545069913	1.4779647550989455e-11	NaN	NaN	NaN	-41630.81335382505	-41630.81335382505	3.141592653589793
-0.00002036572073402187	1.4779647550989455e-11	NaN	NaN	NaN	-47467.003318109375	-47467.003318109375	3.141592653589793
-0.000029484700167165993	1.4779647550989455e-11	NaN	NaN	NaN	-33358.10593472596	-33358.10593472596	3.141592653589793
-0.00002629305736556555	1.4779647550989455e-11	NaN	NaN	NaN	-37252.771699023986	-37252.771699023986	3.141592653589793
-0.00002325339755451751	1.4779647550989455e-11	NaN	NaN	NaN	-41889.19414373536	-41889.19414373536	3.141592653589793
-0.00002021373774346947	1.4779647550989455e-11	NaN	NaN	NaN	-47800.65687154031	-47800.65687154031	3.141592653589793
-0.00002933271717661359	1.4779647550989455e-11	NaN	NaN	NaN	-33525.31104528455	-33525.31104528455	3.141592653589793
-0.000026141074375013146	1.4779647550989455e-11	NaN	NaN	NaN	-37460.57947819442	-37460.57947819442	3.141592653589793
-0.000023101414563965108	1.4779647550989455e-11	NaN	NaN	NaN	-42150.719657296606	-42150.719657296606	3.141592653589793
-0.000020061754752917066	1.4779647550989455e-11	NaN	NaN	NaN	-48138.87781157358	-48138.87781157358	3.141592653589793
-0.000029180734186061188	1.4779647550989455e-11	NaN	NaN	NaN	-33694.173006450445	-33694.173006450445	3.141592653589793
-0.000025989091384460747	1.4779647550989455e-11	NaN	NaN	NaN	-37670.670804304114	-37670.670804304114	3.141592653589793
-0.000022949431573412705	1.4779647550989455e-11	NaN	NaN	NaN	-42415.446122713554	-42415.446122713554	3.141592653589793
-0.000019909771762364663	1.4779647550989455e-11	NaN	NaN	NaN	-48481.75729315129	-48481.75729315129	3.141592653589793
-0.000029028751195508785	1.4779647550989455e-11	NaN	NaN	NaN	-33864.71614838574	-33864.71614838574	3.141592653589793
-0.000025837108393908344	1.4779647550989455e-11	NaN	NaN	NaN	-37883.082723050735	-37883.082723050735	3.141592653589793
-0.000022797448582860302	1.4779647550989455e-11	NaN	NaN	NaN	-42683.431078499205	-42683.431078499205	3.141592653589793
-0.000019757788771812264	1.4779647550989455e-11	NaN	NaN	NaN	-48829.38882112772	-48829.38882112772	3.141592653589793
-0.000028876768204956383	1.4779647550989455e-11	NaN	NaN	NaN	-34036.96527149632	-34036.96527149632	3.141592653589793
-0.000025685125403355942	1.4779647550989455e-11	NaN	NaN	NaN	-38097.85306779953	-38097.85306779953	3.141592653589793
-0.0000226454655923079	1.4779647550989455e-11	NaN	NaN	NaN	-42954.73341066992	-42954.73341066992	3.141592653589793
-0.00001960580578125986	1.4779647550989455e-11	NaN	NaN	NaN	-49181.86832323265	-49181.86832323265	3.141592653589793
-0.000028724785214403984	1.4779647550989455e-11	NaN	NaN	NaN	-34210.945657632685	-34210.945657632685	3.141592653589793
-0.00002553314241280354	1.4779647550989455e-11	NaN	NaN	NaN	-38315.02048012083	-38315.02048012083	3.141592653589793
-0.0000224934826017555	1.4779647550989455e-11	NaN	NaN	NaN	-43229.413391168084	-43229.413391168084	3.141592653589793
-0.00001945382279070746	1.4779647550989455e-11	NaN	NaN	NaN	-49539.29422563001	-49539.29422563001	3.141592653589793
-0.00002857280222385158	1.4779647550989455e-11	NaN	NaN	NaN	-34386.6830816071	-34386.6830816071	3.141592653589793
-0.000025381159422251137	1.4779647550989455e-11	NaN	NaN	NaN	-38534.62443095771	-38534.62443095771	3.141592653589793
-0.000022341499611203098	1.4779647550989455e-11	NaN	NaN	NaN	-43507.5327175608	-43507.5327175608	3.141592653589793
-0.000019301839800155056	1.4779647550989455e-11	NaN	NaN	NaN	-49901.767531174235	-49901.767531174235	3.141592653589793
-0.00002842081923329918	1.4779647550989455e-11	NaN	NaN	NaN	-34564.20382303402	-34564.20382303402	3.141592653589793
-0.000025229176431698734	1.4779647550989455e-11	NaN	NaN	NaN	-38756.70524244218	-38756.70524244218	3.141592653589793
-0.000022189516620650695	1.4779647550989455e-11	NaN	NaN	NaN	-43789.15455405869	-43789.15455405869	3.141592653589793
-0.000019149856809602654	1.4779647550989455e-11	NaN	NaN	NaN	-50269.39190046995	-50269.39190046995	3.141592653589793
-0.000028268836242746776	1.4779647550989455e-11	NaN	NaN	NaN	-34743.534678507924	-34743.534678507924	3.141592653589793
-0.000025077193441146335	1.4779647550989455e-11	NaN	NaN	NaN	-38981.304110387224	-38981.304110387224	3.141592653589793
-0.000022037533630098293	1.4779647550989455e-11	NaN	NaN	NaN	-44074.34357390775	-44074.34357390775	3.141592653589793
-0.000018997873819050254	1.4779647550989455e-11	NaN	NaN	NaN	-50642.273735843555	-50642.273735843555	3.141592653589793
-0.000028116853252194373	1.4779647550989455e-11	NaN	NaN	NaN	-34924.70297412712	-34924.70297412712	3.141592653589793
-0.000024925210450593932	1.4779647550989455e-11	NaN	NaN	NaN	-39208.463127473515	-39208.463127473515	3.141592653589793
-0.00002188555063954589	1.4779647550989455e-11	NaN	NaN	NaN	-44363.16600320184	-44363.16600320184	3.141592653589793
-0.00001884589082849785	1.4779647550989455e-11	NaN	NaN	NaN	-51020.522268343055	-51020.522268343055	3.141592653589793
-0.00002796487026164197	1.4779647550989455e-11	NaN	NaN	NaN	-35107.736578375676	-35107.736578375676	3.141592653589793
-0.00002477322746004153	1.4779647550989455e-11	NaN	NaN	NaN	-39438.225307158405	-39438.225307158405	3.141592653589793
-0.000021733567648993488	1.4779647550989455e-11	NaN	NaN	NaN	-44655.68966617356	-44655.68966617356	3.141592653589793
-0.00001869390783794545	1.4779647550989455e-11	NaN	NaN	NaN	-51404.249647882185	-51404.249647882185	3.141592653589793
-0.00002781288727108957	1.4779647550989455e-11	NaN	NaN	NaN	-35292.663915375306	-35292.663915375306	3.141592653589793
-0.000024621244469489127	1.4779647550989455e-11	NaN	NaN	NaN	-39670.634608332264	-39670.634608332264	3.141592653589793
-0.00002158158465844109	1.4779647550989455e-11	NaN	NaN	NaN	-44951.98403201424	-44951.98403201424	3.141592653589793
-0.000018541924847393046	1.4779647550989455e-11	NaN	NaN	NaN	-51793.57103665531	-51793.57103665531	3.141592653589793
-0.00002766090428053717	1.4779647550989455e-11	NaN	NaN	NaN	-35479.51397851811	-35479.51397851811	3.141592653589793
-0.000024469261478936724	1.4779647550989455e-11	NaN	NaN	NaN	-39905.73596074675	-39905.73596074675	3.141592653589793
-0.000021429601667888686	1.4779647550989455e-11	NaN	NaN	NaN	-45252.12026328519	-45252.12026328519	3.141592653589793
-0.000018389941856840644	1.4779647550989455e-11	NaN	NaN	NaN	-52188.6047059498	-52188.6047059498	3.141592653589793
-0.000027508921289984766	1.4779647550989455e-11	NaN	NaN	NaN	-35668.31634449541	-35668.31634449541	3.141592653589793
-0.000024317278488384322	1.4779647550989455e-11	NaN	NaN	NaN	-40143.575291245426	-40143.575291245426	3.141592653589793
