# Filename	binding\7ba1b48d-e998-416b-926a-d6fc743c0d33.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T18:00:04
# Dir	-1
# field	1.458517850426591e-11
# zi	-6.
W	field	zb	tb	argtbzt	tt	argtt
-0.000030396598110480406	1.458517850426591e-11	NaN	NaN	NaN	-32394.872133321693	-32394.872133321693	3.141592653589793
-0.00002720495530887996	1.458517850426591e-11	NaN	NaN	NaN	-36060.84438788791	-36060.84438788791	3.141592653589793
-0.000024165295497831922	1.458517850426591e-11	NaN	NaN	NaN	-40396.71385940589	-40396.71385940589	3.141592653589793
-0.00002112563568678388	1.458517850426591e-11	NaN	NaN	NaN	-45882.42197749783	-45882.42197749783	3.141592653589793
-0.000030244615119928003	1.458517850426591e-11	NaN	NaN	NaN	-32552.716687535998	-32552.716687535998	3.141592653589793
-0.00002705297231832756	1.458517850426591e-11	NaN	NaN	NaN	-36255.83118167976	-36255.83118167976	3.141592653589793
-0.00002401331250727952	1.458517850426591e-11	NaN	NaN	NaN	-40640.3952120013	-40640.3952120013	3.141592653589793
-0.000020973652696231478	1.458517850426591e-11	NaN	NaN	NaN	-46194.89531370394	-46194.89531370394	3.141592653589793
-0.0000300926321293756	1.458517850426591e-11	NaN	NaN	NaN	-32712.08321979016	-32712.08321979016	3.141592653589793
-0.00002690098932777516	1.458517850426591e-11	NaN	NaN	NaN	-36452.89778055084	-36452.89778055084	3.141592653589793
-0.000023861329516727117	1.458517850426591e-11	NaN	NaN	NaN	-40886.96387843912	-40886.96387843912	3.141592653589793
-0.000020821669705679075	1.458517850426591e-11	NaN	NaN	NaN	-46511.52283688359	-46511.52283688359	3.141592653589793
-0.000029940649138823198	1.458517850426591e-11	NaN	NaN	NaN	-32872.99350120968	-32872.99350120968	3.141592653589793
-0.000026749006337222757	1.458517850426591e-11	NaN	NaN	NaN	-36652.07698385533	-36652.07698385533	3.141592653589793
-0.000023709346526174715	1.458517850426591e-11	NaN	NaN	NaN	-41136.470208035746	-41136.470208035746	3.141592653589793
-0.000020669686715126676	1.458517850426591e-11	NaN	NaN	NaN	-46832.385278896436	-46832.385278896436	3.141592653589793
-0.000029788666148270795	1.458517850426591e-11	NaN	NaN	NaN	-33035.469713294384	-33035.469713294384	3.141592653589793
-0.000026597023346670354	1.458517850426591e-11	NaN	NaN	NaN	-36853.40227000618	-36853.40227000618	3.141592653589793
-0.000023557363535622312	1.458517850426591e-11	NaN	NaN	NaN	-41388.965696760315	-41388.965696760315	3.141592653589793
-0.000020517703724574274	1.458517850426591e-11	NaN	NaN	NaN	-47157.565404518595	-47157.565404518595	3.141592653589793
-0.000029636683157718393	1.458517850426591e-11	NaN	NaN	NaN	-33199.53445746655	-33199.53445746655	3.141592653589793
-0.00002644504035611795	1.458517850426591e-11	NaN	NaN	NaN	-37056.90781374977	-37056.90781374977	3.141592653589793
-0.000023405380545069913	1.458517850426591e-11	NaN	NaN	NaN	-41644.503019122654	-41644.503019122654	3.141592653589793
-0.00002036572073402187	1.458517850426591e-11	NaN	NaN	NaN	-47487.14807334561	-47487.14807334561	3.141592653589793
-0.000029484700167165993	1.458517850426591e-11	NaN	NaN	NaN	-33365.210764877724	-33365.210764877724	3.141592653589793
-0.00002629305736556555	1.458517850426591e-11	NaN	NaN	NaN	-37262.62850395711	-37262.62850395711	3.141592653589793
-0.00002325339755451751	1.458517850426591e-11	NaN	NaN	NaN	-41903.13606109867	-41903.13606109867	3.141592653589793
-0.00002021373774346947	1.458517850426591e-11	NaN	NaN	NaN	-47821.220303867434	-47821.220303867434	3.141592653589793
-0.00002933271717661359	1.458517850426591e-11	NaN	NaN	NaN	-33532.52210649016	-33532.52210649016	3.141592653589793
-0.000026141074375013146	1.458517850426591e-11	NaN	NaN	NaN	-37470.59996195079	-37470.59996195079	3.141592653589793
-0.000023101414563965108	1.458517850426591e-11	NaN	NaN	NaN	-42164.91995412721	-42164.91995412721	3.141592653589793
-0.000020061754752917066	1.458517850426591e-11	NaN	NaN	NaN	-48159.87133979948	-48159.87133979948	3.141592653589793
-0.000029180734186061188	1.458517850426591e-11	NaN	NaN	NaN	-33701.492403434844	-33701.492403434844	3.141592653589793
-0.000025989091384460747	1.458517850426591e-11	NaN	NaN	NaN	-37680.85856038504	-37680.85856038504	3.141592653589793
-0.000022949431573412705	1.458517850426591e-11	NaN	NaN	NaN	-42429.91111022111	-42429.91111022111	3.141592653589793
-0.000019909771762364663	1.458517850426591e-11	NaN	NaN	NaN	-48503.192718759274	-48503.192718759274	3.141592653589793
-0.000029028751195508785	1.458517850426591e-11	NaN	NaN	NaN	-33872.14603765986	-33872.14603765986	3.141592653589793
-0.000025837108393908344	1.458517850426591e-11	NaN	NaN	NaN	-37893.44144269647	-37893.44144269647	3.141592653589793
-0.000022797448582860302	1.458517850426591e-11	NaN	NaN	NaN	-42698.16725823183	-42698.16725823183	3.141592653589793
-0.000019757788771812264	1.458517850426591e-11	NaN	NaN	NaN	-48851.278343378304	-48851.278343378304	3.141592653589793
-0.000028876768204956383	1.458517850426591e-11	NaN	NaN	NaN	-34044.50786287541	-34044.50786287541	3.141592653589793
-0.000025685125403355942	1.458517850426591e-11	NaN	NaN	NaN	-38108.38654314918	-38108.38654314918	3.141592653589793
-0.0000226454655923079	1.458517850426591e-11	NaN	NaN	NaN	-42969.74748131054	-42969.74748131054	3.141592653589793
-0.00001960580578125986	1.458517850426591e-11	NaN	NaN	NaN	-49204.22455494536	-49204.22455494536	3.141592653589793
-0.000028724785214403984	1.458517850426591e-11	NaN	NaN	NaN	-34218.603215806805	-34218.603215806805	3.141592653589793
-0.00002553314241280354	1.458517850426591e-11	NaN	NaN	NaN	-38325.732607489364	-38325.732607489364	3.141592653589793
-0.0000224934826017555	1.458517850426591e-11	NaN	NaN	NaN	-43244.71225561043	-43244.71225561043	3.141592653589793
-0.00001945382279070746	1.458517850426591e-11	NaN	NaN	NaN	-49562.13020968013	-49562.13020968013	3.141592653589793
-0.00002857280222385158	1.458517850426591e-11	NaN	NaN	NaN	-34394.457927763855	-34394.457927763855	3.141592653589793
-0.000025381159422251137	1.458517850426591e-11	NaN	NaN	NaN	-38545.51921423619	-38545.51921423619	3.141592653589793
-0.000022341499611203098	1.458517850426591e-11	NaN	NaN	NaN	-43523.123490277096	-43523.123490277096	3.141592653589793
-0.000019301839800155056	1.458517850426591e-11	NaN	NaN	NaN	-49925.09675774028	-49925.09675774028	3.141592653589793
-0.00002842081923329918	1.458517850426591e-11	NaN	NaN	NaN	-34572.09833653801	-34572.09833653801	3.141592653589793
-0.000025229176431698734	1.458517850426591e-11	NaN	NaN	NaN	-38767.78679662681	-38767.78679662681	3.141592653589793
-0.000022189516620650695	1.458517850426591e-11	NaN	NaN	NaN	-43805.04456877243	-43805.04456877243	3.141592653589793
-0.000019149856809602654	1.458517850426591e-11	NaN	NaN	NaN	-50293.22832507013	-50293.22832507013	3.141592653589793
-0.000028268836242746776	1.458517850426591e-11	NaN	NaN	NaN	-34751.5512986376	-34751.5512986376	3.141592653589793
-0.000025077193441146335	1.458517850426591e-11	NaN	NaN	NaN	-38992.57666524046	-38992.57666524046	3.141592653589793
-0.000022037533630098293	1.458517850426591e-11	NaN	NaN	NaN	-44090.54039158649	-44090.54039158649	3.141592653589793
-0.000018997873819050254	1.458517850426591e-11	NaN	NaN	NaN	-50666.631798201204	-50666.631798201204	3.141592653589793
-0.000028116853252194373	1.458517850426591e-11	NaN	NaN	NaN	-34932.84420187159	-34932.84420187159	3.141592653589793
-0.000024925210450593932	1.458517850426591e-11	NaN	NaN	NaN	-39219.931031325556	-39219.931031325556	3.141592653589793
-0.00002188555063954589	1.458517850426591e-11	NaN	NaN	NaN	-44379.677420384105	-44379.677420384105	3.141592653589793
-0.00001884589082849785	1.458517850426591e-11	NaN	NaN	NaN	-51045.41691212327	-51045.41691212327	3.141592653589793
-0.00002796487026164197	1.458517850426591e-11	NaN	NaN	NaN	-35116.004978293786	-35116.004978293786	3.141592653589793
