# Filename	binding\7d2e8c8a-dfcc-4a30-b365-e8ba74539735.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T17:58:38
# Dir	-1
# field	6.2230094951534546e-12
# zi	-6.
W	field	zb	tb	argtbzt	tt	argtt
-0.000030396598110480406	6.2230094951534546e-12	NaN	NaN	NaN	-32679.776294777963	-32679.776294777963	3.141592653589793
-0.00002720495530887996	6.2230094951534546e-12	NaN	NaN	NaN	-36454.03031484848	-36454.03031484848	3.141592653589793
-0.000024165295497831922	6.2230094951534546e-12	NaN	NaN	NaN	-40949.82853806624	-40949.82853806624	3.141592653589793
-0.00002112563568678388	6.2230094951534546e-12	NaN	NaN	NaN	-46693.60174733215	-46693.60174733215	3.141592653589793
-0.000030244615119928003	6.2230094951534546e-12	NaN	NaN	NaN	-32841.81180151397	-32841.81180151397	3.141592653589793
-0.00002705297231832756	6.2230094951534546e-12	NaN	NaN	NaN	-36655.44103131488	-36655.44103131488	3.141592653589793
-0.00002401331250727952	6.2230094951534546e-12	NaN	NaN	NaN	-41203.60185367247	-41203.60185367247	3.141592653589793
-0.000020973652696231478	6.2230094951534546e-12	NaN	NaN	NaN	-47022.80721891829	-47022.80721891829	3.141592653589793
-0.0000300926321293756	6.2230094951534546e-12	NaN	NaN	NaN	-33005.4512767068	-33005.4512767068	3.141592653589793
-0.00002690098932777516	6.2230094951534546e-12	NaN	NaN	NaN	-36859.070963037724	-36859.070963037724	3.141592653589793
-0.000023861329516727117	6.2230094951534546e-12	NaN	NaN	NaN	-41460.50664124286	-41460.50664124286	3.141592653589793
-0.000020821669705679075	6.2230094951534546e-12	NaN	NaN	NaN	-47356.62332128664	-47356.62332128664	3.141592653589793
-0.000029940649138823198	6.2230094951534546e-12	NaN	NaN	NaN	-33170.71849118168	-33170.71849118168	3.141592653589793
-0.000026749006337222757	6.2230094951534546e-12	NaN	NaN	NaN	-37064.95667614299	-37064.95667614299	3.141592653589793
-0.000023709346526174715	6.2230094951534546e-12	NaN	NaN	NaN	-41720.600590996255	-41720.600590996255	3.141592653589793
-0.000020669686715126676	6.2230094951534546e-12	NaN	NaN	NaN	-47695.146217552516	-47695.146217552516	3.141592653589793
-0.000029788666148270795	6.2230094951534546e-12	NaN	NaN	NaN	-33337.63768449859	-33337.63768449859	3.141592653589793
-0.000026597023346670354	6.2230094951534546e-12	NaN	NaN	NaN	-37273.13553743035	-37273.13553743035	3.141592653589793
-0.000023557363535622312	6.2230094951534546e-12	NaN	NaN	NaN	-41983.942803021375	-41983.942803021375	3.141592653589793
-0.000020517703724574274	6.2230094951534546e-12	NaN	NaN	NaN	-48038.47472403543	-48038.47472403543	3.141592653589793
-0.000029636683157718393	6.2230094951534546e-12	NaN	NaN	NaN	-33506.233576481085	-33506.233576481085	3.141592653589793
-0.00002644504035611795	6.2230094951534546e-12	NaN	NaN	NaN	-37483.64573620739	-37483.64573620739	3.141592653589793
-0.000023405380545069913	6.2230094951534546e-12	NaN	NaN	NaN	-42250.593830100624	-42250.593830100624	3.141592653589793
-0.00002036572073402187	6.2230094951534546e-12	NaN	NaN	NaN	-48386.71040095811	-48386.71040095811	3.141592653589793
-0.000029484700167165993	6.2230094951534546e-12	NaN	NaN	NaN	-33676.53137908067	-33676.53137908067	3.141592653589793
-0.00002629305736556555	6.2230094951534546e-12	NaN	NaN	NaN	-37696.52630683588	-37696.52630683588	3.141592653589793
-0.00002325339755451751	6.2230094951534546e-12	NaN	NaN	NaN	-42520.6157220901	-42520.6157220901	3.141592653589793
-0.00002021373774346947	6.2230094951534546e-12	NaN	NaN	NaN	-48739.9576468313	-48739.9576468313	3.141592653589793
-0.00002933271717661359	6.2230094951534546e-12	NaN	NaN	NaN	-33848.55680859516	-33848.55680859516	3.141592653589793
-0.000026141074375013146	6.2230094951534546e-12	NaN	NaN	NaN	-37911.8171520164	-37911.8171520164	3.141592653589793
-0.000023101414563965108	6.2230094951534546e-12	NaN	NaN	NaN	-42794.07207191189	-42794.07207191189	3.141592653589793
-0.000020061754752917066	6.2230094951534546e-12	NaN	NaN	NaN	-49098.3237966929	-49098.3237966929	3.141592653589793
-0.000029180734186061188	6.2230094951534546e-12	NaN	NaN	NaN	-34022.3360982488	-34022.3360982488	3.141592653589793
-0.000025989091384460747	6.2230094951534546e-12	NaN	NaN	NaN	-38129.559066840586	-38129.559066840586	3.141592653589793
-0.000022949431573412705	6.2230094951534546e-12	NaN	NaN	NaN	-43071.02806323039	-43071.02806323039	3.141592653589793
-0.000019909771762364663	6.2230094951534546e-12	NaN	NaN	NaN	-49461.919224385194	-49461.919224385194	3.141592653589793
-0.000029028751195508785	6.2230094951534546e-12	NaN	NaN	NaN	-34197.896011147765	-34197.896011147765	3.141592653589793
-0.000025837108393908344	6.2230094951534546e-12	NaN	NaN	NaN	-38349.79376363667	-38349.79376363667	3.141592653589793
-0.000022797448582860302	6.2230094951534546e-12	NaN	NaN	NaN	-43351.55051988726	-43351.55051988726	3.141592653589793
-0.000019757788771812264	6.2230094951534546e-12	NaN	NaN	NaN	-49830.85744906089	-49830.85744906089	3.141592653589793
-0.000028876768204956383	6.2230094951534546e-12	NaN	NaN	NaN	-34375.263853624674	-34375.263853624674	3.141592653589793
-0.000025685125403355942	6.2230094951534546e-12	NaN	NaN	NaN	-38572.56389764532	-38572.56389764532	3.141592653589793
-0.0000226454655923079	6.2230094951534546e-12	NaN	NaN	NaN	-43635.70795716537	-43635.70795716537	3.141592653589793
-0.00001960580578125986	6.2230094951534546e-12	NaN	NaN	NaN	-50205.25524611663	-50205.25524611663	3.141592653589793
-0.000028724785214403984	6.2230094951534546e-12	NaN	NaN	NaN	-34554.46748898386	-34554.46748898386	3.141592653589793
-0.00002553314241280354	6.2230094951534546e-12	NaN	NaN	NaN	-38797.91309355024	-38797.91309355024	3.141592653589793
-0.0000224934826017555	6.2230094951534546e-12	NaN	NaN	NaN	-43923.57063496029	-43923.57063496029	3.141592653589793
-0.00001945382279070746	6.2230094951534546e-12	NaN	NaN	NaN	-50585.23276277261	-50585.23276277261	3.141592653589793
-0.00002857280222385158	6.2230094951534546e-12	NaN	NaN	NaN	-34735.53535166555	-34735.53535166555	3.141592653589793
-0.000025381159422251137	6.2230094951534546e-12	NaN	NaN	NaN	-39025.88597290251	-39025.88597290251	3.141592653589793
-0.000022341499611203098	6.2230094951534546e-12	NaN	NaN	NaN	-44215.21061294559	-44215.21061294559	3.141592653589793
-0.000019301839800155056	6.2230094951534546e-12	NaN	NaN	NaN	-50970.91363851303	-50970.91363851303	3.141592653589793
-0.00002842081923329918	6.2230094951534546e-12	NaN	NaN	NaN	-34918.496461838025	-34918.496461838025	3.141592653589793
-0.000025229176431698734	6.2230094951534546e-12	NaN	NaN	NaN	-39256.5281824705	-39256.5281824705	3.141592653589793
-0.000022189516620650695	6.2230094951534546e-12	NaN	NaN	NaN	-44510.7018078138	-44510.7018078138	3.141592653589793
-0.000019149856809602654	6.2230094951534546e-12	NaN	NaN	NaN	-51362.4251306319	-51362.4251306319	3.141592653589793
-0.000028268836242746776	6.2230094951534546e-12	NaN	NaN	NaN	-35103.38044043699	-35103.38044043699	3.141592653589793
-0.000025077193441146335	6.2230094951534546e-12	NaN	NaN	NaN	-39489.88642355424	-39489.88642355424	3.141592653589793
-0.000022037533630098293	6.2230094951534546e-12	NaN	NaN	NaN	-44810.12005268705	-44810.12005268705	3.141592653589793
-0.000018997873819050254	6.2230094951534546e-12	NaN	NaN	NaN	-51759.89824512616	-51759.89824512616	3.141592653589793
-0.000028116853252194373	6.2230094951534546e-12	NaN	NaN	NaN	-35290.21752466779	-35290.21752466779	3.141592653589793
-0.000024925210450593932	6.2230094951534546e-12	NaN	NaN	NaN	-39726.00848229647	-39726.00848229647	3.141592653589793
-0.00002188555063954589	6.2230094951534546e-12	NaN	NaN	NaN	-45113.54315878802	-45113.54315878802	3.141592653589793
-0.00001884589082849785	6.2230094951534546e-12	NaN	NaN	NaN	-52163.46787320161	-52163.46787320161	3.141592653589793
-0.00002796487026164197	6.2230094951534546e-12	NaN	NaN	NaN	-35479.03858398426	-35479.03858398426	3.141592653589793
-0.00002477322746004153	6.2230094951534546e-12	NaN	NaN	NaN	-39964.943261039276	-39964.943261039276	3.141592653589793
-0.000021733567648993488	6.2230094951534546e-12	NaN	NaN	NaN	-45421.05097947756	-45421.05097947756	3.141592653589793
-0.00001869390783794545	6.2230094951534546e-12	NaN	NaN	NaN	-52573.27293366703	-52573.27293366703	3.141592653589793
-0.00002781288727108957	6.2230094951534546e-12	NaN	NaN	NaN	-35669.87513656467	-35669.87513656467	3.141592653589793
-0.000024621244469489127	6.2230094951534546e-12	NaN	NaN	NaN	-40206.74081075927	-40206.74081075927	3.141592653589793
-0.00002158158465844109	6.2230094951534546e-12	NaN	NaN	NaN	-45732.72547675466	-45732.72547675466	3.141592653589793
-0.000018541924847393046	6.2230094951534546e-12	NaN	NaN	NaN	-52989.456521508415	-52989.456521508415	3.141592653589793
-0.00002766090428053717	6.2230094951534546e-12	NaN	NaN	NaN	-35862.75936629947	-35862.75936629947	3.141592653589793
-0.000024469261478936724	6.2230094951534546e-12	NaN	NaN	NaN	-40451.45236462657	-40451.45236462657	3.141592653589793
-0.000021429601667888686	6.2230094951534546e-12	NaN	NaN	NaN	-46048.650790337415	-46048.650790337415	3.141592653589793
-0.000018389941856840644	6.2230094951534546e-12	NaN	NaN	NaN	-53412.16606295252	-53412.16606295252	3.141592653589793
-0.000027508921289984766	6.2230094951534546e-12	NaN	NaN	NaN	-36057.72414031335	-36057.72414031335	3.141592653589793
-0.000024317278488384322	6.2230094951534546e-12	NaN	NaN	NaN	-40699.1303727384	-40699.1303727384	3.141592653589793
-0.000021277618677336283	6.2230094951534546e-12	NaN	NaN	NaN	-46368.91330943481	-46368.91330943481	3.141592653589793
-0.00001823795886628824	6.2230094951534546e-12	NaN	NaN	NaN	-53841.553477342335	-53841.553477342335	3.141592653589793
-0.000027356938299432364	6.2230094951534546e-12	NaN	NaN	NaN	-36254.80302703623	-36254.80302703623	3.141592653589793
-0.000018085975875735842	6.2230094951534546e-12	NaN	NaN	NaN	-54277.77534617046	-54277.77534617046	3.141592653589793
-0.0000150463160646878	6.2230094951534546e-12	NaN	NaN	NaN	-64728.59449310264	-64728.59449310264	3.141592653589793
-0.00001200665625363976	6.2230094951534546e-12	NaN	NaN	NaN	-79972.3306815491	-79972.3306815491	3.141592653589793
-8.96699644259172e-6	6.2230094951534546e-12	NaN	NaN	NaN	-104012.11321756871	-104012.11321756871	3.141592653589793
-0.00001793399288518344	6.2230094951534546e-12	NaN	NaN	NaN	-54720.99308963302	-54720.99308963302	3.141592653589793
-0.000014894333074135398	6.2230094951534546e-12	NaN	NaN	NaN	-65355.042697406476	-65355.042697406476	3.141592653589793
-0.000011854673263087357	6.2230094951534546e-12	NaN	NaN	NaN	-80917.76738943819	-80917.76738943819	3.141592653589793
-8.815013452039317e-6	6.2230094951534546e-12	NaN	NaN	NaN	-105574.2881070226	-105574.2881070226	3.141592653589793
-0.000017782009894631037	6.2230094951534546e-12	NaN	NaN	NaN	-55171.37315108653	-55171.37315108653	3.141592653589793
-0.000014742350083582997	6.2230094951534546e-12	NaN	NaN	NaN	-65993.41194111422	-65993.41194111422	3.141592653589793
-0.000011702690272534956	6.2230094951534546e-12	NaN	NaN	NaN	-81884.91941788282	-81884.91941788282	3.141592653589793
-8.663030461486915e-6	6.2230094951534546e-12	NaN	NaN	NaN	-107180.92502511425	-107180.92502511425	3.141592653589793
-0.000017630026904078634	6.2230094951534546e-12	NaN	NaN	NaN	-55629.08718981318	-55629.08718981318	3.141592653589793
-0.000014590367093030594	6.2230094951534546e-12	NaN	NaN	NaN	-66644.0362905637	-66644.0362905637	3.141592653589793
-0.000011550707281982554	6.2230094951534546e-12	NaN	NaN	NaN	-82874.51135655766	-82874.51135655766	3.141592653589793
-8.511047470934514e-6	6.2230094951534546e-12	NaN	NaN	NaN	-108833.80847815127	-108833.80847815127	3.141592653589793
-0.00001747804391352623	6.2230094951534546e-12	NaN	NaN	NaN	-56094.31228252422	-56094.31228252422	3.141592653589793
-0.000014438384102478191	6.2230094951534546e-12	NaN	NaN	NaN	-67307.2620378475	-67307.2620378475	3.141592653589793
