# Filename	binding\7f1527c4-7c5b-4cc5-b21c-e90cfcf8b0c8.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T18:07:32
# Dir	-1
# field	5.814624497034009e-11
# zi	-6.
W	field	zb	tb	argtbzt	tt	argtt
-0.000030396598110480406	5.814624497034009e-11	NaN	NaN	NaN	-31053.725289889495	-31053.725289889495	3.141592653589793
-0.000024165295497831922	5.814624497034009e-11	NaN	NaN	NaN	-37921.46889715761	-37921.46889715761	3.141592653589793
-0.00002112563568678388	5.814624497034009e-11	NaN	NaN	NaN	-42390.02349161335	-42390.02349161335	3.141592653589793
-0.000030244615119928003	5.814624497034009e-11	NaN	NaN	NaN	-31193.095514825152	-31193.095514825152	3.141592653589793
-0.00002720495530887996	5.814624497034009e-11	NaN	NaN	NaN	-34250.67657983623	-34250.67657983623	3.141592653589793
-0.00002401331250727952	5.814624497034009e-11	NaN	NaN	NaN	-38124.15579809491	-38124.15579809491	3.141592653589793
-0.000020973652696231478	5.814624497034009e-11	NaN	NaN	NaN	-42638.600743081995	-42638.600743081995	3.141592653589793
-0.0000300926321293756	5.814624497034009e-11	NaN	NaN	NaN	-31333.654512042613	-31333.654512042613	3.141592653589793
-0.00002705297231832756	5.814624497034009e-11	NaN	NaN	NaN	-34418.34876701302	-34418.34876701302	3.141592653589793
-0.000023861329516727117	5.814624497034009e-11	NaN	NaN	NaN	-38328.84959403489	-38328.84959403489	3.141592653589793
-0.000020821669705679075	5.814624497034009e-11	NaN	NaN	NaN	-42889.827167187934	-42889.827167187934	3.141592653589793
-0.000029940649138823198	5.814624497034009e-11	NaN	NaN	NaN	-31475.416677679008	-31475.416677679008	3.141592653589793
-0.00002690098932777516	5.814624497034009e-11	NaN	NaN	NaN	-34587.563396079975	-34587.563396079975	3.141592653589793
-0.000023709346526174715	5.814624497034009e-11	NaN	NaN	NaN	-38535.57766003494	-38535.57766003494	3.141592653589793
-0.000020669686715126676	5.814624497034009e-11	NaN	NaN	NaN	-43143.74074795913	-43143.74074795913	3.141592653589793
-0.000029788666148270795	5.814624497034009e-11	NaN	NaN	NaN	-31618.396626050366	-31618.396626050366	3.141592653589793
-0.000026749006337222757	5.814624497034009e-11	NaN	NaN	NaN	-34758.340349915314	-34758.340349915314	3.141592653589793
-0.000023557363535622312	5.814624497034009e-11	NaN	NaN	NaN	-38744.367819386345	-38744.367819386345	3.141592653589793
-0.000020517703724574274	5.814624497034009e-11	NaN	NaN	NaN	-43400.380099573755	-43400.380099573755	3.141592653589793
-0.000029636683157718393	5.814624497034009e-11	NaN	NaN	NaN	-31762.60919346946	-31762.60919346946	3.141592653589793
-0.000026597023346670354	5.814624497034009e-11	NaN	NaN	NaN	-34930.699826589924	-34930.699826589924	3.141592653589793
-0.000023405380545069913	5.814624497034009e-11	NaN	NaN	NaN	-38955.24835150597	-38955.24835150597	3.141592653589793
-0.00002036572073402187	5.814624497034009e-11	NaN	NaN	NaN	-43659.78447674716	-43659.78447674716	3.141592653589793
-0.000029484700167165993	5.814624497034009e-11	NaN	NaN	NaN	-31908.069442134736	-31908.069442134736	3.141592653589793
-0.00002644504035611795	5.814624497034009e-11	NaN	NaN	NaN	-35104.66234497816	-35104.66234497816	3.141592653589793
-0.00002325339755451751	5.814624497034009e-11	NaN	NaN	NaN	-39168.247999953914	-39168.247999953914	3.141592653589793
-0.00002021373774346947	5.814624497034009e-11	NaN	NaN	NaN	-43921.99378523001	-43921.99378523001	3.141592653589793
-0.00002933271717661359	5.814624497034009e-11	NaN	NaN	NaN	-32054.79266409241	-32054.79266409241	3.141592653589793
-0.00002629305736556555	5.814624497034009e-11	NaN	NaN	NaN	-35280.248750469684	-35280.248750469684	3.141592653589793
-0.000023101414563965108	5.814624497034009e-11	NaN	NaN	NaN	-39383.39598057732	-39383.39598057732	3.141592653589793
-0.000020061754752917066	5.814624497034009e-11	NaN	NaN	NaN	-44187.04859241417	-44187.04859241417	3.141592653589793
-0.000029180734186061188	5.814624497034009e-11	NaN	NaN	NaN	-32202.79438527279	-32202.79438527279	3.141592653589793
-0.000026141074375013146	5.814624497034009e-11	NaN	NaN	NaN	-35457.48022078422	-35457.48022078422	3.141592653589793
-0.000022949431573412705	5.814624497034009e-11	NaN	NaN	NaN	-39600.72198978117	-39600.72198978117	3.141592653589793
-0.000019909771762364663	5.814624497034009e-11	NaN	NaN	NaN	-44454.99013804317	-44454.99013804317	3.141592653589793
-0.000029028751195508785	5.814624497034009e-11	NaN	NaN	NaN	-32352.09036960223	-32352.09036960223	3.141592653589793
-0.000025989091384460747	5.814624497034009e-11	NaN	NaN	NaN	-35636.37827189049	-35636.37827189049	3.141592653589793
-0.000022797448582860302	5.814624497034009e-11	NaN	NaN	NaN	-39820.256212926775	-39820.256212926775	3.141592653589793
-0.000019757788771812264	5.814624497034009e-11	NaN	NaN	NaN	-44725.86034502337	-44725.86034502337	3.141592653589793
-0.000028876768204956383	5.814624497034009e-11	NaN	NaN	NaN	-32502.69662319173	-32502.69662319173	3.141592653589793
-0.000025837108393908344	5.814624497034009e-11	NaN	NaN	NaN	-35816.96476403058	-35816.96476403058	3.141592653589793
-0.0000226454655923079	5.814624497034009e-11	NaN	NaN	NaN	-40042.02933285786	-40042.02933285786	3.141592653589793
-0.00001960580578125986	5.814624497034009e-11	NaN	NaN	NaN	-44999.70183033154	-44999.70183033154	3.141592653589793
-0.000028724785214403984	5.814624497034009e-11	NaN	NaN	NaN	-32654.62939860412	-32654.62939860412	3.141592653589793
-0.000025685125403355942	5.814624497034009e-11	NaN	NaN	NaN	-35999.26190785141	-35999.26190785141	3.141592653589793
-0.0000224934826017555	5.814624497034009e-11	NaN	NaN	NaN	-40266.072538554996	-40266.072538554996	3.141592653589793
-0.00001945382279070746	5.814624497034009e-11	NaN	NaN	NaN	-45276.55791601458	-45276.55791601458	3.141592653589793
-0.00002857280222385158	5.814624497034009e-11	NaN	NaN	NaN	-32807.905199200686	-32807.905199200686	3.141592653589793
-0.00002553314241280354	5.814624497034009e-11	NaN	NaN	NaN	-36183.29227064467	-36183.29227064467	3.141592653589793
-0.000022341499611203098	5.814624497034009e-11	NaN	NaN	NaN	-40492.41753391806	-40492.41753391806	3.141592653589793
-0.000019301839800155056	5.814624497034009e-11	NaN	NaN	NaN	-45556.472640275686	-45556.472640275686	3.141592653589793
-0.00002842081923329918	5.814624497034009e-11	NaN	NaN	NaN	-32962.54078356856	-32962.54078356856	3.141592653589793
-0.000025381159422251137	5.814624497034009e-11	NaN	NaN	NaN	-36369.0787826966	-36369.0787826966	3.141592653589793
-0.000022189516620650695	5.814624497034009e-11	NaN	NaN	NaN	-40721.096546677196	-40721.096546677196	3.141592653589793
-0.000019149856809602654	5.814624497034009e-11	NaN	NaN	NaN	-45839.49076864244	-45839.49076864244	3.141592653589793
-0.000028268836242746776	5.814624497034009e-11	NaN	NaN	NaN	-33118.55317003109	-33118.55317003109	3.141592653589793
-0.000025229176431698734	5.814624497034009e-11	NaN	NaN	NaN	-36556.64474374889	-36556.64474374889	3.141592653589793
-0.000022037533630098293	5.814624497034009e-11	NaN	NaN	NaN	-40952.142337431585	-40952.142337431585	3.141592653589793
-0.000018997873819050254	5.814624497034009e-11	NaN	NaN	NaN	-46125.65780521008	-46125.65780521008	3.141592653589793
-0.000028116853252194373	5.814624497034009e-11	NaN	NaN	NaN	-33275.959641241505	-33275.959641241505	3.141592653589793
-0.000025077193441146335	5.814624497034009e-11	NaN	NaN	NaN	-36746.01382957244	-36746.01382957244	3.141592653589793
