# Filename	binding\80da4ee2-efc5-49f4-90a9-5ca614b58af9.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T18:04:54
# Dir	-1
# field	4.278319027918e-11
# zi	-6.
W	field	zb	tb	argtbzt	tt	argtt
-0.000030396598110480406	4.278319027918e-11	NaN	NaN	NaN	-31501.67831944439	-31501.67831944439	3.141592653589793
-0.00002720495530887996	4.278319027918e-11	NaN	NaN	NaN	-34848.21645188749	-34848.21645188749	3.141592653589793
-0.00002112563568678388	4.278319027918e-11	NaN	NaN	NaN	-43503.15341712614	-43503.15341712614	3.141592653589793
-0.000030244615119928003	4.278319027918e-11	NaN	NaN	NaN	-31646.99712064596	-31646.99712064596	3.141592653589793
-0.00002705297231832756	4.278319027918e-11	NaN	NaN	NaN	-35024.51211627634	-35024.51211627634	3.141592653589793
-0.000024165295497831922	4.278319027918e-11	NaN	NaN	NaN	-38726.46160730568	-38726.46160730568	3.141592653589793
-0.000020973652696231478	4.278319027918e-11	NaN	NaN	NaN	-43770.75382103474	-43770.75382103474	3.141592653589793
-0.0000300926321293756	4.278319027918e-11	NaN	NaN	NaN	-31793.60702496773	-31793.60702496773	3.141592653589793
-0.00002690098932777516	4.278319027918e-11	NaN	NaN	NaN	-35202.510329794604	-35202.510329794604	3.141592653589793
-0.00002401331250727952	4.278319027918e-11	NaN	NaN	NaN	-38941.77177746959	-38941.77177746959	3.141592653589793
-0.000020821669705679075	4.278319027918e-11	NaN	NaN	NaN	-44041.4129481327	-44041.4129481327	3.141592653589793
-0.000029940649138823198	4.278319027918e-11	NaN	NaN	NaN	-31941.524562089486	-31941.524562089486	3.141592653589793
-0.000026749006337222757	4.278319027918e-11	NaN	NaN	NaN	-35382.23454992883	-35382.23454992883	3.141592653589793
-0.000023861329516727117	4.278319027918e-11	NaN	NaN	NaN	-39159.34125750412	-39159.34125750412	3.141592653589793
-0.000020669686715126676	4.278319027918e-11	NaN	NaN	NaN	-44315.17912351241	-44315.17912351241	3.141592653589793
-0.000029788666148270795	4.278319027918e-11	NaN	NaN	NaN	-32090.76653146021	-32090.76653146021	3.141592653589793
-0.000026597023346670354	4.278319027918e-11	NaN	NaN	NaN	-35563.70864103865	-35563.70864103865	3.141592653589793
-0.000023709346526174715	4.278319027918e-11	NaN	NaN	NaN	-39379.20342943064	-39379.20342943064	3.141592653589793
-0.000020517703724574274	4.278319027918e-11	NaN	NaN	NaN	-44592.1015927196	-44592.1015927196	3.141592653589793
-0.000029636683157718393	4.278319027918e-11	NaN	NaN	NaN	-32241.350007514895	-32241.350007514895	3.141592653589793
-0.00002644504035611795	4.278319027918e-11	NaN	NaN	NaN	-35746.95688257333	-35746.95688257333	3.141592653589793
-0.000023557363535622312	4.278319027918e-11	NaN	NaN	NaN	-39601.39228559094	-39601.39228559094	3.141592653589793
-0.00002036572073402187	4.278319027918e-11	NaN	NaN	NaN	-44872.23054074416	-44872.23054074416	3.141592653589793
-0.000029484700167165993	4.278319027918e-11	NaN	NaN	NaN	-32393.292345004855	-32393.292345004855	3.141592653589793
-0.00002629305736556555	4.278319027918e-11	NaN	NaN	NaN	-35932.003977468434	-35932.003977468434	3.141592653589793
-0.000023405380545069913	4.278319027918e-11	NaN	NaN	NaN	-39825.94244129735	-39825.94244129735	3.141592653589793
-0.00002021373774346947	4.278319027918e-11	NaN	NaN	NaN	-45155.61711137283	-45155.61711137283	3.141592653589793
-0.00002933271717661359	4.278319027918e-11	NaN	NaN	NaN	-32546.611184443584	-32546.611184443584	3.141592653589793
-0.000026141074375013146	4.278319027918e-11	NaN	NaN	NaN	-36118.87506072713	-36118.87506072713	3.141592653589793
-0.00002325339755451751	4.278319027918e-11	NaN	NaN	NaN	-40052.88914775446	-40052.88914775446	3.141592653589793
-0.000020061754752917066	4.278319027918e-11	NaN	NaN	NaN	-45442.31342690639	-45442.31342690639	3.141592653589793
-0.000029180734186061188	4.278319027918e-11	NaN	NaN	NaN	-32701.324457670384	-32701.324457670384	3.141592653589793
-0.000025989091384460747	4.278319027918e-11	NaN	NaN	NaN	-36307.59570819018	-36307.59570819018	3.141592653589793
-0.000023101414563965108	4.278319027918e-11	NaN	NaN	NaN	-40282.268305256104	-40282.268305256104	3.141592653589793
-0.000019909771762364663	4.278319027918e-11	NaN	NaN	NaN	-45732.372608244536	-45732.372608244536	3.141592653589793
-0.000029028751195508785	4.278319027918e-11	NaN	NaN	NaN	-32857.450393535946	-32857.450393535946	3.141592653589793
-0.000025837108393908344	4.278319027918e-11	NaN	NaN	NaN	-36498.19194549807	-36498.19194549807	3.141592653589793
-0.000022949431573412705	4.278319027918e-11	NaN	NaN	NaN	-40514.11647666413	-40514.11647666413	3.141592653589793
-0.000019757788771812264	4.278319027918e-11	NaN	NaN	NaN	-46025.84879534067	-46025.84879534067	3.141592653589793
-0.000028876768204956383	4.278319027918e-11	NaN	NaN	NaN	-33015.00752371084	-33015.00752371084	3.141592653589793
-0.000025685125403355942	4.278319027918e-11	NaN	NaN	NaN	-36690.690257250535	-36690.690257250535	3.141592653589793
-0.000022797448582860302	4.278319027918e-11	NaN	NaN	NaN	-40748.470901172994	-40748.470901172994	3.141592653589793
-0.00001960580578125986	4.278319027918e-11	NaN	NaN	NaN	-46322.797168028075	-46322.797168028075	3.141592653589793
-0.000028724785214403984	4.278319027918e-11	NaN	NaN	NaN	-33174.014688620846	-33174.014688620846	3.141592653589793
-0.00002553314241280354	4.278319027918e-11	NaN	NaN	NaN	-36885.11759636635	-36885.11759636635	3.141592653589793
-0.0000226454655923079	4.278319027918e-11	NaN	NaN	NaN	-40985.369508365446	-40985.369508365446	3.141592653589793
-0.00001945382279070746	4.278319027918e-11	NaN	NaN	NaN	-46623.27396721993	-46623.27396721993	3.141592653589793
-0.00002857280222385158	4.278319027918e-11	NaN	NaN	NaN	-33334.49104351211	-33334.49104351211	3.141592653589793
-0.000025381159422251137	4.278319027918e-11	NaN	NaN	NaN	-37081.50139364898	-37081.50139364898	3.141592653589793
-0.0000224934826017555	4.278319027918e-11	NaN	NaN	NaN	-41224.85093256427	-41224.85093256427	3.141592653589793
-0.000019301839800155056	4.278319027918e-11	NaN	NaN	NaN	-46927.336516483774	-46927.336516483774	3.141592653589793
-0.00002842081923329918	4.278319027918e-11	NaN	NaN	NaN	-33496.45606464804	-33496.45606464804	3.141592653589793
-0.000025229176431698734	4.278319027918e-11	NaN	NaN	NaN	-37279.869567561305	-37279.869567561305	3.141592653589793
-0.000022341499611203098	4.278319027918e-11	NaN	NaN	NaN	-41466.954527485366	-41466.954527485366	3.141592653589793
-0.000019149856809602654	4.278319027918e-11	NaN	NaN	NaN	-47235.0432439908	-47235.0432439908	3.141592653589793
-0.000028268836242746776	4.278319027918e-11	NaN	NaN	NaN	-33659.92955564229	-33659.92955564229	3.141592653589793
-0.000025077193441146335	4.278319027918e-11	NaN	NaN	NaN	-37480.250534214785	-37480.250534214785	3.141592653589793
-0.000022189516620650695	4.278319027918e-11	NaN	NaN	NaN	-41711.72038119663	-41711.72038119663	3.141592653589793
-0.000018997873819050254	4.278319027918e-11	NaN	NaN	NaN	-47546.453704841035	-47546.453704841035	3.141592653589793
-0.000028116853252194373	4.278319027918e-11	NaN	NaN	NaN	-33824.931653929685	-33824.931653929685	3.141592653589793
-0.000024925210450593932	4.278319027918e-11	NaN	NaN	NaN	-37682.67321757671	-37682.67321757671	3.141592653589793
-0.000022037533630098293	4.278319027918e-11	NaN	NaN	NaN	-41959.18933138785	-41959.18933138785	3.141592653589793
-0.00001884589082849785	4.278319027918e-11	NaN	NaN	NaN	-47861.62860376304	-47861.62860376304	3.141592653589793
-0.00002796487026164197	4.278319027918e-11	NaN	NaN	NaN	-33991.48283737931	-33991.48283737931	3.141592653589793
-0.00002477322746004153	4.278319027918e-11	NaN	NaN	NaN	-37887.16705990071	-37887.16705990071	3.141592653589793
-0.00002188555063954589	4.278319027918e-11	NaN	NaN	NaN	-42209.40298095656	-42209.40298095656	3.141592653589793
-0.00001869390783794545	4.278319027918e-11	NaN	NaN	NaN	-48180.629818187845	-48180.629818187845	3.141592653589793
-0.00002781288727108957	4.278319027918e-11	NaN	NaN	NaN	-34159.60393105186	-34159.60393105186	3.141592653589793
-0.000024621244469489127	4.278319027918e-11	NaN	NaN	NaN	-38093.76203238497	-38093.76203238497	3.141592653589793
-0.000021733567648993488	4.278319027918e-11	NaN	NaN	NaN	-42462.40371391453	-42462.40371391453	3.141592653589793
-0.000018541924847393046	4.278319027918e-11	NaN	NaN	NaN	-48503.52042169489	-48503.52042169489	3.141592653589793
-0.00002766090428053717	4.278319027918e-11	NaN	NaN	NaN	-34329.316114105655	-34329.316114105655	3.141592653589793
-0.000024469261478936724	4.278319027918e-11	NaN	NaN	NaN	-38302.48864606222	-38302.48864606222	3.141592653589793
-0.00002158158465844109	4.278319027918e-11	NaN	NaN	NaN	-42718.23471161938	-42718.23471161938	3.141592653589793
-0.000018389941856840644	4.278319027918e-11	NaN	NaN	NaN	-48830.36470782808	-48830.36470782808	3.141592653589793
-0.000027508921289984766	4.278319027918e-11	NaN	NaN	NaN	-34500.6409268535	-34500.6409268535	3.141592653589793
-0.000024317278488384322	4.278319027918e-11	NaN	NaN	NaN	-38513.37796292725	-38513.37796292725	3.141592653589793
-0.000021429601667888686	4.278319027918e-11	NaN	NaN	NaN	-42976.939969336636	-42976.939969336636	3.141592653589793
-0.00001823795886628824	4.278319027918e-11	NaN	NaN	NaN	-49161.228214278395	-49161.228214278395	3.141592653589793
-0.000027356938299432364	4.278319027918e-11	NaN	NaN	NaN	-34673.60027797521	-34673.60027797521	3.141592653589793
