# Filename	binding\81b8004b-56e3-481c-a7de-715eb422b47a.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T18:02:54
# Dir	-1
# field	3.111504747576727e-11
# zi	-6.
W	field	zb	tb	argtbzt	tt	argtt
-0.000030396598110480406	3.111504747576727e-11	NaN	NaN	NaN	-31859.405685546735	-31859.405685546735	3.141592653589793
-0.00002720495530887996	3.111504747576727e-11	NaN	NaN	NaN	-35330.36899462359	-35330.36899462359	3.141592653589793
-0.000024165295497831922	3.111504747576727e-11	NaN	NaN	NaN	-39384.430899579	-39384.430899579	3.141592653589793
-0.00002112563568678388	3.111504747576727e-11	NaN	NaN	NaN	-44428.58219453175	-44428.58219453175	3.141592653589793
-0.000030244615119928003	3.111504747576727e-11	NaN	NaN	NaN	-32009.63223944186	-32009.63223944186	3.141592653589793
-0.00002705297231832756	3.111504747576727e-11	NaN	NaN	NaN	-35513.899806948015	-35513.899806948015	3.141592653589793
-0.00002401331250727952	3.111504747576727e-11	NaN	NaN	NaN	-39610.55413406479	-39610.55413406479	3.141592653589793
-0.000020973652696231478	3.111504747576727e-11	NaN	NaN	NaN	-44712.92568726529	-44712.92568726529	3.141592653589793
-0.0000300926321293756	3.111504747576727e-11	NaN	NaN	NaN	-32161.237847712622	-32161.237847712622	3.141592653589793
-0.00002690098932777516	3.111504747576727e-11	NaN	NaN	NaN	-35699.27424499686	-35699.27424499686	3.141592653589793
-0.000023861329516727117	3.111504747576727e-11	NaN	NaN	NaN	-39839.1660066057	-39839.1660066057	3.141592653589793
-0.000020821669705679075	3.111504747576727e-11	NaN	NaN	NaN	-45000.71509918532	-45000.71509918532	3.141592653589793
-0.000029940649138823198	3.111504747576727e-11	NaN	NaN	NaN	-32314.2409678778	-32314.2409678778	3.141592653589793
-0.000026749006337222757	3.111504747576727e-11	NaN	NaN	NaN	-35886.51911125765	-35886.51911125765	3.141592653589793
-0.000023709346526174715	3.111504747576727e-11	NaN	NaN	NaN	-40070.30576770051	-40070.30576770051	3.141592653589793
-0.000020669686715126676	3.111504747576727e-11	NaN	NaN	NaN	-45292.00943958517	-45292.00943958517	3.141592653589793
-0.000029788666148270795	3.111504747576727e-11	NaN	NaN	NaN	-32468.66037675131	-32468.66037675131	3.141592653589793
-0.000026597023346670354	3.111504747576727e-11	NaN	NaN	NaN	-36075.661707417166	-36075.661707417166	3.141592653589793
-0.000023557363535622312	3.111504747576727e-11	NaN	NaN	NaN	-40304.01345135927	-40304.01345135927	3.141592653589793
-0.000020517703724574274	3.111504747576727e-11	NaN	NaN	NaN	-45586.86897348854	-45586.86897348854	3.141592653589793
-0.000029636683157718393	3.111504747576727e-11	NaN	NaN	NaN	-32624.515177105543	-32624.515177105543	3.141592653589793
-0.00002644504035611795	3.111504747576727e-11	NaN	NaN	NaN	-36266.72984544942	-36266.72984544942	3.141592653589793
-0.000023405380545069913	3.111504747576727e-11	NaN	NaN	NaN	-40540.32989344487	-40540.32989344487	3.141592653589793
-0.00002036572073402187	3.111504747576727e-11	NaN	NaN	NaN	-45885.35525213134	-45885.35525213134	3.141592653589793
-0.000029484700167165993	3.111504747576727e-11	NaN	NaN	NaN	-32781.82480449351	-32781.82480449351	3.141592653589793
-0.00002629305736556555	3.111504747576727e-11	NaN	NaN	NaN	-36459.75185898202	-36459.75185898202	3.141592653589793
-0.00002325339755451751	3.111504747576727e-11	NaN	NaN	NaN	-40779.29675048758	-40779.29675048758	3.141592653589793
-0.00002021373774346947	3.111504747576727e-11	NaN	NaN	NaN	-46187.531144218156	-46187.531144218156	3.141592653589793
-0.00002933271717661359	3.111504747576727e-11	NaN	NaN	NaN	-32940.60903423676	-32940.60903423676	3.141592653589793
-0.000026141074375013146	3.111504747576727e-11	NaN	NaN	NaN	-36654.75661494962	-36654.75661494962	3.141592653589793
-0.000023101414563965108	3.111504747576727e-11	NaN	NaN	NaN	-41020.956518984436	-41020.956518984436	3.141592653589793
-0.000020061754752917066	3.111504747576727e-11	NaN	NaN	NaN	-46493.460867970236	-46493.460867970236	3.141592653589793
-0.000029180734186061188	3.111504747576727e-11	NaN	NaN	NaN	-33100.88798857965	-33100.88798857965	3.141592653589793
-0.000025989091384460747	3.111504747576727e-11	NaN	NaN	NaN	-36851.773525539495	-36851.773525539495	3.141592653589793
-0.000022949431573412705	3.111504747576727e-11	NaN	NaN	NaN	-41265.352555197314	-41265.352555197314	3.141592653589793
-0.000019909771762364663	3.111504747576727e-11	NaN	NaN	NaN	-46803.210023982465	-46803.210023982465	3.141592653589793
-0.000029028751195508785	3.111504747576727e-11	NaN	NaN	NaN	-33262.68214401825	-33262.68214401825	3.141592653589793
-0.000025837108393908344	3.111504747576727e-11	NaN	NaN	NaN	-37050.8325604404	-37050.8325604404	3.141592653589793
-0.000022797448582860302	3.111504747576727e-11	NaN	NaN	NaN	-41512.529095461075	-41512.529095461075	3.141592653589793
-0.000019757788771812264	3.111504747576727e-11	NaN	NaN	NaN	-47116.84562890717	-47116.84562890717	3.141592653589793
-0.000028876768204956383	3.111504747576727e-11	NaN	NaN	NaN	-33426.01233880593	-33426.01233880593	3.141592653589793
-0.000025685125403355942	3.111504747576727e-11	NaN	NaN	NaN	-37251.96425940025	-37251.96425940025	3.141592653589793
-0.0000226454655923079	3.111504747576727e-11	NaN	NaN	NaN	-41762.531277016606	-41762.531277016606	3.141592653589793
-0.00001960580578125986	3.111504747576727e-11	NaN	NaN	NaN	-47434.43614998356	-47434.43614998356	3.141592653589793
-0.000028724785214403984	3.111504747576727e-11	NaN	NaN	NaN	-33590.899780641324	-33590.899780641324	3.141592653589793
-0.00002553314241280354	3.111504747576727e-11	NaN	NaN	NaN	-37455.19974510237	-37455.19974510237	3.141592653589793
-0.0000224934826017555	3.111504747576727e-11	NaN	NaN	NaN	-42015.40515938132	-42015.40515938132	3.141592653589793
