# Filename	binding\847d309f-8d47-45df-b04e-2ad1374d6c0c.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T18:02:44
# Dir	-1
# field	3.0142702242149545e-11
# zi	-6.
W	field	zb	tb	argtbzt	tt	argtt
-0.000030396598110480406	3.0142702242149545e-11	NaN	NaN	NaN	-31889.944276226564	-31889.944276226564	3.141592653589793
-0.00002720495530887996	3.0142702242149545e-11	NaN	NaN	NaN	-35371.74174003072	-35371.74174003072	3.141592653589793
-0.000024165295497831922	3.0142702242149545e-11	NaN	NaN	NaN	-39441.25691519401	-39441.25691519401	3.141592653589793
-0.00002112563568678388	3.0142702242149545e-11	NaN	NaN	NaN	-44509.2036364108	-44509.2036364108	3.141592653589793
-0.000030244615119928003	3.0142702242149545e-11	NaN	NaN	NaN	-32040.596432422888	-32040.596432422888	3.141592653589793
-0.00002705297231832756	3.0142702242149545e-11	NaN	NaN	NaN	-35555.90525696903	-35555.90525696903	3.141592653589793
-0.00002401331250727952	3.0142702242149545e-11	NaN	NaN	NaN	-39668.33568221043	-39668.33568221043	3.141592653589793
-0.000020973652696231478	3.0142702242149545e-11	NaN	NaN	NaN	-44795.04737411028	-44795.04737411028	3.141592653589793
-0.0000300926321293756	3.0142702242149545e-11	NaN	NaN	NaN	-32192.635421637733	-32192.635421637733	3.141592653589793
-0.00002690098932777516	3.0142702242149545e-11	NaN	NaN	NaN	-35741.92503224677	-35741.92503224677	3.141592653589793
-0.000023861329516727117	3.0142702242149545e-11	NaN	NaN	NaN	-39897.92394140736	-39897.92394140736	3.141592653589793
-0.000020821669705679075	3.0142702242149545e-11	NaN	NaN	NaN	-45084.37296459513	-45084.37296459513	3.141592653589793
-0.000029940649138823198	3.0142702242149545e-11	NaN	NaN	NaN	-32346.079876014224	-32346.079876014224	3.141592653589793
-0.000026749006337222757	3.0142702242149545e-11	NaN	NaN	NaN	-35929.82817663485	-35929.82817663485	3.141592653589793
-0.000023709346526174715	3.0142702242149545e-11	NaN	NaN	NaN	-40130.06149591181	-40130.06149591181	3.141592653589793
-0.000020669686715126676	3.0142702242149545e-11	NaN	NaN	NaN	-45377.24045223147	-45377.24045223147	3.141592653589793
-0.000029788666148270795	3.0142702242149545e-11	NaN	NaN	NaN	-32500.948751607033	-32500.948751607033	3.141592653589793
-0.000026597023346670354	3.0142702242149545e-11	NaN	NaN	NaN	-36119.64230891243	-36119.64230891243	3.141592653589793
-0.000023557363535622312	3.0142702242149545e-11	NaN	NaN	NaN	-40364.788949376176	-40364.788949376176	3.141592653589793
-0.000020517703724574274	3.0142702242149545e-11	NaN	NaN	NaN	-45673.71117135056	-45673.71117135056	3.141592653589793
-0.000029636683157718393	3.0142702242149545e-11	NaN	NaN	NaN	-32657.261335184565	-32657.261335184565	3.141592653589793
-0.00002644504035611795	3.0142702242149545e-11	NaN	NaN	NaN	-36311.395567240346	-36311.395567240346	3.141592653589793
-0.000023405380545069913	3.0142702242149545e-11	NaN	NaN	NaN	-40602.14772490812	-40602.14772490812	3.141592653589793
-0.00002036572073402187	3.0142702242149545e-11	NaN	NaN	NaN	-45973.847777983414	-45973.847777983414	3.141592653589793
