# Filename	binding\849d386f-a3bc-4b76-ba65-1c3c02332ec5.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T18:01:50
# Dir	-1
# field	2.4892037980613818e-11
# zi	-6.
W	field	zb	tb	argtbzt	tt	argtt
-0.000030396598110480406	2.4892037980613818e-11	NaN	NaN	NaN	-32056.872484311614	-32056.872484311614	3.141592653589793
-0.00002720495530887996	2.4892037980613818e-11	NaN	NaN	NaN	-35598.495982888286	-35598.495982888286	3.141592653589793
-0.000024165295497831922	2.4892037980613818e-11	NaN	NaN	NaN	-39753.76862932252	-39753.76862932252	3.141592653589793
-0.00002112563568678388	2.4892037980613818e-11	NaN	NaN	NaN	-44954.63332546728	-44954.63332546728	3.141592653589793
-0.000030244615119928003	2.4892037980613818e-11	NaN	NaN	NaN	-32209.869799864155	-32209.869799864155	3.141592653589793
-0.00002705297231832756	2.4892037980613818e-11	NaN	NaN	NaN	-35786.16119408853	-35786.16119408853	3.141592653589793
-0.00002401331250727952	2.4892037980613818e-11	NaN	NaN	NaN	-39986.16534077455	-39986.16534077455	3.141592653589793
-0.000020973652696231478	2.4892037980613818e-11	NaN	NaN	NaN	-45248.889708578245	-45248.889708578245	3.141592653589793
-0.0000300926321293756	2.4892037980613818e-11	NaN	NaN	NaN	-32364.29724655132	-32364.29724655132	3.141592653589793
-0.00002690098932777516	2.4892037980613818e-11	NaN	NaN	NaN	-35975.75344446632	-35975.75344446632	3.141592653589793
-0.000023861329516727117	2.4892037980613818e-11	NaN	NaN	NaN	-40221.18936792874	-40221.18936792874	3.141592653589793
-0.000020821669705679075	2.4892037980613818e-11	NaN	NaN	NaN	-45546.83325753699	-45546.83325753699	3.141592653589793
-0.000029940649138823198	2.4892037980613818e-11	NaN	NaN	NaN	-32520.17444063737	-32520.17444063737	3.141592653589793
-0.000026749006337222757	2.4892037980613818e-11	NaN	NaN	NaN	-36167.30159840349	-36167.30159840349	3.141592653589793
-0.000023709346526174715	2.4892037980613818e-11	NaN	NaN	NaN	-40458.883694719094	-40458.883694719094	3.141592653589793
-0.000020669686715126676	2.4892037980613818e-11	NaN	NaN	NaN	-45848.530069938824	-45848.530069938824	3.141592653589793
-0.000029788666148270795	2.4892037980613818e-11	NaN	NaN	NaN	-32677.521348703238	-32677.521348703238	3.141592653589793
-0.000026597023346670354	2.4892037980613818e-11	NaN	NaN	NaN	-36360.83507932294	-36360.83507932294	3.141592653589793
-0.000023557363535622312	2.4892037980613818e-11	NaN	NaN	NaN	-40699.29220578037	-40699.29220578037	3.141592653589793
-0.000020517703724574274	2.4892037980613818e-11	NaN	NaN	NaN	-46154.04773939831	-46154.04773939831	3.141592653589793
-0.000029636683157718393	2.4892037980613818e-11	NaN	NaN	NaN	-32836.35829526028	-32836.35829526028	3.141592653589793
-0.00002644504035611795	2.4892037980613818e-11	NaN	NaN	NaN	-36556.3838827542	-36556.3838827542	3.141592653589793
-0.000023405380545069913	2.4892037980613818e-11	NaN	NaN	NaN	-40942.45970894141	-40942.45970894141	3.141592653589793
-0.00002036572073402187	2.4892037980613818e-11	NaN	NaN	NaN	-46463.45539510326	-46463.45539510326	3.141592653589793
-0.000029484700167165993	2.4892037980613818e-11	NaN	NaN	NaN	-32996.70597055711	-32996.70597055711	3.141592653589793
-0.00002629305736556555	2.4892037980613818e-11	NaN	NaN	NaN	-36753.97858974981	-36753.97858974981	3.141592653589793
-0.00002325339755451751	2.4892037980613818e-11	NaN	NaN	NaN	-41188.431958354864	-41188.431958354864	3.141592653589793
-0.00002021373774346947	2.4892037980613818e-11	NaN	NaN	NaN	-46776.823742511384	-46776.823742511384	3.141592653589793
-0.00002933271717661359	2.4892037980613818e-11	NaN	NaN	NaN	-33158.58543858413	-33158.58543858413	3.141592653589793
-0.000026141074375013146	2.4892037980613818e-11	NaN	NaN	NaN	-36953.65038066417	-36953.65038066417	3.141592653589793
-0.000023101414563965108	2.4892037980613818e-11	NaN	NaN	NaN	-41437.25567827883	-41437.25567827883	3.141592653589793
-0.000020061754752917066	2.4892037980613818e-11	NaN	NaN	NaN	-47094.22510522433	-47094.22510522433	3.141592653589793
-0.000029180734186061188	2.4892037980613818e-11	NaN	NaN	NaN	-33322.01814528185	-33322.01814528185	3.141592653589793
-0.000025989091384460747	2.4892037980613818e-11	NaN	NaN	NaN	-37155.431049303596	-37155.431049303596	3.141592653589793
-0.000022949431573412705	2.4892037980613818e-11	NaN	NaN	NaN	-41688.97858753296	-41688.97858753296	3.141592653589793
-0.000019909771762364663	2.4892037980613818e-11	NaN	NaN	NaN	-47415.73346807112	-47415.73346807112	3.141592653589793
-0.000029028751195508785	2.4892037980613818e-11	NaN	NaN	NaN	-33487.025926958486	-33487.025926958486	3.141592653589793
-0.000025837108393908344	2.4892037980613818e-11	NaN	NaN	NaN	-37359.353017460744	-37359.353017460744	3.141592653589793
-0.000022797448582860302	2.4892037980613818e-11	NaN	NaN	NaN	-41943.649424648065	-41943.649424648065	3.141592653589793
-0.000019757788771812264	2.4892037980613818e-11	NaN	NaN	NaN	-47741.42452143757	-47741.42452143757	3.141592653589793
-0.000028876768204956383	2.4892037980613818e-11	NaN	NaN	NaN	-33653.63101892375	-33653.63101892375	3.141592653589793
-0.000025685125403355942	2.4892037980613818e-11	NaN	NaN	NaN	-37565.44934984316	-37565.44934984316	3.141592653589793
-0.0000226454655923079	2.4892037980613818e-11	NaN	NaN	NaN	-42201.31797373067	-42201.31797373067	3.141592653589793
