# Filename	binding\88b38021-5b26-4039-9ef0-b80947f6375e.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:07:49
# Dir	-1
# field	3.0142702242149545e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	3.0142702242149545e-11	NaN	NaN	NaN	-31889.944276226564	6.2540076909228135e6	0.
-0.00002720495530887996	3.0142702242149545e-11	NaN	NaN	NaN	-35371.74174003072	7.286956189352065e6	0.
-0.000024165295497831922	3.0142702242149545e-11	NaN	NaN	NaN	-39441.25691519401	8.55158057593601e6	0.
-0.00002112563568678388	3.0142702242149545e-11	NaN	NaN	NaN	-44509.2036364108	1.020467762575298e7	0.
-0.000030244615119928003	3.0142702242149545e-11	NaN	NaN	NaN	-32040.596432422888	6.297708973638309e6	0.
-0.00002705297231832756	3.0142702242149545e-11	NaN	NaN	NaN	-35555.90525696903	7.342890311457981e6	0.
-0.00002401331250727952	3.0142702242149545e-11	NaN	NaN	NaN	-39668.33568221043	8.623855967885187e6	0.
-0.000020973652696231478	3.0142702242149545e-11	NaN	NaN	NaN	-44795.04737411028	1.0300314174502058e7	0.
-0.0000300926321293756	3.0142702242149545e-11	NaN	NaN	NaN	-32192.635421637733	6.341907059027155e6	0.
-0.00002690098932777516	3.0142702242149545e-11	NaN	NaN	NaN	-35741.92503224677	7.3995171093507195e6	0.
-0.000023861329516727117	3.0142702242149545e-11	NaN	NaN	NaN	-39897.92394140736	8.697109461114014e6	0.
-0.000020821669705679075	3.0142702242149545e-11	NaN	NaN	NaN	-45084.37296459513	1.0397365853131268e7	0.
-0.000029940649138823198	3.0142702242149545e-11	NaN	NaN	NaN	-32346.079876014224	6.386609369031618e6	0.
-0.000026749006337222757	3.0142702242149545e-11	NaN	NaN	NaN	-35929.82817663485	7.456846385804608e6	0.
-0.000023709346526174715	3.0142702242149545e-11	NaN	NaN	NaN	-40130.06149591181	8.771355249466915e6	0.
-0.000020669686715126676	3.0142702242149545e-11	NaN	NaN	NaN	-45377.24045223147	1.0495858552110244e7	0.
-0.000029788666148270795	3.0142702242149545e-11	NaN	NaN	NaN	-32500.948751607033	6.431819754158263e6	0.
-0.000026597023346670354	3.0142702242149545e-11	NaN	NaN	NaN	-36119.64230891243	7.514891676694961e6	0.
-0.000023557363535622312	3.0142702242149545e-11	NaN	NaN	NaN	-40364.788949376176	8.846613088844666e6	0.
-0.000020517703724574274	3.0142702242149545e-11	NaN	NaN	NaN	-45673.71117135056	1.0595822241480954e7	0.
