# Filename	binding\8afb3746-121d-4b04-a036-087886bfa00f.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:05:47
# Dir	-1
# field	1.789115229856618e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	1.789115229856618e-11	NaN	NaN	NaN	-32284.920835733137	6.398695264579849e6	0.
-0.00002720495530887996	1.789115229856618e-11	NaN	NaN	NaN	-35909.961783917504	7.493882882614078e6	0.
-0.000024165295497831922	1.789115229856618e-11	NaN	NaN	NaN	-40186.029376665	8.85258645052444e6	0.
-0.00002112563568678388	1.789115229856618e-11	NaN	NaN	NaN	-45576.66053082228	1.066011747958824e7	0.
-0.000030244615119928003	1.789115229856618e-11	NaN	NaN	NaN	-32441.17390523472	6.444774113015557e6	0.
-0.00002705297231832756	1.789115229856618e-11	NaN	NaN	NaN	-36102.53206322293	7.553554870959674e6	0.
-0.00002401331250727952	1.789115229856618e-11	NaN	NaN	NaN	-40425.96102167989	8.930858057932885e6	0.
-0.000020973652696231478	1.789115229856618e-11	NaN	NaN	NaN	-45883.02434293104	1.0765824140688255e7	0.
-0.0000300926321293756	1.789115229856618e-11	NaN	NaN	NaN	-32598.918445596224	6.491397777014682e6	0.
-0.00002690098932777516	1.789115229856618e-11	NaN	NaN	NaN	-36297.131009147546	7.614005154515158e6	0.
-0.000023861329516727117	1.789115229856618e-11	NaN	NaN	NaN	-40668.69207316517	9.01025042694096e6	-3.5282428444607135e-7
-0.000020821669705679075	1.789115229856618e-11	NaN	NaN	NaN	-46193.38226736317	1.0873221830476986e7	0.
-0.000029940649138823198	1.789115229856618e-11	NaN	NaN	NaN	-32758.175502133403	6.538575580032059e6	0.
-0.000026749006337222757	1.789115229856618e-11	NaN	NaN	NaN	-36493.79008116511	7.6752455074946275e6	0.
-0.000023709346526174715	1.789115229856618e-11	NaN	NaN	NaN	-40914.2703373858	9.090796925850252e6	0.
-0.000020669686715126676	1.789115229856618e-11	NaN	NaN	NaN	-46507.80988644369	1.0982351526917715e7	0.
-0.000029788666148270795	1.789115229856618e-11	NaN	NaN	NaN	-32918.96650997242	6.58631768760076e6	0.
-0.000026597023346670354	1.789115229856618e-11	NaN	NaN	NaN	-36692.54137611031	7.737291876806067e6	0.
-0.000023557363535622312	1.789115229856618e-11	NaN	NaN	NaN	-41162.74468020578	9.172511216201551e6	-3.2240009317364064e-7
