# Filename	binding\92e73fd8-9082-45cf-96df-0ec583b4ce29.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:10:06
# Dir	-1
# field	4.375553551279773e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	4.375553551279773e-11	NaN	NaN	NaN	-31472.572674896488	6.103439402175433e6	0.
-0.00002720495530887996	4.375553551279773e-11	NaN	NaN	NaN	-34809.18494889199	7.074646626795348e6	0.
-0.000024165295497831922	4.375553551279773e-11	NaN	NaN	NaN	-38673.53386009566	8.24822945503615e6	0.
-0.00002112563568678388	4.375553551279773e-11	NaN	NaN	NaN	-43429.33751900907	9.756655247208072e6	0.
-0.000030244615119928003	4.375553551279773e-11	NaN	NaN	NaN	-31617.498390912333	6.144760446397899e6	0.
-0.00002705297231832756	4.375553551279773e-11	NaN	NaN	NaN	-34984.90588957062	7.126914077074473e6	0.
-0.00002401331250727952	4.375553551279773e-11	NaN	NaN	NaN	-38887.99391572236	8.314787389242505e6	0.
-0.000020973652696231478	4.375553551279773e-11	NaN	NaN	NaN	-43695.639456179735	9.843037170223018e6	0.
-0.0000300926321293756	4.375553551279773e-11	NaN	NaN	NaN	-31763.70830406213	6.18652415660167e6	0.
-0.00002690098932777516	4.375553551279773e-11	NaN	NaN	NaN	-35162.31843815783	7.179794378323229e6	0.
-0.000023861329516727117	4.375553551279773e-11	NaN	NaN	NaN	-39104.69576753403	8.382187824433861e6	0.
-0.000020821669705679075	4.375553551279773e-11	NaN	NaN	NaN	-43964.971141455506	9.930598338495824e6	0.
-0.000029940649138823198	4.375553551279773e-11	NaN	NaN	NaN	-31911.218796305624	6.228744985931486e6	0.
-0.000026749006337222757	4.375553551279773e-11	NaN	NaN	NaN	-35341.44580029203	7.233297158670942e6	0.
-0.000023709346526174715	4.375553551279773e-11	NaN	NaN	NaN	-39323.67236528523	8.450443821364788e6	0.
-0.000020669686715126676	4.375553551279773e-11	NaN	NaN	NaN	-44237.38013541494	1.0019358998877134e7	0.
-0.000029788666148270795	4.375553551279773e-11	NaN	NaN	NaN	-32060.046515687955	6.271428922633382e6	0.
-0.000026597023346670354	4.375553551279773e-11	NaN	NaN	NaN	-35522.31158178215	7.28743222847027e6	0.
-0.000023557363535622312	4.375553551279773e-11	NaN	NaN	NaN	-39544.95725685499	8.519570294739503e6	0.
-0.000020517703724574274	4.375553551279773e-11	NaN	NaN	NaN	-44512.91489642272	1.010934011353644e7	0.
-0.000029636683157718393	4.375553551279773e-11	NaN	NaN	NaN	-32210.208381452776	6.314577740301281e6	0.
-0.00002644504035611795	4.375553551279773e-11	NaN	NaN	NaN	-35704.93979662461	7.342208901853777e6	0.
-0.000023405380545069913	4.375553551279773e-11	NaN	NaN	NaN	-39768.58460051825	8.589581355105607e6	0.
-0.00002036572073402187	4.375553551279773e-11	NaN	NaN	NaN	-44791.62479889921	1.020056317091037e7	0.
-0.000029484700167165993	4.375553551279773e-11	NaN	NaN	NaN	-32361.721589266042	6.358203382333719e6	0.
-0.00002629305736556555	4.375553551279773e-11	NaN	NaN	NaN	-35889.35487519452	7.397637763960221e6	0.
-0.00002325339755451751	4.375553551279773e-11	NaN	NaN	NaN	-39994.58917747628	8.660491612840405e6	0.
-0.00002021373774346947	4.375553551279773e-11	NaN	NaN	NaN	-45073.56015192858	1.0293050147209078e7	0.
-0.00002933271717661359	4.375553551279773e-11	NaN	NaN	NaN	-32514.603616550914	6.4023101357424045e6	0.
-0.000026141074375013146	4.375553551279773e-11	NaN	NaN	NaN	-36075.58167261453	7.453728898918887e6	0.
-0.000023101414563965108	4.375553551279773e-11	NaN	NaN	NaN	-40223.00640465026	8.7323167169219e6	0.
-0.000020061754752917066	4.375553551279773e-11	NaN	NaN	NaN	-45358.772218207734	1.0386823164703358e7	0.
-0.000029180734186061188	4.375553551279773e-11	NaN	NaN	NaN	-32668.872227938675	6.446906404640447e6	0.
-0.000025989091384460747	4.375553551279773e-11	NaN	NaN	NaN	-36263.64547730552	7.510493256374241e6	0.
-0.000022949431573412705	4.375553551279773e-11	NaN	NaN	NaN	-40453.87234774241	8.805071124121718e6	0.
-0.000019909771762364663	4.375553551279773e-11	NaN	NaN	NaN	-45647.31323333807	1.0481904335689541e7	0.
-0.000029028751195508785	4.375553551279773e-11	NaN	NaN	NaN	-32824.54548083624	6.491999331808783e6	0.
-0.000025837108393908344	4.375553551279773e-11	NaN	NaN	NaN	-36453.57201972254	7.567940618122233e6	0.
-0.000022797448582860302	4.375553551279773e-11	NaN	NaN	NaN	-40687.223734569874	8.878771036846068e6	0.
-0.000019757788771812264	4.375553551279773e-11	NaN	NaN	NaN	-45939.23642546178	1.057831809548815e7	0.
-0.000028876768204956383	4.375553551279773e-11	NaN	NaN	NaN	-32981.641731114076	6.5375957738940045e6	0.
-0.000025685125403355942	4.375553551279773e-11	NaN	NaN	NaN	-36645.387481280515	7.626082466975386e6	0.
-0.0000226454655923079	4.375553551279773e-11	NaN	NaN	NaN	-40923.09796867523	8.953432068642689e6	0.
-0.00001960580578125986	4.375553551279773e-11	NaN	NaN	NaN	-46234.59603524351	1.067608674637297e7	0.
-0.000028724785214403984	4.375553551279773e-11	NaN	NaN	NaN	-33140.17963891713	6.58370300093197e6	0.
-0.00002553314241280354	4.375553551279773e-11	NaN	NaN	NaN	-36839.118503472986	7.684929627966098e6	0.
-0.0000224934826017555	4.375553551279773e-11	NaN	NaN	NaN	-41161.53314321866	9.029070960716376e6	0.
-0.00001945382279070746	4.375553551279773e-11	NaN	NaN	NaN	-46533.447336199	1.077523484923107e7	0.
-0.00002857280222385158	4.375553551279773e-11	NaN	NaN	NaN	-33300.17817460106	6.630330294338774e6	0.
-0.000025381159422251137	4.375553551279773e-11	NaN	NaN	NaN	-37034.79219718843	7.744493229719244e6	0.
-0.000022341499611203098	4.375553551279773e-11	NaN	NaN	NaN	-41402.56805515592	9.105704053727074e6	0.
-0.000019301839800155056	4.375553551279773e-11	NaN	NaN	NaN	-46835.8466553705	1.087578774840415e7	0.
-0.00002842081923329918	4.375553551279773e-11	NaN	NaN	NaN	-33461.65662479671	6.677483004258317e6	0.
-0.000025229176431698734	4.375553551279773e-11	NaN	NaN	NaN	-37232.43615222805	7.804785096334806e6	0.
-0.000022189516620650695	4.375553551279773e-11	NaN	NaN	NaN	-41646.24221970693	9.183347894955928e6	0.
-0.000019149856809602654	4.375553551279773e-11	NaN	NaN	NaN	-47141.85139434873	1.0977768944399131e7	0.
-0.000028268836242746776	4.375553551279773e-11	NaN	NaN	NaN	-33624.63459860628	6.725174081325154e6	0.
-0.000025077193441146335	4.375553551279773e-11	NaN	NaN	NaN	-37432.07844702915	7.865817249330866e6	0.
-0.000022037533630098293	4.375553551279773e-11	NaN	NaN	NaN	-41892.59588511919	9.262020103706837e6	0.
-0.000018997873819050254	4.375553551279773e-11	NaN	NaN	NaN	-47451.520050641775	1.1081204990037909e7	0.
-0.000028116853252194373	4.375553551279773e-11	NaN	NaN	NaN	-33789.1320339332	6.773398358547765e6	-4.6190198692782415e-7
-0.000024925210450593932	4.375553551279773e-11	NaN	NaN	NaN	-37633.74765859824	7.927600724570335e6	0.
-0.00002188555063954589	4.375553551279773e-11	NaN	NaN	NaN	-42141.67004773026	9.34173762060683e6	0.
-0.00001884589082849785	4.375553551279773e-11	NaN	NaN	NaN	-47764.912239388475	1.1186121915957227e7	0.
-0.00002796487026164197	4.375553551279773e-11	NaN	NaN	NaN	-33955.169203949474	6.822181105745653e6	0.
-0.00002477322746004153	4.375553551279773e-11	NaN	NaN	NaN	-37837.47287265843	7.990147911838214e6	0.
-0.000021733567648993488	4.375553551279773e-11	NaN	NaN	NaN	-42393.506467334046	9.422519529890511e6	0.
-0.00001869390783794545	4.375553551279773e-11	NaN	NaN	NaN	-48082.08871541529	1.129254631312608e7	0.
-0.00002781288727108957	4.375553551279773e-11	NaN	NaN	NaN	-34122.76672370322	6.871520591196544e6	0.
-0.000024621244469489127	4.375553551279773e-11	NaN	NaN	NaN	-38043.283694015045	8.053471937805354e6	0.
-0.00002158158465844109	4.375553551279773e-11	NaN	NaN	NaN	-42648.14768285425	9.504383453936888e6	0.
-0.000018541924847393046	4.375553551279773e-11	NaN	NaN	NaN	-48403.111395634	1.1400504446979769e7	0.
-0.00002766090428053717	4.375553551279773e-11	NaN	NaN	NaN	-34291.94555686948	6.9214286488998635e6	0.
-0.000024469261478936724	4.375553551279773e-11	NaN	NaN	NaN	-38251.21025714372	8.117584877934482e6	0.
-0.000021429601667888686	4.375553551279773e-11	NaN	NaN	NaN	-42905.63702833007	9.587348036874522e6	0.
-0.000018389941856840644	4.375553551279773e-11	NaN	NaN	NaN	-48728.04338177729	1.1510024824078837e7	0.
-0.000027508921289984766	4.375553551279773e-11	NaN	NaN	NaN	-34462.72702264738	6.971912593770868e6	0.
-0.000024317278488384322	4.375553551279773e-11	NaN	NaN	NaN	-38461.28323700591	8.182499710677126e6	0.
-0.000021277618677336283	4.375553551279773e-11	NaN	NaN	NaN	-43166.0186492173	9.671432287681915e6	0.
-0.00001823795886628824	4.375553551279773e-11	NaN	NaN	NaN	-49056.94898346771	1.1621136161047753e7	0.
-0.000027356938299432364	4.375553551279773e-11	NaN	NaN	NaN	-34635.13280280757	7.022982469460327e6	0.
-8.96699644259172e-6	4.375553551279773e-11	NaN	NaN	NaN	-80163.0581888968	2.2940057674005635e7	0.
-0.000018085975875735842	4.375553551279773e-11	NaN	NaN	NaN	-49389.893741615764	1.173386446417928e7	0.
-0.0000150463160646878	4.375553551279773e-11	NaN	NaN	NaN	-57009.89521429071	1.4377924767700495e7	0.
-0.00001200665625363976	4.375553551279773e-11	NaN	NaN	NaN	-66951.61302235562	1.7978554042951483e7	0.
-8.815013452039317e-6	4.375553551279773e-11	NaN	NaN	NaN	-80931.06094524544	2.323261824494192e7	0.
-0.00001793399288518344	4.375553551279773e-11	NaN	NaN	NaN	-49726.94445214186	1.1848241806633176e7	0.
-0.000014894333074135398	4.375553551279773e-11	NaN	NaN	NaN	-57445.246903553154	1.453236436474049e7	0.
-0.000011854673263087357	4.375553551279773e-11	NaN	NaN	NaN	-67525.24358152368	1.8190442961483587e7	0.
-8.663030461486915e-6	4.375553551279773e-11	NaN	NaN	NaN	-81710.56240457066	2.3529898757558227e7	0.
-0.000017782009894631037	4.375553551279773e-11	NaN	NaN	NaN	-50068.169190014276	1.1964297755634945e7	0.
-0.000014742350083582997	4.375553551279773e-11	NaN	NaN	NaN	-57886.44205047193	1.4689213530657912e7	0.
-0.000011702690272534956	4.375553551279773e-11	NaN	NaN	NaN	-68107.11583021966	1.8405770814015526e7	0.
-8.511047470934514e-6	4.375553551279773e-11	NaN	NaN	NaN	-82501.74626123317	2.3831963705494415e7	0.
-0.000017630026904078634	4.375553551279773e-11	NaN	NaN	NaN	-50413.63733359693	1.2082061081841093e7	0.
-0.000014590367093030594	4.375553551279773e-11	NaN	NaN	NaN	-58333.58156697452	1.4848517192870513e7	0.
-0.000011550707281982554	4.375553551279773e-11	NaN	NaN	NaN	-68697.37204804271	1.862459501121846e7	0.
-8.359064480382111e-6	4.375553551279773e-11	NaN	NaN	NaN	-83304.7978289885	2.4138880975025002e7	0.
-0.00001747804391352623	4.375553551279773e-11	NaN	NaN	NaN	-50763.41958929782	1.220156367408814e7	0.
-0.000014438384102478191	4.375553551279773e-11	NaN	NaN	NaN	-58786.768222750885	1.5010318341604553e7	0.
-0.000011398724291430151	4.375553551279773e-11	NaN	NaN	NaN	-69296.15673944548	1.8846976823047943e7	0.
-8.207081489829708e-6	4.375553551279773e-11	NaN	NaN	NaN	-84119.9039613578	2.445071512760604e7	0.
-0.00001732606092297383	4.375553551279773e-11	NaN	NaN	NaN	-51117.588016507965	1.2322837522137871e7	0.
-0.00001428640111192579	4.375553551279773e-11	NaN	NaN	NaN	-59246.10667139312	1.517466493391774e7	0.
