# Filename	binding\98dc6f29-4527-40a3-bf21-bd0d08ec096e.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-09T15:28:43
# Dir	1
# field	9.917921382900818e-12
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	9.917921382900818e-12	NaN	NaN	NaN	33259.348459007044	6.765040274982971e6	0.
-0.00002720495530887996	9.917921382900818e-12	NaN	NaN	NaN	37264.25041741356	8.031554226366904e6	-7.471193530779035e-7
-0.000024165295497831922	9.917921382900818e-12	NaN	NaN	NaN	42109.41626722263	9.661839725918058e6	0.
-0.00002112563568678388	9.917921382900818e-12	NaN	NaN	NaN	48437.3196532987	1.1945476199646488e7	-2.721750524096821e-7
-0.000030244615119928003	9.917921382900818e-12	NaN	NaN	NaN	33430.21761435811	6.817532030967646e6	0.
-0.00002705297231832756	9.917921382900818e-12	NaN	NaN	NaN	37479.498339150676	8.101735373538628e6	0.
-0.00002401331250727952	9.917921382900818e-12	NaN	NaN	NaN	42385.56870527728	9.757896693241818e6	-2.590277537962126e-7
-0.000020973652696231478	9.917921382900818e-12	NaN	NaN	NaN	48805.23268789364	1.2083481026387265e7	0.
-0.0000300926321293756	9.917921382900818e-12	NaN	NaN	NaN	33602.87149577766	6.870713661817252e6	0.
-0.00002690098932777516	9.917921382900818e-12	NaN	NaN	NaN	37697.28311788878	8.172960440877142e6	0.
-0.000023861329516727117	9.917921382900818e-12	NaN	NaN	NaN	42665.43408720065	9.855588119862797e6	0.
-0.000020821669705679075	9.917921382900818e-12	NaN	NaN	NaN	49178.91599090592	1.2224220767218383e7	-6.002788673846327e-7
-0.000029940649138823198	9.917921382900818e-12	NaN	NaN	NaN	33777.33853040117	6.924598293291664e6	0.
-0.000026749006337222757	9.917921382900818e-12	NaN	NaN	NaN	37917.65051122128	8.245243462000745e6	-1.701184585952028e-7
-0.000023709346526174715	9.917921382900818e-12	NaN	NaN	NaN	42949.089182330674	9.954952709352398e6	0.
-0.000020669686715126676	9.917921382900818e-12	NaN	NaN	NaN	49558.50972131485	1.2367786954125384e7	0.
-0.000029788666148270795	9.917921382900818e-12	NaN	NaN	NaN	33953.647759095125	6.979198237763617e6	-1.7308407521047445e-7
-0.000026597023346670354	9.917921382900818e-12	NaN	NaN	NaN	38140.6473993923	8.318618223687374e6	-1.5180217549787932e-7
-0.000023557363535622312	9.917921382900818e-12	NaN	NaN	NaN	43236.612929259994	1.0056024916257225e7	0.
-0.000020517703724574274	9.917921382900818e-12	NaN	NaN	NaN	49944.15872262343	1.2514257078405414e7	0.
-0.000029636683157718393	9.917921382900818e-12	NaN	NaN	NaN	34131.82885329147	7.03452880685042e6	-1.9186017013713594e-7
-0.00002644504035611795	9.917921382900818e-12	NaN	NaN	NaN	38366.32182041168	8.393106596546974e6	0.
-0.000023405380545069913	9.917921382900818e-12	NaN	NaN	NaN	43528.086514335366	1.015885588901584e7	0.
-0.00002036572073402187	9.917921382900818e-12	NaN	NaN	NaN	50336.01272464977	1.2663712008115709e7	-3.4639894027162197e-7
-0.000029484700167165993	9.917921382900818e-12	NaN	NaN	NaN	34311.91213238645	7.090603024584061e6	-2.1218297922596146e-7
-0.00002629305736556555	9.917921382900818e-12	NaN	NaN	NaN	38594.723006514054	8.468724611941138e6	-1.720546479465018e-7
-0.00002325339755451751	9.917921382900818e-12	NaN	NaN	NaN	43823.59345363991	1.0263483044219542e7	0.
-0.00002021373774346947	9.917921382900818e-12	NaN	NaN	NaN	50734.22655606106	1.2816248454087066e7	0.
-0.00002933271717661359	9.917921382900818e-12	NaN	NaN	NaN	34493.92858172341	7.147436043145623e6	0.
-0.000026141074375013146	9.917921382900818e-12	NaN	NaN	NaN	38825.901422021336	8.545506214896103e6	0.
-0.000023101414563965108	9.917921382900818e-12	NaN	NaN	NaN	44123.2196786555	1.036995509741213e7	0.
-0.000020061754752917066	9.917921382900818e-12	NaN	NaN	NaN	51138.96036833556	1.2971952214914374e7	0.
-0.000029180734186061188	9.917921382900818e-12	NaN	NaN	NaN	34677.90987118558	7.205040604872683e6	0.
-0.000025989091384460747	9.917921382900818e-12	NaN	NaN	NaN	39059.9088026768	8.623472031824643e6	0.
-0.000022949431573412705	9.917921382900818e-12	NaN	NaN	NaN	44427.053625792614	1.0478318491072722e7	0.
-0.000019909771762364663	9.917921382900818e-12	NaN	NaN	NaN	51550.379871887686	1.3130917803406887e7	-3.859770440123124e-7
-0.000029028751195508785	9.917921382900818e-12	NaN	NaN	NaN	34863.88837442092	7.263435527142918e6	0.
-0.000025837108393908344	9.917921382900818e-12	NaN	NaN	NaN	39296.79819651348	8.702647369390085e6	-2.697198090578649e-7
-0.000022797448582860302	9.917921382900818e-12	NaN	NaN	NaN	44735.18633000174	1.0588619847780896e7	0.
-0.000019757788771812264	9.917921382900818e-12	NaN	NaN	NaN	51968.65658515264	1.329325287121305e7	0.
-0.000028876768204956383	9.917921382900818e-12	NaN	NaN	NaN	35051.897188726376	7.322627174423456e6	0.
-0.000025685125403355942	9.917921382900818e-12	NaN	NaN	NaN	39536.62400633252	8.78306484643129e6	0.
-0.0000226454655923079	9.917921382900818e-12	NaN	NaN	NaN	45047.71152268705	1.0700910404716149e7	0.
-0.00001960580578125986	9.917921382900818e-12	NaN	NaN	NaN	52393.96809748336	1.3459049867903292e7	0.
-0.000028724785214403984	9.917921382900818e-12	NaN	NaN	NaN	35241.97015561875	7.382639710673526e6	-1.2038056334717723e-7
-0.00002553314241280354	9.917921382900818e-12	NaN	NaN	NaN	39779.442033865365	8.864743408971405e6	-1.5955992003234245e-7
-0.0000224934826017555	9.917921382900818e-12	NaN	NaN	NaN	45364.7257341575	1.0815240740765847e7	0.
-0.00002857280222385158	9.917921382900818e-12	NaN	NaN	NaN	35434.141882115815	7.443488932017541e6	0.
-0.000025381159422251137	9.917921382900818e-12	NaN	NaN	NaN	40025.3095256974	8.947720099479716e6	0.
-0.000022341499611203098	9.917921382900818e-12	NaN	NaN	NaN	45686.32840086817	1.093166573902073e7	0.
-0.00001945382279070746	9.917921382900818e-12	NaN	NaN	NaN	52826.49834677815	1.3628418723301992e7	0.
-0.00002842081923329918	9.917921382900818e-12	NaN	NaN	NaN	35628.447762765296	7.505188359810166e6	0.
-0.000025229176431698734	9.917921382900818e-12	NaN	NaN	NaN	40274.28522104086	9.032019095212927e6	0.
-0.000022189516620650695	9.917921382900818e-12	NaN	NaN	NaN	46012.621977718154	1.1050238272873264e7	0.
-0.000028268836242746776	9.917921382900818e-12	NaN	NaN	NaN	35824.924002442705	7.567755053560752e6	0.
-0.000025077193441146335	9.917921382900818e-12	NaN	NaN	NaN	40526.42940144045	9.11767262757633e6	0.
-0.000022037533630098293	9.917921382900818e-12	NaN	NaN	NaN	46343.71205569104	1.1171015887640828e7	0.
-0.000019301839800155056	9.917921382900818e-12	NaN	NaN	NaN	53266.43791283358	1.3801477247837916e7	0.
-0.000028116853252194373	9.917921382900818e-12	NaN	NaN	NaN	36023.60763995843	7.6312064272977095e6	-1.746239838249062e-7
-0.00002188555063954589	9.917921382900818e-12	NaN	NaN	NaN	46679.707485141786	1.1294058701013576e7	-1.8058675905039597e-7
-0.00002796487026164197	9.917921382900818e-12	NaN	NaN	NaN	36224.5365725025	7.695564251456898e6	0.
-0.000024925210450593932	9.917921382900818e-12	NaN	NaN	NaN	40781.80394250889	9.204710497124983e6	0.
-0.000021733567648993488	9.917921382900818e-12	NaN	NaN	NaN	47020.72050505153	1.1419431374709701e7	0.
-0.000019149856809602654	9.917921382900818e-12	NaN	NaN	NaN	53713.98432749105	1.3978336190967847e7	0.
-0.00002781288727108957	9.917921382900818e-12	NaN	NaN	NaN	36427.74958096645	7.760841314823264e6	0.
-0.00002477322746004153	9.917921382900818e-12	NaN	NaN	NaN	41040.472367790186	9.293165407629853e6	-3.1960500302706976e-7
-0.00002158158465844109	9.917921382900818e-12	NaN	NaN	NaN	47366.86687860222	1.154719140648865e7	0.
-0.000018997873819050254	9.917921382900818e-12	NaN	NaN	NaN	54169.34240273488	1.415911650443251e7	0.
-0.00002766090428053717	9.917921382900818e-12	NaN	NaN	NaN	36633.28635617609	7.827058978625975e6	-3.3955138769513855e-7
-0.000024621244469489127	9.917921382900818e-12	NaN	NaN	NaN	41302.499904851466	9.383072710444834e6	0.
-0.000021429601667888686	9.917921382900818e-12	NaN	NaN	NaN	47718.2660354325	1.1677407348172283e7	0.
-0.00001884589082849785	9.917921382900818e-12	NaN	NaN	NaN	54632.724577990215	1.434394488840717e7	0.
-0.000027508921289984766	9.917921382900818e-12	NaN	NaN	NaN	36841.18752607536	7.894238328067312e6	0.
-0.000024469261478936724	9.917921382900818e-12	NaN	NaN	NaN	41567.95354372033	9.474464646965278e6	0.
-0.000021277618677336283	9.917921382900818e-12	NaN	NaN	NaN	48075.04122097565	1.1810145531757073e7	0.
-0.000027356938299432364	9.917921382900818e-12	NaN	NaN	NaN	37051.4946839051	7.9623998241988905e6	0.
-0.000024317278488384322	9.917921382900818e-12	NaN	NaN	NaN	41836.90209777573	9.567371943364786e6	-2.9413751377134334e-7
-0.00001869390783794545	9.917921382900818e-12	NaN	NaN	NaN	55104.35128797394	1.4532959522470117e7	0.
-0.000018085975875735842	9.917921382900818e-12	NaN	NaN	NaN	57078.01451211972	1.5333671270043617e7	0.
-0.000018541924847393046	9.917921382900818e-12	NaN	NaN	NaN	55584.45135256148	1.4726289163973723e7	0.
-0.0000150463160646878	9.917921382900818e-12	NaN	NaN	NaN	69660.03594439008	2.0801197010428257e7	0.
-0.00001200665625363976	9.917921382900818e-12	NaN	NaN	NaN	89974.182379095	3.0927216963048425e7	0.
-0.00001793399288518344	9.917921382900818e-12	NaN	NaN	NaN	57594.47891360995	1.554578072253393e7	-4.3255853883211987e-7
-0.000018389941856840644	9.917921382900818e-12	NaN	NaN	NaN	56073.262390258446	1.4924084807758104e7	0.
-0.000014894333074135398	9.917921382900818e-12	NaN	NaN	NaN	70443.99028484088	2.116235849185725e7	0.
-0.000011854673263087357	9.917921382900818e-12	NaN	NaN	NaN	91333.95779837562	3.1662217616478547e7	0.
-0.000017782009894631037	9.917921382900818e-12	NaN	NaN	NaN	58120.701944731205	1.5763001744756095e7	0.
-0.00001823795886628824	9.917921382900818e-12	NaN	NaN	NaN	56571.031256995564	1.5126492349380467e7	0.
-0.000014742350083582997	9.917921382900818e-12	NaN	NaN	NaN	71246.73678233544	2.1534643750441518e7	0.
-0.000011702690272534956	9.917921382900818e-12	NaN	NaN	NaN	92739.3557758209	3.242949413871284e7	0.
