# Filename	binding\a27205ee-9b03-42d8-b40d-3d364f76ef25.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-09T15:28:20
# Dir	1
# field	7.000885682047636e-12
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	7.000885682047636e-12	NaN	NaN	NaN	33151.54359120496	6.723839879135298e6	0.
-0.00002720495530887996	7.000885682047636e-12	NaN	NaN	NaN	37112.450518709324	7.97004860533992e6	0.
-0.000024165295497831922	7.000885682047636e-12	NaN	NaN	NaN	41890.03097982832	9.5671389014362e6	-1.732706659542957e-7
-0.00002112563568678388	7.000885682047636e-12	NaN	NaN	NaN	48102.652172827766	1.1790036653602768e7	-4.957925342662834e-7
-0.000030244615119928003	7.000885682047636e-12	NaN	NaN	NaN	33320.737600098226	6.775580952054452e6	0.
-0.00002705297231832756	7.000885682047636e-12	NaN	NaN	NaN	37325.0426487437	8.03896618571328e6	0.
-0.00002401331250727952	7.000885682047636e-12	NaN	NaN	NaN	42161.817794029346	9.660985354800882e6	0.
-0.000020973652696231478	7.000885682047636e-12	NaN	NaN	NaN	48462.83178852422	1.1923811047749983e7	0.
-0.0000300926321293756	7.000885682047636e-12	NaN	NaN	NaN	33491.6812231028	6.827993744735337e6	-2.376307759287905e-7
-0.00002690098932777516	7.000885682047636e-12	NaN	NaN	NaN	37540.10881307164	8.108892586940602e6	0.
-0.000023861329516727117	7.000885682047636e-12	NaN	NaN	NaN	42437.199728309824	9.756395515165756e6	0.
-0.000020821669705679075	7.000885682047636e-12	NaN	NaN	NaN	48828.538202681586	1.206018029431534e7	0.
-0.000029940649138823198	7.000885682047636e-12	NaN	NaN	NaN	33664.40195657063	6.881092659585715e6	0.
-0.000026749006337222757	7.000885682047636e-12	NaN	NaN	NaN	37757.69288541762	8.179848824562162e6	0.
-0.000023709346526174715	7.000885682047636e-12	NaN	NaN	NaN	42716.24950821727	9.853404771817904e6	-1.6753232678894135e-7
-0.000020669686715126676	7.000885682047636e-12	NaN	NaN	NaN	49199.90178237023	1.2199206053103035e7	0.
-0.000029788666148270795	7.000885682047636e-12	NaN	NaN	NaN	33838.927880626805	6.934888455710473e6	0.
-0.000026597023346670354	7.000885682047636e-12	NaN	NaN	NaN	37977.83979340435	8.251856978281526e6	0.
-0.000023557363535622312	7.000885682047636e-12	NaN	NaN	NaN	42999.04185912038	9.952056005131356e6	0.
-0.000020517703724574274	7.000885682047636e-12	NaN	NaN	NaN	49577.05709621827	1.2340975328276467e7	0.
-0.000029636683157718393	7.000885682047636e-12	NaN	NaN	NaN	34015.28767486449	6.9893955591717595e6	0.
-0.00002644504035611795	7.000885682047636e-12	NaN	NaN	NaN	38200.5955506987	8.3249387762018265e6	0.
-0.000023405380545069913	7.000885682047636e-12	NaN	NaN	NaN	43285.653576280296	1.0052384681952974e7	-4.3748713728075084e-7
-0.00002036572073402187	7.000885682047636e-12	NaN	NaN	NaN	49960.14308780187	1.2485559440377844e7	0.
-0.000029484700167165993	7.000885682047636e-12	NaN	NaN	NaN	34193.5106345554	7.044623504533038e6	-2.4363355760271535e-7
-0.00002629305736556555	7.000885682047636e-12	NaN	NaN	NaN	38426.00729035298	8.39911573584736e6	0.
-0.00002325339755451751	7.000885682047636e-12	NaN	NaN	NaN	43576.16359791947	1.015443558231469e7	0.
-0.00002021373774346947	7.000885682047636e-12	NaN	NaN	NaN	50349.30325782995	1.2633040612014076e7	0.
-0.00002933271717661359	7.000885682047636e-12	NaN	NaN	NaN	34373.62668739224	7.100591152754116e6	0.
-0.000026141074375013146	7.000885682047636e-12	NaN	NaN	NaN	38654.12329939436	8.474412581327587e6	-1.6237959211491546e-7
-0.000023101414563965108	7.000885682047636e-12	NaN	NaN	NaN	43870.65308145178	1.0258247109908298e7	0.
-0.000020061754752917066	7.000885682047636e-12	NaN	NaN	NaN	50744.685855651005	1.2783502213634336e7	0.
-0.000029180734186061188	7.000885682047636e-12	NaN	NaN	NaN	34555.66641078589	7.157310779994738e6	0.
-0.000025989091384460747	7.000885682047636e-12	NaN	NaN	NaN	38884.99305471518	8.550854981863435e6	0.
-0.000022949431573412705	7.000885682047636e-12	NaN	NaN	NaN	44169.20548302507	1.0363864043979721e7	0.
-0.000019909771762364663	7.000885682047636e-12	NaN	NaN	NaN	51146.44408065374	1.2937030656914694e7	0.
-0.000029028751195508785	7.000885682047636e-12	NaN	NaN	NaN	34739.661049735	7.214792821997321e6	-2.2544597748627094e-7
-0.000025837108393908344	7.000885682047636e-12	NaN	NaN	NaN	39118.66726032895	8.628464599533653e6	-3.6283031805295196e-7
-0.000022797448582860302	7.000885682047636e-12	NaN	NaN	NaN	44471.90664055519	1.047133078555622e7	-3.1043894263498835e-7
-0.000019757788771812264	7.000885682047636e-12	NaN	NaN	NaN	51554.736294171795	1.3093713067276902e7	-2.4941185874186674e-7
-0.000028876768204956383	7.000885682047636e-12	NaN	NaN	NaN	34925.64253529677	7.273057651031094e6	0.
-0.000025685125403355942	7.000885682047636e-12	NaN	NaN	NaN	39355.197886042435	8.707270047638077e6	0.
-0.0000226454655923079	7.000885682047636e-12	NaN	NaN	NaN	44778.84486042824	1.0580696555451438e7	0.
-0.00001960580578125986	7.000885682047636e-12	NaN	NaN	NaN	51969.726242546094	1.3253647412067391e7	-3.4419111277685703e-7
-0.000028724785214403984	7.000885682047636e-12	NaN	NaN	NaN	35113.643503678344	7.332118466585056e6	0.
-0.00002553314241280354	7.000885682047636e-12	NaN	NaN	NaN	39594.63820762126	8.787293804927679e6	-2.4556011420006624e-7
-0.0000224934826017555	7.000885682047636e-12	NaN	NaN	NaN	45090.11100807028	1.0692007883175362e7	0.
-0.00001945382279070746	7.000885682047636e-12	NaN	NaN	NaN	52391.58329204851	1.3416931532531163e7	0.
-0.00002857280222385158	7.000885682047636e-12	NaN	NaN	NaN	35303.69731597206	7.391988239093442e6	0.
-0.000025381159422251137	7.000885682047636e-12	NaN	NaN	NaN	39837.04284850412	8.86856736950877e6	0.
-0.000022341499611203098	7.000885682047636e-12	NaN	NaN	NaN	45405.798602580944	1.0805309260545598e7	0.
-0.000019301839800155056	7.000885682047636e-12	NaN	NaN	NaN	52820.48267641889	1.3583658683141984e7	0.
-0.00002842081923329918	7.000885682047636e-12	NaN	NaN	NaN	35495.838078566434	7.452684122839703e6	0.
-0.000025229176431698734	7.000885682047636e-12	NaN	NaN	NaN	40082.4678231475	8.951113654507168e6	0.
-0.000022189516620650695	7.000885682047636e-12	NaN	NaN	NaN	45726.00391565723	1.0920656359470543e7	-3.7022065202971945e-7
-0.000019149856809602654	7.000885682047636e-12	NaN	NaN	NaN	53256.60575782686	1.3753938071677683e7	-1.4038525279001861e-7
-0.000028268836242746776	7.000885682047636e-12	NaN	NaN	NaN	35690.10066425441	7.51422358553631e6	0.
-0.000025077193441146335	7.000885682047636e-12	NaN	NaN	NaN	40330.9705820683	9.034963416621244e6	0.
-0.000022037533630098293	7.000885682047636e-12	NaN	NaN	NaN	46050.82607503075	1.103810467857432e7	0.
-0.000018997873819050254	7.000885682047636e-12	NaN	NaN	NaN	53700.140302126114	1.3927886187284166e7	0.
-0.000028116853252194373	7.000885682047636e-12	NaN	NaN	NaN	35886.520734068814	7.576622830204082e6	0.
-0.000024925210450593932	7.000885682047636e-12	NaN	NaN	NaN	40582.610058668695	9.12014835360992e6	0.
-0.00002188555063954589	7.000885682047636e-12	NaN	NaN	NaN	46380.36717267094	1.1157702389201708e7	-1.258558779104405e-7
-0.00001884589082849785	7.000885682047636e-12	NaN	NaN	NaN	54151.2807693446	1.4105601767374037e7	0.
-0.00002796487026164197	7.000885682047636e-12	NaN	NaN	NaN	36085.13475987568	7.639899335379081e6	0.
-0.00002477322746004153	7.000885682047636e-12	NaN	NaN	NaN	40837.44671792228	9.206692520529117e6	0.
-0.000021733567648993488	7.000885682047636e-12	NaN	NaN	NaN	46714.7323780077	1.1279512529930353e7	0.
-0.00001869390783794545	7.000885682047636e-12	NaN	NaN	NaN	54610.228620410104	1.4287218764794555e7	0.
-0.00002781288727108957	7.000885682047636e-12	NaN	NaN	NaN	36285.980047755904	7.704066911801703e6	0.
-0.000024621244469489127	7.000885682047636e-12	NaN	NaN	NaN	41095.54260701534	9.294632141859856e6	0.
-0.00002158158465844109	7.000885682047636e-12	NaN	NaN	NaN	47054.030056460564	1.140358702451567e7	-2.6186706957760967e-7
-0.000018541924847393046	7.000885682047636e-12	NaN	NaN	NaN	55077.19264120556	1.447283720977498e7	0.
-0.00002766090428053717	7.000885682047636e-12	NaN	NaN	NaN	36489.09476220826	7.769148036601663e6	0.
-0.000024469261478936724	7.000885682047636e-12	NaN	NaN	NaN	41356.961408029325	9.383997630018285e6	0.
-0.000021429601667888686	7.000885682047636e-12	NaN	NaN	NaN	47398.37189355909	1.152999126774637e7	-4.1565554300152035e-7
