# Filename	binding\a3161bfb-5abd-41c0-bd75-719ee5dcac0e.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:08:48
# Dir	-1
# field	3.597677364385591e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	3.597677364385591e-11	NaN	NaN	NaN	-31708.419770946617	6.188235806990348e6	0.
-0.00002720495530887996	3.597677364385591e-11	NaN	NaN	NaN	-35126.312984946126	7.193837982498064e6	0.
-0.000024165295497831922	3.597677364385591e-11	NaN	NaN	NaN	-39105.01484207415	8.41786506449301e6	0.
-0.00002112563568678388	3.597677364385591e-11	NaN	NaN	NaN	-44033.79584687814	1.0005885357560249e7	0.
-0.000030244615119928003	3.597677364385591e-11	NaN	NaN	NaN	-31856.557536906617	6.2308802362574795e6	0.
-0.00002705297231832756	3.597677364385591e-11	NaN	NaN	NaN	-35306.75085692518	7.248143303973836e6	0.
-0.00002401331250727952	3.597677364385591e-11	NaN	NaN	NaN	-39326.49021237179	8.487582292558543e6	0.
-0.000020973652696231478	3.597677364385591e-11	NaN	NaN	NaN	-44310.890305034394	1.00973381773561e7	0.
-0.0000300926321293756	3.597677364385591e-11	NaN	NaN	NaN	-32006.036532134938	6.274003928324565e6	0.
-0.00002690098932777516	3.597677364385591e-11	NaN	NaN	NaN	-35488.97128691082	7.30310376295069e6	0.
-0.000023861329516727117	3.597677364385591e-11	NaN	NaN	NaN	-39550.354150619125	8.558214221777806e6	0.
-0.000020821669705679075	3.597677364385591e-11	NaN	NaN	NaN	-44591.2599371996	1.0190096090646036e7	0.
-0.000029940649138823198	3.597677364385591e-11	NaN	NaN	NaN	-32156.874374515606	6.317609558385501e6	0.
-0.000026749006337222757	3.597677364385591e-11	NaN	NaN	NaN	-35672.99960731277	7.358732577391665e6	0.
-0.000023709346526174715	3.597677364385591e-11	NaN	NaN	NaN	-39776.64329924993	8.629776195798028e6	0.
-0.000020669686715126676	3.597677364385591e-11	NaN	NaN	NaN	-44874.958934678805	1.0284184012224594e7	0.
-0.000029788666148270795	3.597677364385591e-11	NaN	NaN	NaN	-32309.088979330598	6.361703337257572e6	0.
-0.000026597023346670354	3.597677364385591e-11	NaN	NaN	NaN	-35858.861608420004	7.415038899235397e6	0.
-0.000023557363535622312	3.597677364385591e-11	NaN	NaN	NaN	-40005.3950055235	8.702286659161163e6	0.
-0.000020517703724574274	3.597677364385591e-11	NaN	NaN	NaN	-45162.04258914613	1.0379626014481107e7	0.
-0.000029636683157718393	3.597677364385591e-11	NaN	NaN	NaN	-32462.698565272374	6.406293781921495e6	0.
-0.00002644504035611795	3.597677364385591e-11	NaN	NaN	NaN	-36046.583548175586	7.472034113170621e6	0.
-0.000023405380545069913	3.597677364385591e-11	NaN	NaN	NaN	-40236.64733721001	8.775758859403953e6	0.
-0.00002036572073402187	3.597677364385591e-11	NaN	NaN	NaN	-45452.567317619265	1.047644813009269e7	0.
-0.000029484700167165993	3.597677364385591e-11	NaN	NaN	NaN	-32617.721660593972	6.4513880694960365e6	0.
-0.00002629305736556555	3.597677364385591e-11	NaN	NaN	NaN	-36236.19216218369	7.529729732569881e6	0.
-0.00002325339755451751	3.597677364385591e-11	NaN	NaN	NaN	-40470.439098652256	8.85021299842311e6	0.
-0.00002021373774346947	3.597677364385591e-11	NaN	NaN	NaN	-45746.59068800119	1.057467556852842e7	0.
-0.00002933271717661359	3.597677364385591e-11	NaN	NaN	NaN	-32774.17710940154	6.496993559491174e6	0.
-0.000026141074375013146	3.597677364385591e-11	NaN	NaN	NaN	-36427.71467395499	7.588136910297616e6	0.
-0.000023101414563965108	3.597677364385591e-11	NaN	NaN	NaN	-40706.80984721049	8.925664885024477e6	0.
-0.000020061754752917066	3.597677364385591e-11	NaN	NaN	NaN	-46044.171445199485	1.0674335066891016e7	0.
-0.000029180734186061188	3.597677364385591e-11	NaN	NaN	NaN	-32932.084078091975	6.543118181896331e6	0.
-0.000025989091384460747	3.597677364385591e-11	NaN	NaN	NaN	-36621.17880539639	7.64726760147722e6	0.
-0.000022949431573412705	3.597677364385591e-11	NaN	NaN	NaN	-40945.79991010104	9.002131354052702e6	0.
-0.000019909771762364663	3.597677364385591e-11	NaN	NaN	NaN	-46345.3695378323	1.0775453739907267e7	0.
-0.000029028751195508785	3.597677364385591e-11	NaN	NaN	NaN	-33091.46206193947	6.589769722783435e6	0.
-0.000025837108393908344	3.597677364385591e-11	NaN	NaN	NaN	-36816.61278755085	7.707133113749578e6	0.
-0.000022797448582860302	3.597677364385591e-11	NaN	NaN	NaN	-41187.45040163657	9.079631289390398e6	0.
-0.000019757788771812264	3.597677364385591e-11	NaN	NaN	NaN	-46650.2461455308	1.0878057720129741e7	0.
-0.000028876768204956383	3.597677364385591e-11	NaN	NaN	NaN	-33252.33089183514	6.636960627250267e6	0.
-0.000025685125403355942	3.597677364385591e-11	NaN	NaN	NaN	-37014.045371593886	7.767746328332601e6	0.
-0.0000226454655923079	3.597677364385591e-11	NaN	NaN	NaN	-41431.803240877365	9.15818456087277e6	0.
-0.00001960580578125986	3.597677364385591e-11	NaN	NaN	NaN	-46958.86370684752	1.0982177059688527e7	0.
-0.000028724785214403984	3.597677364385591e-11	NaN	NaN	NaN	-33414.710741182214	6.684688423197884e6	0.
-0.00002553314241280354	3.597677364385591e-11	NaN	NaN	NaN	-37213.50584009276	7.82911976867623e6	0.
-0.0000224934826017555	3.597677364385591e-11	NaN	NaN	NaN	-41678.9011697027	9.23780635781103e6	0.
-0.00001945382279070746	3.597677364385591e-11	NaN	NaN	NaN	-47271.285947778895	1.1087840022426752e7	0.
-0.00002857280222385158	3.597677364385591e-11	NaN	NaN	NaN	-33578.622132953205	6.732970968322799e6	0.
-0.000025381159422251137	3.597677364385591e-11	NaN	NaN	NaN	-37415.02401853495	7.89126603596434e6	0.
-0.000022341499611203098	3.597677364385591e-11	NaN	NaN	NaN	-41928.78777131233	9.318518926618624e6	0.
-0.000019301839800155056	3.597677364385591e-11	NaN	NaN	NaN	-47587.57791091166	1.1195075036493914e7	0.
-0.00002842081923329918	3.597677364385591e-11	NaN	NaN	NaN	-33744.08594691031	6.781814684125994e6	0.
-0.000025229176431698734	3.597677364385591e-11	NaN	NaN	NaN	-37618.63028713262	7.954198277172471e6	0.
-0.000022189516620650695	3.597677364385591e-11	NaN	NaN	NaN	-42181.5074891663	9.400339797874063e6	0.
-0.000019149856809602654	3.597677364385591e-11	NaN	NaN	NaN	-47907.80598520133	1.1303913247632971e7	0.
-0.000028268836242746776	3.597677364385591e-11	NaN	NaN	NaN	-33911.12342699481	6.831229018149825e6	0.
-0.000025077193441146335	3.597677364385591e-11	NaN	NaN	NaN	-37824.355592909706	8.017928783403583e6	0.
-0.000022037533630098293	3.597677364385591e-11	NaN	NaN	NaN	-42437.10564637405	9.483291967097195e6	0.
-0.000018997873819050254	3.597677364385591e-11	NaN	NaN	NaN	-48232.03793639022	1.1414385195190808e7	0.
-0.000028116853252194373	3.597677364385591e-11	NaN	NaN	NaN	-34079.75618888924	6.881219650091698e6	0.
-0.000024925210450593932	3.597677364385591e-11	NaN	NaN	NaN	-38032.23146207872	8.08247160334505e6	0.
-0.00002188555063954589	3.597677364385591e-11	NaN	NaN	NaN	-42695.62846554098	9.567391482182153e6	0.
-0.00001884589082849785	3.597677364385591e-11	NaN	NaN	NaN	-48560.34293807359	1.1526521979867272e7	0.
-0.00002796487026164197	3.597677364385591e-11	NaN	NaN	NaN	-34250.00622775729	6.93179877356039e6	0.
-0.00002477322746004153	3.597677364385591e-11	NaN	NaN	NaN	-38242.29001271412	8.147841358171601e6	0.
-0.000021733567648993488	3.597677364385591e-11	NaN	NaN	NaN	-42957.12308908397	9.652662847949399e6	0.
-0.00001869390783794545	3.597677364385591e-11	NaN	NaN	NaN	-48892.79160342068	1.1640355624121431e7	0.
-0.00002781288727108957	3.597677364385591e-11	NaN	NaN	NaN	-34421.895926164376	6.982974776352835e6	0.
-0.000024621244469489127	3.597677364385591e-11	NaN	NaN	NaN	-38454.56396772935	8.214050575333971e6	0.
-0.00002158158465844109	3.597677364385591e-11	NaN	NaN	NaN	-43221.63760002376	9.739125433749001e6	0.
-0.000018541924847393046	3.597677364385591e-11	NaN	NaN	NaN	-49229.456017557306	1.1755918799072536e7	0.
-0.00002766090428053717	3.597677364385591e-11	NaN	NaN	NaN	-34595.448062185096	7.034756316613079e6	0.
-0.000024469261478936724	3.597677364385591e-11	NaN	NaN	NaN	-38669.08666816568	8.281114981428887e6	0.
-0.000021429601667888686	3.597677364385591e-11	NaN	NaN	NaN	-43489.2210432658	9.826801904348128e6	0.
-0.000018389941856840644	3.597677364385591e-11	NaN	NaN	NaN	-49570.40977061636	1.1873245406129781e7	0.
-0.000027508921289984766	3.597677364385591e-11	NaN	NaN	NaN	-34770.685817701335	7.087154688860737e6	0.
-0.000024317278488384322	3.597677364385591e-11	NaN	NaN	NaN	-38885.89208679909	8.349047877404229e6	0.
-0.000021277618677336283	3.597677364385591e-11	NaN	NaN	NaN	-43759.92344737834	9.915715083601581e6	0.
-0.00001823795886628824	3.597677364385591e-11	NaN	NaN	NaN	-49915.7279914615	1.1992369651690267e7	0.
-0.000027356938299432364	3.597677364385591e-11	NaN	NaN	NaN	-34947.632786895716	7.140177950187294e6	0.
-8.96699644259172e-6	3.597677364385591e-11	NaN	NaN	NaN	-83527.82676953469	2.4624858909455758e7	0.
-0.000018085975875735842	3.597677364385591e-11	NaN	NaN	NaN	-50265.48738208885	1.2113326316018714e7	0.
