# Filename	binding\a7d52136-d1dd-4bb9-a126-859efc124401.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T18:01:40
# Dir	-1
# field	2.3919692746996092e-11
# zi	-6.
W	field	zb	tb	argtbzt	tt	argtt
-0.000030396598110480406	2.3919692746996092e-11	NaN	NaN	NaN	-32088.165776295216	-32088.165776295216	3.141592653589793
-0.00002720495530887996	2.3919692746996092e-11	NaN	NaN	NaN	-35641.11966309585	-35641.11966309585	3.141592653589793
-0.000024165295497831922	2.3919692746996092e-11	NaN	NaN	NaN	-39812.715538247	-39812.715538247	3.141592653589793
-0.00002112563568678388	2.3919692746996092e-11	NaN	NaN	NaN	-45039.04819474351	-45039.04819474351	3.141592653589793
-0.000030244615119928003	2.3919692746996092e-11	NaN	NaN	NaN	-32241.606282857825	-32241.606282857825	3.141592653589793
-0.00002705297231832756	2.3919692746996092e-11	NaN	NaN	NaN	-35829.449571339486	-35829.449571339486	3.141592653589793
-0.00002401331250727952	2.3919692746996092e-11	NaN	NaN	NaN	-40046.12741884535	-40046.12741884535	3.141592653589793
-0.000020973652696231478	2.3919692746996092e-11	NaN	NaN	NaN	-45334.922829250645	-45334.922829250645	3.141592653589793
-0.0000300926321293756	2.3919692746996092e-11	NaN	NaN	NaN	-32396.48518623081	-32396.48518623081	3.141592653589793
-0.00002690098932777516	2.3919692746996092e-11	NaN	NaN	NaN	-36019.72012059894	-36019.72012059894	3.141592653589793
-0.000023861329516727117	2.3919692746996092e-11	NaN	NaN	NaN	-40282.18944773438	-40282.18944773438	3.141592653589793
-0.000020821669705679075	2.3919692746996092e-11	NaN	NaN	NaN	-45634.52486934038	-45634.52486934038	3.141592653589793
-0.000029940649138823198	2.3919692746996092e-11	NaN	NaN	NaN	-32552.822292872846	-32552.822292872846	3.141592653589793
-0.000026749006337222757	2.3919692746996092e-11	NaN	NaN	NaN	-36211.96051732876	-36211.96051732876	3.141592653589793
-0.000023709346526174715	2.3919692746996092e-11	NaN	NaN	NaN	-40520.94523667244	-40520.94523667244	3.141592653589793
-0.000020669686715126676	2.3919692746996092e-11	NaN	NaN	NaN	-45937.92162653174	-45937.92162653174	3.141592653589793
-0.000029788666148270795	2.3919692746996092e-11	NaN	NaN	NaN	-32710.637764737145	-32710.637764737145	3.141592653589793
-0.000026597023346670354	2.3919692746996092e-11	NaN	NaN	NaN	-36406.20053715982	-36406.20053715982	3.141592653589793
-0.000023557363535622312	2.3919692746996092e-11	NaN	NaN	NaN	-40762.43931833451	-40762.43931833451	3.141592653589793
-0.000020517703724574274	2.3919692746996092e-11	NaN	NaN	NaN	-46245.18195085712	-46245.18195085712	3.141592653589793
-0.000029636683157718393	2.3919692746996092e-11	NaN	NaN	NaN	-32869.95212704878	-32869.95212704878	3.141592653589793
-0.00002644504035611795	2.3919692746996092e-11	NaN	NaN	NaN	-36602.47053830807	-36602.47053830807	3.141592653589793
-0.000023405380545069913	2.3919692746996092e-11	NaN	NaN	NaN	-41006.717169544456	-41006.717169544456	3.141592653589793
-0.00002036572073402187	2.3919692746996092e-11	NaN	NaN	NaN	-46556.37627208505	-46556.37627208505	3.141592653589793
-0.000029484700167165993	2.3919692746996092e-11	NaN	NaN	NaN	-33030.786276277366	-33030.786276277366	3.141592653589793
-0.00002629305736556555	2.3919692746996092e-11	NaN	NaN	NaN	-36800.80147534746	-36800.80147534746	3.141592653589793
-0.00002325339755451751	2.3919692746996092e-11	NaN	NaN	NaN	-41253.82523517281	-41253.82523517281	3.141592653589793
-0.00002021373774346947	2.3919692746996092e-11	NaN	NaN	NaN	-46871.576642157095	-46871.576642157095	3.141592653589793
-0.00002933271717661359	2.3919692746996092e-11	NaN	NaN	NaN	-33193.16148831719	-33193.16148831719	3.141592653589793
-0.000026141074375013146	2.3919692746996092e-11	NaN	NaN	NaN	-37001.224913358164	-37001.224913358164	3.141592653589793
-0.000023101414563965108	2.3919692746996092e-11	NaN	NaN	NaN	-41503.81095271861	-41503.81095271861	3.141592653589793
-0.000020061754752917066	2.3919692746996092e-11	NaN	NaN	NaN	-47190.85677887667	-47190.85677887667	3.141592653589793
-0.000029180734186061188	2.3919692746996092e-11	NaN	NaN	NaN	-33357.099426873305	-33357.099426873305	3.141592653589793
-0.000025989091384460747	2.3919692746996092e-11	NaN	NaN	NaN	-37203.77304246119	-37203.77304246119	3.141592653589793
-0.000022949431573412705	2.3919692746996092e-11	NaN	NaN	NaN	-41756.72277759787	-41756.72277759787	3.141592653589793
