# Filename	binding\a7d9ac6b-41f5-4fbf-bef4-9870f5c6bbde.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:05:02
# Dir	-1
# field	1.3418364223924637e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	1.3418364223924637e-11	NaN	NaN	NaN	-32434.035053076645	6.45388301168398e6	0.
-0.00002720495530887996	1.3418364223924637e-11	NaN	NaN	NaN	-36114.70034499254	7.573593789532979e6	0.
-0.000024165295497831922	1.3418364223924637e-11	NaN	NaN	NaN	-40472.123201859074	8.970014985541966e6	0.
-0.00002112563568678388	1.3418364223924637e-11	NaN	NaN	NaN	-45992.28532546283	1.0840914854435718e7	0.
-0.000030244615119928003	1.3418364223924637e-11	NaN	NaN	NaN	-32592.44992708634	6.500889774408614e6	-3.1004132043704085e-7
-0.00002705297231832756	1.3418364223924637e-11	NaN	NaN	NaN	-36310.5561586571	7.634745581662075e6	-1.8642561596332216e-7
-0.00002401331250727952	1.3418364223924637e-11	NaN	NaN	NaN	-40717.15917602953	9.050707396277841e6	0.
-0.000020973652696231478	1.3418364223924637e-11	NaN	NaN	NaN	-46306.97987751616	1.0950806844725853e7	-2.6438738471304805e-7
-0.0000300926321293756	1.3418364223924637e-11	NaN	NaN	NaN	-32752.397795521236	6.548463797607534e6	0.
-0.00002690098932777516	1.3418364223924637e-11	NaN	NaN	NaN	-36508.510341365814	7.696715879608761e6	0.
-0.000023861329516727117	1.3418364223924637e-11	NaN	NaN	NaN	-40965.1145943405	9.132596322228799e6	0.
-0.000020821669705679075	1.3418364223924637e-11	NaN	NaN	NaN	-46625.88768328401	1.1062516658290708e7	-6.272759649125941e-7
-0.000029940649138823198	1.3418364223924637e-11	NaN	NaN	NaN	-32913.90069404538	6.596612397704629e6	0.
-0.000026749006337222757	1.3418364223924637e-11	NaN	NaN	NaN	-36708.59618445817	7.759510960162997e6	-4.52898978101228e-7
-0.000023709346526174715	1.3418364223924637e-11	NaN	NaN	NaN	-41216.04074890622	9.215700388428707e6	0.
-0.000020669686715126676	1.3418364223924637e-11	NaN	NaN	NaN	-46949.09140949375	1.1176090061368389e7	0.
-0.000029788666148270795	1.3418364223924637e-11	NaN	NaN	NaN	-33076.98107627609	6.6453434977393085e6	-1.563203392353901e-7
