# Filename	binding\a9a4c9d5-8dae-4501-8bea-5ede8ce5e029.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T18:06:28
# Dir	-1
# field	5.1923235475186634e-11
# zi	-6.
W	field	zb	tb	argtbzt	tt	argtt
-0.000030396598110480406	5.1923235475186634e-11	NaN	NaN	NaN	-31232.165279324945	-31232.165279324945	3.141592653589793
-0.00002720495530887996	5.1923235475186634e-11	NaN	NaN	NaN	-34487.89785248549	-34487.89785248549	3.141592653589793
-0.000024165295497831922	5.1923235475186634e-11	NaN	NaN	NaN	-38239.71131823966	-38239.71131823966	3.141592653589793
-0.00002112563568678388	5.1923235475186634e-11	NaN	NaN	NaN	-42827.67641126511	-42827.67641126511	3.141592653589793
-0.000030244615119928003	5.1923235475186634e-11	NaN	NaN	NaN	-31373.8793272064	-31373.8793272064	3.141592653589793
-0.00002705297231832756	5.1923235475186634e-11	NaN	NaN	NaN	-34658.949070743445	-34658.949070743445	3.141592653589793
-0.00002401331250727952	5.1923235475186634e-11	NaN	NaN	NaN	-38447.3110457726	-38447.3110457726	3.141592653589793
-0.000020973652696231478	5.1923235475186634e-11	NaN	NaN	NaN	-43083.592302647434	-43083.592302647434	3.141592653589793
-0.0000300926321293756	5.1923235475186634e-11	NaN	NaN	NaN	-31516.821911749703	-31516.821911749703	3.141592653589793
-0.00002690098932777516	5.1923235475186634e-11	NaN	NaN	NaN	-34831.60443359943	-34831.60443359943	3.141592653589793
-0.000023861329516727117	5.1923235475186634e-11	NaN	NaN	NaN	-38657.013963379155	-38657.013963379155	3.141592653589793
-0.000020821669705679075	5.1923235475186634e-11	NaN	NaN	NaN	-43342.311574318715	-43342.311574318715	3.141592653589793
-0.000029940649138823198	5.1923235475186634e-11	NaN	NaN	NaN	-31661.008243994856	-31661.008243994856	3.141592653589793
-0.000026749006337222757	5.1923235475186634e-11	NaN	NaN	NaN	-35005.885173204326	-35005.885173204326	3.141592653589793
-0.000023709346526174715	5.1923235475186634e-11	NaN	NaN	NaN	-38868.84968081152	-38868.84968081152	3.141592653589793
-0.000020669686715126676	5.1923235475186634e-11	NaN	NaN	NaN	-43603.87598558695	-43603.87598558695	3.141592653589793
-0.000029788666148270795	5.1923235475186634e-11	NaN	NaN	NaN	-31806.453772450055	-31806.453772450055	3.141592653589793
-0.000026597023346670354	5.1923235475186634e-11	NaN	NaN	NaN	-35181.81287061871	-35181.81287061871	3.141592653589793
-0.000023557363535622312	5.1923235475186634e-11	NaN	NaN	NaN	-39082.848314453564	-39082.848314453564	3.141592653589793
-0.000020517703724574274	5.1923235475186634e-11	NaN	NaN	NaN	-43868.32802770676	-43868.32802770676	3.141592653589793
-0.000029636683157718393	5.1923235475186634e-11	NaN	NaN	NaN	-31953.174187419154	-31953.174187419154	3.141592653589793
-0.00002644504035611795	5.1923235475186634e-11	NaN	NaN	NaN	-35359.40946235079	-35359.40946235079	3.141592653589793
-0.000023405380545069913	5.1923235475186634e-11	NaN	NaN	NaN	-39299.04049685606	-39299.04049685606	3.141592653589793
-0.00002036572073402187	5.1923235475186634e-11	NaN	NaN	NaN	-44135.7109371191	-44135.7109371191	3.141592653589793
-0.000029484700167165993	5.1923235475186634e-11	NaN	NaN	NaN	-32101.185425414835	-32101.185425414835	3.141592653589793
-0.00002629305736556555	5.1923235475186634e-11	NaN	NaN	NaN	-35538.69724702228	-35538.69724702228	3.141592653589793
-0.00002325339755451751	5.1923235475186634e-11	NaN	NaN	NaN	-39517.45738644502	-39517.45738644502	3.141592653589793
-0.00002021373774346947	5.1923235475186634e-11	NaN	NaN	NaN	-44406.068708877545	-44406.068708877545	3.141592653589793
-0.00002933271717661359	5.1923235475186634e-11	NaN	NaN	NaN	-32250.503673659983	-32250.503673659983	3.141592653589793
-0.000026141074375013146	5.1923235475186634e-11	NaN	NaN	NaN	-35719.69889216468	-35719.69889216468	3.141592653589793
-0.000023101414563965108	5.1923235475186634e-11	NaN	NaN	NaN	-39738.13067740478	-39738.13067740478	3.141592653589793
-0.000020061754752917066	5.1923235475186634e-11	NaN	NaN	NaN	-44679.446110260295	-44679.446110260295	3.141592653589793
-0.000029180734186061188	5.1923235475186634e-11	NaN	NaN	NaN	-32401.145374678475	-32401.145374678475	3.141592653589793
-0.000025989091384460747	5.1923235475186634e-11	NaN	NaN	NaN	-35902.43744114864	-35902.43744114864	3.141592653589793
-0.000022949431573412705	5.1923235475186634e-11	NaN	NaN	NaN	-39961.09260973795	-39961.09260973795	3.141592653589793
-0.000019909771762364663	5.1923235475186634e-11	NaN	NaN	NaN	-44955.888694565336	-44955.888694565336	3.141592653589793
-0.000029028751195508785	5.1923235475186634e-11	NaN	NaN	NaN	-32553.1272309776	-32553.1272309776	3.141592653589793
-0.000025837108393908344	5.1923235475186634e-11	NaN	NaN	NaN	-36086.93632024802	-36086.93632024802	3.141592653589793
-0.000022797448582860302	5.1923235475186634e-11	NaN	NaN	NaN	-40186.37597950416	-40186.37597950416	3.141592653589793
-0.000019757788771812264	5.1923235475186634e-11	NaN	NaN	NaN	-45235.4428150869	-45235.4428150869	3.141592653589793
-0.000028876768204956383	5.1923235475186634e-11	NaN	NaN	NaN	-32706.466209823782	-32706.466209823782	3.141592653589793
-0.000025685125403355942	5.1923235475186634e-11	NaN	NaN	NaN	-36273.21934584142	-36273.21934584142	3.141592653589793
-0.0000226454655923079	5.1923235475186634e-11	NaN	NaN	NaN	-40414.014149238894	-40414.014149238894	3.141592653589793
-0.00001960580578125986	5.1923235475186634e-11	NaN	NaN	NaN	-45518.15563926967	-45518.15563926967	3.141592653589793
-0.000028724785214403984	5.1923235475186634e-11	NaN	NaN	NaN	-32861.17954811362	-32861.17954811362	3.141592653589793
-0.00002553314241280354	5.1923235475186634e-11	NaN	NaN	NaN	-36461.31073175332	-36461.31073175332	3.141592653589793
-0.0000224934826017555	5.1923235475186634e-11	NaN	NaN	NaN	-40644.04105855429	-40644.04105855429	3.141592653589793
-0.00001945382279070746	5.1923235475186634e-11	NaN	NaN	NaN	-45804.07516303861	-45804.07516303861	3.141592653589793
-0.00002857280222385158	5.1923235475186634e-11	NaN	NaN	NaN	-33017.2847573413	-33017.2847573413	3.141592653589793
-0.000025381159422251137	5.1923235475186634e-11	NaN	NaN	NaN	-36651.23509673717	-36651.23509673717	3.141592653589793
-0.000022341499611203098	5.1923235475186634e-11	NaN	NaN	NaN	-40876.491234923735	-40876.491234923735	3.141592653589793
-0.000019301839800155056	5.1923235475186634e-11	NaN	NaN	NaN	-46093.25022529988	-46093.25022529988	3.141592653589793
-0.00002842081923329918	5.1923235475186634e-11	NaN	NaN	NaN	-33174.799628665874	-33174.799628665874	3.141592653589793
-0.000025229176431698734	5.1923235475186634e-11	NaN	NaN	NaN	-36843.01747210265	-36843.01747210265	3.141592653589793
-0.000022189516620650695	5.1923235475186634e-11	NaN	NaN	NaN	-41111.399804650864	-41111.399804650864	3.141592653589793
-0.000019149856809602654	5.1923235475186634e-11	NaN	NaN	NaN	-46385.73052260892	-46385.73052260892	3.141592653589793
-0.000028268836242746776	5.1923235475186634e-11	NaN	NaN	NaN	-33333.7422380786	-33333.7422380786	3.141592653589793
-0.000025077193441146335	5.1923235475186634e-11	NaN	NaN	NaN	-37036.683309489636	-37036.683309489636	3.141592653589793
-0.000022037533630098293	5.1923235475186634e-11	NaN	NaN	NaN	-41348.802504025116	-41348.802504025116	3.141592653589793
-0.000018997873819050254	5.1923235475186634e-11	NaN	NaN	NaN	-46681.566624001425	-46681.566624001425	3.141592653589793
-0.000028116853252194373	5.1923235475186634e-11	NaN	NaN	NaN	-33494.1309516734	-33494.1309516734	3.141592653589793
-0.000024925210450593932	5.1923235475186634e-11	NaN	NaN	NaN	-37232.258488790816	-37232.258488790816	3.141592653589793
-0.00002188555063954589	5.1923235475186634e-11	NaN	NaN	NaN	-41588.735690664245	-41588.735690664245	3.141592653589793
-0.00001884589082849785	5.1923235475186634e-11	NaN	NaN	NaN	-46980.80998598121	-46980.80998598121	3.141592653589793
-0.00002796487026164197	5.1923235475186634e-11	NaN	NaN	NaN	-33655.98443102216	-33655.98443102216	3.141592653589793
-0.00002477322746004153	5.1923235475186634e-11	NaN	NaN	NaN	-37429.769326225665	-37429.769326225665	3.141592653589793
-0.000021733567648993488	5.1923235475186634e-11	NaN	NaN	NaN	-41831.23635504566	-41831.23635504566	3.141592653589793
-0.00001869390783794545	5.1923235475186634e-11	NaN	NaN	NaN	-47283.51296766024	-47283.51296766024	3.141592653589793
-0.00002781288727108957	5.1923235475186634e-11	NaN	NaN	NaN	-33819.321638656445	-33819.321638656445	3.141592653589793
-0.000024621244469489127	5.1923235475186634e-11	NaN	NaN	NaN	-37629.24258256781	-37629.24258256781	3.141592653589793
-0.00002158158465844109	5.1923235475186634e-11	NaN	NaN	NaN	-42076.342132226135	-42076.342132226135	3.141592653589793
-0.000018541924847393046	5.1923235475186634e-11	NaN	NaN	NaN	-47589.72884604328	-47589.72884604328	3.141592653589793
-0.00002766090428053717	5.1923235475186634e-11	NaN	NaN	NaN	-33984.16184365877	-33984.16184365877	3.141592653589793
-0.000024469261478936724	5.1923235475186634e-11	NaN	NaN	NaN	-37830.70547152806	-37830.70547152806	3.141592653589793
-0.000021429601667888686	5.1923235475186634e-11	NaN	NaN	NaN	-42324.09131375207	-42324.09131375207	3.141592653589793
-0.000018389941856840644	5.1923235475186634e-11	NaN	NaN	NaN	-47899.511831451026	-47899.511831451026	3.141592653589793
-0.000027508921289984766	5.1923235475186634e-11	NaN	NaN	NaN	-34150.52462736368	-34150.52462736368	3.141592653589793
-0.000024317278488384322	5.1923235475186634e-11	NaN	NaN	NaN	-38034.1856682957	-38034.1856682957	3.141592653589793
-0.000021277618677336283	5.1923235475186634e-11	NaN	NaN	NaN	-42574.52285975951	-42574.52285975951	3.141592653589793
-0.00001823795886628824	5.1923235475186634e-11	NaN	NaN	NaN	-48212.917083073495	-48212.917083073495	3.141592653589793
-0.000027356938299432364	5.1923235475186634e-11	NaN	NaN	NaN	-34318.42988917307	-34318.42988917307	3.141592653589793
-0.000018085975875735842	5.1923235475186634e-11	NaN	NaN	NaN	-48530.00072464515	-48530.00072464515	3.141592653589793
-0.0000150463160646878	5.1923235475186634e-11	NaN	NaN	NaN	-55739.787408121636	-55739.787408121636	3.141592653589793
-0.00001200665625363976	5.1923235475186634e-11	NaN	NaN	NaN	-65010.218665611435	-65010.218665611435	3.141592653589793
-8.96699644259172e-6	5.1923235475186634e-11	NaN	NaN	NaN	-77099.50358510575	-77099.50358510575	3.141592653589793
-0.00001793399288518344	5.1923235475186634e-11	NaN	NaN	NaN	-48850.81986023315	-48850.81986023315	3.141592653589793
-0.000014894333074135398	5.1923235475186634e-11	NaN	NaN	NaN	-56148.960341472404	-56148.960341472404	3.141592653589793
-0.000011854673263087357	5.1923235475186634e-11	NaN	NaN	NaN	-65540.47653427567	-65540.47653427567	3.141592653589793
-8.815013452039317e-6	5.1923235475186634e-11	NaN	NaN	NaN	-77794.60854493534	-77794.60854493534	3.141592653589793
-0.000017782009894631037	5.1923235475186634e-11	NaN	NaN	NaN	-49175.43259012754	-49175.43259012754	3.141592653589793
-0.000014742350083582997	5.1923235475186634e-11	NaN	NaN	NaN	-56563.32286108643	-56563.32286108643	3.141592653589793
-0.000011702690272534956	5.1923235475186634e-11	NaN	NaN	NaN	-66077.84383804655	-66077.84383804655	3.141592653589793
-8.663030461486915e-6	5.1923235475186634e-11	NaN	NaN	NaN	-78499.2953271083	-78499.2953271083	3.141592653589793
-0.000017630026904078634	5.1923235475186634e-11	NaN	NaN	NaN	-49503.89802682382	-49503.89802682382	3.141592653589793
-0.000014590367093030594	5.1923235475186634e-11	NaN	NaN	NaN	-56982.95767978713	-56982.95767978713	3.141592653589793
-0.000011550707281982554	5.1923235475186634e-11	NaN	NaN	NaN	-66622.43164511639	-66622.43164511639	3.141592653589793
-8.511047470934514e-6	5.1923235475186634e-11	NaN	NaN	NaN	-79213.69927468055	-79213.69927468055	3.141592653589793
-0.00001747804391352623	5.1923235475186634e-11	NaN	NaN	NaN	-49836.276311085065	-49836.276311085065	3.141592653589793
-0.000014438384102478191	5.1923235475186634e-11	NaN	NaN	NaN	-57407.94884843827	-57407.94884843827	3.141592653589793
-0.000011398724291430151	5.1923235475186634e-11	NaN	NaN	NaN	-67174.3524560765	-67174.3524560765	3.141592653589793
-8.359064480382111e-6	5.1923235475186634e-11	NaN	NaN	NaN	-79937.9565092356	-79937.9565092356	3.141592653589793
-0.00001732606092297383	5.1923235475186634e-11	NaN	NaN	NaN	-50172.62862807143	-50172.62862807143	3.141592653589793
-0.00001428640111192579	5.1923235475186634e-11	NaN	NaN	NaN	-57838.3817688229	-57838.3817688229	3.141592653589793
-0.00001124674130087775	5.1923235475186634e-11	NaN	NaN	NaN	-67733.72019479611	-67733.72019479611	3.141592653589793
-8.207081489829708e-6	5.1923235475186634e-11	NaN	NaN	NaN	-80672.20386573735	-80672.20386573735	3.141592653589793
-0.00001717407793242143	5.1923235475186634e-11	NaN	NaN	NaN	-50513.017223522875	-50513.017223522875	3.141592653589793
-0.000014134418121373388	5.1923235475186634e-11	NaN	NaN	NaN	-58274.343206007725	-58274.343206007725	3.141592653589793
-0.000011094758310325348	5.1923235475186634e-11	NaN	NaN	NaN	-68300.65019738888	-68300.65019738888	3.141592653589793
-8.055098499277307e-6	5.1923235475186634e-11	NaN	NaN	NaN	-81416.57882371824	-81416.57882371824	3.141592653589793
-0.000017022094941869027	5.1923235475186634e-11	NaN	NaN	NaN	-50857.50541998095	-50857.50541998095	3.141592653589793
-0.000013982435130820985	5.1923235475186634e-11	NaN	NaN	NaN	-58715.92130014663	-58715.92130014663	3.141592653589793
-0.000010942775319772945	5.1923235475186634e-11	NaN	NaN	NaN	-68875.25919917537	-68875.25919917537	3.141592653589793
-7.903115508724905e-6	5.1923235475186634e-11	NaN	NaN	NaN	-82171.21943475447	-82171.21943475447	3.141592653589793
-0.000016870111951316625	5.1923235475186634e-11	NaN	NaN	NaN	-51206.157633033166	-51206.157633033166	3.141592653589793
-0.000013830452140268584	5.1923235475186634e-11	NaN	NaN	NaN	-59163.20557767236	-59163.20557767236	3.141592653589793
-0.000010790792329220544	5.1923235475186634e-11	NaN	NaN	NaN	-69457.66531954714	-69457.66531954714	3.141592653589793
-7.751132518172502e-6	5.1923235475186634e-11	NaN	NaN	NaN	-82936.26424618502	-82936.26424618502	3.141592653589793
-0.000016718128960764222	5.1923235475186634e-11	NaN	NaN	NaN	-51559.03938756321	-51559.03938756321	3.141592653589793
-0.000013678469149716182	5.1923235475186634e-11	NaN	NaN	NaN	-59616.286961825426	-59616.286961825426	3.141592653589793
-0.000010638809338668142	5.1923235475186634e-11	NaN	NaN	NaN	-70047.98804463717	-70047.98804463717	3.141592653589793
-7.599149527620101e-6	5.1923235475186634e-11	NaN	NaN	NaN	-83711.85222104298	-83711.85222104298	3.141592653589793
-0.00001656614597021182	5.1923235475186634e-11	NaN	NaN	NaN	-51916.21733398916	-51916.21733398916	3.141592653589793
-0.00001352648615916378	5.1923235475186634e-11	NaN	NaN	NaN	-60075.25778246511	-60075.25778246511	3.141592653589793
-0.000010486826348115739	5.1923235475186634e-11	NaN	NaN	NaN	-70646.34820770023	-70646.34820770023	3.141592653589793
-7.447166537067699e-6	5.1923235475186634e-11	NaN	NaN	NaN	-84498.1226541752	-84498.1226541752	3.141592653589793
-0.000016414162979659417	5.1923235475186634e-11	NaN	NaN	NaN	-52277.75926446949	-52277.75926446949	3.141592653589793
-0.000013374503168611378	5.1923235475186634e-11	NaN	NaN	NaN	-60540.21178510569	-60540.21178510569	3.141592653589793
-0.000010334843357563338	5.1923235475186634e-11	NaN	NaN	NaN	-71252.86796710671	-71252.86796710671	3.141592653589793
-7.295183546515297e-6	5.1923235475186634e-11	NaN	NaN	NaN	-85295.215084538	-85295.215084538	3.141592653589793
-0.000016262179989107018	5.1923235475186634e-11	NaN	NaN	NaN	-52643.734129056604	-52643.734129056604	3.141592653589793
-0.000013222520178058976	5.1923235475186634e-11	NaN	NaN	NaN	-61011.244139119444	-61011.244139119444	3.141592653589793
-0.000010182860367010935	5.1923235475186634e-11	NaN	NaN	NaN	-71867.6707818521	-71867.6707818521	3.141592653589793
