# Filename	binding\accea6aa-e347-4700-a5ee-d8fe5beb2446.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:06:45
# Dir	-1
# field	2.3725223700272547e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	2.3725223700272547e-11	NaN	NaN	NaN	-32094.43893540581	6.328648424151683e6	0.
-0.00002720495530887996	2.3725223700272547e-11	NaN	NaN	NaN	-35649.66856327738	7.393340052313646e6	0.
-0.000024165295497831922	2.3725223700272547e-11	NaN	NaN	NaN	-39824.546168669716	8.70565114357748e6	0.
-0.00002112563568678388	2.3725223700272547e-11	NaN	NaN	NaN	-45056.005629982865	1.043638960212362e7	0.
-0.000030244615119928003	2.3725223700272547e-11	NaN	NaN	NaN	-32247.96842141065	6.373565741331559e6	0.
-0.00002705297231832756	2.3725223700272547e-11	NaN	NaN	NaN	-35838.13203624211	7.451175422895655e6	0.
-0.00002401331250727952	2.3725223700272547e-11	NaN	NaN	NaN	-40058.16225975624	8.780955071663506e6	0.
-0.000020973652696231478	2.3725223700272547e-11	NaN	NaN	NaN	-45352.20627288678	1.0537064823520754e7	0.
-0.0000300926321293756	2.3725223700272547e-11	NaN	NaN	NaN	-32402.93796691822	6.419002744438469e6	-1.9902055844342008e-7
-0.00002690098932777516	2.3725223700272547e-11	NaN	NaN	NaN	-36028.53888979816	7.509745335852744e6	0.
-0.000023861329516727117	2.3725223700272547e-11	NaN	NaN	NaN	-40294.433105352364	8.857309355440198e6	0.
-0.000020821669705679075	2.3725223700272547e-11	NaN	NaN	NaN	-45652.14245719609	1.0639288995655341e7	0.
-0.000029940649138823198	2.3725223700272547e-11	NaN	NaN	NaN	-32559.36741673535	6.464969700341201e6	-2.841425390393682e-7
-0.000026749006337222757	2.3725223700272547e-11	NaN	NaN	NaN	-36220.91839949512	7.569063320203128e6	0.
-0.000023709346526174715	2.3725223700272547e-11	NaN	NaN	NaN	-40533.40244432031	8.934734000216365e6	0.
-0.000020669686715126676	2.3725223700272547e-11	NaN	NaN	NaN	-45955.88174095474	1.0743096605182497e7	0.
-0.000029788666148270795	2.3725223700272547e-11	NaN	NaN	NaN	-32717.276972211053	6.511474854442721e6	0.
-0.000026597023346670354	2.3725223700272547e-11	NaN	NaN	NaN	-36415.30041211295	7.629141756069874e6	0.
-0.000023557363535622312	2.3725223700272547e-11	NaN	NaN	NaN	-40775.11494054887	9.013250064524533e6	0.
-0.000020517703724574274	2.3725223700272547e-11	NaN	NaN	NaN	-46263.49322939653	1.0848519504461871e7	0.
-0.000029636683157718393	2.3725223700272547e-11	NaN	NaN	NaN	-32876.687199045555	6.558525316551079e6	0.
-0.00002644504035611795	2.3725223700272547e-11	NaN	NaN	NaN	-36611.71535914101	7.689994690936895e6	0.
-0.000023405380545069913	2.3725223700272547e-11	NaN	NaN	NaN	-41019.61620633698	9.092877365496635e6	0.
-0.00002036572073402187	2.3725223700272547e-11	NaN	NaN	NaN	-46575.04761651087	1.0955591369673846e7	0.
-0.000029484700167165993	2.3725223700272547e-11	NaN	NaN	NaN	-33037.61903529823	6.606131582969645e6	0.
-0.00002629305736556555	2.3725223700272547e-11	NaN	NaN	NaN	-36810.194270623244	7.75163503679301e6	0.
-0.00002325339755451751	2.3725223700272547e-11	NaN	NaN	NaN	-41266.95282644853	9.173637505451264e6	0.
-0.00002021373774346947	2.3725223700272547e-11	NaN	NaN	NaN	-46890.617227837756	1.1064347176184203e7	0.
-0.00002933271717661359	2.3725223700272547e-11	NaN	NaN	NaN	-33200.09379960133	6.6542989000526965e6	-1.8810417611093914e-7
-0.000026141074375013146	2.3725223700272547e-11	NaN	NaN	NaN	-37010.76878938182	7.814077036062948e6	0.
-0.000023101414563965108	2.3725223700272547e-11	NaN	NaN	NaN	-41517.172382857825	9.255552919585245e6	0.
-0.000020061754752917066	2.3725223700272547e-11	NaN	NaN	NaN	-47210.27606452921	1.1174819874620853e7	0.
-0.000029180734186061188	2.3725223700272547e-11	NaN	NaN	NaN	-33364.13319958446	6.703042056339531e6	0.
-0.000025989091384460747	2.3725223700272547e-11	NaN	NaN	NaN	-37213.471185629605	7.87733505815321e6	0.
-0.000022949431573412705	2.3725223700272547e-11	NaN	NaN	NaN	-41770.32348020779	9.338644659610592e6	0.
-0.000019909771762364663	2.3725223700272547e-11	NaN	NaN	NaN	-47534.0998487156	1.1287047922329664e7	0.
-0.000029028751195508785	2.3725223700272547e-11	NaN	NaN	NaN	-33529.75934051667	6.752365104062193e6	-3.332853487311261e-7
-0.000025837108393908344	2.3725223700272547e-11	NaN	NaN	NaN	-37418.33437198383	7.941421568488125e6	0.
-0.000022797448582860302	2.3725223700272547e-11	NaN	NaN	NaN	-42026.45577200324	9.422934466207746e6	0.
-0.000019757788771812264	2.3725223700272547e-11	NaN	NaN	NaN	-47862.16607021488	1.1401066406123262e7	0.
