# Filename	binding\ad37288c-5a33-4e06-8950-20e71d50fc3a.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:06:49
# Dir	-1
# field	2.4114161793719637e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	2.4114161793719637e-11	NaN	NaN	NaN	-32081.89746003594	6.324054157053824e6	0.
-0.00002720495530887996	2.4114161793719637e-11	NaN	NaN	NaN	-35632.57883652332	7.386770584737497e6	0.
-0.000024165295497831922	2.4114161793719637e-11	NaN	NaN	NaN	-39800.898697117416	8.696094580552217e6	0.
-0.00002112563568678388	2.4114161793719637e-11	NaN	NaN	NaN	-45022.1156702034	1.0421932530642994e7	0.
-0.000030244615119928003	2.4114161793719637e-11	NaN	NaN	NaN	-32235.249101208825	6.368896140160118e6	0.
-0.00002705297231832756	2.4114161793719637e-11	NaN	NaN	NaN	-35820.77538916713	7.444486348225091e6	0.
-0.00002401331250727952	2.4114161793719637e-11	NaN	NaN	NaN	-40034.10676103137	8.77120801001431e6	0.
-0.000020973652696231478	2.4114161793719637e-11	NaN	NaN	NaN	-45317.66508633936	1.0522287439697765e7	0.
-0.0000300926321293756	2.4114161793719637e-11	NaN	NaN	NaN	-32390.037479696824	6.414256807388761e6	0.
-0.00002690098932777516	2.4114161793719637e-11	NaN	NaN	NaN	-36010.909849682	7.502935405782464e6	0.
-0.000023861329516727117	2.4114161793719637e-11	NaN	NaN	NaN	-40269.96038032207	8.84736726706396e6	0.
-0.000020821669705679075	2.4114161793719637e-11	NaN	NaN	NaN	-45616.93380172538	1.0624184371397244e7	0.
-0.000029940649138823198	2.4114161793719637e-11	NaN	NaN	NaN	-32546.28236371391	6.460145165731615e6	0.
-0.000026749006337222757	2.4114161793719637e-11	NaN	NaN	NaN	-36203.01135565556	7.562129018422029e6	0.
-0.000023709346526174715	2.4114161793719637e-11	NaN	NaN	NaN	-40508.50304016084	8.924592123409586e6	0.
-0.000020669686715126676	2.4114161793719637e-11	NaN	NaN	NaN	-45919.98888261314	1.0727654406878114e7	0.
-0.000029788666148270795	2.4114161793719637e-11	NaN	NaN	NaN	-32704.00387592557	6.506569108906794e6	0.
-0.000026597023346670354	2.4114161793719637e-11	NaN	NaN	NaN	-36397.109611806634	7.6220805128209535e6	0.
-0.000023557363535622312	2.4114161793719637e-11	NaN	NaN	NaN	-40749.779142547675	9.002903126950292e6	0.
