# Filename	binding\af26283e-d3a6-4f43-9c51-183228689fec.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:02:53
# Dir	-1
# field	5.834071401706364e-13
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	5.834071401706364e-13	NaN	NaN	NaN	-32877.67162299488	6.619928916771411e6	0.
-0.00002720495530887996	5.834071401706364e-13	NaN	NaN	NaN	-36729.07959854232	7.816122612029798e6	0.
-0.000024165295497831922	5.834071401706364e-13	NaN	NaN	NaN	-41340.39828489859	9.332632212942943e6	-2.159525616753955e-7
-0.00002112563568678388	5.834071401706364e-13	NaN	NaN	NaN	-47274.136073081	1.141110521617477e7	0.
-0.000030244615119928003	5.834071401706364e-13	NaN	NaN	NaN	-33042.67623694479	6.6698100089796325e6	0.
-0.00002705297231832756	5.834071401706364e-13	NaN	NaN	NaN	-36935.09546665906	7.881950411339358e6	0.
-0.00002401331250727952	5.834071401706364e-13	NaN	NaN	NaN	-41601.52019201994	9.421150485815909e6	0.
-0.000020973652696231478	5.834071401706364e-13	NaN	NaN	NaN	-47615.800461336796	1.1534954327352708e7	0.
-0.0000300926321293756	5.834071401706364e-13	NaN	NaN	NaN	-33209.34436649327	6.72032158118272e6	0.
-0.00002690098932777516	5.834071401706364e-13	NaN	NaN	NaN	-37143.43361552237	7.948713086783867e6	0.
-0.000023861329516727117	5.834071401706364e-13	NaN	NaN	NaN	-41865.95836972232	9.511075022307962e6	0.
-0.000020821669705679075	5.834071401706364e-13	NaN	NaN	NaN	-47962.432757495706	1.1661056492057277e7	0.
-0.000029940649138823198	5.834071401706364e-13	NaN	NaN	NaN	-33377.70127908177	6.7714738483415e6	0.
-0.000026749006337222757	5.834071401706364e-13	NaN	NaN	NaN	-37354.13350185996	8.016409725388394e6	0.
-0.000023709346526174715	5.834071401706364e-13	NaN	NaN	NaN	-42133.77633126946	9.602438212702189e6	0.
-0.000020669686715126676	5.834071401706364e-13	NaN	NaN	NaN	-48314.14195886545	1.1789470905294681e7	0.
-0.000029788666148270795	5.834071401706364e-13	NaN	NaN	NaN	-33547.772756137936	6.823276737634571e6	0.
-0.000026597023346670354	5.834071401706364e-13	NaN	NaN	NaN	-37567.23548059773	8.085080715269973e6	0.
-0.000023557363535622312	5.834071401706364e-13	NaN	NaN	NaN	-42405.039220511775	9.695270652271522e6	0.
-0.000020517703724574274	5.834071401706364e-13	NaN	NaN	NaN	-48671.04027035308	1.192025571463763e7	0.
-0.000029636683157718393	5.834071401706364e-13	NaN	NaN	NaN	-33719.58510621798	6.875744207604669e6	0.
-0.00002644504035611795	5.834071401706364e-13	NaN	NaN	NaN	-37782.78083055215	8.154734711372957e6	0.
-0.000023405380545069913	5.834071401706364e-13	NaN	NaN	NaN	-42679.81386447905	9.789607865357181e6	0.
-0.00002036572073402187	5.834071401706364e-13	NaN	NaN	NaN	-49033.24322319617	1.2053472415882641e7	0.
-0.000029484700167165993	5.834071401706364e-13	NaN	NaN	NaN	-33893.16517850906	6.9288866558079375e6	0.
