# Filename	binding\b753ef0d-3cf2-463c-aad3-a9c1829eda14.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-09T15:29:26
# Dir	1
# field	1.5557523737883636e-11
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	1.5557523737883636e-11	NaN	NaN	NaN	33471.84075497027	6.846748668775023e6	0.
-0.00002720495530887996	1.5557523737883636e-11	NaN	NaN	NaN	37564.981957260265	8.154355216412659e6	0.
-0.000024165295497831922	1.5557523737883636e-11	NaN	NaN	NaN	42547.09353083708	9.85266510108678e6	0.
-0.00002112563568678388	1.5557523737883636e-11	NaN	NaN	NaN	49112.11987131323	1.2263138617551928e7	0.
-0.000030244615119928003	1.5557523737883636e-11	NaN	NaN	NaN	33646.05568966576	6.900750077062565e6	0.
-0.00002705297231832756	1.5557523737883636e-11	NaN	NaN	NaN	37785.58021698748	8.227100562942172e6	0.
-0.00002401331250727952	1.5557523737883636e-11	NaN	NaN	NaN	42832.14656021121	9.953292290311087e6	0.
-0.000020973652696231478	1.5557523737883636e-11	NaN	NaN	NaN	49496.089955402735	1.2410070208680242e7	0.
-0.0000300926321293756	1.5557523737883636e-11	NaN	NaN	NaN	33822.126659296	6.955478546567545e6	0.
-0.00002690098932777516	1.5557523737883636e-11	NaN	NaN	NaN	38008.844606008	8.300961623994165e6	0.
-0.000023861329516727117	1.5557523737883636e-11	NaN	NaN	NaN	43121.15944634343	1.0055698222925896e7	0.
-0.000020821669705679075	1.5557523737883636e-11	NaN	NaN	NaN	49886.35500852396	1.2560076049206777e7	0.
-0.000029940649138823198	1.5557523737883636e-11	NaN	NaN	NaN	34000.08401977519	7.010947191096603e6	0.
-0.000026749006337222757	1.5557523737883636e-11	NaN	NaN	NaN	38234.824858913074	8.375960382377329e6	0.
-0.000023709346526174715	1.5557523737883636e-11	NaN	NaN	NaN	43414.21771913818	1.0159925739097957e7	0.
