# Filename	binding\bbb89e29-f2f2-493f-9cb7-26844d70a2c7.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:11:00
# Dir	-1
# field	4.9200668821057e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	4.9200668821057e-11	NaN	NaN	NaN	-31311.502657235753	6.045962545591428e6	0.
-0.00002720495530887996	4.9200668821057e-11	NaN	NaN	NaN	-34593.71020666998	6.994383785914576e6	0.
-0.000024165295497831922	4.9200668821057e-11	NaN	NaN	NaN	-38382.22507393806	8.134928637042943e6	0.
-0.00002112563568678388	4.9200668821057e-11	NaN	NaN	NaN	-43024.6717476342	9.591977799393967e6	0.
-0.000030244615119928003	4.9200668821057e-11	NaN	NaN	NaN	-31454.26970242192	6.086395864093349e6	0.
-0.00002705297231832756	4.9200668821057e-11	NaN	NaN	NaN	-34766.28739241912	7.045308420606752e6	0.
-0.00002401331250727952	4.9200668821057e-11	NaN	NaN	NaN	-38592.057473554596	8.1994315658055665e6	0.
-0.000020973652696231478	4.9200668821057e-11	NaN	NaN	NaN	-43283.949850371224	9.675114352187337e6	0.
-0.0000300926321293756	4.9200668821057e-11	NaN	NaN	NaN	-31598.28338368685	6.127257092200868e6	0.
-0.00002690098932777516	4.9200668821057e-11	NaN	NaN	NaN	-34940.49702332273	7.096818099261942e6	0.
-0.000023861329516727117	4.9200668821057e-11	NaN	NaN	NaN	-38804.03764087956	8.26473068685309e6	0.
-0.000020821669705679075	4.9200668821057e-11	NaN	NaN	NaN	-43546.10356752644	9.75935166934751e6	0.
-0.000029940649138823198	4.9200668821057e-11	NaN	NaN	NaN	-31743.559288971457	6.168557598357372e6	0.
-0.000026749006337222757	4.9200668821057e-11	NaN	NaN	NaN	-35116.3609623238	7.14892163653215e6	0.
-0.000023709346526174715	4.9200668821057e-11	NaN	NaN	NaN	-39018.1962440779	8.330838147187831e6	0.
-0.000020669686715126676	4.9200668821057e-11	NaN	NaN	NaN	-43811.17647635199	9.844708935186815e6	0.
-0.000029788666148270795	4.9200668821057e-11	NaN	NaN	NaN	-31890.113252782052	6.210301418744025e6	0.
-0.000026597023346670354	4.9200668821057e-11	NaN	NaN	NaN	-35293.90143741309	7.201627938503856e6	0.
-0.000023557363535622312	4.9200668821057e-11	NaN	NaN	NaN	-39234.56448640502	8.397768151067995e6	0.
-0.000020517703724574274	4.9200668821057e-11	NaN	NaN	NaN	-44079.21293681974	9.931204490263633e6	0.
-0.000029636683157718393	4.9200668821057e-11	NaN	NaN	NaN	-32037.961360764046	6.252495996801546e6	0.
-0.00002644504035611795	4.9200668821057e-11	NaN	NaN	NaN	-35473.14104862374	7.254946083284861e6	0.
-0.000023405380545069913	4.9200668821057e-11	NaN	NaN	NaN	-39453.17411657244	8.465532673317144e6	0.
-0.00002036572073402187	4.9200668821057e-11	NaN	NaN	NaN	-44350.25810635303	1.0018857481654672e7	0.
-0.000029484700167165993	4.9200668821057e-11	NaN	NaN	NaN	-32187.119954368318	6.2951448882339625e6	0.
-0.00002629305736556555	4.9200668821057e-11	NaN	NaN	NaN	-35654.10277516792	7.30888576050364e6	0.
-0.00002325339755451751	4.9200668821057e-11	NaN	NaN	NaN	-39674.05743931257	8.534145967970042e6	0.
-0.00002021373774346947	4.9200668821057e-11	NaN	NaN	NaN	-44624.357954788036	1.010768778438886e7	0.
-0.00002933271717661359	4.9200668821057e-11	NaN	NaN	NaN	-32337.605635613665	6.338257067566543e6	0.
-0.000026141074375013146	4.9200668821057e-11	NaN	NaN	NaN	-35836.8099827182	7.363456043601924e6	0.
-0.000023101414563965108	4.9200668821057e-11	NaN	NaN	NaN	-39897.247326143486	8.603621619158791e6	0.
-0.000020061754752917066	4.9200668821057e-11	NaN	NaN	NaN	-44901.559279564295	1.0197714896225542e7	0.
-0.000029180734186061188	4.9200668821057e-11	NaN	NaN	NaN	-32489.435271946113	6.381838929554318e6	0.
-0.000025989091384460747	4.9200668821057e-11	NaN	NaN	NaN	-36021.28643083643	7.418666850280137e6	0.
-0.000022949431573412705	4.9200668821057e-11	NaN	NaN	NaN	-40122.77722633753	8.673972862725163e6	0.
-0.000019909771762364663	4.9200668821057e-11	NaN	NaN	NaN	-45181.90972114357	1.0288958834607247e7	0.
-0.000029028751195508785	4.9200668821057e-11	NaN	NaN	NaN	-32642.6260011979	6.42589740400588e6	0.
-0.000025837108393908344	4.9200668821057e-11	NaN	NaN	NaN	-36207.556280552766	7.474528345321356e6	0.
-0.000022797448582860302	4.9200668821057e-11	NaN	NaN	NaN	-40350.681178096034	8.745214662505219e6	0.
-0.000019757788771812264	4.9200668821057e-11	NaN	NaN	NaN	-45465.457778655524	1.0381440651102249e7	0.
-0.000028876768204956383	4.9200668821057e-11	NaN	NaN	NaN	-32797.19523664781	6.470438376093594e6	0.
-0.000025685125403355942	4.9200668821057e-11	NaN	NaN	NaN	-36395.644102097525	7.531049812113805e6	0.
-0.0000226454655923079	4.9200668821057e-11	NaN	NaN	NaN	-40580.99381993226	8.81736165035591e6	0.
-0.00001960580578125986	4.9200668821057e-11	NaN	NaN	NaN	-45752.25282576833	1.0475181210262818e7	0.
