# Filename	binding\bddcaebb-8e4f-47e7-980c-2326dbdb11e9.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-09T15:30:26
# Dir	1
# field	2.3336285606825453e-11
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	2.3336285606825453e-11	NaN	NaN	NaN	33774.159660691905	6.9641457490378935e6	0.
-0.00002720495530887996	2.3336285606825453e-11	NaN	NaN	NaN	37996.43334488582	8.332749991491681e6	0.
-0.000024165295497831922	2.3336285606825453e-11	NaN	NaN	NaN	43182.40787745809	1.013422331244457e7	0.
-0.00002112563568678388	2.3336285606825453e-11	NaN	NaN	NaN	50109.5790287852	1.2743323623180056e7	0.
-0.000030244615119928003	2.3336285606825453e-11	NaN	NaN	NaN	33953.23718739929	7.020370461112777e6	0.
-0.00002705297231832756	2.3336285606825453e-11	NaN	NaN	NaN	38224.919325049486	8.409344472486349e6	0.
-0.00002401331250727952	2.3336285606825453e-11	NaN	NaN	NaN	43480.84892861275	1.0241874653157339e7	0.
-0.000020973652696231478	2.3336285606825453e-11	NaN	NaN	NaN	50518.47316641819	1.2904517757300112e7	0.
-0.0000300926321293756	2.3336285606825453e-11	NaN	NaN	NaN	34134.27720896985	7.077376417806214e6	0.
-0.00002690098932777516	2.3336285606825453e-11	NaN	NaN	NaN	38456.26868305893	8.487162347000131e6	0.
-0.000023861329516727117	2.3336285606825453e-11	NaN	NaN	NaN	43783.63837072474	1.0351533233042398e7	0.
-0.000020821669705679075	2.3336285606825453e-11	NaN	NaN	NaN	50934.52893198372	1.3069358299369443e7	0.
-0.000029940649138823198	2.3336285606825453e-11	NaN	NaN	NaN	34317.313055631734	7.13517978372439e6	0.
-0.000026749006337222757	2.3336285606825453e-11	NaN	NaN	NaN	38690.53747853922	8.566231259070057e6	0.
-0.000023709346526174715	2.3336285606825453e-11	NaN	NaN	NaN	44090.87628909257	1.0463255628324116e7	0.
-0.000020669686715126676	2.3336285606825453e-11	NaN	NaN	NaN	51357.94785793332	1.3237965422479652e7	0.
-0.000029788666148270795	2.3336285606825453e-11	NaN	NaN	NaN	34502.378836686985	7.193797319739801e6	0.
-0.000026597023346670354	2.3336285606825453e-11	NaN	NaN	NaN	38927.78329291746	8.646581478397485e6	0.
-0.000023557363535622312	2.3336285606825453e-11	NaN	NaN	NaN	44402.66599524516	1.0577098822289636e7	0.
-0.000020517703724574274	2.3336285606825453e-11	NaN	NaN	NaN	51788.939537421174	1.341046941383659e7	0.
-0.000029636683157718393	2.3336285606825453e-11	NaN	NaN	NaN	34689.509463973554	7.253244933592288e6	0.
-0.00002644504035611795	2.3336285606825453e-11	NaN	NaN	NaN	39168.065282999065	8.728239885668082e6	0.
-0.000023405380545069913	2.3336285606825453e-11	NaN	NaN	NaN	44719.11416297764	1.0693121963922082e7	0.
-0.00002036572073402187	2.3336285606825453e-11	NaN	NaN	NaN	52227.72205116686	1.358700387112599e7	0.
