# Filename	binding\c11855e6-2a3d-44ef-adf4-7f400cdc66b0.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-09T15:28:14
# Dir	1
# field	6.2230094951534546e-12
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	6.2230094951534546e-12	NaN	NaN	NaN	33123.031705400375	6.712971610802672e6	0.
-0.00002720495530887996	6.2230094951534546e-12	NaN	NaN	NaN	37072.38832694826	7.953868373670115e6	-4.159414857807296e-7
-0.000024165295497831922	6.2230094951534546e-12	NaN	NaN	NaN	41832.3004490167	9.542323739382774e6	-2.6363577625892286e-7
-0.00002112563568678388	6.2230094951534546e-12	NaN	NaN	NaN	48014.9697442992	1.1749541531189546e7	0.
-0.000030244615119928003	6.2230094951534546e-12	NaN	NaN	NaN	33291.78515795777	6.764515853624232e6	0.
-0.00002705297231832756	6.2230094951534546e-12	NaN	NaN	NaN	37284.28450832872	8.02245702179265e6	0.
-0.00002401331250727952	6.2230094951534546e-12	NaN	NaN	NaN	42102.94890241191	9.635598370423177e6	0.
-0.000020973652696231478	6.2230094951534546e-12	NaN	NaN	NaN	48373.14781985922	1.1882228095509201e7	0.
-0.0000300926321293756	6.2230094951534546e-12	NaN	NaN	NaN	33462.27905551614	6.816730503725629e6	0.
-0.00002690098932777516	6.2230094951534546e-12	NaN	NaN	NaN	37498.63840816614	8.0920455944149215e6	0.
-0.000023861329516727117	6.2230094951534546e-12	NaN	NaN	NaN	42377.162105491654	9.730414004436763e6	0.
-0.000020821669705679075	6.2230094951534546e-12	NaN	NaN	NaN	48736.790648701965	1.2017469547861021e7	0.
-0.000029940649138823198	6.2230094951534546e-12	NaN	NaN	NaN	33634.54065343459	6.869620417337695e6	0.
-0.000026749006337222757	6.2230094951534546e-12	NaN	NaN	NaN	37715.49341618991	8.162654453145581e6	0.
-0.000023709346526174715	6.2230094951534546e-12	NaN	NaN	NaN	42655.0117559373	9.82681664270474e6	0.
-0.000020669686715126676	6.2230094951534546e-12	NaN	NaN	NaN	49106.02614895938	1.2155333566793228e7	-7.379078367343331e-7
-0.000029788666148270795	6.2230094951534546e-12	NaN	NaN	NaN	33808.59778316563	6.923205068073217e6	0.
-0.000026597023346670354	6.2230094951534546e-12	NaN	NaN	NaN	37934.893958587476	8.234305985752321e6	0.
-0.000023557363535622312	6.2230094951534546e-12	NaN	NaN	NaN	42936.57150888162	9.924838020037442e6	0.
-0.000020517703724574274	6.2230094951534546e-12	NaN	NaN	NaN	49480.98632215891	1.2295895151136132e7	-1.5223938814004734e-7
-0.000029636683157718393	6.2230094951534546e-12	NaN	NaN	NaN	33984.47886766236	6.97749513414086e6	0.
-0.00002644504035611795	6.2230094951534546e-12	NaN	NaN	NaN	38156.88552940698	8.307021591041136e6	0.
-0.000023405380545069913	6.2230094951534546e-12	NaN	NaN	NaN	43221.91704491379	1.002452063021874e7	0.
-0.00002036572073402187	6.2230094951534546e-12	NaN	NaN	NaN	49861.80741983918	1.2439234788837893e7	0.
-0.000029484700167165993	6.2230094951534546e-12	NaN	NaN	NaN	34162.212937287644	7.032503868097659e6	0.
-0.00002629305736556555	6.2230094951534546e-12	NaN	NaN	NaN	38381.514723120104	8.380823159258209e6	0.
