# Filename	binding\c3e505fb-72d6-45cd-adfd-0fdf20b525db.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-09T15:27:42
# Dir	1
# field	2.139159513959e-12
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	2.139159513959e-12	NaN	NaN	NaN	32974.940299866605	6.65670945472578e6	0.
-0.00002720495530887996	2.139159513959e-12	NaN	NaN	NaN	36864.87062246567	7.870413940501672e6	0.
-0.000024165295497831922	2.139159513959e-12	NaN	NaN	NaN	41534.36783368729	9.414946694543276e6	0.
-0.00002112563568678388	2.139159513959e-12	NaN	NaN	NaN	47564.94434409223	1.1543166460638449e7	0.
-0.000030244615119928003	2.139159513959e-12	NaN	NaN	NaN	33141.4220390486	6.707244846032294e6	0.
-0.00002705297231832756	2.139159513959e-12	NaN	NaN	NaN	37073.19460422812	7.937320093894298e6	0.
-0.00002401331250727952	2.139159513959e-12	NaN	NaN	NaN	41799.20964356026	9.505310284091689e6	0.
-0.000020973652696231478	2.139159513959e-12	NaN	NaN	NaN	47913.00730988978	1.1670412749823857e7	0.
-0.0000300926321293756	2.139159513959e-12	NaN	NaN	NaN	33309.59737253046	6.758423121743365e6	0.
-0.00002690098932777516	2.139159513959e-12	NaN	NaN	NaN	37283.89351336848	8.005182595099692e6	0.
-0.000023861329516727117	2.139159513959e-12	NaN	NaN	NaN	42067.46354594368	9.597133560879977e6	0.
-0.000020821669705679075	2.139159513959e-12	NaN	NaN	NaN	48266.227523767506	1.1800027147739498e7	0.
-0.000029940649138823198	2.139159513959e-12	NaN	NaN	NaN	33479.49233774724	6.810258207625882e6	0.
-0.000026749006337222757	2.139159513959e-12	NaN	NaN	NaN	37497.008317405816	8.074020347150363e6	-1.543794543000899e-7
-0.000023709346526174715	2.139159513959e-12	NaN	NaN	NaN	42339.19616249175	9.690450534962958e6	-1.590660762796286e-7
-0.000020669686715126676	2.139159513959e-12	NaN	NaN	NaN	48624.72104782761	1.1932069322280675e7	-1.8521647143208336e-7
-0.000029788666148270795	2.139159513959e-12	NaN	NaN	NaN	33651.133509915075	6.862760447572037e6	0.
-0.000026597023346670354	2.139159513959e-12	NaN	NaN	NaN	37712.58093442701	8.14385361925986e6	-8.188516709062145e-7
-0.000023557363535622312	2.139159513959e-12	NaN	NaN	NaN	42614.47586734882	9.785296346937383e6	0.
-0.000020517703724574274	2.139159513959e-12	NaN	NaN	NaN	48988.607470921226	1.2066607473379346e7	0.
-0.000029636683157718393	2.139159513959e-12	NaN	NaN	NaN	33824.54801601428	6.915942647469371e6	-1.2601019550075875e-7
-0.00002644504035611795	2.139159513959e-12	NaN	NaN	NaN	37930.654260905605	8.214702588472905e6	-1.2537438914492996e-7
-0.000023405380545069913	2.139159513959e-12	NaN	NaN	NaN	42893.372845386395	9.881704723226309e6	-1.0294652170370028e-7
-0.00002036572073402187	2.139159513959e-12	NaN	NaN	NaN	49358.010044321156	1.2203705828601051e7	0.
-0.000029484700167165993	2.139159513959e-12	NaN	NaN	NaN	33999.76354922548	6.969818026812324e6	0.
-0.00002629305736556555	2.139159513959e-12	NaN	NaN	NaN	38151.27220049887	8.286589064576805e6	0.
-0.00002325339755451751	2.139159513959e-12	NaN	NaN	NaN	43175.95915277082	9.979714205788324e6	0.
-0.00002021373774346947	2.139159513959e-12	NaN	NaN	NaN	49733.055823731695	1.234343401992515e7	0.
-0.00002933271717661359	2.139159513959e-12	NaN	NaN	NaN	34176.80838381309	7.024396638985973e6	0.
-0.000026141074375013146	2.139159513959e-12	NaN	NaN	NaN	38374.47969387737	8.35953136600207e6	-1.0707924443445248e-7
-0.000023101414563965108	2.139159513959e-12	NaN	NaN	NaN	43462.30878000563	1.007935972694277e7	-2.475932934716146e-7
-0.000020061754752917066	2.139159513959e-12	NaN	NaN	NaN	50113.875817998116	1.2485862942113742e7	0.
-0.000029180734186061188	2.139159513959e-12	NaN	NaN	NaN	34355.71139048649	7.079693508705412e6	0.
-0.000025989091384460747	2.139159513959e-12	NaN	NaN	NaN	38600.32274961825	8.433554914694732e6	0.
-0.000022949431573412705	2.139159513959e-12	NaN	NaN	NaN	43752.49771753437	1.0180683417600067e7	0.
-0.000019909771762364663	2.139159513959e-12	NaN	NaN	NaN	50500.60514488181	1.2631068150887e7	0.
-0.000029028751195508785	2.139159513959e-12	NaN	NaN	NaN	34536.50205224726	7.135721837066246e6	0.
-0.000025837108393908344	2.139159513959e-12	NaN	NaN	NaN	38828.848476222134	8.508680423919354e6	0.
-0.000022797448582860302	2.139159513959e-12	NaN	NaN	NaN	44046.60402405485	1.0283721119732734e7	0.
-0.000019757788771812264	2.139159513959e-12	NaN	NaN	NaN	50893.38319429622	1.2779127155102784e7	0.
-0.000028876768204956383	2.139159513959e-12	NaN	NaN	NaN	34719.2104807537	7.192495552020294e6	0.
-0.000025685125403355942	2.139159513959e-12	NaN	NaN	NaN	39060.105115278435	8.584931783884782e6	-2.007351974758096e-7
-0.0000226454655923079	2.139159513959e-12	NaN	NaN	NaN	44344.70789765353	1.038851698701461e7	-1.5237442748822823e-7
-0.000028724785214403984	2.139159513959e-12	NaN	NaN	NaN	34903.8674332087	7.250027120399641e6	0.
-0.00002553314241280354	2.139159513959e-12	NaN	NaN	NaN	39294.14207585888	8.662332814010326e6	-1.1246187505909445e-7
-0.0000224934826017555	2.139159513959e-12	NaN	NaN	NaN	44646.891749919174	1.0495114271356545e7	0.
-0.00001960580578125986	2.139159513959e-12	NaN	NaN	NaN	51292.353799431905	1.2930114390721956e7	0.
-0.00002857280222385158	2.139159513959e-12	NaN	NaN	NaN	35090.50432979333	7.308332758798151e6	0.
-0.000025381159422251137	2.139159513959e-12	NaN	NaN	NaN	39531.00997016071	8.740908491181225e6	0.
-0.00001945382279070746	2.139159513959e-12	NaN	NaN	NaN	51697.66541622073	1.3084117329456398e7	0.
-0.00002842081923329918	2.139159513959e-12	NaN	NaN	NaN	35279.153271680865	7.367425492013062e6	0.
-0.000025229176431698734	2.139159513959e-12	NaN	NaN	NaN	39770.76065047879	8.82068215087357e6	0.
-0.000022341499611203098	2.139159513959e-12	NaN	NaN	NaN	44953.24028316237	1.0603552879433095e7	0.
-0.000019301839800155056	2.139159513959e-12	NaN	NaN	NaN	52109.47131161258	1.324122028720172e7	0.
-0.000028268836242746776	2.139159513959e-12	NaN	NaN	NaN	35469.84705963134	7.427321975322234e6	0.
-0.000025077193441146335	2.139159513959e-12	NaN	NaN	NaN	40013.44724754373	8.90168129443829e6	-4.675950277747311e-7
-0.000022189516620650695	2.139159513959e-12	NaN	NaN	NaN	45263.840570909764	1.071387979112358e7	-1.0672021471650211e-7
-0.000028116853252194373	2.139159513959e-12	NaN	NaN	NaN	35662.61921320536	7.488035345968569e6	0.
-0.000024925210450593932	2.139159513959e-12	NaN	NaN	NaN	40259.12421030849	8.983932960917288e6	0.
-0.000022037533630098293	2.139159513959e-12	NaN	NaN	NaN	45578.782141827316	1.0826144075713102e7	0.
-0.000019149856809602654	2.139159513959e-12	NaN	NaN	NaN	52527.92976118505	1.3401510516854262e7	-1.223698008670521e-7
-0.00002796487026164197	2.139159513959e-12	NaN	NaN	NaN	35857.50399061938	7.549583490471722e6	0.
-0.00002477322746004153	2.139159513959e-12	NaN	NaN	NaN	40507.847347224575	9.06746225903022e6	0.
-0.00002188555063954589	2.139159513959e-12	NaN	NaN	NaN	45898.15706725554	1.0940389282050652e7	0.
-0.00002781288727108957	2.139159513959e-12	NaN	NaN	NaN	36054.536409258275	7.611981206067192e6	-1.0786706325252223e-7
-0.000024621244469489127	2.139159513959e-12	NaN	NaN	NaN	40759.67386908712	9.152299249166489e6	-7.84628044506455e-7
-0.000021733567648993488	2.139159513959e-12	NaN	NaN	NaN	46222.060052522305	1.1056668350104582e7	-1.521506586703776e-7
-0.000018997873819050254	2.139159513959e-12	NaN	NaN	NaN	52953.20425662767	1.3565083067320311e7	0.
-0.000024469261478936724	2.139159513959e-12	NaN	NaN	NaN	41014.66243352073	9.238472552341647e6	0.
-0.00001884589082849785	2.139159513959e-12	NaN	NaN	NaN	53385.46372369227	1.3732028150268205e7	0.
-0.00002766090428053717	2.139159513959e-12	NaN	NaN	NaN	36253.75226688012	7.675246336772951e6	0.
-0.000024317278488384322	2.139159513959e-12	NaN	NaN	NaN	41272.87319117205	9.326011558146866e6	0.
-0.00002158158465844109	2.139159513959e-12	NaN	NaN	NaN	46550.58853225006	1.1175032288755385e7	0.
-0.00001869390783794545	2.139159513959e-12	NaN	NaN	NaN	53824.8827512225	1.3902448021797145e7	-1.8794234823496238e-7
-0.000027508921289984766	2.139159513959e-12	NaN	NaN	NaN	36455.188163542334	7.739395122056322e6	0.
-0.000021429601667888686	2.139159513959e-12	NaN	NaN	NaN	46883.84276984059	1.1295532886342792e7	0.
-0.000018541924847393046	2.139159513959e-12	NaN	NaN	NaN	54271.64183193323	1.407644626397655e7	0.
-0.000027356938299432364	2.139159513959e-12	NaN	NaN	NaN	36658.88152426357	7.804444756747341e6	0.
-0.000018085975875735842	2.139159513959e-12	NaN	NaN	NaN	55657.85829011278	1.4620988011400754e7	0.
-0.000021277618677336283	2.139159513959e-12	NaN	NaN	NaN	47221.92596136513	1.1418225189601008e7	0.
-0.000018389941856840644	2.139159513959e-12	NaN	NaN	NaN	54725.92761566751	1.425412758673631e7	0.
-0.00001793399288518344	2.139159513959e-12	NaN	NaN	NaN	56135.90973555776	1.4810402665474346e7	0.
-0.00001823795886628824	2.139159513959e-12	NaN	NaN	NaN	55187.933175869424	1.4435602022255737e7	-1.5547201387731144e-7
-0.0000150463160646878	2.139159513959e-12	NaN	NaN	NaN	67101.5966439177	1.9376676426352903e7	0.
-0.000017782009894631037	2.139159513959e-12	NaN	NaN	NaN	56622.30160026521	1.5003970281369716e7	-1.0603618876869008e-7
-0.00001200665625363976	2.139159513959e-12	NaN	NaN	NaN	84561.11462643584	2.747063977770169e7	0.
-0.000014894333074135398	2.139159513959e-12	NaN	NaN	NaN	67799.8350888254	1.9681400266869996e7	-2.9249484005099427e-7
-0.000017630026904078634	2.139159513959e-12	NaN	NaN	NaN	57117.25561139085	1.5201824630512042e7	0.
-0.000011854673263087357	2.139159513959e-12	NaN	NaN	NaN	85679.59073279118	2.8021801472369123e7	0.
-8.96699644259172e-6	2.139159513959e-12	NaN	NaN	NaN	114656.17027024904	4.358511500935315e7	0.
-0.000014742350083582997	2.139159513959e-12	NaN	NaN	NaN	68512.90658031241	1.9994285434703458e7	0.
-0.00001747804391352623	2.139159513959e-12	NaN	NaN	NaN	57621.00148134372	1.5404092531723358e7	-1.1046136266384992e-7
-0.000011702690272534956	2.139159513959e-12	NaN	NaN	NaN	86828.54273954722	2.8591950137116633e7	0.
-0.000014590367093030594	2.139159513959e-12	NaN	NaN	NaN	69241.2937547554	2.0315630723053515e7	0.
-0.00001732606092297383	2.139159513959e-12	NaN	NaN	NaN	58133.77727305783	1.5610921479949303e7	-1.5952288863455323e-7
-0.000011550707281982554	2.139159513959e-12	NaN	NaN	NaN	88009.25439889226	2.9182028782132342e7	0.
-8.815013452039317e-6	2.139159513959e-12	NaN	NaN	NaN	116750.61654928302	4.48026720166027e7	-3.623471863007779e-7
-0.000014438384102478191	2.139159513959e-12	NaN	NaN	NaN	69985.50063444205	2.0645768435638856e7	0.
-0.00001717407793242143	2.139159513959e-12	NaN	NaN	NaN	58655.82978565047	1.582245753027922e7	0.
-0.000011398724291430151	2.139159513959e-12	NaN	NaN	NaN	89223.08380065688	2.9793047232577085e7	0.
-8.663030461486915e-6	2.139159513959e-12	NaN	NaN	NaN	118925.43759865762	4.607980352465392e7	-2.2906707676963863e-7
-0.00001428640111192579	2.139159513959e-12	NaN	NaN	NaN	70746.0538375948	2.0985046266042642e7	0.
-0.000017022094941869027	2.139159513959e-12	NaN	NaN	NaN	59187.41496179927	1.6038847847138662e7	0.
-0.00001124674130087775	2.139159513959e-12	NaN	NaN	NaN	90471.46892080411	3.0426070223777894e7	0.
