# Filename	binding\c417b030-7a7d-4ba5-b3f3-66d3332151ce.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-09T15:33:23
# Dir	1
# field	4.6283633120203816e-11
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	4.6283633120203816e-11	NaN	NaN	NaN	34735.599828214494	7.346687895709508e6	0.
-0.00002720495530887996	4.6283633120203816e-11	NaN	NaN	NaN	39398.8802691363	8.931324555870645e6	0.
-0.000024165295497831922	4.6283633120203816e-11	NaN	NaN	NaN	45314.535571848646	1.1120461333889863e7	0.
-0.00002112563568678388	4.6283633120203816e-11	NaN	NaN	NaN	53639.4100774683	1.4551097047615694e7	0.
-0.000030244615119928003	4.6283633120203816e-11	NaN	NaN	NaN	34930.9803868561	7.410601285176623e6	0.
-0.00002705297231832756	4.6283633120203816e-11	NaN	NaN	NaN	39654.84074844547	9.021883810242446e6	0.
-0.00002401331250727952	4.6283633120203816e-11	NaN	NaN	NaN	45662.32060999494	1.125547665813722e7	0.
-0.000020973652696231478	4.6283633120203816e-11	NaN	NaN	NaN	54149.412130277844	1.477509820784158e7	0.
-0.0000300926321293756	4.6283633120203816e-11	NaN	NaN	NaN	35128.70522217107	7.475503029863345e6	0.
-0.00002690098932777516	4.6283633120203816e-11	NaN	NaN	NaN	39914.41522802874	9.11410352091479e6	0.
-0.000023861329516727117	4.6283633120203816e-11	NaN	NaN	NaN	46016.06989157252	1.139353576197394e7	0.
-0.000020821669705679075	4.6283633120203816e-11	NaN	NaN	NaN	54670.77734909429	1.5005793970711429e7	0.
-0.000029940649138823198	4.6283633120203816e-11	NaN	NaN	NaN	35328.819237617594	7.541414207467683e6	0.
-0.000026749006337222757	4.6283633120203816e-11	NaN	NaN	NaN	40177.68657037118	9.208029858211434e6	0.
-0.000023709346526174715	4.6283633120203816e-11	NaN	NaN	NaN	46375.95364838797	1.1534745046012813e7	0.
-0.000020669686715126676	4.6283633120203816e-11	NaN	NaN	NaN	55203.94444805687	1.5243504407312207e7	0.
-0.000029788666148270795	4.6283633120203816e-11	NaN	NaN	NaN	35531.368551422725	7.608359545229803e6	0.
-0.000026597023346670354	4.6283633120203816e-11	NaN	NaN	NaN	40444.740359309944	9.3037108311226e6	0.
-0.000023557363535622312	4.6283633120203816e-11	NaN	NaN	NaN	46742.14920684518	1.167921411151867e7	0.
-0.000020517703724574274	4.6283633120203816e-11	NaN	NaN	NaN	55749.37760542533	1.5488570191409009e7	0.
-0.000029636683157718393	4.6283633120203816e-11	NaN	NaN	NaN	35736.40053982908	7.676362367909112e6	0.
-0.00002644504035611795	4.6283633120203816e-11	NaN	NaN	NaN	40715.66501892456	9.40119484862693e6	0.
-0.000023405380545069913	4.6283633120203816e-11	NaN	NaN	NaN	47114.84138676267	1.1827061435141155e7	0.
-0.00002036572073402187	4.6283633120203816e-11	NaN	NaN	NaN	56307.56849681003	1.574135693585712e7	0.
-0.000029484700167165993	4.6283633120203816e-11	NaN	NaN	NaN	35943.96388227478	7.745447633146342e6	0.
-0.00002629305736556555	4.6283633120203816e-11	NaN	NaN	NaN	40990.55193899953	9.500533788666414e6	0.
-0.00002325339755451751	4.6283633120203816e-11	NaN	NaN	NaN	47494.22292883788	1.1978407396513006e7	0.
-0.00002021373774346947	4.6283633120203816e-11	NaN	NaN	NaN	56879.038538730136	1.6002255537410632e7	0.
-0.00002933271717661359	4.6283633120203816e-11	NaN	NaN	NaN	36154.108608610484	7.815641437255642e6	0.
-0.000026141074375013146	4.6283633120203816e-11	NaN	NaN	NaN	41269.49560750207	9.601782252916677e6	0.
-0.000023101414563965108	4.6283633120203816e-11	NaN	NaN	NaN	47880.49495328972	1.2133382290291367e7	0.
-0.000020061754752917066	4.6283633120203816e-11	NaN	NaN	NaN	57464.341369534995	1.627168673597565e7	0.
-0.000029180734186061188	4.6283633120203816e-11	NaN	NaN	NaN	36366.88614846529	7.886970182928115e6	0.
-0.000025989091384460747	4.6283633120203816e-11	NaN	NaN	NaN	41552.59375055391	9.704994539696237e6	0.
-0.000022949431573412705	4.6283633120203816e-11	NaN	NaN	NaN	48273.86745247442	1.229212016442904e7	0.
-0.000019909771762364663	4.6283633120203816e-11	NaN	NaN	NaN	58064.065598913665	1.6550101300589401e7	0.
-0.000029028751195508785	4.6283633120203816e-11	NaN	NaN	NaN	36582.34938288022	7.9594609898575125e6	0.
-0.000025837108393908344	4.6283633120203816e-11	NaN	NaN	NaN	41839.94748041569	9.810229590409996e6	0.
-0.000022797448582860302	4.6283633120203816e-11	NaN	NaN	NaN	48674.55982057238	1.245476386719317e7	0.
-0.000019757788771812264	4.6283633120203816e-11	NaN	NaN	NaN	58678.83786217545	1.6837984572909288e7	0.
-0.000028876768204956383	4.6283633120203816e-11	NaN	NaN	NaN	36800.55269833584	8.0331423557994375e6	0.
-0.000025685125403355942	4.6283633120203816e-11	NaN	NaN	NaN	42131.66145204269	9.917546022624156e6	0.
-0.0000226454655923079	4.6283633120203816e-11	NaN	NaN	NaN	49082.801423778896	1.2621462609539784e7	0.
-0.00001960580578125986	4.6283633120203816e-11	NaN	NaN	NaN	59309.326221370124	1.7135860638372082e7	0.
-0.000028724785214403984	4.6283633120203816e-11	NaN	NaN	NaN	37021.5520433085	8.108043486149251e6	0.
-0.00002553314241280354	4.6283633120203816e-11	NaN	NaN	NaN	42427.844028820204	1.0027008438918872e7	0.
-0.0000224934826017555	4.6283633120203816e-11	NaN	NaN	NaN	49498.832214813665	1.2792375700209387e7	0.
-0.00001945382279070746	4.6283633120203816e-11	NaN	NaN	NaN	59956.24396233317	1.744429464134086e7	0.
-0.00002857280222385158	4.6283633120203816e-11	NaN	NaN	NaN	37245.40498749921	8.1841944585444005e6	0.
-0.000025381159422251137	4.6283633120203816e-11	NaN	NaN	NaN	42728.60745813497	1.0138681039573714e7	0.
-0.000022341499611203098	4.6283633120203816e-11	NaN	NaN	NaN	49922.90339599241	1.296766806104967e7	0.
-0.00002842081923329918	4.6283633120203816e-11	NaN	NaN	NaN	37472.17078388863	8.261626560905037e6	0.
-0.000025229176431698734	4.6283633120203816e-11	NaN	NaN	NaN	43034.06805749775	1.0252632942670237e7	0.
-0.000022189516620650695	4.6283633120203816e-11	NaN	NaN	NaN	50355.27813559217	1.314751670709249e7	0.
-0.000019301839800155056	4.6283633120203816e-11	NaN	NaN	NaN	60620.35384514367	1.776389822624939e7	0.
-0.000028268836242746776	4.6283633120203816e-11	NaN	NaN	NaN	37701.91043378182	8.340372330189808e6	0.
-0.000025077193441146335	4.6283633120203816e-11	NaN	NaN	NaN	43344.3464119915	1.036893306639381e7	0.
-0.000022037533630098293	4.6283633120203816e-11	NaN	NaN	NaN	50796.23234279133	1.3332106871097866e7	0.
-0.000019149856809602654	4.6283633120203816e-11	NaN	NaN	NaN	61302.47287558328	1.809533498679357e7	0.
-0.000028116853252194373	4.6283633120203816e-11	NaN	NaN	NaN	37934.68675501807	8.420464639013357e6	0.
-0.000024925210450593932	4.6283633120203816e-11	NaN	NaN	NaN	43659.56758388971	1.0487657508116018e7	0.
-0.00002188555063954589	4.6283633120203816e-11	NaN	NaN	NaN	51246.05550709525	1.3521636131591218e7	0.
-0.00002796487026164197	4.6283633120203816e-11	NaN	NaN	NaN	38170.56445353309	8.501938386259677e6	0.
-0.00002477322746004153	4.6283633120203816e-11	NaN	NaN	NaN	43979.86133536149	1.060888314349896e7	0.
